<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVLC.US,60,20240411,170000,60.46,60.49,60.46,60.49,7398,0
AVLC.US,60,20240411,190000,60.63,60.68,60.63,60.66,20910,0
AVLC.US,60,20240411,210000,61.0014,61.0014,61.0014,61.0014,500,0
AVLC.US,60,20240411,220000,61.0417,61.1,61,61.1,118079,0
AVLC.US,60,20240412,170000,60.31,60.31,60.31,60.31,165,0
AVLC.US,60,20240412,180000,60.32,60.32,60.32,60.32,100,0
AVLC.US,60,20240412,190000,60.08,60.08,60.07,60.07,2856,0
AVLC.US,60,20240412,200000,60.01,60.01,60.01,60.01,100,0
AVLC.US,60,20240412,220000,59.94,60.04,59.8799,60.04,13187,0
AVLC.US,60,20240415,190000,60.0314,60.0314,60.0314,60.0314,188,0
AVLC.US,60,20240415,200000,59.51,59.51,59.51,59.51,100,0
AVLC.US,60,20240415,220000,59.39,59.41,59.285,59.41,11751,0
AVLC.US,60,20240416,170000,59.09,59.09,59.0886,59.0886,6008,0
AVLC.US,60,20240416,180000,59.12,59.14,59.12,59.13,3800,0
AVLC.US,60,20240416,190000,59.2,59.2526,59.2,59.214,713,0
AVLC.US,60,20240416,200000,59.13,59.13,59.13,59.13,157,0
AVLC.US,60,20240416,220000,59.41,59.43,59.24,59.3,11434,0
AVLC.US,60,20240417,180000,58.94,58.94,58.94,58.94,100,0
AVLC.US,60,20240417,200000,58.93,59.01,58.86,59.01,800,0
AVLC.US,60,20240417,210000,59.01,59.14,58.93,58.93,1400,0
AVLC.US,60,20240417,220000,58.89,58.9,58.8,58.8791,5380,0
AVLC.US,60,20240418,160000,58.69,58.69,58.68,58.68,5000,0
AVLC.US,60,20240418,180000,59.14,59.14,59.14,59.14,100,0
AVLC.US,60,20240418,220000,58.6687,58.72,58.6463,58.72,3275,0
AVLC.US,60,20240419,160000,58.8,58.8,58.8,58.8,100,0
AVLC.US,60,20240419,180000,58.53,58.53,58.53,58.53,100,0
AVLC.US,60,20240419,190000,58.3,58.3,58.28,58.281,1406,0
AVLC.US,60,20240419,220000,58.16,58.16,58.16,58.16,100,0
AVLC.US,60,20240422,170000,58.595,58.595,58.449,58.449,3181,0
AVLC.US,60,20240422,180000,58.45,58.52,58.45,58.5199,3672,0
AVLC.US,60,20240422,190000,58.6,58.6,58.6,58.6,100,0
AVLC.US,60,20240422,220000,58.83,58.83,58.83,58.83,200,0
AVLC.US,60,20240423,170000,59.2601,59.3957,59.26,59.35,1473,0
AVLC.US,60,20240423,210000,59.63,59.63,59.545,59.545,2603,0
AVLC.US,60,20240423,220000,59.54,59.59,59.53,59.55,5101,0
AVLC.US,60,20240424,210000,59.3833,59.3833,59.3833,59.3833,166,0
AVLC.US,60,20240425,180000,58.73,58.83,58.73,58.83,1447,0
AVLC.US,60,20240425,190000,59.005,59.005,59.005,59.005,129,0
AVLC.US,60,20240425,220000,59.215,59.215,59.215,59.215,119,0
AVLC.US,60,20240426,170000,59.711,59.711,59.711,59.711,604,0
AVLC.US,60,20240426,180000,59.71,59.71,59.71,59.71,100,0
AVLC.US,60,20240426,210000,59.81,59.81,59.775,59.775,660,0
AVLC.US,60,20240426,220000,59.8287,59.8287,59.72,59.72,3864,0
AVLC.US,60,20240429,180000,59.86,59.87,59.8268,59.83,2537,0
AVLC.US,60,20240429,190000,59.87,59.88,59.855,59.87,4040,0
AVLC.US,60,20240429,200000,59.94,59.97,59.93,59.93,9630,0
AVLC.US,60,20240429,210000,59.89,59.91,59.89,59.9,910,0
AVLC.US,60,20240429,220000,59.73,59.75,59.7,59.75,21970,0
AVLC.US,60,20240430,170000,59.71,59.71,59.71,59.71,100,0
AVLC.US,60,20240430,180000,59.37,59.37,59.3466,59.3466,8520,0
AVLC.US,60,20240430,200000,59.19,59.19,59.19,59.19,100,0
AVLC.US,60,20240430,210000,59.2763,59.2763,59.2228,59.2228,2746,0
AVLC.US,60,20240430,220000,59.2,59.28,58.855,58.855,28889,0
AVLC.US,60,20240501,170000,58.75,58.75,58.75,58.75,100,0
AVLC.US,60,20240501,180000,58.72,58.72,58.72,58.72,145,0
AVLC.US,60,20240501,210000,58.77,58.79,58.77,58.79,883,0
AVLC.US,60,20240501,220000,59.48,59.4891,58.82,58.82,20897,0
AVLC.US,60,20240502,200000,59.1945,59.1945,59.08,59.08,9424,0
AVLC.US,60,20240502,210000,59.22,59.22,59.22,59.22,100,0
AVLC.US,60,20240502,220000,59.3265,59.3265,59.29,59.29,4773,0
AVLC.US,60,20240506,180000,60.4127,60.4127,60.4127,60.4127,860,0
AVLC.US,60,20240506,200000,60.46,60.46,60.46,60.46,105,0
AVLC.US,60,20240506,220000,60.51,60.64,60.475,60.64,8909,0
AVLC.US,60,20240507,160000,60.83,60.86,60.83,60.86,1300,0
AVLC.US,60,20240507,170000,60.8,60.8,60.7714,60.7714,2262,0
AVLC.US,60,20240507,210000,60.6668,60.76,60.6662,60.76,13423,0
AVLC.US,60,20240508,160000,60.7,60.7,60.49,60.64,5928,0
AVLC.US,60,20240508,170000,60.64,60.75,60.59,60.75,2000,0
AVLC.US,60,20240508,180000,60.73,60.73,60.65,60.65,2400,0
AVLC.US,60,20240508,190000,60.65,60.66,60.61,60.62,2663,0
AVLC.US,60,20240508,200000,60.61,60.66,60.6,60.66,2725,0
AVLC.US,60,20240508,210000,60.67,60.71,60.66,60.66,10013,0
AVLC.US,60,20240508,220000,60.66,60.73,60.66,60.7,2370,0
AVLC.US,60,20240509,210000,60.94,61.06,60.94,61.06,1092,0
AVLC.US,60,20240509,220000,61.0209,61.08,61.02,61.0376,17867,0
AVLC.US,60,20240510,170000,61.11,61.16,61.075,61.1377,3887,0
AVLC.US,60,20240510,180000,61.0671,61.09,61.0671,61.09,304,0
AVLC.US,60,20240510,200000,61.041,61.08,61.041,61.0632,3220,0
AVLC.US,60,20240510,210000,61.03,61.11,61.03,61.11,414,0
AVLC.US,60,20240510,220000,61.1,61.15,61.1,61.1357,15462,0
AVLC.US,60,20240513,170000,61.29,61.3,61.29,61.3,2000,0
AVLC.US,60,20240513,180000,61.1322,61.16,61.1322,61.16,2105,0
AVLC.US,60,20240513,190000,61.19,61.19,61.1698,61.1698,223,0
AVLC.US,60,20240513,200000,61.02,61.09,61.02,61.08,429,0
AVLC.US,60,20240513,210000,61.1,61.1,61.1,61.1,248,0
AVLC.US,60,20240513,220000,61.13,61.19,61.07,61.07,26428,0
AVLC.US,60,20240514,170000,61.29,61.29,61.29,61.29,100,0
AVLC.US,60,20240514,190000,61.165,61.165,61.15,61.1567,1630,0
AVLC.US,60,20240514,200000,61.15,61.16,61.15,61.16,283,0
AVLC.US,60,20240514,210000,61.33,61.41,61.32,61.38,13116,0
AVLC.US,60,20240514,220000,61.39,61.39,61.37,61.37,1300,0
AVLC.US,60,20240515,160000,61.66,61.66,61.66,61.66,100,0
AVLC.US,60,20240515,200000,61.96,61.96,61.96,61.96,100,0
AVLC.US,60,20240515,210000,61.9401,61.98,61.9401,61.98,3866,0
AVLC.US,60,20240515,220000,61.97,62.07,61.97,62.07,882,0
AVLC.US,60,20240516,210000,61.985,61.985,61.985,61.985,2168,0
AVLC.US,60,20240516,220000,62.03,62.04,61.9963,61.9963,3967,0
AVLC.US,60,20240517,160000,62.24,62.24,61.88,61.91,692,0
AVLC.US,60,20240517,170000,61.92,61.95,61.8785,61.95,2012,0
AVLC.US,60,20240517,180000,61.89,61.9,61.85,61.88,1182,0
AVLC.US,60,20240517,190000,61.91,61.91,61.86,61.9,1200,0
AVLC.US,60,20240517,200000,61.9,61.91,61.87,61.89,1152,0
AVLC.US,60,20240517,210000,61.87,61.87,61.818,61.87,1395,0
AVLC.US,60,20240517,220000,61.92,61.96,61.92,61.96,1164,0
AVLC.US,60,20240520,160000,62.07,62.16,62.07,62.16,400,0
AVLC.US,60,20240520,170000,62.13,62.19,62.13,62.19,800,0
AVLC.US,60,20240520,180000,62.2,62.23,62.19,62.19,800,0
AVLC.US,60,20240520,190000,62.19,62.19,62.15,62.18,800,0
AVLC.US,60,20240520,200000,62.18,62.18,62.08,62.08,800,0
AVLC.US,60,20240520,210000,62.07,62.09,61.995,62.05,10750,0
AVLC.US,60,20240520,220000,62.05,62.08,61.995,62,1876,0
AVLC.US,60,20240521,160000,61.955,61.955,61.955,61.955,160,0
AVLC.US,60,20240521,170000,61.99,61.99,61.99,61.99,310,0
AVLC.US,60,20240521,180000,61.9848,61.9848,61.9848,61.9848,543,0
AVLC.US,60,20240521,200000,61.97,61.97,61.9462,61.9462,662,0
AVLC.US,60,20240521,210000,62.05,62.05,62,62.05,9394,0
AVLC.US,60,20240521,220000,62.01,62.24,62.01,62.07,19681,0
AVLC.US,60,20240522,180000,61.94,61.99,61.94,61.99,305,0
AVLC.US,60,20240522,210000,61.76,61.76,61.76,61.76,100,0
AVLC.US,60,20240522,220000,61.72,61.7979,61.68,61.69,31707,0
