<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BENJ.US,60,20250205,180000,50.09,50.09,50.09,50.09,100,0
BENJ.US,60,20250205,210000,50.08,50.08,50.08,50.08,100,0
BENJ.US,60,20250205,220000,50.089,50.11,50.089,50.11,163512,0
BENJ.US,60,20250206,200000,50.09,50.09,50.09,50.09,6517,0
BENJ.US,60,20250206,220000,50.1,50.1,50.07,50.07,4414,0
BENJ.US,60,20250207,200000,50.0801,50.13,50.08,50.13,1786,0
BENJ.US,60,20250207,220000,50.11,50.12,50.11,50.12,1700,0
BENJ.US,60,20250210,160000,50.1,50.1,50.1,50.1,9320,0
BENJ.US,60,20250210,190000,50.12,50.12,50.12,50.12,456,0
BENJ.US,60,20250210,210000,50.1,50.1,50.1,50.1,100,0
BENJ.US,60,20250210,220000,50.09,50.1,50.09,50.1,2276,0
BENJ.US,60,20250211,170000,50.11,50.11,50.11,50.11,5000,0
BENJ.US,60,20250211,180000,50.12,50.4,50.12,50.12,41882,0
BENJ.US,60,20250212,200000,50.12,50.12,50.12,50.12,500,0
BENJ.US,60,20250213,220000,50.13,50.13,50.13,50.13,800,0
BENJ.US,60,20250214,210000,50.14,50.14,50.14,50.14,1388,0
BENJ.US,60,20250218,180000,50.15,50.15,50.1435,50.1435,1000,0
BENJ.US,60,20250218,200000,50.15,50.15,50.15,50.15,100,0
BENJ.US,60,20250220,170000,50.13,50.15,50.13,50.15,2090,0
BENJ.US,60,20250220,220000,50.1468,50.15,50.14,50.15,977,0
BENJ.US,60,20250224,180000,50.18,50.18,50.18,50.18,100,0
BENJ.US,60,20250225,170000,50.1738,50.1738,50.1738,50.1738,100,0
BENJ.US,60,20250225,190000,50.17,50.17,50.17,50.17,100,0
BENJ.US,60,20250225,210000,50.18,50.18,50.18,50.18,2703,0
BENJ.US,60,20250226,220000,50.18,50.19,50.179,50.179,600,0
BENJ.US,60,20250227,200000,50.17,50.1701,50.17,50.1701,200,0
BENJ.US,60,20250228,170000,50.19,50.19,50.19,50.19,545,0
BENJ.US,60,20250228,180000,50.19,50.19,50.19,50.19,100,0
BENJ.US,60,20250228,200000,50.22,50.22,50.2199,50.2199,886,0
BENJ.US,60,20250228,220000,50.19,50.19,50.19,50.19,997,0
BENJ.US,60,20250303,210000,50.2,50.2,50.2,50.2,400,0
BENJ.US,60,20250303,220000,50.18,50.1801,50.18,50.1801,1094,0
