<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
COM.US,60,20240411,160000,29.4,29.4,29.3435,29.3601,1329,0
COM.US,60,20240411,170000,29.3519,29.3519,29.221,29.229,3993,0
COM.US,60,20240411,180000,29.26,29.289,29.26,29.2701,1829,0
COM.US,60,20240411,190000,29.3268,29.3268,29.281,29.31,2466,0
COM.US,60,20240411,200000,29.32,29.38,29.32,29.33,4389,0
COM.US,60,20240411,210000,29.3554,29.4,29.3554,29.39,3049,0
COM.US,60,20240411,220000,29.42,29.4502,29.4,29.43,5795,0
COM.US,60,20240412,160000,29.82,29.88,29.801,29.88,13543,0
COM.US,60,20240412,170000,29.86,29.8922,29.86,29.89,1271,0
COM.US,60,20240412,180000,29.92,29.92,29.65,29.6862,1807,0
COM.US,60,20240412,190000,29.69,29.69,29.4399,29.48,6216,0
COM.US,60,20240412,200000,29.435,29.473,29.41,29.459,5849,0
COM.US,60,20240412,210000,29.46,29.479,29.3399,29.3501,7914,0
COM.US,60,20240412,220000,29.34,29.38,29.34,29.3699,3111,0
COM.US,60,20240415,160000,29.57,29.57,29.5,29.5,1843,0
COM.US,60,20240415,170000,29.43,29.48,29.29,29.46,3287,0
COM.US,60,20240415,180000,29.43,29.51,29.43,29.46,2697,0
COM.US,60,20240415,190000,29.52,29.52,29.51,29.52,1274,0
COM.US,60,20240415,200000,29.539,29.5799,29.5201,29.5799,3911,0
COM.US,60,20240415,210000,29.6099,29.64,29.5758,29.6399,2653,0
COM.US,60,20240415,220000,29.66,29.695,29.655,29.695,11692,0
COM.US,60,20240416,160000,29.55,29.55,29.49,29.4901,696,0
COM.US,60,20240416,170000,29.43,29.46,29.39,29.46,1282,0
COM.US,60,20240416,180000,29.5101,29.55,29.4853,29.52,1405,0
COM.US,60,20240416,190000,29.5,29.554,29.471,29.554,2655,0
COM.US,60,20240416,200000,29.5287,29.535,29.465,29.5,11272,0
COM.US,60,20240416,210000,29.52,29.56,29.51,29.53,3979,0
COM.US,60,20240416,220000,29.5391,29.56,29.5,29.5,9238,0
COM.US,60,20240417,160000,29.5,29.62,29.5,29.61,552,0
COM.US,60,20240417,170000,29.59,29.6038,29.551,29.551,2767,0
COM.US,60,20240417,180000,29.6,29.6,29.51,29.5299,1150,0
COM.US,60,20240417,190000,29.31,29.3298,29.29,29.31,1613,0
COM.US,60,20240417,200000,29.33,29.34,29.31,29.33,1516,0
COM.US,60,20240417,210000,29.35,29.37,29.3406,29.36,4204,0
COM.US,60,20240417,220000,29.33,29.33,29.3,29.33,25115,0
COM.US,60,20240418,160000,29.38,29.39,29.38,29.39,785,0
COM.US,60,20240418,170000,29.37,29.38,29.32,29.33,1492,0
COM.US,60,20240418,180000,29.31,29.36,29.31,29.36,2015,0
COM.US,60,20240418,190000,29.36,29.429,29.36,29.4095,3248,0
COM.US,60,20240418,200000,29.39,29.39,29.331,29.35,2799,0
COM.US,60,20240418,210000,29.32,29.36,29.32,29.33,30938,0
COM.US,60,20240418,220000,29.35,29.35,29.31,29.31,116982,0
COM.US,60,20240419,160000,29.36,29.41,29.36,29.38,6385,0
COM.US,60,20240419,170000,29.46,29.48,29.45,29.48,2455,0
COM.US,60,20240419,180000,29.47,29.487,29.42,29.44,6490,0
COM.US,60,20240419,190000,29.43,29.46,29.43,29.46,370,0
COM.US,60,20240419,200000,29.51,29.51,29.49,29.49,234,0
COM.US,60,20240419,210000,29.46,29.49,29.46,29.46,9417,0
COM.US,60,20240419,220000,29.48,29.48,29.41,29.46,6238,0
COM.US,60,20240422,160000,29.11,29.126,29.06,29.08,5714,0
COM.US,60,20240422,170000,29.16,29.2248,29.16,29.205,9168,0
COM.US,60,20240422,180000,29.13,29.1889,29.13,29.1889,1944,0
COM.US,60,20240422,190000,29.2043,29.21,29.17,29.19,13092,0
COM.US,60,20240422,200000,29.2,29.22,29.1801,29.21,33838,0
COM.US,60,20240422,210000,29.195,29.22,29.1668,29.22,55985,0
COM.US,60,20240422,220000,29.22,29.24,29.2042,29.24,123598,0
COM.US,60,20240423,160000,29.03,29.03,28.99,29.0238,39431,0
COM.US,60,20240423,170000,29.1399,29.1399,29.07,29.1,19014,0
COM.US,60,20240423,180000,29.0999,29.2,29.08,29.18,753,0
COM.US,60,20240423,190000,29.19,29.23,29.19,29.23,880,0
COM.US,60,20240423,200000,29.22,29.2351,29.215,29.215,5827,0
COM.US,60,20240423,210000,29.25,29.25,29.22,29.22,906,0
COM.US,60,20240423,220000,29.22,29.23,29.19,29.19,2555,0
COM.US,60,20240424,160000,29.24,29.24,29.22,29.22,1140,0
COM.US,60,20240424,170000,29.225,29.28,29.225,29.2672,1992,0
COM.US,60,20240424,180000,29.29,29.29,29.2101,29.24,572,0
COM.US,60,20240424,190000,29.21,29.22,29.2,29.22,3500,0
COM.US,60,20240424,200000,29.22,29.24,29.21,29.21,2329,0
COM.US,60,20240424,210000,29.21,29.24,29.21,29.23,2268,0
COM.US,60,20240424,220000,29.2401,29.2401,29.2206,29.24,17304,0
COM.US,60,20240425,160000,29.25,29.2501,29.23,29.23,808,0
COM.US,60,20240425,170000,29.22,29.25,29.22,29.25,479,0
COM.US,60,20240425,180000,29.26,29.27,29.2364,29.2364,2744,0
COM.US,60,20240425,190000,29.26,29.26,29.26,29.26,100,0
COM.US,60,20240425,200000,29.2401,29.3,29.2401,29.3,320,0
COM.US,60,20240425,210000,29.309,29.3099,29.309,29.3099,4306,0
COM.US,60,20240425,220000,29.3799,29.3799,29.3578,29.36,3221,0
COM.US,60,20240426,160000,29.57,29.57,29.45,29.45,2024,0
COM.US,60,20240426,170000,29.46,29.47,29.3352,29.3604,12424,0
COM.US,60,20240426,180000,29.3635,29.41,29.3583,29.405,11844,0
COM.US,60,20240426,190000,29.43,29.44,29.415,29.415,11173,0
COM.US,60,20240426,200000,29.42,29.44,29.42,29.42,4891,0
COM.US,60,20240426,210000,29.4302,29.45,29.42,29.45,13850,0
COM.US,60,20240426,220000,29.42,29.44,29.405,29.43,31379,0
COM.US,60,20240429,160000,29.4682,29.47,29.46,29.47,1062,0
COM.US,60,20240429,170000,29.461,29.4725,29.43,29.43,8203,0
COM.US,60,20240429,180000,29.43,29.48,29.41,29.48,8288,0
