<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CWB.US,60,20240411,160000,72.15,72.15,71.92,71.96,36392,0
CWB.US,60,20240411,170000,71.95,71.95,71.735,71.735,63106,0
CWB.US,60,20240411,180000,71.74,71.93,71.74,71.93,24207,0
CWB.US,60,20240411,190000,71.93,71.97,71.9,71.93,15609,0
CWB.US,60,20240411,200000,71.93,72.085,71.92,72.08,124667,0
CWB.US,60,20240411,210000,72.075,72.1799,72.075,72.085,34643,0
CWB.US,60,20240411,220000,72.07,72.17,72.06,72.09,67771,0
CWB.US,60,20240412,160000,71.88,71.92,71.69,71.73,52399,0
CWB.US,60,20240412,170000,71.74,71.74,71.52,71.5829,39816,0
CWB.US,60,20240412,180000,71.54,71.6,71.515,71.55,29145,0
CWB.US,60,20240412,190000,71.55,71.55,71.37,71.3795,18535,0
CWB.US,60,20240412,200000,71.37,71.38,71.225,71.2825,20354,0
CWB.US,60,20240412,210000,71.27,71.33,71.18,71.19,26688,0
CWB.US,60,20240412,220000,71.18,71.28,71.15,71.22,171131,0
CWB.US,60,20240415,160000,71.49,71.49,71.28,71.38,31244,0
CWB.US,60,20240415,170000,71.37,71.38,70.97,70.97,75808,0
CWB.US,60,20240415,180000,70.975,71.09,70.9,71.0682,33797,0
CWB.US,60,20240415,190000,71.08,71.11,70.88,70.8914,16489,0
CWB.US,60,20240415,200000,70.89,70.91,70.57,70.6699,49662,0
CWB.US,60,20240415,210000,70.665,70.665,70.46,70.5,26105,0
CWB.US,60,20240415,220000,70.47,70.5,70.38,70.46,84032,0
CWB.US,60,20240416,160000,70.35,70.35,70.015,70.12,54592,0
CWB.US,60,20240416,170000,70.11,70.18,70.045,70.0701,83933,0
CWB.US,60,20240416,180000,70.075,70.24,70.075,70.16,68321,0
CWB.US,60,20240416,190000,70.14,70.23,70.0999,70.23,103677,0
CWB.US,60,20240416,200000,70.22,70.29,70.09,70.17,236273,0
CWB.US,60,20240416,210000,70.16,70.35,70.08,70.19,249608,0
CWB.US,60,20240416,220000,70.19,70.2,70.02,70.14,271445,0
CWB.US,60,20240417,160000,70.29,70.43,70.222,70.37,43725,0
CWB.US,60,20240417,170000,70.37,70.37,70.14,70.1501,17052,0
CWB.US,60,20240417,180000,70.21,70.26,70.06,70.12,21115,0
CWB.US,60,20240417,190000,70.11,70.11,69.92,69.99,48286,0
CWB.US,60,20240417,200000,69.97,70.1979,69.97,70.1979,7363,0
CWB.US,60,20240417,210000,70.19,70.29,70.12,70.12,16078,0
CWB.US,60,20240417,220000,70.09,70.14,70.01,70.01,35566,0
CWB.US,60,20240418,160000,70.07,70.104,69.96,70.08,24911,0
CWB.US,60,20240418,170000,70.07,70.4,70.03,70.39,27868,0
CWB.US,60,20240418,180000,70.3896,70.46,70.3101,70.35,17627,0
CWB.US,60,20240418,190000,70.36,70.3763,70.2,70.2,18969,0
CWB.US,60,20240418,200000,70.22,70.23,70.05,70.08,27910,0
CWB.US,60,20240418,210000,70.07,70.08,69.94,69.98,25953,0
CWB.US,60,20240418,220000,70.0098,70.08,69.98,70,139805,0
CWB.US,60,20240419,160000,69.84,70.11,69.84,70.045,27552,0
CWB.US,60,20240419,170000,70.05,70.09,69.86,69.95,29679,0
CWB.US,60,20240419,180000,69.94,69.94,69.82,69.84,78663,0
CWB.US,60,20240419,190000,69.84,69.85,69.53,69.67,785287,0
CWB.US,60,20240419,200000,69.67,69.775,69.66,69.72,94276,0
CWB.US,60,20240419,210000,69.68,69.68,69.45,69.52,152868,0
CWB.US,60,20240419,220000,69.51,69.61,69.48,69.6,69501,0
CWB.US,60,20240422,160000,69.67,69.871,69.62,69.8096,98254,0
CWB.US,60,20240422,170000,69.81,69.875,69.73,69.73,36859,0
CWB.US,60,20240422,180000,69.73,69.81,69.63,69.81,109025,0
CWB.US,60,20240422,190000,69.83,69.91,69.8186,69.9,32565,0
CWB.US,60,20240422,200000,69.91,70.165,69.9,70.14,21422,0
CWB.US,60,20240422,210000,70.1469,70.205,70.09,70.13,21352,0
CWB.US,60,20240422,220000,70.14,70.14,70,70.01,91657,0
CWB.US,60,20240423,160000,70.17,70.5072,70.16,70.5072,56261,0
CWB.US,60,20240423,170000,70.55,70.77,70.55,70.76,24255,0
CWB.US,60,20240423,180000,70.77,70.77,70.6588,70.68,32250,0
CWB.US,60,20240423,190000,70.68,70.75,70.68,70.74,8695,0
CWB.US,60,20240423,200000,70.74,70.83,70.71,70.83,6133,0
CWB.US,60,20240423,210000,70.84,70.86,70.8,70.83,49274,0
CWB.US,60,20240423,220000,70.82,70.82,70.73,70.73,35774,0
CWB.US,60,20240424,160000,70.76,71.015,70.676,70.76,170269,0
CWB.US,60,20240424,170000,70.7501,70.7977,70.56,70.59,597689,0
CWB.US,60,20240424,180000,70.595,70.6,70.43,70.45,54707,0
CWB.US,60,20240424,190000,70.45,70.53,70.41,70.53,41468,0
CWB.US,60,20240424,200000,70.55,70.67,70.52,70.655,33113,0
CWB.US,60,20240424,210000,70.66,70.66,70.54,70.55,36878,0
CWB.US,60,20240424,220000,70.54,70.66,70.54,70.63,29970,0
CWB.US,60,20240425,160000,70.03,70.17,69.985,70.05,71118,0
CWB.US,60,20240425,170000,70.02,70.245,69.99,70.11,16001,0
CWB.US,60,20240425,180000,70.13,70.26,70.13,70.23,30630,0
CWB.US,60,20240425,190000,70.2889,70.39,70.265,70.39,6323,0
CWB.US,60,20240425,200000,70.4025,70.51,70.35,70.49,30142,0
CWB.US,60,20240425,210000,70.49,70.52,70.3801,70.46,30025,0
CWB.US,60,20240425,220000,70.46,70.54,70.43,70.43,55974,0
CWB.US,60,20240426,160000,70.71,70.74,70.35,70.625,23294,0
CWB.US,60,20240426,170000,70.59,70.73,70.59,70.62,39478,0
CWB.US,60,20240426,180000,70.64,70.68,70.51,70.63,29494,0
CWB.US,60,20240426,190000,70.63,70.69,70.61,70.69,17732,0
CWB.US,60,20240426,200000,70.705,70.765,70.69,70.725,17493,0
CWB.US,60,20240426,210000,70.71,70.73,70.6875,70.73,20644,0
CWB.US,60,20240426,220000,70.73,70.745,70.65,70.73,42263,0
CWB.US,60,20240429,160000,70.76,70.9403,70.69,70.78,32026,0
CWB.US,60,20240429,170000,70.805,70.92,70.7994,70.89,38278,0
CWB.US,60,20240429,180000,70.87,70.93,70.8501,70.91,34776,0
CWB.US,60,20240429,190000,70.915,70.9477,70.905,70.91,8819,0
CWB.US,60,20240429,200000,70.92,70.98,70.91,70.9623,21906,0
CWB.US,60,20240429,210000,70.95,70.96,70.87,70.94,16269,0
CWB.US,60,20240429,220000,70.935,70.94,70.7806,70.93,51974,0
CWB.US,60,20240430,160000,70.71,70.76,70.5469,70.7077,36772,0
CWB.US,60,20240430,170000,70.6961,70.74,70.59,70.655,165953,0
CWB.US,60,20240430,180000,70.64,70.64,70.4711,70.525,20478,0
CWB.US,60,20240430,190000,70.51,70.52,70.39,70.43,8500,0
CWB.US,60,20240430,200000,70.42,70.49,70.4002,70.48,42803,0
CWB.US,60,20240430,210000,70.49,70.49,70.39,70.41,17194,0
CWB.US,60,20240430,220000,70.4,70.445,70.245,70.26,33539,0
CWB.US,60,20240501,160000,69.82,70.1473,69.82,70.06,117895,0
CWB.US,60,20240501,170000,70.07,70.07,69.94,70.02,244010,0
CWB.US,60,20240501,180000,70,70.035,69.9,69.9799,65977,0
CWB.US,60,20240501,190000,69.98,70.07,69.945,70.005,20948,0
CWB.US,60,20240501,200000,70.0199,70.08,69.98,70.0728,12404,0
CWB.US,60,20240501,210000,70.07,70.62,70.07,70.61,60958,0
CWB.US,60,20240501,220000,70.63,70.71,69.97,70.09,254915,0
CWB.US,60,20240502,160000,70.29,70.47,70.2405,70.26,60590,0
CWB.US,60,20240502,170000,70.24,70.39,70.06,70.38,79350,0
CWB.US,60,20240502,180000,70.385,70.4656,70.36,70.46,39923,0
CWB.US,60,20240502,190000,70.46,70.46,70.38,70.46,33660,0
CWB.US,60,20240502,200000,70.465,70.5921,70.4601,70.58,16689,0
CWB.US,60,20240502,210000,70.58,70.71,70.58,70.69,21464,0
CWB.US,60,20240502,220000,70.69,70.72,70.57,70.57,272335,0
CWB.US,60,20240506,160000,71.53,71.685,71.3918,71.63,125008,0
CWB.US,60,20240506,170000,71.65,71.7299,71.615,71.69,19433,0
CWB.US,60,20240506,180000,71.6505,71.69,71.61,71.68,29481,0
CWB.US,60,20240506,190000,71.675,71.7,71.62,71.69,9518,0
CWB.US,60,20240506,200000,71.7,71.73,71.64,71.72,16512,0
CWB.US,60,20240506,210000,71.72,71.77,71.72,71.76,6660,0
CWB.US,60,20240506,220000,71.75,71.83,71.71,71.83,79318,0
CWB.US,60,20240507,160000,71.9,71.9,71.648,71.72,50854,0
CWB.US,60,20240507,170000,71.73,71.89,71.72,71.89,53239,0
CWB.US,60,20240507,180000,71.89,71.93,71.89,71.9,30022,0
CWB.US,60,20240507,190000,71.9,71.9151,71.75,71.76,42121,0
CWB.US,60,20240507,200000,71.765,71.805,71.67,71.69,24510,0
CWB.US,60,20240507,210000,71.7,71.72,71.62,71.6817,20375,0
CWB.US,60,20240507,220000,71.67,71.71,71.63,71.64,48241,0
CWB.US,60,20240508,160000,71.47,71.47,71.225,71.354,41226,0
CWB.US,60,20240508,170000,71.3732,71.45,71.33,71.43,14685,0
CWB.US,60,20240508,180000,71.42,71.44,71.37,71.37,10915,0
CWB.US,60,20240508,190000,71.39,71.4,71.34,71.39,12463,0
CWB.US,60,20240508,200000,71.38,71.4,71.35,71.3902,13590,0
CWB.US,60,20240508,210000,71.39,71.42,71.35,71.35,30771,0
CWB.US,60,20240508,220000,71.35,71.48,71.3,71.3,42673,0
CWB.US,60,20240509,160000,71.46,71.655,71.381,71.46,37351,0
