<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DAPR.US,60,20240411,160000,33.3359,33.3359,33.3359,33.3359,2542,0
DAPR.US,60,20240411,170000,33.365,33.365,33.36,33.36,8922,0
DAPR.US,60,20240411,190000,33.41,33.41,33.41,33.41,300,0
DAPR.US,60,20240411,220000,33.3731,33.3731,33.3219,33.3219,7514,0
DAPR.US,60,20240412,160000,33.34,33.37,33.34,33.37,1578,0
DAPR.US,60,20240412,170000,33.34,33.34,33.34,33.34,100,0
DAPR.US,60,20240412,180000,33.4,33.4,33.3999,33.3999,868,0
DAPR.US,60,20240412,190000,33.37,33.3956,33.37,33.3956,8112,0
DAPR.US,60,20240412,220000,33.3592,33.3711,33.34,33.34,4140,0
DAPR.US,60,20240415,160000,33.4,33.4,33.4,33.4,2547,0
DAPR.US,60,20240415,170000,33.41,33.41,33.3744,33.3744,1433,0
DAPR.US,60,20240415,180000,33.41,33.41,33.41,33.41,205,0
DAPR.US,60,20240415,190000,33.39,33.39,33.39,33.39,2621,0
DAPR.US,60,20240415,210000,33.35,33.41,33.35,33.364,876,0
DAPR.US,60,20240415,220000,33.35,33.3999,33.35,33.35,5933,0
DAPR.US,60,20240416,160000,33.35,33.38,33.35,33.36,1797,0
DAPR.US,60,20240416,170000,33.38,33.38,33.38,33.38,3789,0
DAPR.US,60,20240416,180000,33.38,33.38,33.38,33.38,100,0
DAPR.US,60,20240416,190000,33.341,33.38,33.3401,33.36,1500,0
DAPR.US,60,20240416,200000,33.3401,33.376,33.3401,33.36,1946,0
DAPR.US,60,20240416,210000,33.361,33.39,33.36,33.36,2700,0
DAPR.US,60,20240416,220000,33.408,33.41,33.3402,33.36,14709,0
DAPR.US,60,20240417,170000,33.4,33.42,33.37,33.395,3228,0
DAPR.US,60,20240417,190000,33.35,33.39,33.35,33.39,1992,0
DAPR.US,60,20240417,200000,33.4399,33.4399,33.395,33.395,1619,0
DAPR.US,60,20240417,210000,33.395,33.439,33.395,33.439,1307,0
