<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DIAL.US,60,20240411,160000,17.49,17.49,17.4245,17.4256,9226,0
DIAL.US,60,20240411,170000,17.4,17.4,17.39,17.4,1226,0
DIAL.US,60,20240411,180000,17.3801,17.4,17.37,17.39,9294,0
DIAL.US,60,20240411,190000,17.4,17.4,17.3796,17.3988,1268,0
DIAL.US,60,20240411,200000,17.41,17.41,17.41,17.41,100,0
DIAL.US,60,20240411,210000,17.43,17.43,17.42,17.42,3407,0
DIAL.US,60,20240411,220000,17.41,17.42,17.405,17.41,3937,0
DIAL.US,60,20240412,160000,17.47,17.47,17.42,17.435,33902,0
DIAL.US,60,20240412,170000,17.43,17.44,17.43,17.44,3391,0
DIAL.US,60,20240412,180000,17.435,17.435,17.4201,17.4201,1964,0
DIAL.US,60,20240412,190000,17.429,17.43,17.42,17.43,7201,0
DIAL.US,60,20240412,200000,17.42,17.4359,17.42,17.4301,5898,0
DIAL.US,60,20240412,210000,17.43,17.43,17.41,17.4262,2570,0
DIAL.US,60,20240412,220000,17.42,17.43,17.41,17.42,3293,0
DIAL.US,60,20240415,160000,17.34,17.34,17.3299,17.3309,5123,0
DIAL.US,60,20240415,170000,17.31,17.34,17.29,17.3069,10034,0
DIAL.US,60,20240415,180000,17.3,17.305,17.29,17.3,11074,0
DIAL.US,60,20240415,190000,17.3,17.3,17.28,17.295,9493,0
DIAL.US,60,20240415,200000,17.2883,17.3,17.28,17.29,1435,0
DIAL.US,60,20240415,210000,17.295,17.295,17.27,17.275,2224,0
DIAL.US,60,20240415,220000,17.275,17.285,17.2601,17.285,17193,0
DIAL.US,60,20240416,160000,17.23,17.23,17.195,17.1975,3257,0
DIAL.US,60,20240416,170000,17.2,17.22,17.2,17.22,1331,0
DIAL.US,60,20240416,180000,17.22,17.23,17.2113,17.2288,3691,0
DIAL.US,60,20240416,190000,17.23,17.23,17.22,17.2238,7658,0
DIAL.US,60,20240416,200000,17.2163,17.2163,17.19,17.21,1335,0
DIAL.US,60,20240416,210000,17.2151,17.24,17.2151,17.23,8383,0
DIAL.US,60,20240416,220000,17.2259,17.2259,17.214,17.22,5740,0
DIAL.US,60,20240417,160000,17.24,17.29,17.24,17.29,7986,0
DIAL.US,60,20240417,170000,17.265,17.28,17.2598,17.26,9494,0
DIAL.US,60,20240417,180000,17.2603,17.27,17.2603,17.2671,2205,0
DIAL.US,60,20240417,190000,17.265,17.27,17.26,17.265,3263,0
DIAL.US,60,20240417,200000,17.265,17.29,17.26,17.29,23154,0
DIAL.US,60,20240417,210000,17.29,17.3,17.285,17.285,1105,0
DIAL.US,60,20240417,220000,17.2751,17.29,17.2712,17.28,2819,0
DIAL.US,60,20240418,160000,17.31,17.31,17.26,17.27,2912,0
DIAL.US,60,20240418,170000,17.2671,17.27,17.2617,17.265,7654,0
DIAL.US,60,20240418,180000,17.27,17.27,17.265,17.2699,4840,0
DIAL.US,60,20240418,190000,17.2603,17.2607,17.2444,17.2444,2604,0
DIAL.US,60,20240418,200000,17.2403,17.25,17.2401,17.2463,2467,0
DIAL.US,60,20240418,210000,17.245,17.25,17.24,17.245,4905,0
DIAL.US,60,20240418,220000,17.25,17.2645,17.2417,17.2645,5303,0
DIAL.US,60,20240419,160000,17.28,17.2899,17.28,17.2899,4777,0
DIAL.US,60,20240419,170000,17.28,17.28,17.28,17.28,2149,0
DIAL.US,60,20240419,180000,17.285,17.29,17.285,17.285,4460,0
DIAL.US,60,20240419,190000,17.286,17.286,17.28,17.28,300,0
DIAL.US,60,20240419,200000,17.271,17.271,17.271,17.271,1200,0
DIAL.US,60,20240419,210000,17.27,17.28,17.27,17.2745,14551,0
DIAL.US,60,20240419,220000,17.272,17.29,17.26,17.26,412,0
DIAL.US,60,20240422,160000,17.28,17.28,17.2742,17.2742,1094,0
DIAL.US,60,20240422,170000,17.29,17.31,17.29,17.305,9086,0
DIAL.US,60,20240422,180000,17.3001,17.31,17.3001,17.305,2480,0
DIAL.US,60,20240422,190000,17.31,17.32,17.3,17.32,12771,0
DIAL.US,60,20240422,200000,17.32,17.33,17.32,17.3202,3269,0
DIAL.US,60,20240422,210000,17.3211,17.33,17.3201,17.33,1969,0
DIAL.US,60,20240422,220000,17.33,17.34,17.3201,17.3201,2856,0
DIAL.US,60,20240423,160000,17.29,17.37,17.29,17.37,6684,0
DIAL.US,60,20240423,170000,17.36,17.39,17.36,17.3868,5117,0
DIAL.US,60,20240423,180000,17.38,17.39,17.38,17.383,6793,0
DIAL.US,60,20240423,190000,17.384,17.39,17.384,17.39,501,0
DIAL.US,60,20240423,200000,17.39,17.3997,17.3802,17.39,2018,0
DIAL.US,60,20240423,210000,17.398,17.398,17.3811,17.385,1934,0
DIAL.US,60,20240423,220000,17.3724,17.38,17.3701,17.375,6407,0
DIAL.US,60,20240424,160000,17.33,17.345,17.3201,17.3201,2643,0
DIAL.US,60,20240424,170000,17.3279,17.3279,17.305,17.305,1295,0
DIAL.US,60,20240424,180000,17.3037,17.308,17.29,17.29,1601,0
DIAL.US,60,20240424,190000,17.3,17.32,17.29,17.32,890,0
DIAL.US,60,20240424,200000,17.3,17.31,17.3,17.31,2113,0
DIAL.US,60,20240424,210000,17.303,17.32,17.29,17.29,13133,0
DIAL.US,60,20240424,220000,17.3,17.31,17.29,17.31,20173,0
DIAL.US,60,20240425,160000,17.22,17.22,17.21,17.21,1837,0
DIAL.US,60,20240425,170000,17.2099,17.239,17.2099,17.23,5294,0
DIAL.US,60,20240425,180000,17.235,17.25,17.235,17.25,3868,0
DIAL.US,60,20240425,190000,17.2497,17.254,17.2497,17.2512,1947,0
DIAL.US,60,20240425,200000,17.2562,17.27,17.2537,17.265,15401,0
DIAL.US,60,20240425,210000,17.2679,17.27,17.25,17.26,1485,0
