<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DNL.US,60,20240411,160000,38.81,38.81,38.6904,38.71,2320,0
DNL.US,60,20240411,170000,38.7199,38.7199,38.431,38.47,5387,0
DNL.US,60,20240411,180000,38.5,38.57,38.47,38.57,1883,0
DNL.US,60,20240411,190000,38.59,38.64,38.59,38.62,6317,0
DNL.US,60,20240411,200000,38.58,38.745,38.58,38.74,4242,0
DNL.US,60,20240411,210000,38.75,38.805,38.75,38.7787,3157,0
DNL.US,60,20240411,220000,38.7701,38.82,38.75,38.75,34104,0
DNL.US,60,20240412,160000,38.46,38.4951,38.46,38.4729,1204,0
DNL.US,60,20240412,170000,38.3299,38.3299,38.22,38.22,651,0
DNL.US,60,20240412,180000,38.23,38.3186,38.18,38.31,4969,0
DNL.US,60,20240412,190000,38.3055,38.3055,38.1571,38.1571,2845,0
DNL.US,60,20240412,200000,38.15,38.16,38.06,38.13,3470,0
DNL.US,60,20240412,210000,38.125,38.14,38.0104,38.03,7279,0
DNL.US,60,20240412,220000,38,38.07,38,38.02,3393,0
DNL.US,60,20240415,160000,38.35,38.3548,38.295,38.32,1200,0
DNL.US,60,20240415,170000,38.1705,38.19,38.0838,38.0838,10455,0
DNL.US,60,20240415,180000,38.05,38.16,38.04,38.16,4759,0
DNL.US,60,20240415,190000,38.175,38.1795,37.995,38.015,5827,0
DNL.US,60,20240415,200000,38.02,38.02,37.74,37.8104,4505,0
DNL.US,60,20240415,210000,37.81,37.82,37.73,37.755,7209,0
DNL.US,60,20240415,220000,37.75,37.7951,37.7051,37.74,5895,0
DNL.US,60,20240416,160000,37.44,37.44,37.39,37.39,900,0
DNL.US,60,20240416,170000,37.39,37.43,37.35,37.41,1326,0
DNL.US,60,20240416,180000,37.4503,37.5,37.435,37.4924,3667,0
DNL.US,60,20240416,190000,37.48,37.5292,37.455,37.5292,1931,0
DNL.US,60,20240416,200000,37.495,37.53,37.34,37.42,2692,0
DNL.US,60,20240416,210000,37.44,37.5851,37.44,37.5604,16934,0
DNL.US,60,20240416,220000,37.575,37.59,37.4414,37.48,17062,0
DNL.US,60,20240417,160000,37.68,37.68,37.655,37.655,471,0
DNL.US,60,20240417,170000,37.52,37.53,37.4405,37.4405,1820,0
DNL.US,60,20240417,180000,37.3875,37.4192,37.3875,37.4192,870,0
DNL.US,60,20240417,190000,37.3901,37.3901,37.3,37.305,8848,0
DNL.US,60,20240417,200000,37.3,37.47,37.3,37.47,1009,0
DNL.US,60,20240417,210000,37.505,37.61,37.45,37.5088,13837,0
DNL.US,60,20240417,220000,37.4271,37.4847,37.395,37.42,59327,0
DNL.US,60,20240418,160000,37.41,37.41,37.25,37.33,3098,0
DNL.US,60,20240418,170000,37.35,37.46,37.33,37.43,8635,0
DNL.US,60,20240418,180000,37.44,37.4763,37.39,37.3911,3331,0
DNL.US,60,20240418,190000,37.43,37.4323,37.3787,37.3787,1692,0
DNL.US,60,20240418,200000,37.3485,37.3485,37.19,37.208,4761,0
DNL.US,60,20240418,210000,37.2296,37.248,37.19,37.23,3525,0
DNL.US,60,20240418,220000,37.225,37.27,37.225,37.27,2597,0
DNL.US,60,20240419,160000,37.14,37.25,37.14,37.25,578,0
DNL.US,60,20240419,170000,37.2184,37.2184,37.1764,37.1764,516,0
DNL.US,60,20240419,180000,37.21,37.21,37.165,37.1995,4541,0
DNL.US,60,20240419,190000,37.0048,37.0048,37.0035,37.0035,672,0
DNL.US,60,20240419,200000,37.1448,37.1448,37.1448,37.1448,103,0
DNL.US,60,20240419,210000,37.11,37.11,36.995,36.995,4232,0
DNL.US,60,20240419,220000,37.035,37.05,37,37.0485,8330,0
DNL.US,60,20240422,160000,37.09,37.1474,37.09,37.1474,2352,0
DNL.US,60,20240422,170000,37.185,37.2315,37.1773,37.2268,2502,0
DNL.US,60,20240422,180000,37.1678,37.23,37.1678,37.23,4008,0
DNL.US,60,20240422,190000,37.24,37.2911,37.24,37.26,2888,0
DNL.US,60,20240422,200000,37.325,37.4,37.325,37.4,1096,0
DNL.US,60,20240422,210000,37.46,37.502,37.44,37.44,2950,0
DNL.US,60,20240422,220000,37.4289,37.4317,37.34,37.4,9843,0
DNL.US,60,20240423,160000,37.5,37.63,37.48,37.63,3013,0
DNL.US,60,20240423,170000,37.65,37.75,37.65,37.7465,7115,0
DNL.US,60,20240423,180000,37.72,37.75,37.71,37.7101,8186,0
DNL.US,60,20240423,190000,37.73,37.8187,37.73,37.78,2434,0
DNL.US,60,20240423,200000,37.77,37.8116,37.77,37.8116,554,0
DNL.US,60,20240423,210000,37.815,37.83,37.8001,37.81,63873,0
DNL.US,60,20240423,220000,37.811,37.83,37.77,37.8,9276,0
DNL.US,60,20240424,160000,37.8682,37.8682,37.8349,37.8349,1436,0
DNL.US,60,20240424,170000,37.7493,37.7899,37.6499,37.6499,2054,0
DNL.US,60,20240424,180000,37.6,37.6,37.55,37.55,3999,0
DNL.US,60,20240424,190000,37.52,37.565,37.5101,37.565,9462,0
DNL.US,60,20240424,200000,37.55,37.68,37.55,37.6638,1284,0
DNL.US,60,20240424,210000,37.6512,37.6512,37.6001,37.61,3067,0
DNL.US,60,20240424,220000,37.63,37.71,37.63,37.69,5476,0
DNL.US,60,20240425,160000,37.1,37.1719,37.085,37.085,859,0
DNL.US,60,20240425,170000,37.24,37.36,37.24,37.29,4454,0
DNL.US,60,20240425,180000,37.2701,37.36,37.2701,37.36,4633,0
DNL.US,60,20240425,190000,37.39,37.455,37.39,37.455,2670,0
DNL.US,60,20240425,200000,37.495,37.6095,37.49,37.5984,7740,0
DNL.US,60,20240425,210000,37.56,37.6,37.53,37.59,11334,0
DNL.US,60,20240425,220000,37.6,37.6308,37.56,37.56,16800,0
DNL.US,60,20240426,160000,37.84,37.92,37.84,37.92,3050,0
DNL.US,60,20240426,170000,37.9585,37.9585,37.89,37.89,4357,0
