<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DXD.US,60,20240411,160000,32.87,33.16,32.84,33.1,123194,0
DXD.US,60,20240411,170000,33.115,33.4624,33.115,33.3993,102285,0
DXD.US,60,20240411,180000,33.39,33.44,33.1351,33.1351,39885,0
DXD.US,60,20240411,190000,33.1451,33.26,33.1451,33.19,25865,0
DXD.US,60,20240411,200000,33.23,33.25,32.93,32.945,141416,0
DXD.US,60,20240411,210000,32.9476,32.95,32.78,32.86,129170,0
DXD.US,60,20240411,220000,32.85,33.045,32.81,33.03,140506,0
DXD.US,60,20240412,160000,33.42,33.4966,33.33,33.38,68185,0
DXD.US,60,20240412,170000,33.37,33.74,33.37,33.71,143486,0
DXD.US,60,20240412,180000,33.71,33.71,33.495,33.53,62795,0
DXD.US,60,20240412,190000,33.56,33.86,33.55,33.86,75665,0
DXD.US,60,20240412,200000,33.86,34.0322,33.8106,33.9,64558,0
DXD.US,60,20240412,210000,33.92,33.975,33.79,33.9522,137246,0
DXD.US,60,20240412,220000,33.97,34.03,33.84,33.84,159459,0
DXD.US,60,20240415,160000,33.26,33.32,33.17,33.29,91500,0
DXD.US,60,20240415,170000,33.265,33.74,33.26,33.74,149858,0
DXD.US,60,20240415,180000,33.73,33.765,33.566,33.6001,90998,0
DXD.US,60,20240415,190000,33.6,33.8724,33.56,33.82,78928,0
DXD.US,60,20240415,200000,33.8576,34.32,33.7582,34.15,218286,0
DXD.US,60,20240415,210000,34.15,34.3924,34.1424,34.275,154929,0
DXD.US,60,20240415,220000,34.28,34.4424,34.21,34.31,158558,0
DXD.US,60,20240416,160000,33.91,34.21,33.89,34.06,78272,0
DXD.US,60,20240416,170000,34.07,34.2976,33.96,34.25,147320,0
DXD.US,60,20240416,180000,34.24,34.2724,33.94,34.07,155198,0
DXD.US,60,20240416,190000,34.0976,34.135,33.99,34.08,92418,0
DXD.US,60,20240416,200000,34.08,34.38,34.03,34.16,188003,0
DXD.US,60,20240416,210000,34.19,34.36,33.87,33.98,220991,0
DXD.US,60,20240416,220000,33.97,34.225,33.9435,34.22,175189,0
DXD.US,60,20240417,160000,33.99,34.09,33.83,33.9,75997,0
DXD.US,60,20240417,170000,33.93,34.36,33.93,34.2924,82302,0
DXD.US,60,20240417,180000,34.275,34.5,34.19,34.38,96122,0
DXD.US,60,20240417,190000,34.3876,34.5624,34.37,34.46,118598,0
DXD.US,60,20240417,200000,34.4676,34.4824,34.135,34.155,96414,0
DXD.US,60,20240417,210000,34.17,34.2524,33.9399,34.23,408924,0
DXD.US,60,20240417,220000,34.23,34.385,34.2,34.31,151222,0
DXD.US,60,20240418,160000,34.07,34.19,33.96,33.9624,87839,0
DXD.US,60,20240418,170000,33.96,34.08,33.76,33.8,212825,0
DXD.US,60,20240418,180000,33.785,33.945,33.7276,33.925,85842,0
DXD.US,60,20240418,190000,33.9124,34.27,33.87,34.25,133161,0
DXD.US,60,20240418,200000,34.24,34.4676,34.21,34.36,123272,0
DXD.US,60,20240418,210000,34.36,34.46,34.23,34.3776,126692,0
DXD.US,60,20240418,220000,34.3724,34.375,34.13,34.28,145533,0
