<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FCLD.US,60,20240411,160000,24.92,24.96,24.8,24.9399,6638,0
FCLD.US,60,20240411,170000,24.8999,24.8999,24.64,24.8299,7966,0
FCLD.US,60,20240411,180000,24.7858,24.86,24.76,24.82,1200,0
FCLD.US,60,20240411,190000,24.76,24.8597,24.76,24.8597,368,0
FCLD.US,60,20240411,200000,24.795,24.89,24.795,24.84,1300,0
FCLD.US,60,20240411,210000,24.875,24.96,24.875,24.96,2622,0
FCLD.US,60,20240411,220000,24.94,25.01,24.9001,24.96,4194,0
FCLD.US,60,20240412,160000,24.76,24.7809,24.6,24.6,5749,0
FCLD.US,60,20240412,170000,24.6782,24.76,24.53,24.53,2481,0
FCLD.US,60,20240412,180000,24.62,24.62,24.54,24.54,4187,0
FCLD.US,60,20240412,190000,24.505,24.58,24.4564,24.4564,1720,0
FCLD.US,60,20240412,200000,24.51,24.51,24.37,24.37,1427,0
FCLD.US,60,20240412,210000,24.36,24.3999,24.31,24.3999,3630,0
FCLD.US,60,20240412,220000,24.35,24.4,24.33,24.33,1176,0
FCLD.US,60,20240415,160000,24.37,24.51,24.36,24.36,4058,0
FCLD.US,60,20240415,170000,24.2585,24.2585,24.1401,24.1824,1664,0
FCLD.US,60,20240415,180000,24.1138,24.2299,24.07,24.187,7637,0
FCLD.US,60,20240415,190000,24.1301,24.1301,24.0008,24.05,3727,0
FCLD.US,60,20240415,200000,24,24,23.825,23.87,4400,0
FCLD.US,60,20240415,210000,23.7977,23.8099,23.7196,23.7196,7159,0
FCLD.US,60,20240415,220000,23.7,23.7299,23.6,23.62,7736,0
FCLD.US,60,20240416,160000,23.51,23.5975,23.51,23.53,3020,0
FCLD.US,60,20240416,170000,23.5601,23.5601,23.5601,23.5601,2994,0
FCLD.US,60,20240416,180000,23.6113,23.6581,23.6113,23.6581,208,0
FCLD.US,60,20240416,190000,23.6,23.675,23.6,23.6545,1314,0
FCLD.US,60,20240416,200000,23.541,23.73,23.541,23.63,1310,0
FCLD.US,60,20240416,210000,23.67,23.69,23.67,23.69,894,0
FCLD.US,60,20240416,220000,23.7462,23.7462,23.66,23.66,2089,0
FCLD.US,60,20240417,160000,23.8,23.8955,23.8,23.895,484,0
FCLD.US,60,20240417,170000,23.74,23.79,23.6,23.6,1100,0
FCLD.US,60,20240417,180000,23.7151,23.7151,23.63,23.63,3151,0
FCLD.US,60,20240417,190000,23.635,23.635,23.47,23.56,1423,0
FCLD.US,60,20240417,200000,23.58,23.6714,23.58,23.6714,300,0
FCLD.US,60,20240417,210000,23.67,23.7712,23.66,23.7712,705,0
FCLD.US,60,20240417,220000,23.6,23.6,23.5,23.5,4101,0
FCLD.US,60,20240418,160000,23.56,23.56,23.35,23.42,772,0
FCLD.US,60,20240418,170000,23.4714,23.69,23.4714,23.69,1853,0
FCLD.US,60,20240418,180000,23.6943,23.77,23.65,23.6501,1874,0
FCLD.US,60,20240418,190000,23.65,23.65,23.65,23.65,400,0
FCLD.US,60,20240418,200000,23.6,23.6,23.45,23.5101,1600,0
FCLD.US,60,20240418,210000,23.4,23.4484,23.37,23.3801,3742,0
FCLD.US,60,20240418,220000,23.39,23.3901,23.35,23.35,792,0
FCLD.US,60,20240419,160000,23.3,23.3166,23.3,23.3166,1497,0
FCLD.US,60,20240419,170000,23.29,23.29,23.09,23.09,2201,0
FCLD.US,60,20240419,180000,23.21,23.21,23.02,23.0201,4329,0
FCLD.US,60,20240419,190000,23,23,22.86,22.9501,2849,0
FCLD.US,60,20240419,200000,22.97,23.0555,22.97,23.0555,4896,0
FCLD.US,60,20240419,210000,23.01,23.01,22.8104,22.8104,1692,0
FCLD.US,60,20240419,220000,22.8075,22.925,22.79,22.86,7387,0
FCLD.US,60,20240422,160000,23.01,23.2,23,23.1986,5003,0
FCLD.US,60,20240422,170000,23.06,23.12,22.9268,22.93,2932,0
FCLD.US,60,20240422,180000,22.82,22.925,22.82,22.925,903,0
FCLD.US,60,20240422,200000,23.16,23.22,23.15,23.22,4301,0
FCLD.US,60,20240422,210000,23.2965,23.3,23.245,23.245,1600,0
FCLD.US,60,20240422,220000,23.27,23.27,22.99,22.99,1734,0
FCLD.US,60,20240423,160000,23.36,23.66,23.36,23.66,5960,0
FCLD.US,60,20240423,170000,23.61,23.65,23.59,23.65,2135,0
FCLD.US,60,20240423,180000,23.65,23.7399,23.5812,23.5812,9882,0
FCLD.US,60,20240423,190000,23.5801,23.5801,23.5801,23.5801,370,0
FCLD.US,60,20240423,200000,23.66,23.66,23.66,23.66,105,0
FCLD.US,60,20240423,210000,23.7361,23.84,23.7361,23.84,1721,0
FCLD.US,60,20240423,220000,23.7391,23.75,23.68,23.73,3225,0
FCLD.US,60,20240424,160000,24.37,25.6,23.88,23.9,6796,0
FCLD.US,60,20240424,170000,23.91,23.9898,23.775,23.775,4332,0
FCLD.US,60,20240424,180000,23.73,23.73,23.62,23.73,427,0
FCLD.US,60,20240424,190000,23.6239,23.6239,23.57,23.57,615,0
FCLD.US,60,20240424,200000,23.73,23.73,23.73,23.73,100,0
FCLD.US,60,20240424,210000,23.785,23.785,23.73,23.785,603,0
