<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLOF.US,60,20240411,180000,40.7,40.7,40.7,40.7,100,0
GLOF.US,60,20240411,220000,41.078,41.078,41.078,41.078,151,0
GLOF.US,60,20240412,160000,40.67,40.67,40.67,40.67,358,0
GLOF.US,60,20240412,170000,40.68,40.68,40.68,40.68,100,0
GLOF.US,60,20240412,200000,40.48,40.48,40.48,40.48,794,0
GLOF.US,60,20240415,160000,40.8,40.8,40.8,40.8,2800,0
GLOF.US,60,20240415,170000,40.66,40.66,40.5,40.5474,1622,0
GLOF.US,60,20240415,180000,40.5,40.5,40.5,40.5,100,0
GLOF.US,60,20240416,200000,40.155,40.155,39.86,39.86,735,0
GLOF.US,60,20240416,210000,39.89,39.89,39.89,39.89,296,0
GLOF.US,60,20240416,220000,39.87,39.87,39.87,39.87,563,0
GLOF.US,60,20240418,170000,39.9232,39.9232,39.7703,39.7703,3026,0
GLOF.US,60,20240418,200000,39.68,39.68,39.68,39.68,410,0
GLOF.US,60,20240418,210000,39.66,39.66,39.66,39.66,100,0
GLOF.US,60,20240419,170000,39.5767,39.71,39.5767,39.61,1375,0
GLOF.US,60,20240419,180000,39.61,39.61,39.61,39.61,124,0
GLOF.US,60,20240419,190000,39.585,39.585,39.585,39.585,176,0
GLOF.US,60,20240419,200000,39.52,39.52,39.52,39.52,100,0
GLOF.US,60,20240419,210000,39.35,39.35,39.35,39.35,266,0
GLOF.US,60,20240419,220000,39.39,39.39,39.39,39.39,100,0
GLOF.US,60,20240422,190000,39.68,39.68,39.68,39.68,113,0
GLOF.US,60,20240422,200000,39.825,39.825,39.77,39.77,200,0
GLOF.US,60,20240422,210000,39.86,39.86,39.86,39.86,100,0
GLOF.US,60,20240423,160000,39.969,39.969,39.969,39.969,275,0
GLOF.US,60,20240423,170000,40.1486,40.19,40.1486,40.19,865,0
GLOF.US,60,20240423,200000,40.21,40.21,40.21,40.21,228,0
GLOF.US,60,20240423,210000,40.17,40.17,40.17,40.17,100,0
GLOF.US,60,20240423,220000,40.17,40.17,40.12,40.15,1200,0
GLOF.US,60,20240424,160000,40.24,40.24,40.1955,40.1955,1486,0
GLOF.US,60,20240424,170000,40.115,40.1507,40.115,40.1507,491,0
GLOF.US,60,20240424,190000,40.045,40.0899,40.01,40.0899,645,0
GLOF.US,60,20240424,200000,40.01,40.01,40.01,40.01,100,0
GLOF.US,60,20240425,180000,39.82,39.82,39.7,39.7,200,0
GLOF.US,60,20240425,210000,40.01,40.01,40,40,7563,0
GLOF.US,60,20240425,220000,40.05,40.05,39.9615,39.9615,239,0
GLOF.US,60,20240426,160000,40.29,40.29,40.29,40.29,400,0
GLOF.US,60,20240426,180000,40.34,40.34,40.34,40.34,100,0
GLOF.US,60,20240426,190000,40.43,40.43,40.33,40.33,600,0
GLOF.US,60,20240426,200000,40.45,40.4506,40.45,40.4506,3332,0
GLOF.US,60,20240426,220000,40.52,40.52,40.52,40.52,124,0
