<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GQI.US,60,20240411,210000,53.18,53.18,53.1799,53.18,504,0
GQI.US,60,20240411,220000,53.1892,53.2099,53.17,53.2099,1910,0
GQI.US,60,20240412,160000,53.0151,53.0151,53.0151,53.0151,134,0
GQI.US,60,20240412,170000,52.74,52.74,52.74,52.74,100,0
GQI.US,60,20240412,190000,52.67,52.67,52.61,52.61,300,0
GQI.US,60,20240412,200000,52.46,52.63,52.46,52.61,2289,0
GQI.US,60,20240412,210000,52.55,52.5583,52.55,52.555,581,0
GQI.US,60,20240412,220000,52.62,52.6399,52.62,52.6399,500,0
GQI.US,60,20240415,170000,52.6188,52.6188,52.6188,52.6188,185,0
GQI.US,60,20240415,190000,52.62,52.63,52.62,52.63,500,0
GQI.US,60,20240415,200000,52.0775,52.0775,52.0775,52.0775,400,0
GQI.US,60,20240415,210000,52.0599,52.0599,51.95,51.95,419,0
GQI.US,60,20240415,220000,51.94,51.98,51.94,51.98,750,0
GQI.US,60,20240416,170000,51.71,51.7503,51.71,51.7503,300,0
GQI.US,60,20240416,200000,51.81,51.81,51.75,51.75,200,0
GQI.US,60,20240416,210000,51.68,51.99,51.68,51.99,1276,0
GQI.US,60,20240417,160000,51.9232,51.9232,51.9232,51.9232,500,0
GQI.US,60,20240417,170000,51.83,51.83,51.625,51.625,1698,0
GQI.US,60,20240417,180000,51.62,51.62,51.62,51.62,100,0
GQI.US,60,20240417,190000,51.57,51.57,51.37,51.37,450,0
GQI.US,60,20240417,200000,51.4655,51.4655,51.4655,51.4655,300,0
GQI.US,60,20240417,210000,51.62,51.75,51.62,51.67,595,0
GQI.US,60,20240417,220000,51.48,51.48,51.48,51.48,150,0
GQI.US,60,20240418,170000,51.5923,51.5923,51.5923,51.5923,137,0
GQI.US,60,20240418,180000,51.62,51.62,51.6199,51.6199,800,0
GQI.US,60,20240418,200000,51.25,51.25,51.25,51.25,100,0
GQI.US,60,20240418,210000,51.2791,51.2791,51.2791,51.2791,100,0
GQI.US,60,20240418,220000,51.34,51.34,51.18,51.18,761,0
GQI.US,60,20240419,180000,50.99,50.99,50.99,50.99,474,0
GQI.US,60,20240419,190000,51.05,51.05,50.88,50.88,449,0
GQI.US,60,20240419,200000,51.01,51.01,50.95,51.01,300,0
GQI.US,60,20240419,210000,50.88,50.88,50.86,50.86,457,0
GQI.US,60,20240419,220000,50.73,50.75,50.66,50.66,1932,0
GQI.US,60,20240422,170000,50.99,50.99,50.99,50.99,100,0
GQI.US,60,20240422,180000,50.89,50.89,50.8555,50.8555,1100,0
GQI.US,60,20240422,200000,51.09,51.21,51.09,51.2099,880,0
GQI.US,60,20240422,210000,51.3183,51.37,51.2401,51.2401,1689,0
GQI.US,60,20240422,220000,51.3,51.3,51.12,51.12,843,0
GQI.US,60,20240423,160000,51.39,51.39,51.39,51.39,250,0
GQI.US,60,20240423,170000,51.48,51.55,51.48,51.55,245,0
GQI.US,60,20240423,180000,51.5,51.53,51.5,51.53,800,0
GQI.US,60,20240423,200000,51.6203,51.6203,51.6203,51.6203,150,0
GQI.US,60,20240423,210000,51.68,51.68,51.68,51.68,565,0
GQI.US,60,20240423,220000,51.65,51.65,51.65,51.65,200,0
GQI.US,60,20240424,180000,51.54,51.54,51.54,51.54,200,0
GQI.US,60,20240424,200000,51.4835,51.54,51.45,51.45,1313,0
GQI.US,60,20240424,210000,51.6584,51.6584,51.61,51.61,415,0
GQI.US,60,20240424,220000,51.53,51.6493,51.53,51.63,800,0
GQI.US,60,20240425,170000,50.91,50.91,50.91,50.91,200,0
GQI.US,60,20240425,180000,50.9,50.9,50.9,50.9,400,0
GQI.US,60,20240425,210000,51.21,51.22,51.21,51.22,500,0
GQI.US,60,20240425,220000,51.33,51.4,51.3065,51.38,2366,0
GQI.US,60,20240426,160000,51.8,51.8,51.8,51.8,651,0
GQI.US,60,20240426,170000,51.76,51.85,51.76,51.85,806,0
GQI.US,60,20240426,210000,51.86,51.86,51.8499,51.8499,708,0
GQI.US,60,20240429,180000,51.8,51.8,51.8,51.8,125,0
GQI.US,60,20240429,190000,51.855,51.855,51.855,51.855,200,0
GQI.US,60,20240429,200000,51.82,51.82,51.82,51.82,100,0
GQI.US,60,20240429,210000,51.84,51.84,51.77,51.82,1405,0
GQI.US,60,20240429,220000,51.68,51.87,51.68,51.87,253,0
GQI.US,60,20240430,170000,51.69,51.7116,51.69,51.7116,534,0
GQI.US,60,20240430,180000,51.5,51.5,51.45,51.45,1090,0
GQI.US,60,20240430,190000,51.4,51.4,51.34,51.34,586,0
GQI.US,60,20240430,210000,51.4299,51.4299,51.2772,51.2772,1158,0
GQI.US,60,20240430,220000,51.3,51.32,51.3,51.3,4382,0
GQI.US,60,20240501,160000,50.576,50.65,50.576,50.605,1621,0
GQI.US,60,20240501,170000,50.57,50.61,50.57,50.61,400,0
GQI.US,60,20240501,180000,50.5501,50.5501,50.52,50.52,639,0
GQI.US,60,20240501,190000,50.57,50.5822,50.54,50.5822,600,0
GQI.US,60,20240501,200000,50.61,50.62,50.6099,50.62,2775,0
GQI.US,60,20240501,210000,50.79,51.1322,50.755,51.1322,1130,0
GQI.US,60,20240501,220000,51.1,51.1,50.5,50.5,3838,0
GQI.US,60,20240502,170000,50.72,50.7775,50.68,50.74,1318,0
GQI.US,60,20240502,180000,50.88,50.89,50.8799,50.8899,1500,0
GQI.US,60,20240502,200000,51.04,51.04,51.04,51.04,1308,0
GQI.US,60,20240502,210000,51.0399,51.13,51.0399,51.0603,2741,0
GQI.US,60,20240502,220000,51.1,51.16,51.08,51.08,4795,0
GQI.US,60,20240506,160000,51.94,51.94,51.94,51.94,175,0
GQI.US,60,20240506,170000,51.87,52.01,51.865,51.88,66847,0
GQI.US,60,20240506,180000,51.87,51.9086,51.8666,51.8911,4642,0
GQI.US,60,20240506,190000,51.8882,51.89,51.88,51.89,6200,0
GQI.US,60,20240506,210000,51.94,51.96,51.918,51.918,4702,0
GQI.US,60,20240506,220000,51.95,52.04,51.9271,52.04,2553,0
GQI.US,60,20240507,160000,52.2,52.2,52.2,52.2,100,0
GQI.US,60,20240507,170000,52.11,52.1695,52.06,52.1695,3268,0
GQI.US,60,20240507,180000,52.17,52.17,52.115,52.115,410,0
GQI.US,60,20240507,190000,52.1101,52.199,52.1101,52.168,1696,0
GQI.US,60,20240507,200000,52.21,52.21,52.1669,52.1669,900,0
GQI.US,60,20240507,210000,52.11,52.11,52.06,52.06,1029,0
GQI.US,60,20240507,220000,52.06,52.15,52.06,52.15,2772,0
GQI.US,60,20240508,180000,52.0716,52.0716,52.02,52.0201,350,0
GQI.US,60,20240508,200000,52.08,52.08,52.03,52.03,500,0
GQI.US,60,20240508,210000,52.08,52.08,52.041,52.07,2152,0
GQI.US,60,20240508,220000,52.06,52.1,52.0599,52.07,5075,0
GQI.US,60,20240509,190000,52.12,52.13,52.12,52.13,990,0
GQI.US,60,20240509,220000,52.1532,52.19,52.1532,52.1899,1344,0
GQI.US,60,20240510,160000,52.35,52.35,52.35,52.35,250,0
GQI.US,60,20240510,170000,52.18,52.18,52.18,52.18,1000,0
GQI.US,60,20240510,190000,52.18,52.18,52.18,52.18,750,0
GQI.US,60,20240510,220000,52.22,52.24,52.21,52.22,3895,0
GQI.US,60,20240513,160000,52.47,52.47,52.28,52.28,2101,0
GQI.US,60,20240513,170000,52.33,52.33,52.31,52.31,2400,0
GQI.US,60,20240513,180000,52.3,52.33,52.25,52.29,4100,0
GQI.US,60,20240513,190000,52.31,52.31,52.28,52.28,2600,0
GQI.US,60,20240513,200000,52.26,52.28,52.2299,52.24,3269,0
GQI.US,60,20240513,210000,52.26,52.29,52.2164,52.28,6574,0
GQI.US,60,20240513,220000,52.29,52.31,52.28,52.3,4900,0
GQI.US,60,20240514,160000,52.23,52.29,52.23,52.29,300,0
GQI.US,60,20240514,170000,52.16,52.239,52.12,52.239,1983,0
GQI.US,60,20240514,180000,52.24,52.24,52.2372,52.2372,422,0
GQI.US,60,20240514,190000,52.2,52.2,52.12,52.12,435,0
GQI.US,60,20240514,200000,52.2,52.2,52.2,52.2,800,0
GQI.US,60,20240514,210000,52.32,52.34,52.28,52.34,699,0
GQI.US,60,20240514,220000,52.34,52.34,52.3175,52.3175,9682,0
GQI.US,60,20240515,160000,52.57,52.57,52.57,52.57,300,0
GQI.US,60,20240515,170000,52.43,52.43,52.43,52.43,260,0
GQI.US,60,20240515,180000,52.6,52.6199,52.5441,52.5441,800,0
GQI.US,60,20240515,200000,52.65,52.68,52.645,52.68,595,0
GQI.US,60,20240515,210000,52.69,52.69,52.6365,52.6365,3392,0
GQI.US,60,20240515,220000,52.6,52.72,52.6,52.72,10404,0
GQI.US,60,20240516,170000,52.86,52.86,52.86,52.86,890,0
GQI.US,60,20240516,180000,52.8314,52.8314,52.8314,52.8314,500,0
GQI.US,60,20240516,200000,52.75,52.75,52.75,52.75,100,0
GQI.US,60,20240516,210000,52.7499,52.77,52.7499,52.77,285,0
GQI.US,60,20240516,220000,52.73,52.73,52.73,52.73,226,0
GQI.US,60,20240517,160000,52.9,52.9,52.9,52.9,1764,0
GQI.US,60,20240517,180000,52.6999,52.7,52.6999,52.7,420,0
GQI.US,60,20240517,210000,52.6462,52.67,52.6462,52.67,800,0
GQI.US,60,20240517,220000,52.74,52.74,52.69,52.74,725,0
GQI.US,60,20240520,160000,52.86,52.86,52.6101,52.6101,492,0
GQI.US,60,20240520,170000,52.83,52.83,52.83,52.83,100,0
GQI.US,60,20240520,180000,52.8013,52.8013,52.8013,52.8013,140,0
GQI.US,60,20240520,190000,52.79,52.8,52.79,52.8,290,0
GQI.US,60,20240520,210000,52.75,52.75,52.75,52.75,214,0
GQI.US,60,20240520,220000,52.79,52.81,52.7732,52.8,1667,0
GQI.US,60,20240521,160000,52.74,52.74,52.74,52.74,307,0
GQI.US,60,20240521,170000,52.68,52.68,52.68,52.68,100,0
GQI.US,60,20240521,190000,52.5911,52.5911,52.5911,52.5911,300,0
GQI.US,60,20240521,200000,52.575,52.67,52.575,52.67,3369,0
GQI.US,60,20240521,210000,52.6366,52.66,52.6274,52.66,6076,0
GQI.US,60,20240521,220000,52.6522,52.75,52.6522,52.73,800,0
GQI.US,60,20240522,160000,52.5,52.62,52.5,52.62,2729,0
GQI.US,60,20240522,170000,52.585,52.585,52.55,52.55,298,0
GQI.US,60,20240522,190000,52.63,52.64,52.6,52.64,1387,0
GQI.US,60,20240522,200000,52.65,52.65,52.48,52.48,2297,0
GQI.US,60,20240522,220000,52.34,52.5099,52.34,52.5099,3511,0
GQI.US,60,20240523,160000,52.96,52.96,52.62,52.62,600,0
GQI.US,60,20240523,190000,52.755,52.77,52.73,52.73,575,0
GQI.US,60,20240523,200000,52.67,52.67,52.6,52.6,500,0
GQI.US,60,20240523,210000,52.485,52.485,52.485,52.485,100,0
GQI.US,60,20240523,220000,52.4323,52.62,52.4323,52.62,10341,0
GQI.US,60,20240524,160000,52.75,52.75,52.6434,52.6434,258,0
GQI.US,60,20240524,170000,52.6388,52.6388,52.6388,52.6388,574,0
GQI.US,60,20240524,210000,52.79,52.79,52.79,52.79,438,0
GQI.US,60,20240524,220000,52.77,52.77,52.7699,52.7699,520,0
GQI.US,60,20240528,180000,52.83,52.83,52.83,52.83,300,0
GQI.US,60,20240528,200000,52.7802,52.83,52.7802,52.7892,700,0
GQI.US,60,20240528,210000,52.78,52.78,52.75,52.75,600,0
GQI.US,60,20240528,220000,52.77,52.78,52.77,52.78,1400,0
GQI.US,60,20240529,160000,52.61,52.61,52.61,52.61,400,0
GQI.US,60,20240529,170000,52.5755,52.5755,52.5755,52.5755,822,0
GQI.US,60,20240529,180000,52.7,52.7,52.6999,52.6999,1000,0
GQI.US,60,20240529,210000,52.68,52.68,52.635,52.635,1199,0
GQI.US,60,20240529,220000,52.6395,52.6426,52.6395,52.6426,1252,0
GQI.US,60,20240530,170000,52.35,52.35,52.35,52.35,100,0
GQI.US,60,20240530,180000,52.3448,52.3448,52.3448,52.3448,200,0
GQI.US,60,20240530,190000,52.365,52.365,52.365,52.365,100,0
GQI.US,60,20240530,200000,52.3947,52.3947,52.3947,52.3947,208,0
GQI.US,60,20240530,220000,52.24,52.2401,52.13,52.13,367,0
GQI.US,60,20240531,170000,52.12,52.12,52.12,52.12,300,0
GQI.US,60,20240531,210000,52.0684,52.0684,52.0684,52.0684,975,0
GQI.US,60,20240531,220000,52.2325,52.2325,52.2325,52.2325,210,0
GQI.US,60,20240603,170000,52.4,52.4,52.21,52.21,1073,0
GQI.US,60,20240603,180000,52.1,52.1,52.1,52.1,100,0
GQI.US,60,20240603,190000,51.9889,51.9889,51.9889,51.9889,155,0
GQI.US,60,20240603,200000,51.88,51.99,51.88,51.99,245,0
GQI.US,60,20240604,160000,52.36,52.36,52.22,52.23,7973,0
GQI.US,60,20240604,170000,52.225,52.275,52.225,52.27,2200,0
GQI.US,60,20240604,180000,52.275,52.275,52.27,52.27,800,0
GQI.US,60,20240604,190000,52.3,52.38,52.27,52.35,9899,0
GQI.US,60,20240604,200000,52.27,52.27,52.27,52.27,200,0
GQI.US,60,20240604,210000,52.32,52.48,52.31,52.41,2348,0
GQI.US,60,20240604,220000,52.4,52.4,52.29,52.39,17414,0
GQI.US,60,20240605,170000,52.6,52.6042,52.6,52.6042,1056,0
GQI.US,60,20240605,180000,52.77,52.77,52.77,52.77,100,0
GQI.US,60,20240605,200000,52.8,52.82,52.8,52.8135,600,0
GQI.US,60,20240605,210000,52.84,52.91,52.84,52.88,3863,0
GQI.US,60,20240605,220000,52.87,52.88,52.82,52.85,3842,0
GQI.US,60,20240606,160000,53.01,53.01,53.01,53.01,131,0
GQI.US,60,20240606,170000,52.82,52.82,52.82,52.82,301,0
GQI.US,60,20240606,190000,52.82,52.82,52.8177,52.8177,1800,0
GQI.US,60,20240606,220000,52.87,52.87,52.85,52.85,900,0
GQI.US,60,20240607,180000,52.91,52.91,52.8608,52.8608,2300,0
GQI.US,60,20240607,190000,52.93,52.94,52.89,52.94,4197,0
GQI.US,60,20240607,200000,52.95,52.95,52.95,52.95,100,0
GQI.US,60,20240607,210000,52.94,52.94,52.8633,52.8633,740,0
GQI.US,60,20240607,220000,52.834,52.834,52.8051,52.8051,909,0
GQI.US,60,20240610,170000,52.8,52.8,52.7739,52.781,2000,0
GQI.US,60,20240610,180000,52.88,52.92,52.88,52.92,1164,0
GQI.US,60,20240610,210000,52.93,52.9429,52.93,52.9429,300,0
GQI.US,60,20240611,160000,52.958,52.958,52.958,52.958,100,0
GQI.US,60,20240611,170000,52.95,53.0489,52.86,53.0287,1409,0
GQI.US,60,20240611,190000,53,53,52.9999,52.9999,400,0
GQI.US,60,20240611,200000,53.07,53.08,53.07,53.08,2000,0
GQI.US,60,20240611,210000,53.1546,53.1546,53.1546,53.1546,193,0
GQI.US,60,20240611,220000,53.2,53.29,53.2,53.29,1341,0
GQI.US,60,20240612,170000,53.67,53.67,53.67,53.67,200,0
GQI.US,60,20240612,190000,53.5998,53.633,53.5998,53.633,660,0
GQI.US,60,20240612,210000,53.6199,53.6199,53.6199,53.6199,231,0
GQI.US,60,20240612,220000,53.63,53.63,53.475,53.475,450,0
GQI.US,60,20240613,190000,53.47,53.47,53.47,53.47,115,0
GQI.US,60,20240613,210000,53.59,53.59,53.535,53.5875,410,0
GQI.US,60,20240613,220000,53.68,53.68,53.68,53.68,300,0
GQI.US,60,20240614,200000,53.65,53.65,53.65,53.65,100,0
GQI.US,60,20240614,210000,53.64,53.68,53.635,53.65,1761,0
GQI.US,60,20240614,220000,53.65,53.65,53.61,53.61,368,0
GQI.US,60,20240617,170000,53.73,53.73,53.73,53.73,100,0
GQI.US,60,20240617,190000,53.96,53.96,53.96,53.96,110,0
GQI.US,60,20240617,200000,53.915,53.915,53.915,53.915,500,0
GQI.US,60,20240617,210000,54.09,54.11,54.09,54.11,500,0
GQI.US,60,20240617,220000,54.1,54.1,54.06,54.07,1409,0
GQI.US,60,20240618,160000,54.25,54.25,54.25,54.25,278,0
GQI.US,60,20240618,170000,54.0679,54.1012,54.0679,54.1012,385,0
GQI.US,60,20240618,190000,54.045,54.1,54.045,54.065,470,0
GQI.US,60,20240618,210000,54.04,54.1,54.04,54.1,564,0
GQI.US,60,20240618,220000,54.1,54.1,54.1,54.1,500,0
GQI.US,60,20240620,160000,54.43,54.43,54.43,54.43,2199,0
GQI.US,60,20240620,170000,54.1435,54.1435,54.1435,54.1435,500,0
GQI.US,60,20240620,180000,54.18,54.18,54.18,54.18,100,0
GQI.US,60,20240620,190000,54.08,54.08,53.95,53.96,1453,0
GQI.US,60,20240620,200000,53.93,53.96,53.905,53.905,705,0
GQI.US,60,20240620,210000,53.965,54.01,53.965,54.01,244,0
GQI.US,60,20240620,220000,53.98,53.98,53.98,53.98,100,0
GQI.US,60,20240621,170000,53.92,53.92,53.9199,53.9199,1000,0
GQI.US,60,20240621,180000,54,54.05,54,54.0075,515,0
GQI.US,60,20240621,190000,53.97,53.97,53.97,53.97,221,0
GQI.US,60,20240621,200000,53.97,53.97,53.97,53.97,100,0
GQI.US,60,20240621,210000,53.8715,53.8715,53.8715,53.8715,479,0
GQI.US,60,20240621,220000,53.95,53.95,53.93,53.93,657,0
GQI.US,60,20240624,170000,54.02,54.02,54.02,54.02,100,0
GQI.US,60,20240624,180000,54.05,54.05,54.05,54.05,328,0
GQI.US,60,20240624,190000,53.9754,53.9995,53.95,53.95,1910,0
GQI.US,60,20240624,200000,53.8,53.89,53.7512,53.8899,1234,0
GQI.US,60,20240624,210000,53.88,53.88,53.8463,53.8463,350,0
GQI.US,60,20240624,220000,53.892,53.892,53.82,53.82,1100,0
GQI.US,60,20240625,180000,53.89,53.89,53.89,53.89,235,0
GQI.US,60,20240625,190000,53.86,53.86,53.86,53.86,100,0
GQI.US,60,20240625,200000,53.8107,53.8107,53.8107,53.8107,450,0
GQI.US,60,20240625,210000,53.96,53.98,53.96,53.98,239,0
GQI.US,60,20240625,220000,53.9348,54.02,53.9348,54.01,7249,0
GQI.US,60,20240626,160000,54.06,54.06,54.06,54.06,250,0
GQI.US,60,20240626,170000,54.01,54.01,53.965,53.965,500,0
GQI.US,60,20240626,180000,53.92,53.97,53.92,53.97,34215,0
GQI.US,60,20240626,200000,54.0175,54.0175,54.0175,54.0175,416,0
GQI.US,60,20240626,210000,54.0187,54.0187,54.0187,54.0187,300,0
GQI.US,60,20240626,220000,53.98,54.0391,53.98,54.0391,1060,0
GQI.US,60,20240627,160000,54.3,54.3,54.3,54.3,300,0
GQI.US,60,20240627,170000,54.09,54.09,54.07,54.07,1776,0
GQI.US,60,20240627,190000,54.0188,54.05,53.975,54.0455,1380,0
GQI.US,60,20240627,200000,54.04,54.04,54.04,54.04,230,0
GQI.US,60,20240627,210000,54.03,54.03,54,54.005,2101,0
GQI.US,60,20240627,220000,54.03,54.04,54.02,54.02,687,0
GQI.US,60,20240628,160000,54.0918,54.0918,54.0918,54.0918,400,0
GQI.US,60,20240628,170000,54.17,54.17,54.15,54.15,13553,0
GQI.US,60,20240628,180000,54.13,54.13,54.045,54.1,1247,0
GQI.US,60,20240628,190000,54.04,54.04,53.9496,53.9496,350,0
GQI.US,60,20240628,200000,53.98,53.98,53.98,53.98,835,0
GQI.US,60,20240628,210000,53.94,53.94,53.93,53.93,1500,0
GQI.US,60,20240628,220000,53.81,53.91,53.81,53.91,400,0
GQI.US,60,20240701,160000,53.68,53.68,53.68,53.68,179,0
GQI.US,60,20240701,170000,53.5,53.5,53.46,53.46,200,0
GQI.US,60,20240701,190000,53.56,53.61,53.56,53.61,200,0
GQI.US,60,20240701,200000,53.6,53.6,53.6,53.6,100,0
GQI.US,60,20240701,210000,53.68,53.68,53.62,53.62,200,0
GQI.US,60,20240701,220000,53.62,53.62,53.62,53.62,200,0
GQI.US,60,20240702,160000,53.74,53.74,53.73,53.73,400,0
GQI.US,60,20240702,170000,53.72,53.79,53.72,53.79,600,0
GQI.US,60,20240702,180000,53.79,53.81,53.7412,53.81,1150,0
GQI.US,60,20240702,190000,53.729,53.729,53.729,53.729,741,0
GQI.US,60,20240702,200000,53.8,53.85,53.78,53.85,900,0
GQI.US,60,20240702,210000,53.84,53.87,53.84,53.85,1101,0
GQI.US,60,20240702,220000,53.85,53.86,53.85,53.86,689,0
GQI.US,60,20240703,160000,54.47,54.47,54.47,54.47,299,0
GQI.US,60,20240703,190000,53.89,54.03,53.89,54.01,2805,0
GQI.US,60,20240705,160000,53.78,53.78,53.78,53.78,200,0
GQI.US,60,20240705,170000,54.0499,54.0499,54.0499,54.0499,144,0
GQI.US,60,20240705,210000,54.26,54.26,54.2125,54.2125,602,0
GQI.US,60,20240705,220000,54.22,54.22,54.22,54.22,847,0
GQI.US,60,20240708,160000,54.95,54.95,54.95,54.95,201,0
GQI.US,60,20240708,200000,54.2624,54.2624,54.2624,54.2624,200,0
GQI.US,60,20240708,210000,54.32,54.32,54.32,54.32,200,0
GQI.US,60,20240708,220000,54.2499,54.32,54.2499,54.32,1668,0
GQI.US,60,20240709,170000,54.42,54.44,54.42,54.44,222,0
GQI.US,60,20240709,180000,54.35,54.35,54.35,54.35,100,0
GQI.US,60,20240709,210000,54.3,54.34,54.3,54.34,343,0
GQI.US,60,20240709,220000,54.2924,54.31,54.2771,54.3,804,0
GQI.US,60,20240710,170000,54.325,54.325,54.3,54.3,1178,0
GQI.US,60,20240710,180000,54.306,54.306,54.306,54.306,180,0
GQI.US,60,20240710,220000,54.4485,54.57,54.4485,54.57,1948,0
GQI.US,60,20240711,170000,54.59,54.62,54.38,54.38,1368,0
GQI.US,60,20240711,180000,54.33,54.33,54.1605,54.1605,1739,0
GQI.US,60,20240711,190000,54.1569,54.1569,54.1569,54.1569,550,0
GQI.US,60,20240711,200000,54.17,54.17,54.15,54.15,825,0
GQI.US,60,20240711,220000,54.105,54.14,54.105,54.14,1936,0
GQI.US,60,20240712,170000,54.5087,54.5087,54.5087,54.5087,1848,0
GQI.US,60,20240712,180000,54.52,54.5501,54.52,54.5501,300,0
GQI.US,60,20240712,190000,54.47,54.47,54.47,54.47,200,0
GQI.US,60,20240712,200000,54.6716,54.6716,54.6716,54.6716,500,0
GQI.US,60,20240712,210000,54.66,54.6799,54.62,54.62,1294,0
GQI.US,60,20240712,220000,54.61,54.61,54.535,54.535,1230,0
GQI.US,60,20240715,160000,54.83,54.83,54.83,54.83,305,0
GQI.US,60,20240715,180000,54.8,54.8,54.8,54.8,100,0
GQI.US,60,20240715,190000,54.69,54.7,54.62,54.62,1972,0
GQI.US,60,20240715,210000,54.525,54.6399,54.525,54.6399,209,0
GQI.US,60,20240715,220000,54.58,54.58,54.58,54.58,700,0
GQI.US,60,20240716,170000,54.61,54.7189,54.61,54.7189,1098,0
GQI.US,60,20240716,180000,54.71,54.71,54.6548,54.69,1773,0
GQI.US,60,20240716,190000,54.61,54.61,54.61,54.61,100,0
GQI.US,60,20240716,210000,54.6983,54.73,54.6983,54.73,1128,0
GQI.US,60,20240716,220000,54.73,54.78,54.73,54.78,971,0
GQI.US,60,20240717,170000,54.1725,54.2,54.1525,54.2,3551,0
GQI.US,60,20240717,180000,54.0914,54.0914,54.0914,54.0914,174,0
GQI.US,60,20240717,200000,54.1094,54.1094,54.1094,54.1094,800,0
GQI.US,60,20240717,210000,54.09,54.09,54.07,54.08,1804,0
GQI.US,60,20240717,220000,54.09,54.22,54.09,54.157,1305,0
GQI.US,60,20240718,170000,54.15,54.15,54.15,54.15,300,0
GQI.US,60,20240718,180000,54.03,54.03,53.72,53.72,325,0
GQI.US,60,20240718,210000,53.82,53.82,53.77,53.78,2800,0
GQI.US,60,20240718,220000,53.7127,53.86,53.66,53.77,2554,0
GQI.US,60,20240719,170000,53.76,53.76,53.76,53.76,200,0
GQI.US,60,20240719,190000,53.6,53.6,53.6,53.6,100,0
GQI.US,60,20240719,200000,53.49,53.49,53.49,53.49,100,0
GQI.US,60,20240719,210000,53.48,53.48,53.42,53.42,1302,0
GQI.US,60,20240719,220000,53.52,53.52,53.52,53.52,100,0
GQI.US,60,20240722,170000,53.79,53.79,53.79,53.79,100,0
GQI.US,60,20240722,180000,53.88,53.88,53.88,53.88,200,0
GQI.US,60,20240722,200000,53.97,53.97,53.9262,53.9262,500,0
GQI.US,60,20240722,210000,54.04,54.06,53.99,54.06,3090,0
GQI.US,60,20240722,220000,54.04,54.04,53.96,53.96,528,0
GQI.US,60,20240723,170000,53.99,53.99,53.91,53.91,550,0
GQI.US,60,20240723,180000,54.03,54.03,54.03,54.03,100,0
GQI.US,60,20240723,190000,53.93,53.93,53.85,53.85,700,0
