<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDV.US,60,20240411,160000,108.85,108.85,108.18,108.29,25091,0
HDV.US,60,20240411,170000,108.28,108.285,107.66,107.68,22540,0
HDV.US,60,20240411,180000,107.57,107.85,107.57,107.85,19593,0
HDV.US,60,20240411,190000,107.84,107.94,107.79,107.9198,15557,0
HDV.US,60,20240411,200000,107.95,108.33,107.92,108.31,27002,0
HDV.US,60,20240411,210000,108.32,108.55,108.31,108.48,57613,0
HDV.US,60,20240411,220000,108.51,108.53,108.21,108.25,33017,0
HDV.US,60,20240412,160000,108.18,108.4,107.97,108.2,17906,0
HDV.US,60,20240412,170000,108.18,108.21,107.935,107.98,28941,0
HDV.US,60,20240412,180000,107.93,108.05,107.58,107.718,12997,0
HDV.US,60,20240412,190000,107.671,107.72,107.17,107.17,26570,0
HDV.US,60,20240412,200000,107.185,107.21,106.8907,107.145,30776,0
HDV.US,60,20240412,210000,107.1047,107.3498,106.79,106.79,43295,0
HDV.US,60,20240412,220000,106.72,106.92,106.63,106.9,56561,0
HDV.US,60,20240415,160000,107.77,107.96,107.645,107.75,32963,0
HDV.US,60,20240415,170000,107.73,107.73,107.0904,107.0904,41070,0
HDV.US,60,20240415,180000,107.08,107.3901,107,107.37,32611,0
HDV.US,60,20240415,190000,107.39,107.39,106.95,107.06,18702,0
HDV.US,60,20240415,200000,106.99,107.05,106.465,106.67,166585,0
HDV.US,60,20240415,210000,106.6507,106.66,106.222,106.36,37932,0
HDV.US,60,20240415,220000,106.34,106.6,106.2,106.5,64034,0
HDV.US,60,20240416,160000,106.49,106.55,105.97,106.0792,26560,0
HDV.US,60,20240416,170000,106.03,106.12,105.73,105.96,24586,0
HDV.US,60,20240416,180000,105.945,106.26,105.895,106.16,28120,0
HDV.US,60,20240416,190000,106.055,106.15,105.985,105.9907,14217,0
HDV.US,60,20240416,200000,105.95,106.04,105.65,105.95,60643,0
