<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYMB.US,60,20240411,160000,25.38,25.38,25.155,25.155,30659,0
HYMB.US,60,20240411,170000,25.15,25.17,25.14,25.16,63803,0
HYMB.US,60,20240411,180000,25.16,25.18,25.15,25.175,263854,0
HYMB.US,60,20240411,190000,25.175,25.18,25.16,25.171,210008,0
HYMB.US,60,20240411,200000,25.17,25.18,25.131,25.175,199567,0
HYMB.US,60,20240411,210000,25.18,25.2,25.14,25.145,267799,0
HYMB.US,60,20240411,220000,25.14,25.16,25.1301,25.16,303667,0
HYMB.US,60,20240412,160000,25.29,25.29,25.261,25.28,54597,0
HYMB.US,60,20240412,170000,25.28,25.305,25.28,25.2898,16021,0
HYMB.US,60,20240412,180000,25.29,25.29,25.26,25.2683,36798,0
HYMB.US,60,20240412,190000,25.27,25.29,25.26,25.2899,148951,0
HYMB.US,60,20240412,200000,25.285,25.2999,25.28,25.295,29781,0
HYMB.US,60,20240412,210000,25.2912,25.2999,25.27,25.285,72035,0
HYMB.US,60,20240412,220000,25.28,25.3,25.2712,25.28,55644,0
HYMB.US,60,20240415,160000,25.26,25.27,25.23,25.255,46083,0
HYMB.US,60,20240415,170000,25.255,25.27,25.21,25.245,99527,0
HYMB.US,60,20240415,180000,25.245,25.245,25.21,25.21,63061,0
HYMB.US,60,20240415,190000,25.2187,25.25,25.215,25.235,74104,0
HYMB.US,60,20240415,200000,25.235,25.27,25.235,25.26,122722,0
HYMB.US,60,20240415,210000,25.265,25.265,25.23,25.24,65481,0
HYMB.US,60,20240415,220000,25.24,25.26,25.23,25.25,155494,0
HYMB.US,60,20240416,160000,25.23,25.23,25.15,25.195,63390,0
HYMB.US,60,20240416,170000,25.19,25.21,25.18,25.205,255094,0
HYMB.US,60,20240416,180000,25.205,25.215,25.175,25.21,190968,0
HYMB.US,60,20240416,190000,25.2,25.2199,25.19,25.19,74572,0
HYMB.US,60,20240416,200000,25.195,25.23,25.175,25.23,58708,0
HYMB.US,60,20240416,210000,25.225,25.26,25.2201,25.2201,99194,0
HYMB.US,60,20240416,220000,25.23,25.235,25.1899,25.22,84296,0
HYMB.US,60,20240417,160000,25.28,25.28,25.22,25.22,67678,0
HYMB.US,60,20240417,170000,25.21,25.26,25.1915,25.2568,48224,0
HYMB.US,60,20240417,180000,25.26,25.28,25.255,25.275,163742,0
HYMB.US,60,20240417,190000,25.28,25.29,25.275,25.28,62382,0
HYMB.US,60,20240417,200000,25.285,25.325,25.285,25.315,48346,0
HYMB.US,60,20240417,210000,25.32,25.33,25.31,25.315,37304,0
HYMB.US,60,20240417,220000,25.315,25.319,25.3,25.31,77266,0
HYMB.US,60,20240418,160000,25.3,25.31,25.22,25.28,22072,0
HYMB.US,60,20240418,170000,25.27,25.29,25.27,25.285,44337,0
HYMB.US,60,20240418,180000,25.285,25.29,25.27,25.275,89162,0
HYMB.US,60,20240418,190000,25.27,25.28,25.255,25.2699,91860,0
HYMB.US,60,20240418,200000,25.27,25.27,25.26,25.269,45308,0
HYMB.US,60,20240418,210000,25.27,25.29,25.26,25.28,105986,0
HYMB.US,60,20240418,220000,25.28,25.3,25.26,25.3,167597,0
HYMB.US,60,20240419,160000,25.44,25.44,25.31,25.3301,16725,0
HYMB.US,60,20240419,170000,25.33,25.33,25.3001,25.3201,28424,0
HYMB.US,60,20240419,180000,25.3201,25.34,25.32,25.34,48278,0
HYMB.US,60,20240419,190000,25.335,25.335,25.3011,25.33,54724,0
HYMB.US,60,20240419,200000,25.325,25.33,25.31,25.315,65100,0
HYMB.US,60,20240419,210000,25.315,25.38,25.3111,25.345,864138,0
HYMB.US,60,20240419,220000,25.34,25.35,25.31,25.33,163320,0
HYMB.US,60,20240422,160000,25.34,25.3569,25.3,25.3466,39589,0
HYMB.US,60,20240422,170000,25.35,25.355,25.3221,25.345,135400,0
HYMB.US,60,20240422,180000,25.3465,25.35,25.325,25.345,74843,0
HYMB.US,60,20240422,190000,25.34,25.35,25.33,25.33,113856,0
HYMB.US,60,20240422,200000,25.33,25.35,25.33,25.34,86745,0
HYMB.US,60,20240422,210000,25.3425,25.35,25.32,25.3201,79308,0
HYMB.US,60,20240422,220000,25.3299,25.34,25.31,25.31,187106,0
HYMB.US,60,20240423,160000,25.31,25.38,25.295,25.355,66503,0
HYMB.US,60,20240423,170000,25.36,25.365,25.34,25.345,154887,0
HYMB.US,60,20240423,180000,25.346,25.35,25.33,25.33,79022,0
HYMB.US,60,20240423,190000,25.335,25.35,25.33,25.345,175796,0
HYMB.US,60,20240423,200000,25.345,25.365,25.33,25.335,92693,0
HYMB.US,60,20240423,210000,25.3301,25.3486,25.33,25.335,149697,0
HYMB.US,60,20240423,220000,25.335,25.34,25.22,25.22,2463209,0
HYMB.US,60,20240424,160000,25.27,25.28,25.2301,25.231,82216,0
HYMB.US,60,20240424,170000,25.23,25.24,25.19,25.22,325330,0
HYMB.US,60,20240424,180000,25.22,25.24,25.21,25.211,146453,0
HYMB.US,60,20240424,190000,25.215,25.22,25.2,25.205,113941,0
HYMB.US,60,20240424,200000,25.205,25.22,25.2,25.21,173574,0
HYMB.US,60,20240424,210000,25.205,25.24,25.2001,25.22,224599,0
HYMB.US,60,20240424,220000,25.22,25.23,25.21,25.21,290747,0
HYMB.US,60,20240425,160000,25.18,25.1999,25.13,25.1399,115739,0
HYMB.US,60,20240425,170000,25.14,25.16,25.12,25.16,104196,0
HYMB.US,60,20240425,180000,25.155,25.16,25.14,25.155,150236,0
HYMB.US,60,20240425,190000,25.1582,25.1582,25.13,25.13,43503,0
HYMB.US,60,20240425,200000,25.13,25.145,25.125,25.135,58440,0
HYMB.US,60,20240425,210000,25.1331,25.14,25.13,25.1387,16970,0
HYMB.US,60,20240425,220000,25.14,25.155,25.135,25.14,86672,0
HYMB.US,60,20240426,160000,25.19,25.2,25.18,25.1995,40012,0
HYMB.US,60,20240426,170000,25.195,25.195,25.14,25.14,101138,0
HYMB.US,60,20240426,180000,25.1499,25.15,25.12,25.1383,123402,0
HYMB.US,60,20240426,190000,25.1399,25.14,25.121,25.13,87016,0
HYMB.US,60,20240426,200000,25.14,25.15,25.1231,25.1391,55524,0
HYMB.US,60,20240426,210000,25.1399,25.1486,25.13,25.14,36839,0
HYMB.US,60,20240426,220000,25.145,25.15,25.13,25.13,116691,0
HYMB.US,60,20240429,160000,25.19,25.19,25.165,25.165,50742,0
HYMB.US,60,20240429,170000,25.165,25.21,25.165,25.2086,103928,0
HYMB.US,60,20240429,180000,25.205,25.21,25.18,25.185,120310,0
HYMB.US,60,20240429,190000,25.185,25.2,25.18,25.195,48176,0
HYMB.US,60,20240429,200000,25.195,25.21,25.185,25.195,97217,0
HYMB.US,60,20240429,210000,25.2,25.205,25.19,25.195,42898,0
HYMB.US,60,20240429,220000,25.195,25.2,25.18,25.19,91743,0
HYMB.US,60,20240430,160000,25.18,25.18,25.13,25.16,77957,0
HYMB.US,60,20240430,170000,25.16,25.18,25.15,25.17,66804,0
HYMB.US,60,20240430,180000,25.17,25.18,25.16,25.18,103300,0
HYMB.US,60,20240430,190000,25.18,25.18,25.17,25.18,52324,0
HYMB.US,60,20240430,200000,25.18,25.18,25.17,25.1799,33050,0
HYMB.US,60,20240430,210000,25.18,25.18,25.16,25.1699,57936,0
HYMB.US,60,20240430,220000,25.17,25.18,25.16,25.17,114457,0
HYMB.US,60,20240501,160000,25.19,25.19,25.11,25.12,33410,0
