<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IGPT.US,60,20240411,160000,44.33,44.56,44.2,44.38,3064,0
IGPT.US,60,20240411,170000,44.39,44.4,44.19,44.36,9652,0
IGPT.US,60,20240411,180000,44.29,44.4287,44.29,44.42,5326,0
IGPT.US,60,20240411,190000,44.435,44.5385,44.34,44.5385,2279,0
IGPT.US,60,20240411,200000,44.54,44.7,44.36,44.677,9147,0
IGPT.US,60,20240411,210000,44.645,44.8799,44.645,44.69,5412,0
IGPT.US,60,20240411,220000,44.8,44.92,44.72,44.92,8915,0
IGPT.US,60,20240412,160000,44.32,44.32,44.11,44.1452,8091,0
IGPT.US,60,20240412,170000,44.01,44.15,43.9,43.9,8763,0
IGPT.US,60,20240412,180000,43.944,44.13,43.91,43.95,1766,0
IGPT.US,60,20240412,190000,43.9,43.93,43.72,43.7865,3177,0
IGPT.US,60,20240412,200000,43.755,43.755,43.59,43.59,1595,0
IGPT.US,60,20240412,210000,43.7874,43.7874,43.74,43.74,1479,0
IGPT.US,60,20240412,220000,43.65,43.87,43.59,43.87,8346,0
IGPT.US,60,20240415,160000,44.17,44.23,43.9308,44.135,7390,0
IGPT.US,60,20240415,170000,44.14,44.14,43.85,43.85,2139,0
IGPT.US,60,20240415,180000,43.77,43.9187,43.77,43.913,3696,0
IGPT.US,60,20240415,190000,43.84,43.9399,43.55,43.7099,2106,0
IGPT.US,60,20240415,200000,43.65,43.65,43.02,43.09,7044,0
IGPT.US,60,20240415,210000,43.11,43.16,43.0365,43.0365,1964,0
IGPT.US,60,20240415,220000,43.08,43.0888,42.9,43.08,12816,0
IGPT.US,60,20240416,160000,42.98,42.98,42.69,42.86,11841,0
IGPT.US,60,20240416,170000,42.9325,43.0901,42.9325,43.01,3041,0
IGPT.US,60,20240416,180000,43.03,43.28,43.03,43.14,8750,0
IGPT.US,60,20240416,190000,43.1,43.28,43.1,43.17,10550,0
IGPT.US,60,20240416,200000,43.24,43.3,42.95,43.15,1606,0
IGPT.US,60,20240416,210000,43.11,43.335,43.07,43.22,52271,0
IGPT.US,60,20240416,220000,43.29,43.3699,43.16,43.18,2972,0
IGPT.US,60,20240417,160000,43.4,43.4,43.254,43.254,7936,0
IGPT.US,60,20240417,170000,43.06,43.06,42.96,42.96,4759,0
IGPT.US,60,20240417,180000,42.98,42.995,42.7464,42.8039,5661,0
IGPT.US,60,20240417,190000,42.71,42.71,42.3501,42.3501,5394,0
IGPT.US,60,20240417,200000,42.44,42.75,42.44,42.64,3722,0
IGPT.US,60,20240417,210000,42.71,42.775,42.5501,42.68,8113,0
IGPT.US,60,20240417,220000,42.594,42.594,42.38,42.43,7320,0
IGPT.US,60,20240418,160000,42.64,42.64,42.16,42.32,6671,0
IGPT.US,60,20240418,170000,42.395,42.7408,42.31,42.7408,2197,0
IGPT.US,60,20240418,180000,42.8499,42.9,42.65,42.67,4343,0
IGPT.US,60,20240418,190000,42.7391,42.7391,42.49,42.5499,1333,0
IGPT.US,60,20240418,200000,42.4201,42.485,42.28,42.4286,1722,0
IGPT.US,60,20240418,210000,42.3906,42.4,42.21,42.2386,5728,0
IGPT.US,60,20240418,220000,42.3695,42.42,42.26,42.3004,4752,0
IGPT.US,60,20240419,160000,42.03,42.13,41.79,41.8301,3442,0
IGPT.US,60,20240419,170000,41.976,41.976,41.55,41.82,3727,0
IGPT.US,60,20240419,180000,41.7682,41.78,41.5,41.5587,3651,0
IGPT.US,60,20240419,190000,41.38,41.46,41.09,41.3249,13855,0
IGPT.US,60,20240419,200000,41.34,41.46,41.25,41.41,1754,0
IGPT.US,60,20240419,210000,41.16,41.2399,40.8001,40.88,8459,0
IGPT.US,60,20240419,220000,40.9027,41.05,40.76,40.87,10008,0
IGPT.US,60,20240422,160000,41.23,41.4693,41.16,41.4693,2500,0
IGPT.US,60,20240422,170000,41.27,41.385,40.9,40.97,8383,0
IGPT.US,60,20240422,180000,41.1115,41.1588,40.95,41.1588,6492,0
IGPT.US,60,20240422,190000,41.19,41.3164,41.11,41.23,3324,0
IGPT.US,60,20240422,200000,41.22,41.6595,41.22,41.54,2200,0
IGPT.US,60,20240422,210000,41.51,41.8177,41.51,41.6186,4632,0
IGPT.US,60,20240422,220000,41.56,41.6584,41.38,41.38,6337,0
IGPT.US,60,20240423,160000,41.75,42.0056,41.75,42.0056,1870,0
IGPT.US,60,20240423,170000,42.05,42.2899,42.03,42.1515,5296,0
IGPT.US,60,20240423,180000,42.1,42.2299,42.08,42.16,7533,0
IGPT.US,60,20240423,190000,42.11,42.2883,42.11,42.14,5784,0
IGPT.US,60,20240423,200000,42.22,42.36,42.1985,42.315,6038,0
IGPT.US,60,20240423,210000,42.375,42.375,42.356,42.356,3183,0
IGPT.US,60,20240423,220000,42.285,42.358,42.15,42.23,5440,0
IGPT.US,60,20240424,160000,42.62,42.82,42.62,42.66,3033,0
IGPT.US,60,20240424,170000,42.53,42.53,42.395,42.395,738,0
IGPT.US,60,20240424,180000,42.3,42.34,42.0761,42.0761,1799,0
IGPT.US,60,20240424,190000,42.0533,42.15,42.0533,42.0622,632,0
IGPT.US,60,20240424,200000,42.203,42.37,42.2,42.37,735,0
IGPT.US,60,20240424,210000,42.2648,42.37,42.0301,42.1038,5681,0
IGPT.US,60,20240424,220000,42.12,42.35,42.12,42.3,5564,0
IGPT.US,60,20240425,160000,41.08,41.3325,40.85,41.2,9093,0
IGPT.US,60,20240425,170000,41.69,41.69,41.38,41.38,3099,0
IGPT.US,60,20240425,180000,41.5891,41.5891,41.36,41.47,3085,0
IGPT.US,60,20240425,190000,41.7099,41.795,41.7,41.795,2452,0
IGPT.US,60,20240425,200000,41.81,42.0077,41.76,41.9853,1468,0
IGPT.US,60,20240425,210000,41.96,41.96,41.93,41.93,572,0
IGPT.US,60,20240425,220000,41.9614,42.1,41.79,41.92,4561,0
IGPT.US,60,20240426,160000,42.49,42.71,42.27,42.71,13308,0
IGPT.US,60,20240426,170000,42.8,42.97,42.7,42.97,7113,0
IGPT.US,60,20240426,180000,42.99,43,42.82,42.8699,4278,0
IGPT.US,60,20240426,190000,42.87,42.9985,42.8394,42.9985,8410,0
IGPT.US,60,20240426,200000,42.97,43.0373,42.93,43.0373,2427,0
IGPT.US,60,20240426,210000,42.96,42.9699,42.8,42.905,4328,0
IGPT.US,60,20240426,220000,42.93,43.01,42.93,42.97,1494,0
IGPT.US,60,20240429,160000,43.01,43.01,42.5,42.56,2650,0
IGPT.US,60,20240429,170000,42.74,42.8479,42.695,42.8,5235,0
IGPT.US,60,20240429,180000,42.7736,42.8401,42.64,42.72,4390,0
IGPT.US,60,20240429,190000,42.8,42.845,42.7818,42.7818,980,0
IGPT.US,60,20240429,200000,42.82,42.85,42.77,42.85,4710,0
IGPT.US,60,20240429,210000,42.7288,42.7982,42.7288,42.745,1853,0
IGPT.US,60,20240429,220000,42.61,42.78,42.5069,42.78,9407,0
IGPT.US,60,20240430,160000,42.55,42.779,42.41,42.63,8097,0
IGPT.US,60,20240430,170000,42.69,42.71,42.59,42.64,9412,0
IGPT.US,60,20240430,180000,42.6001,42.6001,42.2901,42.43,20628,0
IGPT.US,60,20240430,190000,42.41,42.5,42.205,42.205,2963,0
IGPT.US,60,20240430,200000,42.19,42.35,42.19,42.35,219904,0
IGPT.US,60,20240430,210000,42.31,42.322,42.19,42.2353,3358,0
IGPT.US,60,20240430,220000,42.22,42.3,41.97,42.02,22476,0
IGPT.US,60,20240501,160000,41.61,41.77,41.43,41.645,3542,0
IGPT.US,60,20240501,170000,41.43,41.6454,41.43,41.6454,10311,0
IGPT.US,60,20240501,180000,41.45,41.56,41.3501,41.42,2988,0
IGPT.US,60,20240501,190000,41.3631,41.53,41.35,41.435,4606,0
IGPT.US,60,20240501,200000,41.445,41.68,41.4123,41.68,1507,0
IGPT.US,60,20240501,210000,41.585,42.2018,41.56,42.2,5736,0
IGPT.US,60,20240501,220000,42.45,42.45,41.41,41.57,5051,0
IGPT.US,60,20240502,160000,42.08,42.18,41.71,41.75,2279,0
