<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IJUL.US,60,20240411,160000,27.79,27.79,27.79,27.79,100,0
IJUL.US,60,20240411,170000,27.59,27.625,27.5882,27.62,6300,0
IJUL.US,60,20240411,180000,27.63,27.6582,27.63,27.65,600,0
IJUL.US,60,20240411,210000,27.85,27.85,27.83,27.83,1543,0
IJUL.US,60,20240411,220000,27.84,27.92,27.83,27.83,2735,0
IJUL.US,60,20240412,160000,27.68,27.68,27.68,27.68,100,0
IJUL.US,60,20240412,170000,27.625,27.625,27.625,27.625,255,0
IJUL.US,60,20240412,180000,27.57,27.57,27.57,27.57,100,0
IJUL.US,60,20240412,190000,27.53,27.57,27.53,27.57,734,0
IJUL.US,60,20240412,210000,27.539,27.6,27.53,27.5591,2318,0
IJUL.US,60,20240415,160000,27.72,27.75,27.72,27.75,230,0
IJUL.US,60,20240415,170000,27.6206,27.6206,27.6206,27.6206,237,0
IJUL.US,60,20240415,180000,27.63,27.63,27.56,27.61,300,0
IJUL.US,60,20240415,190000,27.62,27.62,27.62,27.62,100,0
IJUL.US,60,20240415,200000,27.55,27.55,27.55,27.55,100,0
IJUL.US,60,20240415,210000,27.42,27.42,27.42,27.42,100,0
IJUL.US,60,20240415,220000,27.474,27.474,27.4407,27.47,3533,0
IJUL.US,60,20240416,160000,27.18,27.18,27.18,27.18,100,0
IJUL.US,60,20240416,170000,27.215,27.215,27.19,27.19,936,0
IJUL.US,60,20240416,200000,27.24,27.24,27.22,27.22,643,0
IJUL.US,60,20240416,210000,27.2213,27.26,27.2213,27.23,3176,0
IJUL.US,60,20240416,220000,27.21,27.28,27.21,27.28,533,0
IJUL.US,60,20240417,160000,27.3196,27.3196,27.29,27.29,1109,0
IJUL.US,60,20240417,180000,27.18,27.18,27.18,27.18,100,0
IJUL.US,60,20240417,200000,27.2204,27.25,27.19,27.25,1300,0
IJUL.US,60,20240417,210000,27.24,27.28,27.24,27.28,1300,0
IJUL.US,60,20240417,220000,27.27,27.28,27.27,27.28,806,0
IJUL.US,60,20240418,180000,27.2493,27.34,27.2493,27.295,1167,0
IJUL.US,60,20240418,190000,27.28,27.28,27.19,27.19,1615,0
IJUL.US,60,20240418,200000,27.17,27.185,27.17,27.185,333,0
IJUL.US,60,20240418,210000,27.12,27.12,27.11,27.12,750,0
IJUL.US,60,20240418,220000,27.13,27.21,27.13,27.14,1564,0
IJUL.US,60,20240419,170000,27.21,27.215,27.17,27.2,26326,0
IJUL.US,60,20240419,180000,27.225,27.25,27.2232,27.25,1533,0
IJUL.US,60,20240419,190000,27.22,27.23,27.13,27.22,1940,0
IJUL.US,60,20240419,200000,27.17,27.1912,27.16,27.1912,465,0
IJUL.US,60,20240419,210000,27.14,27.19,27.14,27.17,544,0
IJUL.US,60,20240419,220000,27.2,27.2,27.1315,27.14,2015,0
IJUL.US,60,20240422,160000,27.27,27.28,27.27,27.28,2454,0
IJUL.US,60,20240422,170000,27.32,27.335,27.32,27.335,384,0
IJUL.US,60,20240422,180000,27.29,27.29,27.29,27.29,100,0
IJUL.US,60,20240422,200000,27.408,27.45,27.4,27.4,1310,0
IJUL.US,60,20240422,210000,27.44,27.5,27.43,27.43,683,0
IJUL.US,60,20240422,220000,27.39,27.39,27.36,27.38,577,0
IJUL.US,60,20240423,160000,27.44,27.52,27.44,27.52,296,0
IJUL.US,60,20240423,170000,27.54,27.625,27.54,27.57,1534,0
IJUL.US,60,20240423,180000,27.62,27.62,27.57,27.57,200,0
IJUL.US,60,20240423,190000,27.6,27.67,27.6,27.62,2105,0
IJUL.US,60,20240423,210000,27.63,27.7,27.62,27.62,3986,0
IJUL.US,60,20240423,220000,27.62,27.67,27.61,27.61,1212,0
IJUL.US,60,20240424,180000,27.51,27.5354,27.4809,27.4809,741,0
IJUL.US,60,20240424,190000,27.49,27.49,27.49,27.49,500,0
IJUL.US,60,20240424,200000,27.57,27.57,27.53,27.56,460,0
IJUL.US,60,20240424,210000,27.54,27.5609,27.52,27.54,1627,0
IJUL.US,60,20240424,220000,27.54,27.5819,27.54,27.57,3492,0
IJUL.US,60,20240425,160000,27.39,27.39,27.26,27.26,3100,0
IJUL.US,60,20240425,170000,27.33,27.33,27.33,27.33,100,0
IJUL.US,60,20240425,180000,27.34,27.34,27.34,27.34,100,0
IJUL.US,60,20240425,190000,27.37,27.37,27.37,27.37,100,0
IJUL.US,60,20240425,200000,27.4774,27.4774,27.4774,27.4774,601,0
IJUL.US,60,20240425,220000,27.49,27.49,27.45,27.45,3616,0
IJUL.US,60,20240426,180000,27.56,27.58,27.56,27.58,200,0
IJUL.US,60,20240426,190000,27.6,27.62,27.6,27.62,200,0
IJUL.US,60,20240426,200000,27.63,27.63,27.63,27.63,100,0
IJUL.US,60,20240426,210000,27.64,27.68,27.64,27.6799,308,0
IJUL.US,60,20240426,220000,27.66,27.66,27.6117,27.63,2563,0
IJUL.US,60,20240429,160000,27.7,27.71,27.67,27.67,2186,0
IJUL.US,60,20240429,170000,27.69,27.7219,27.69,27.7219,918,0
IJUL.US,60,20240429,180000,27.71,27.71,27.71,27.71,100,0
IJUL.US,60,20240429,190000,27.74,27.74,27.73,27.73,200,0
IJUL.US,60,20240429,220000,27.71,27.73,27.69,27.73,698,0
IJUL.US,60,20240430,160000,27.675,27.675,27.675,27.675,100,0
IJUL.US,60,20240430,190000,27.52,27.54,27.52,27.54,200,0
IJUL.US,60,20240430,200000,27.52,27.52,27.49,27.49,9459,0
IJUL.US,60,20240430,210000,27.51,27.542,27.48,27.49,1962,0
IJUL.US,60,20240430,220000,27.47,27.51,27.4,27.4,7896,0
IJUL.US,60,20240501,160000,27.36,27.36,27.36,27.36,100,0
IJUL.US,60,20240501,170000,27.39,27.39,27.39,27.39,2000,0
IJUL.US,60,20240501,180000,27.34,27.34,27.34,27.34,100,0
IJUL.US,60,20240501,200000,27.37,27.37,27.31,27.33,70492,0
IJUL.US,60,20240501,210000,27.6028,27.6499,27.55,27.59,852,0
