<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IVE.US,60,20240411,160000,182.16,182.16,181.21,181.34,20365,0
IVE.US,60,20240411,170000,181.2097,181.2097,180.24,180.402,35368,0
IVE.US,60,20240411,180000,180.35,181.0099,180.32,180.96,41767,0
IVE.US,60,20240411,190000,181,181.08,180.81,180.96,17157,0
IVE.US,60,20240411,200000,180.99,181.74,180.91,181.68,36460,0
IVE.US,60,20240411,210000,181.72,182.126,181.7,181.79,38154,0
IVE.US,60,20240411,220000,181.83,181.9138,181.2,181.2,111673,0
IVE.US,60,20240412,160000,180.38,180.6,179.96,180.225,41117,0
IVE.US,60,20240412,170000,180.18,180.18,179.52,179.64,61676,0
IVE.US,60,20240412,180000,179.62,179.8586,179.46,179.6201,60168,0
IVE.US,60,20240412,190000,179.5713,179.6,178.74,178.765,48392,0
IVE.US,60,20240412,200000,178.705,178.83,178.25,178.6651,37910,0
IVE.US,60,20240412,210000,178.6239,178.98,178.34,178.34,50347,0
IVE.US,60,20240412,220000,178.32,178.59,178.08,178.52,113765,0
IVE.US,60,20240415,160000,180.28,180.68,180.11,180.22,21492,0
IVE.US,60,20240415,170000,180.33,180.35,179.055,179.16,31363,0
IVE.US,60,20240415,180000,179.03,179.56,178.89,179.4988,35077,0
IVE.US,60,20240415,190000,179.495,179.57,178.797,178.885,24837,0
IVE.US,60,20240415,200000,178.86,178.95,177.68,178.0599,41428,0
IVE.US,60,20240415,210000,178.041,178.0683,177.3676,177.54,51222,0
IVE.US,60,20240415,220000,177.525,177.81,177.14,177.58,142237,0
IVE.US,60,20240416,160000,177.92,177.92,176.79,177.1,22958,0
IVE.US,60,20240416,170000,176.9,177.16,176.48,176.715,40167,0
IVE.US,60,20240416,180000,176.69,177.485,176.67,177.29,41809,0
IVE.US,60,20240416,190000,177.1874,177.385,177.0132,177.2099,30285,0
IVE.US,60,20240416,200000,177.135,177.29,176.47,176.93,76996,0
IVE.US,60,20240416,210000,176.9092,177.67,176.44,177.48,69890,0
IVE.US,60,20240416,220000,177.479,177.5151,176.69,176.7,81335,0
IVE.US,60,20240417,160000,177.4,177.68,177.19,177.515,32971,0
IVE.US,60,20240417,170000,177.4586,177.4586,176.6,176.73,60982,0
IVE.US,60,20240417,180000,176.78,177,176.2,176.48,99396,0
IVE.US,60,20240417,190000,176.49,176.49,176.09,176.325,83146,0
IVE.US,60,20240417,200000,176.26,177.04,176.26,176.96,45155,0
IVE.US,60,20240417,210000,176.91,177.54,176.73,176.82,107610,0
IVE.US,60,20240417,220000,176.75,176.93,176.46,176.66,124725,0
IVE.US,60,20240418,160000,177.19,177.4,176.77,177.4,23366,0
IVE.US,60,20240418,170000,177.295,177.99,177.13,177.8791,53709,0
IVE.US,60,20240418,180000,177.88,177.959,177.45,177.5117,20877,0
IVE.US,60,20240418,190000,177.6,177.7,176.95,177,31124,0
IVE.US,60,20240418,200000,177.025,177.12,176.54,176.83,31194,0
IVE.US,60,20240418,210000,176.74,177.04,176.5262,176.73,73226,0
IVE.US,60,20240418,220000,176.79,177.34,176.76,176.91,94117,0
IVE.US,60,20240419,160000,177.36,178.06,177.36,178.06,18842,0
IVE.US,60,20240419,170000,178.07,178.44,177.97,178.0999,174727,0
IVE.US,60,20240419,180000,178.07,178.34,177.98,178.05,45695,0
IVE.US,60,20240419,190000,178.15,178.3,177.72,178.28,53566,0
IVE.US,60,20240419,200000,178.3,178.63,178.18,178.44,28194,0
IVE.US,60,20240419,210000,178.39,178.39,177.88,178.19,74789,0
IVE.US,60,20240419,220000,178.15,178.455,177.96,178.39,154474,0
IVE.US,60,20240422,160000,179.05,179.14,178.245,178.73,23841,0
IVE.US,60,20240422,170000,178.77,179.215,178.77,179.065,25420,0
IVE.US,60,20240422,180000,179.02,179.0896,178.78,179.07,70089,0
IVE.US,60,20240422,190000,179.0796,179.58,179.05,179.58,62027,0
IVE.US,60,20240422,200000,179.57,180.61,179.52,180.47,38676,0
IVE.US,60,20240422,210000,180.48,180.65,180.1351,180.28,56059,0
IVE.US,60,20240422,220000,180.2601,180.2693,179.52,179.71,63880,0
IVE.US,60,20240423,160000,180.35,180.78,180.04,180.71,28107,0
IVE.US,60,20240423,170000,180.715,181.12,180.57,181.1,33343,0
IVE.US,60,20240423,180000,181.08,181.0946,180.78,180.8534,55055,0
IVE.US,60,20240423,190000,180.87,181.27,180.8,181.1734,122639,0
IVE.US,60,20240423,200000,181.16,181.35,181,181.2701,97994,0
IVE.US,60,20240423,210000,181.28,181.28,180.92,181.02,136642,0
IVE.US,60,20240423,220000,181.03,181.07,180.81,180.98,132685,0
IVE.US,60,20240424,160000,180.53,180.66,180.02,180.55,40426,0
IVE.US,60,20240424,170000,180.49,180.695,180.2,180.22,29739,0
IVE.US,60,20240424,180000,180.27,180.39,180.05,180.28,43019,0
IVE.US,60,20240424,190000,180.28,180.44,180.19,180.41,62050,0
IVE.US,60,20240424,200000,180.4,181.1291,180.36,181.1291,41737,0
IVE.US,60,20240424,210000,181.06,181.07,180.71,180.8,79055,0
IVE.US,60,20240424,220000,180.77,181.25,180.68,181.04,118986,0
IVE.US,60,20240425,160000,180.32,180.84,179.36,179.51,30699,0
IVE.US,60,20240425,170000,179.2501,179.4276,179.05,179.3,63476,0
IVE.US,60,20240425,180000,179.26,179.875,179.22,179.86,36123,0
IVE.US,60,20240425,190000,179.79,180.23,179.76,180.17,27580,0
IVE.US,60,20240425,200000,180.1557,180.705,179.91,180.66,36984,0
IVE.US,60,20240425,210000,180.64,180.64,180.08,180.24,51088,0
IVE.US,60,20240425,220000,180.255,180.79,180.255,180.45,72622,0
IVE.US,60,20240426,160000,179.77,180.4,179.52,180.17,51591,0
