<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KALL.US,60,20240412,170000,17.91,17.91,17.869,17.869,700,0
KALL.US,60,20240416,200000,17.83,17.83,17.83,17.83,200,0
KALL.US,60,20240418,160000,18.09,18.21,18.09,18.14,7011,0
KALL.US,60,20240418,170000,18.1,18.1,18.09,18.09,300,0
KALL.US,60,20240418,180000,18.16,18.16,18.15,18.15,475,0
KALL.US,60,20240418,220000,18.17,18.17,18.17,18.17,114,0
KALL.US,60,20240419,210000,18.05,18.05,18.05,18.05,133,0
KALL.US,60,20240422,220000,18.26,18.26,18.26,18.26,100,0
KALL.US,60,20240423,160000,18.34,18.349,18.31,18.349,800,0
KALL.US,60,20240423,180000,18.3101,18.3101,18.3101,18.3101,100,0
KALL.US,60,20240425,160000,18.53,18.53,18.53,18.53,800,0
KALL.US,60,20240425,200000,18.65,18.65,18.65,18.65,102,0
KALL.US,60,20240426,190000,18.945,18.98,18.86,18.91,10000,0
KALL.US,60,20240501,210000,19.17,19.17,19.0074,19.0074,783,0
KALL.US,60,20240508,170000,19.49,19.49,19.49,19.49,226,0
KALL.US,60,20240508,220000,19.5008,19.5008,19.5008,19.5008,200,0
KALL.US,60,20240509,160000,19.79,19.79,19.79,19.79,254,0
KALL.US,60,20240509,180000,19.85,19.85,19.85,19.85,194,0
KALL.US,60,20240509,220000,19.84,19.84,19.84,19.84,112,0
KALL.US,60,20240514,160000,20.005,20.19,19.87,20.02,5913,0
KALL.US,60,20240514,180000,20.04,20.05,20.04,20.05,800,0
KALL.US,60,20240515,190000,20.09,20.09,20.05,20.05,200,0
KALL.US,60,20240515,200000,20.05,20.07,20.05,20.07,336,0
KALL.US,60,20240515,210000,20.16,20.16,20.16,20.16,500,0
KALL.US,60,20240517,160000,20.42,20.5,20.42,20.49,1301,0
KALL.US,60,20240517,170000,20.6,20.69,20.6,20.69,300,0
KALL.US,60,20240517,190000,20.63,20.64,20.63,20.64,500,0
KALL.US,60,20240517,210000,20.6399,20.6399,20.6399,20.6399,500,0
KALL.US,60,20240517,220000,20.6399,20.6399,20.6399,20.6399,250,0
KALL.US,60,20240520,210000,20.4399,20.4399,20.4399,20.4399,300,0
KALL.US,60,20240521,160000,20.25,20.26,20.25,20.26,1000,0
KALL.US,60,20240521,200000,20.121,20.1799,20.11,20.1799,2340,0
KALL.US,60,20240522,160000,20.19,20.2,20.18,20.19,800,0
KALL.US,60,20240523,170000,19.8201,19.87,19.8201,19.87,972,0
KALL.US,60,20240524,160000,19.73,19.74,19.73,19.74,800,0
KALL.US,60,20240524,190000,19.67,19.7,19.67,19.7,500,0
KALL.US,60,20240528,160000,19.72,19.73,19.715,19.715,1600,0
KALL.US,60,20240528,210000,19.7,19.7,19.7,19.7,900,0
KALL.US,60,20240528,220000,19.76,19.76,19.7499,19.7499,540,0
KALL.US,60,20240529,160000,19.59,19.59,19.59,19.59,200,0
KALL.US,60,20240530,200000,19.65,19.6703,19.65,19.6703,932,0
KALL.US,60,20240604,160000,19.56,19.56,19.56,19.56,235,0
KALL.US,60,20240605,200000,19.57,19.57,19.57,19.57,1200,0
KALL.US,60,20240606,170000,19.58,19.59,19.58,19.59,5300,0
KALL.US,60,20240610,160000,19.27,19.311,19.27,19.311,879,0
KALL.US,60,20240611,170000,19.4,19.4,19.25,19.25,3654,0
KALL.US,60,20240612,160000,19.27,19.28,19.27,19.28,3000,0
KALL.US,60,20240612,170000,19.33,19.33,19.33,19.33,400,0
KALL.US,60,20240612,190000,19.36,19.36,19.36,19.36,698,0
KALL.US,60,20240612,210000,19.36,19.36,19.36,19.36,300,0
KALL.US,60,20240612,220000,19.31,19.32,19.31,19.32,3652,0
KALL.US,60,20240613,160000,19.34,19.34,19.261,19.261,1800,0
KALL.US,60,20240613,170000,19.2482,19.2482,19.2482,19.2482,200,0
KALL.US,60,20240614,160000,19.1,19.1,19.1,19.1,180,0
KALL.US,60,20240614,180000,19.13,19.1597,19.13,19.1597,466,0
KALL.US,60,20240614,220000,19.125,19.125,19.1,19.1,604,0
KALL.US,60,20240626,160000,18.96,18.96,18.96,18.96,100,0
KALL.US,60,20240626,170000,18.97,18.97,18.94,18.94,997,0
KALL.US,60,20240627,200000,18.69,18.69,18.69,18.69,239,0
KALL.US,60,20240627,220000,18.68,18.68,18.68,18.68,100,0
KALL.US,60,20240702,170000,18.91,18.91,18.91,18.91,100,0
KALL.US,60,20240703,190000,19.1613,19.1613,19.1613,19.1613,132,0
KALL.US,60,20240708,160000,18.7,18.7,18.7,18.7,200,0
KALL.US,60,20240711,220000,18.68,19.19,18.68,19.19,1265,0
KALL.US,60,20240715,170000,19.06,19.0601,19.06,19.0601,200,0
KALL.US,60,20240715,210000,19.0844,19.0844,19.0844,19.0844,120,0
KALL.US,60,20240715,220000,19.02,19.02,19.02,19.02,135,0
KALL.US,60,20240716,210000,19.03,19.03,19.03,19.03,400,0
KALL.US,60,20240716,220000,19.0899,19.0899,19.0899,19.0899,100,0
KALL.US,60,20240717,170000,19.07,19.07,19.07,19.07,200,0
KALL.US,60,20240723,200000,18.7,18.7,18.7,18.7,100,0
KALL.US,60,20240724,160000,18.71,18.71,18.71,18.71,100,0
KALL.US,60,20240724,170000,18.66,18.71,18.66,18.71,400,0
KALL.US,60,20240724,180000,18.69,18.69,18.68,18.68,300,0
KALL.US,60,20240724,200000,18.63,18.63,18.63,18.63,100,0
KALL.US,60,20240724,210000,18.57,18.57,18.57,18.57,100,0
KALL.US,60,20240730,180000,18.24,18.24,18.24,18.24,100,0
KALL.US,60,20240730,210000,18.21,18.21,18.21,18.21,200,0
KALL.US,60,20240731,170000,18.63,18.63,18.63,18.63,100,0
KALL.US,60,20240802,160000,18.26,18.275,18.26,18.275,200,0
KALL.US,60,20240805,170000,18.18,18.18,18.18,18.18,600,0
KALL.US,60,20240805,210000,18.22,18.22,18.22,18.22,100,0
KALL.US,60,20240806,180000,18.2,18.2,18.17,18.17,400,0
KALL.US,60,20240807,160000,18.36,18.36,18.31,18.31,300,0
KALL.US,60,20240807,170000,18.29,18.29,18.29,18.29,100,0
KALL.US,60,20240807,180000,18.29,18.29,18.27,18.27,200,0
KALL.US,60,20240809,160000,18.39,18.43,18.37,18.43,500,0
KALL.US,60,20240809,170000,18.39,18.4,18.382,18.4,416,0
KALL.US,60,20240809,180000,18.38,18.39,18.38,18.39,600,0
KALL.US,60,20240809,190000,18.37,18.37,18.37,18.37,200,0
KALL.US,60,20240814,160000,18.5,18.5,18.5,18.5,273,0
KALL.US,60,20240814,200000,18.305,18.305,18.305,18.305,107,0
KALL.US,60,20240815,160000,18.63,18.63,18.62,18.62,800,0
KALL.US,60,20240816,170000,18.75,18.75,18.75,18.75,100,0
KALL.US,60,20240821,180000,18.68,18.68,18.68,18.68,100,0
KALL.US,60,20240822,210000,18.52,18.52,18.51,18.52,300,0
KALL.US,60,20240823,170000,18.71,18.71,18.71,18.71,100,0
KALL.US,60,20240823,220000,18.75,18.75,18.73,18.73,200,0
KALL.US,60,20240826,200000,18.48,18.4919,18.48,18.4919,200,0
KALL.US,60,20240827,160000,18.57,18.57,18.57,18.57,100,0
KALL.US,60,20240828,200000,18.28,18.28,18.2633,18.2633,300,0
KALL.US,60,20240830,210000,18.57,18.57,18.56,18.56,200,0
KALL.US,60,20240903,160000,18.29,18.29,18.29,18.29,100,0
KALL.US,60,20240903,170000,18.2616,18.2616,18.2616,18.2616,200,0
KALL.US,60,20240906,220000,18.091,18.091,18.091,18.091,200,0
KALL.US,60,20240911,190000,17.93,17.955,17.92,17.9455,3766,0
KALL.US,60,20240911,210000,17.965,17.965,17.965,17.965,100,0
KALL.US,60,20240912,160000,17.86,17.86,17.86,17.86,100,0
KALL.US,60,20240913,180000,17.95,17.95,17.95,17.95,200,0
KALL.US,60,20240913,200000,17.9136,17.93,17.86,17.9294,520,0
KALL.US,60,20240913,210000,17.87,17.9,17.87,17.88,1400,0
KALL.US,60,20240913,220000,17.87,17.87,17.87,17.87,1300,0
KALL.US,60,20240916,160000,18.03,18.03,18.03,18.03,100,0
KALL.US,60,20240916,180000,18,18,17.95,17.98,544,0
KALL.US,60,20240916,210000,18,18,18,18,100,0
KALL.US,60,20240917,160000,18.13,18.21,18.13,18.21,200,0
KALL.US,60,20240917,170000,18.2039,18.2039,18.2039,18.2039,100,0
KALL.US,60,20240917,180000,18.16,18.16,18.16,18.16,100,0
KALL.US,60,20240918,160000,18.19,18.19,18.19,18.19,100,0
KALL.US,60,20240918,210000,18.21,18.21,18.21,18.21,100,0
KALL.US,60,20240919,160000,18.47,18.5,18.46,18.5,2133,0
KALL.US,60,20240919,170000,18.6,18.6,18.6,18.6,900,0
KALL.US,60,20240919,190000,18.64,18.64,18.64,18.64,100,0
KALL.US,60,20240919,200000,18.69,18.69,18.69,18.69,400,0
KALL.US,60,20240923,160000,18.75,18.88,18.75,18.88,238,0
KALL.US,60,20240923,210000,19,19,19,19,100,0
KALL.US,60,20240923,220000,18.9201,18.9201,18.9201,18.9201,250,0
KALL.US,60,20240924,160000,20.18,20.18,20.13,20.13,202,0
KALL.US,60,20240924,200000,20.43,20.4717,20.43,20.4717,865,0
KALL.US,60,20240924,210000,20.4871,20.4871,20.4871,20.4871,146,0
KALL.US,60,20240924,220000,20.53,20.5301,20.53,20.5301,386,0
KALL.US,60,20240925,160000,20.15,20.23,20.15,20.23,202,0
KALL.US,60,20240925,170000,20.27,20.27,20.27,20.27,1000,0
KALL.US,60,20240925,180000,20.235,20.235,20.235,20.235,148,0
KALL.US,60,20240925,210000,20.13,20.13,20.13,20.13,196,0
KALL.US,60,20240926,160000,21.83,21.98,21.67,21.765,4893,0
KALL.US,60,20240926,170000,21.8787,21.8787,21.6799,21.6799,1928,0
KALL.US,60,20240926,180000,21.725,21.9,21.725,21.9,738,0
KALL.US,60,20240926,190000,21.93,21.93,21.93,21.93,455,0
KALL.US,60,20240926,200000,21.85,21.94,21.85,21.94,1751,0
KALL.US,60,20240926,210000,21.99,22.039,21.9799,22.039,3446,0
KALL.US,60,20240926,220000,22.04,22.04,21.9401,22.02,2600,0
KALL.US,60,20240927,160000,22.34,22.41,22.3193,22.41,6660,0
KALL.US,60,20240927,170000,22.59,22.6199,22.4072,22.4072,3746,0
KALL.US,60,20240927,180000,22.36,22.36,22.2791,22.2791,1573,0
KALL.US,60,20240927,190000,22.3,22.3,22.2999,22.2999,200,0
