<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDEV.US,60,20240416,170000,20.1819,20.1819,20.1819,20.1819,1500,0
MDEV.US,60,20240416,200000,20.25,20.25,20.25,20.25,119,0
MDEV.US,60,20240417,210000,20.03,20.03,20.03,20.03,200,0
MDEV.US,60,20240417,220000,19.97,19.97,19.97,19.97,200,0
MDEV.US,60,20240422,180000,19.8299,19.8299,19.78,19.7801,900,0
MDEV.US,60,20240424,160000,20.285,20.285,20.15,20.15,6765,0
MDEV.US,60,20240424,220000,20.215,20.215,20.215,20.215,543,0
MDEV.US,60,20240429,200000,20.3874,20.3874,20.3874,20.3874,650,0
MDEV.US,60,20240507,220000,20.07,20.464,20.07,20.464,1680,0
MDEV.US,60,20240513,210000,20.5988,20.5988,20.5988,20.5988,159,0
MDEV.US,60,20240514,160000,20.85,20.85,20.85,20.85,124,0
MDEV.US,60,20240514,170000,20.82,20.82,20.82,20.82,113,0
MDEV.US,60,20240515,160000,20.92,20.92,20.92,20.92,1250,0
MDEV.US,60,20240515,200000,21.165,21.165,21.165,21.165,158,0
MDEV.US,60,20240520,170000,21.0978,21.0978,21.0978,21.0978,200,0
MDEV.US,60,20240523,220000,20.5995,20.5995,20.5995,20.5995,103,0
MDEV.US,60,20240605,180000,20.54,20.56,20.54,20.56,300,0
MDEV.US,60,20240605,190000,20.57,20.58,20.57,20.58,200,0
MDEV.US,60,20240605,200000,20.5768,20.5768,20.5768,20.5768,500,0
MDEV.US,60,20240605,210000,20.57,20.595,20.53,20.55,2825,0
MDEV.US,60,20240606,160000,20.54,20.56,20.54,20.56,600,0
MDEV.US,60,20240606,170000,20.57,20.57,20.57,20.57,200,0
MDEV.US,60,20240606,190000,20.56,20.56,20.56,20.56,100,0
MDEV.US,60,20240606,210000,20.62,20.62,20.62,20.62,200,0
MDEV.US,60,20240607,160000,20.49,20.51,20.49,20.51,400,0
MDEV.US,60,20240607,170000,20.55,20.57,20.55,20.57,300,0
MDEV.US,60,20240607,180000,20.52,20.52,20.52,20.52,200,0
MDEV.US,60,20240607,190000,20.5781,20.5781,20.5781,20.5781,200,0
MDEV.US,60,20240607,210000,20.48,20.5,20.48,20.5,600,0
MDEV.US,60,20240610,160000,20.33,20.35,20.33,20.35,300,0
MDEV.US,60,20240610,170000,20.36,20.37,20.36,20.37,200,0
MDEV.US,60,20240610,180000,20.38,20.38,20.38,20.38,100,0
MDEV.US,60,20240610,200000,20.4,20.41,20.4,20.41,200,0
MDEV.US,60,20240610,210000,20.42,20.42,20.42,20.42,100,0
MDEV.US,60,20240610,220000,20.43,20.43,20.43,20.43,100,0
MDEV.US,60,20240612,210000,20.37,20.62,20.37,20.62,1608,0
MDEV.US,60,20240612,220000,20.55,20.57,20.55,20.57,400,0
MDEV.US,60,20240613,210000,20.3563,20.3563,20.3563,20.3563,486,0
MDEV.US,60,20240613,220000,20.38,20.38,20.38,20.38,200,0
MDEV.US,60,20240614,180000,20.22,20.22,20.22,20.22,200,0
MDEV.US,60,20240614,200000,20.23,20.23,20.23,20.23,200,0
MDEV.US,60,20240620,160000,19.98,19.98,19.87,19.89,2253,0
MDEV.US,60,20240620,190000,19.928,19.928,19.928,19.928,137,0
MDEV.US,60,20240620,210000,19.99,19.99,19.99,19.99,200,0
MDEV.US,60,20240620,220000,19.9974,19.9974,19.97,19.97,2001,0
MDEV.US,60,20240625,170000,19.94,19.985,19.87,19.87,1199,0
MDEV.US,60,20240627,190000,19.91,19.94,19.91,19.94,200,0
MDEV.US,60,20240701,170000,19.8434,19.8434,19.8434,19.8434,325,0
MDEV.US,60,20240702,180000,19.68,19.68,19.54,19.5401,2100,0
MDEV.US,60,20240705,160000,19.8,19.8,19.8,19.8,200,0
MDEV.US,60,20240705,220000,19.8695,19.8695,19.8695,19.8695,350,0
MDEV.US,60,20240709,180000,19.6975,19.7185,19.6975,19.7185,336,0
MDEV.US,60,20240709,190000,19.6706,19.6706,19.6706,19.6706,229,0
MDEV.US,60,20240715,180000,20.2702,20.2702,20.231,20.255,7624,0
MDEV.US,60,20240715,190000,20.22,20.22,20.21,20.216,1951,0
MDEV.US,60,20240719,220000,20.0599,20.0599,20.0599,20.0599,100,0
MDEV.US,60,20240723,180000,20.2966,20.2966,20.2966,20.2966,172,0
MDEV.US,60,20240801,190000,20.165,20.37,20.165,20.37,382,0
MDEV.US,60,20240801,220000,20.43,20.43,20.43,20.43,200,0
MDEV.US,60,20240802,180000,20.15,20.15,20.15,20.15,200,0
MDEV.US,60,20240805,160000,19.955,19.955,19.92,19.9434,900,0
MDEV.US,60,20240806,210000,20.395,20.395,20.395,20.395,661,0
MDEV.US,60,20240807,190000,20.5037,20.5037,20.5037,20.5037,124,0
MDEV.US,60,20240807,200000,20.352,20.352,20.352,20.352,100,0
MDEV.US,60,20240812,160000,20.42,20.47,20.42,20.47,300,0
MDEV.US,60,20240812,170000,20.58,20.58,20.58,20.58,100,0
MDEV.US,60,20240813,180000,20.59,20.59,20.59,20.59,115,0
MDEV.US,60,20240813,210000,20.665,20.665,20.665,20.665,323,0
MDEV.US,60,20240815,220000,20.9083,20.94,20.87,20.8701,7496,0
MDEV.US,60,20240816,170000,20.85,20.85,20.85,20.85,682,0
MDEV.US,60,20240816,210000,20.9981,20.9981,20.9981,20.9981,285,0
MDEV.US,60,20240819,170000,21.0238,21.0238,21.0238,21.0238,305,0
MDEV.US,60,20240819,220000,21.0956,21.0956,21.0956,21.0956,155,0
MDEV.US,60,20240820,170000,21.06,21.08,21.06,21.08,700,0
MDEV.US,60,20240820,180000,21.0894,21.0894,21.0894,21.0894,254,0
MDEV.US,60,20240820,220000,20.97,20.9822,20.96,20.9822,786,0
MDEV.US,60,20240822,200000,21.1498,21.1498,21.1498,21.1498,296,0
MDEV.US,60,20240826,190000,21.36,21.36,21.36,21.36,400,0
MDEV.US,60,20240830,160000,21.41,21.7,21.41,21.7,395,0
MDEV.US,60,20240903,180000,21.592,21.592,21.592,21.592,1000,0
MDEV.US,60,20240904,210000,21.37,21.3799,21.35,21.35,725,0
MDEV.US,60,20240905,180000,21.2756,21.2756,21.2756,21.2756,100,0
MDEV.US,60,20240906,190000,21.175,21.175,21.175,21.175,200,0
MDEV.US,60,20240909,210000,21.5439,21.5439,21.5439,21.5439,461,0
MDEV.US,60,20240910,220000,21.4469,21.4469,21.4469,21.4469,1000,0
MDEV.US,60,20240911,210000,21.5,21.5,21.5,21.5,300,0
MDEV.US,60,20240912,200000,21.61,21.62,21.61,21.61,480,0
MDEV.US,60,20240913,160000,21.7,21.7,21.7,21.7,216,0
MDEV.US,60,20240923,190000,21.7254,21.7254,21.7254,21.7254,2000,0
MDEV.US,60,20240926,200000,21.92,21.92,21.92,21.92,363,0
MDEV.US,60,20240927,220000,21.98,22.245,21.98,22.245,421,0
MDEV.US,60,20241001,200000,22.01,22.01,22.01,22.01,100,0
MDEV.US,60,20241007,210000,22.14,22.14,21.909,21.909,560,0
MDEV.US,60,20241022,160000,22.0593,22.0593,21.7794,21.7794,845,0
MDEV.US,60,20241024,210000,21.7236,21.7236,21.7236,21.7236,183,0
MDEV.US,60,20241025,200000,21.62,21.65,21.6114,21.6114,900,0
MDEV.US,60,20241025,220000,21.53,21.53,21.51,21.5214,642,0
MDEV.US,60,20241030,190000,21.43,21.43,21.43,21.43,100,0
MDEV.US,60,20241101,200000,21.52,21.52,21.495,21.495,751,0
MDEV.US,60,20241105,180000,21.68,21.68,21.68,21.68,146,0
MDEV.US,60,20241111,200000,21.68,21.68,21.68,21.68,140,0
MDEV.US,60,20241119,160000,20.66,20.66,20.66,20.66,100,0
MDEV.US,60,20241122,200000,20.857,21.0804,20.857,21.0801,990,0
MDEV.US,60,20241125,220000,21.37,21.37,21.37,21.37,233,0
MDEV.US,60,20241202,170000,21.4896,21.4896,21.4896,21.4896,259,0
MDEV.US,60,20241205,220000,21.29,21.29,21.29,21.29,100,0
MDEV.US,60,20241206,200000,21.3725,21.399,21.36,21.36,720,0
MDEV.US,60,20241206,210000,21.29,21.2901,21.29,21.2901,414,0
MDEV.US,60,20241210,170000,21.43,21.43,21.43,21.43,300,0
MDEV.US,60,20241211,210000,21.46,21.46,21.46,21.46,100,0
MDEV.US,60,20241212,190000,21.4,21.4,21.4,21.4,800,0
MDEV.US,60,20241218,210000,21.09,21.09,20.735,20.735,783,0
MDEV.US,60,20241220,180000,20.76,20.76,20.76,20.76,100,0
MDEV.US,60,20241223,220000,20.65,20.65,20.65,20.65,100,0
MDEV.US,60,20241230,190000,20.55,20.55,20.55,20.55,100,0
MDEV.US,60,20250106,220000,20.875,20.8987,20.875,20.875,300,0
MDEV.US,60,20250107,210000,20.9767,20.9767,20.95,20.975,2402,0
MDEV.US,60,20250110,160000,20.92,20.92,20.83,20.83,33188,0
MDEV.US,60,20250110,170000,20.875,20.88,20.875,20.88,795,0
MDEV.US,60,20250113,160000,20.75,20.83,20.75,20.83,10804,0
MDEV.US,60,20250114,220000,21,21,21,21,700,0
MDEV.US,60,20250116,180000,21.2951,21.2951,21.2951,21.2951,100,0
MDEV.US,60,20250117,200000,21.42,21.42,21.42,21.42,1000,0
MDEV.US,60,20250121,190000,21.91,21.91,21.9,21.9,1500,0
MDEV.US,60,20250121,200000,21.9289,21.9289,21.9289,21.9289,230,0
MDEV.US,60,20250128,160000,22.35,22.35,22.35,22.35,101,0
MDEV.US,60,20250129,200000,22.2799,22.2799,22.2799,22.2799,100,0
MDEV.US,60,20250131,220000,22.2,22.2,22.17,22.17,300,0
MDEV.US,60,20250203,170000,21.86,21.86,21.86,21.86,100,0
MDEV.US,60,20250205,160000,21.97,21.97,21.97,21.97,5000,0
MDEV.US,60,20250205,220000,22.0197,22.0197,22.0197,22.0197,600,0
MDEV.US,60,20250206,180000,21.84,21.84,21.84,21.84,23307,0
MDEV.US,60,20250206,220000,21.75,21.75,21.75,21.75,4060,0
MDEV.US,60,20250207,180000,21.6799,21.6799,21.6799,21.6799,461,0
MDEV.US,60,20250212,160000,21.2,21.2,21.1,21.1,945,0
MDEV.US,60,20250219,170000,21.17,21.17,21.17,21.17,100,0
MDEV.US,60,20250220,190000,21.27,21.27,21.27,21.27,100,0
MDEV.US,60,20250227,210000,21.18,21.205,20.94,20.94,961,0
MDEV.US,60,20250228,220000,20.8,20.8,20.8,20.8,100,0
MDEV.US,60,20250304,190000,20.65,20.65,20.65,20.65,100,0
MDEV.US,60,20250305,180000,20.91,20.91,20.91,20.91,100,0
MDEV.US,60,20250307,210000,20.74,20.83,20.74,20.83,581,0
MDEV.US,60,20250310,200000,20.48,20.48,20.46,20.46,3000,0
MDEV.US,60,20250310,210000,20.42,20.42,20.42,20.42,100,0
MDEV.US,60,20250311,150000,20.37,20.37,20.37,20.37,1000,0
MDEV.US,60,20250311,160000,20.35,20.35,20.35,20.35,129,0
MDEV.US,60,20250311,180000,20.2,20.2,20.2,20.2,130,0
MDEV.US,60,20250311,200000,20.19,20.22,20.19,20.22,200,0
MDEV.US,60,20250311,210000,20.39,20.39,20.3307,20.3307,230,0
MDEV.US,60,20250313,170000,20.1579,20.1579,19.98,19.98,235,0
MDEV.US,60,20250313,180000,19.95,19.98,19.95,19.9695,890,0
MDEV.US,60,20250314,150000,20.23,20.2301,20.23,20.2301,270,0
MDEV.US,60,20250314,160000,20.18,20.18,20.18,20.18,100,0
MDEV.US,60,20250317,190000,20.26,20.49,20.26,20.49,400,0
MDEV.US,60,20250319,210000,20.58,20.5801,20.57,20.57,360,0
MDEV.US,60,20250321,180000,20.23,20.23,20.23,20.23,100,0
MDEV.US,60,20250331,190000,19.94,20,19.94,20,300,0
MDEV.US,60,20250331,210000,20.01,20.01,20.01,20.01,100,0
MDEV.US,60,20250401,180000,20.02,20.02,20.02,20.02,100,0
MDEV.US,60,20250401,220000,19.95,19.95,19.95,19.95,1000,0
MDEV.US,60,20250404,180000,19.93,19.93,18.55,18.55,200,0
MDEV.US,60,20250404,210000,18.35,18.35,18.35,18.35,143,0
MDEV.US,60,20250408,220000,18.44,18.44,17.91,17.91,1100,0
MDEV.US,60,20250409,160000,17.9,17.9,17.9,17.9,120,0
MDEV.US,60,20250409,210000,18.99,18.99,18.9721,18.9721,300,0
MDEV.US,60,20250410,170000,18.7,18.81,18.7,18.79,300,0
MDEV.US,60,20250410,190000,18.43,18.43,18.43,18.43,100,0
MDEV.US,60,20250411,200000,18.54,18.79,18.54,18.79,200,0
MDEV.US,60,20250414,160000,19.1,19.1444,19.1,19.1441,1394,0
MDEV.US,60,20250414,200000,19.07,19.07,19.07,19.07,100,0
MDEV.US,60,20250430,190000,19.04,19.87,19.04,19.87,600,0
MDEV.US,60,20250507,180000,19.75,19.7501,19.75,19.7501,860,0
MDEV.US,60,20250507,210000,19.88,19.89,19.88,19.89,200,0
MDEV.US,60,20250515,220000,20.3024,20.3024,20.3024,20.3024,380,0
MDEV.US,60,20250528,200000,20.1717,20.1717,20.1717,20.1717,600,0
MDEV.US,60,20250528,210000,20.14,20.14,20.14,20.14,425,0
MDEV.US,60,20250530,200000,19.99,20.01,19.99,20.01,400,0
MDEV.US,60,20250602,170000,19.87,19.89,19.87,19.89,291,0
MDEV.US,60,20250602,200000,19.88,19.88,19.81,19.88,596,0
MDEV.US,60,20250603,170000,19.81,19.9124,19.81,19.9124,724,0
MDEV.US,60,20250606,200000,20.2695,20.2696,20.2695,20.2696,2000,0
MDEV.US,60,20250627,220000,20.4,20.4,20.4,20.4,750,0
MDEV.US,60,20250714,200000,20.3531,20.3531,20.3531,20.3531,495,0
MDEV.US,60,20250717,220000,20.1542,20.1542,20.1542,20.1542,325,0
MDEV.US,60,20250721,170000,20,20.0001,20,20.0001,966,0
