<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MINT.US,60,20240411,160000,100.28,100.31,100.28,100.31,62665,0
MINT.US,60,20240411,170000,100.305,100.32,100.3,100.315,275986,0
MINT.US,60,20240411,180000,100.31,100.32,100.3,100.305,73089,0
MINT.US,60,20240411,190000,100.305,100.31,100.3,100.3068,1420750,0
MINT.US,60,20240411,200000,100.305,100.31,100.3,100.31,61052,0
MINT.US,60,20240411,210000,100.31,100.32,100.3,100.31,74553,0
MINT.US,60,20240411,220000,100.3175,100.33,100.31,100.31,228830,0
MINT.US,60,20240412,160000,100.33,100.35,100.33,100.3467,35569,0
MINT.US,60,20240412,170000,100.35,100.36,100.34,100.355,353442,0
MINT.US,60,20240412,180000,100.355,100.36,100.35,100.355,130168,0
MINT.US,60,20240412,190000,100.355,100.36,100.35,100.355,37747,0
MINT.US,60,20240412,200000,100.355,100.36,100.35,100.36,352694,0
MINT.US,60,20240412,210000,100.35,100.36,100.35,100.36,245766,0
MINT.US,60,20240412,220000,100.36,100.36,100.34,100.36,226215,0
MINT.US,60,20240415,160000,100.37,100.38,100.35,100.3589,21909,0
MINT.US,60,20240415,170000,100.36,100.36,100.35,100.35,41942,0
MINT.US,60,20240415,180000,100.355,100.36,100.35,100.3525,50694,0
MINT.US,60,20240415,190000,100.355,100.36,100.35,100.35,122008,0
MINT.US,60,20240415,200000,100.355,100.36,100.35,100.35,55796,0
MINT.US,60,20240415,210000,100.35,100.36,100.35,100.351,207631,0
MINT.US,60,20240415,220000,100.355,100.37,100.35,100.36,218591,0
MINT.US,60,20240416,160000,100.35,100.38,100.35,100.36,66929,0
MINT.US,60,20240416,170000,100.37,100.37,100.36,100.3626,58284,0
MINT.US,60,20240416,180000,100.36,100.37,100.36,100.365,237858,0
MINT.US,60,20240416,190000,100.365,100.37,100.36,100.365,148473,0
MINT.US,60,20240416,200000,100.37,100.37,100.36,100.365,137820,0
MINT.US,60,20240416,210000,100.37,100.39,100.36,100.365,220482,0
MINT.US,60,20240416,220000,100.36,100.37,100.36,100.36,84770,0
MINT.US,60,20240417,160000,100.39,100.39,100.375,100.385,202417,0
MINT.US,60,20240417,170000,100.385,100.39,100.38,100.385,213105,0
MINT.US,60,20240417,180000,100.38,100.39,100.38,100.385,294334,0
MINT.US,60,20240417,190000,100.385,100.39,100.38,100.385,348571,0
MINT.US,60,20240417,200000,100.385,100.39,100.38,100.385,199934,0
MINT.US,60,20240417,210000,100.385,100.39,100.38,100.385,258216,0
MINT.US,60,20240417,220000,100.385,100.39,100.38,100.3802,344991,0
MINT.US,60,20240418,160000,100.43,100.43,100.41,100.415,64070,0
MINT.US,60,20240418,170000,100.415,100.42,100.41,100.415,126476,0
MINT.US,60,20240418,180000,100.4183,100.42,100.41,100.415,150651,0
MINT.US,60,20240418,190000,100.41,100.42,100.41,100.41,78032,0
