<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLPA.US,60,20240411,160000,47.74,47.74,47.57,47.625,4700,0
MLPA.US,60,20240411,170000,47.63,47.64,47.41,47.4594,10041,0
MLPA.US,60,20240411,180000,47.4346,47.4483,47.36,47.41,10532,0
MLPA.US,60,20240411,190000,47.45,47.5,47.415,47.49,35022,0
MLPA.US,60,20240411,200000,47.52,47.66,47.52,47.6022,7820,0
MLPA.US,60,20240411,210000,47.62,47.66,47.59,47.6194,6618,0
MLPA.US,60,20240411,220000,47.59,47.7,47.59,47.64,15361,0
MLPA.US,60,20240412,160000,47.75,48.08,47.75,47.9047,2024,0
MLPA.US,60,20240412,170000,47.83,47.92,47.8127,47.86,12102,0
MLPA.US,60,20240412,180000,47.8733,47.8733,47.6001,47.68,11872,0
MLPA.US,60,20240412,190000,47.6657,47.69,47.4904,47.4904,6575,0
MLPA.US,60,20240412,200000,47.45,47.48,47.3606,47.4399,9280,0
MLPA.US,60,20240412,210000,47.45,47.49,47.16,47.22,14061,0
MLPA.US,60,20240412,220000,47.16,47.27,47.08,47.18,16385,0
MLPA.US,60,20240415,160000,47.3,47.3813,47.19,47.19,4958,0
MLPA.US,60,20240415,170000,47.22,47.22,47.0201,47.12,8818,0
MLPA.US,60,20240415,180000,47.1109,47.1109,46.9601,47.0643,9576,0
MLPA.US,60,20240415,190000,47.0632,47.09,46.96,46.96,9687,0
MLPA.US,60,20240415,200000,46.97,46.97,46.7413,46.78,7501,0
MLPA.US,60,20240415,210000,46.83,46.83,46.66,46.68,21704,0
MLPA.US,60,20240415,220000,46.66,46.67,46.4949,46.56,14046,0
MLPA.US,60,20240416,160000,46.57,46.57,46.17,46.2,6038,0
MLPA.US,60,20240416,170000,46.15,46.215,46.088,46.215,8583,0
MLPA.US,60,20240416,180000,46.25,46.395,46.25,46.3,14788,0
MLPA.US,60,20240416,190000,46.3,46.33,46.2301,46.24,5982,0
MLPA.US,60,20240416,200000,46.25,46.27,46.1801,46.2008,6066,0
MLPA.US,60,20240416,210000,46.31,46.34,46.19,46.3399,12100,0
MLPA.US,60,20240416,220000,46.3121,46.33,46.23,46.29,20450,0
MLPA.US,60,20240417,160000,46.31,46.62,46.2856,46.5968,8223,0
MLPA.US,60,20240417,170000,46.5446,46.66,46.5,46.5,5435,0
MLPA.US,60,20240417,180000,46.51,46.5801,46.47,46.55,9991,0
MLPA.US,60,20240417,190000,46.51,46.52,46.41,46.505,11442,0
MLPA.US,60,20240417,200000,46.51,46.79,46.49,46.78,17261,0
MLPA.US,60,20240417,210000,46.75,46.87,46.7198,46.7198,9849,0
MLPA.US,60,20240417,220000,46.7,46.715,46.56,46.56,228425,0
MLPA.US,60,20240418,160000,46.64,46.9988,46.64,46.93,8130,0
MLPA.US,60,20240418,170000,46.94,47.13,46.915,47.0676,11195,0
MLPA.US,60,20240418,180000,47.11,47.207,47.0201,47.14,13544,0
MLPA.US,60,20240418,190000,47.15,47.26,47.14,47.145,9519,0
MLPA.US,60,20240418,200000,47.1227,47.13,46.9987,47.0283,19494,0
MLPA.US,60,20240418,210000,47.015,47.03,46.9301,46.964,70703,0
MLPA.US,60,20240418,220000,46.95,47.15,46.95,47.1,20831,0
MLPA.US,60,20240419,160000,47.19,47.52,47.19,47.5029,4506,0
MLPA.US,60,20240419,170000,47.56,47.89,47.545,47.8,20929,0
MLPA.US,60,20240419,180000,47.79,47.945,47.7801,47.8805,13650,0
MLPA.US,60,20240419,190000,47.87,47.87,47.6573,47.7599,16945,0
MLPA.US,60,20240419,200000,47.7439,47.81,47.7216,47.7216,12300,0
MLPA.US,60,20240419,210000,47.72,47.72,47.525,47.525,13867,0
MLPA.US,60,20240419,220000,47.5601,47.76,47.48,47.69,20882,0
MLPA.US,60,20240422,160000,47.63,47.77,47.5101,47.77,6623,0
MLPA.US,60,20240422,170000,47.782,47.84,47.7423,47.81,7942,0
MLPA.US,60,20240422,180000,47.84,47.94,47.79,47.82,14853,0
MLPA.US,60,20240422,190000,47.8149,47.93,47.79,47.86,11639,0
MLPA.US,60,20240422,200000,47.87,47.99,47.8101,47.9514,10454,0
MLPA.US,60,20240422,210000,47.9701,48.02,47.885,47.9001,22695,0
MLPA.US,60,20240422,220000,47.92,47.935,47.7803,47.79,30868,0
MLPA.US,60,20240423,160000,47.84,47.9492,47.8156,47.92,4935,0
MLPA.US,60,20240423,170000,47.9277,48.03,47.9263,47.99,6793,0
MLPA.US,60,20240423,180000,47.9726,48.1199,47.97,48.0796,9495,0
MLPA.US,60,20240423,190000,48.088,48.14,48.05,48.1399,6700,0
MLPA.US,60,20240423,200000,48.11,48.15,48.1,48.12,39325,0
MLPA.US,60,20240423,210000,48.11,48.11,47.9901,47.9901,17842,0
MLPA.US,60,20240423,220000,48.03,48.09,47.97,47.97,79243,0
MLPA.US,60,20240424,160000,48,48,47.7001,47.8341,9851,0
MLPA.US,60,20240424,170000,47.9242,47.97,47.81,47.81,3939,0
MLPA.US,60,20240424,180000,47.805,47.86,47.7781,47.815,4920,0
MLPA.US,60,20240424,190000,47.82,47.8941,47.8,47.8941,25518,0
MLPA.US,60,20240424,200000,47.95,48.04,47.94,48.04,21360,0
MLPA.US,60,20240424,210000,48.05,48.08,48.01,48.0601,16265,0
MLPA.US,60,20240424,220000,48.06,48.22,48.04,48.04,19504,0
MLPA.US,60,20240425,160000,47.98,47.98,47.845,47.845,7157,0
MLPA.US,60,20240425,170000,47.8263,47.99,47.8263,47.95,4317,0
MLPA.US,60,20240425,180000,47.985,48.02,47.92,47.9699,7581,0
MLPA.US,60,20240425,190000,47.95,48.15,47.9357,48.105,9346,0
MLPA.US,60,20240425,200000,48.11,48.17,48.07,48.17,18450,0
MLPA.US,60,20240425,210000,48.19,48.21,48.12,48.19,13952,0
MLPA.US,60,20240425,220000,48.18,48.2799,48.07,48.07,19513,0
MLPA.US,60,20240426,160000,48.03,48.1,47.89,47.89,1612,0
MLPA.US,60,20240426,170000,47.925,48.03,47.925,48.0068,3244,0
MLPA.US,60,20240426,180000,47.98,48.09,47.95,48.0796,21949,0
MLPA.US,60,20240426,190000,48.09,48.16,48.0501,48.134,5587,0
MLPA.US,60,20240426,200000,48.13,48.18,48.13,48.14,12973,0
MLPA.US,60,20240426,210000,48.18,48.2199,48.165,48.1735,11151,0
MLPA.US,60,20240426,220000,48.18,48.33,48.1684,48.33,15988,0
MLPA.US,60,20240429,160000,48.38,48.4,48.24,48.2731,5126,0
MLPA.US,60,20240429,170000,48.395,48.43,48.2618,48.2811,5932,0
MLPA.US,60,20240429,180000,48.3,48.3399,48.241,48.241,13569,0
MLPA.US,60,20240429,190000,48.305,48.3899,48.305,48.33,5404,0
MLPA.US,60,20240429,200000,48.359,48.405,48.28,48.37,14663,0
MLPA.US,60,20240429,210000,48.3287,48.39,48.3209,48.336,6575,0
MLPA.US,60,20240429,220000,48.275,48.48,48.2324,48.39,10780,0
MLPA.US,60,20240430,160000,48.42,48.42,48.105,48.16,8160,0
MLPA.US,60,20240430,170000,47.955,48.2,47.955,48.12,3996,0
MLPA.US,60,20240430,180000,48.15,48.15,47.96,47.96,3595,0
MLPA.US,60,20240430,190000,47.92,47.9697,47.75,47.75,17727,0
MLPA.US,60,20240430,200000,47.77,47.8099,47.7355,47.762,6630,0
MLPA.US,60,20240430,210000,47.785,47.81,47.7201,47.755,5190,0
MLPA.US,60,20240430,220000,47.71,47.7992,47.6051,47.685,28700,0
MLPA.US,60,20240501,160000,47.69,47.69,47.295,47.34,4915,0
MLPA.US,60,20240501,170000,47.37,47.485,47.3042,47.35,17301,0
MLPA.US,60,20240501,180000,47.3668,47.39,47.255,47.28,29320,0
MLPA.US,60,20240501,190000,47.26,47.281,47.2021,47.2021,7195,0
MLPA.US,60,20240501,200000,47.24,47.3,47.2,47.2,7940,0
MLPA.US,60,20240501,210000,47.21,47.475,47.15,47.475,12030,0
MLPA.US,60,20240501,220000,47.49,47.51,47.24,47.24,49202,0
MLPA.US,60,20240502,160000,47.55,47.6299,47.3504,47.43,17036,0
MLPA.US,60,20240502,170000,47.4799,47.585,47.4,47.585,9522,0
MLPA.US,60,20240502,180000,47.5801,47.625,47.5022,47.51,4424,0
MLPA.US,60,20240502,190000,47.4983,47.66,47.4835,47.66,6838,0
MLPA.US,60,20240502,200000,47.67,47.75,47.65,47.7415,7274,0
MLPA.US,60,20240502,210000,47.762,47.79,47.7201,47.7599,7015,0
MLPA.US,60,20240502,220000,47.7165,47.75,47.59,47.65,18006,0
MLPA.US,60,20240507,160000,47.3,47.44,47.3,47.44,4550,0
MLPA.US,60,20240507,170000,47.3738,47.44,47.17,47.25,10861,0
MLPA.US,60,20240507,180000,47.25,47.36,47.194,47.27,16588,0
MLPA.US,60,20240507,190000,47.2521,47.39,47.24,47.39,7730,0
MLPA.US,60,20240507,200000,47.4,47.4599,47.38,47.38,10417,0
MLPA.US,60,20240507,210000,47.375,47.42,47.33,47.385,7807,0
MLPA.US,60,20240507,220000,47.375,47.48,47.31,47.45,13198,0
