<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NETL.US,60,20240411,160000,22.71,22.745,22.67,22.71,1300,0
NETL.US,60,20240411,170000,22.7,22.7,22.41,22.41,4100,0
NETL.US,60,20240411,180000,22.62,22.62,22.62,22.62,200,0
NETL.US,60,20240411,210000,22.9035,22.95,22.8678,22.95,20877,0
NETL.US,60,20240411,220000,22.95,22.95,22.7,22.86,18945,0
NETL.US,60,20240412,160000,22.81,22.81,22.76,22.76,764,0
NETL.US,60,20240412,170000,22.68,22.68,22.66,22.66,1597,0
NETL.US,60,20240412,180000,22.6497,22.7899,22.6497,22.6959,11195,0
NETL.US,60,20240412,190000,22.745,22.745,22.745,22.745,123,0
NETL.US,60,20240412,220000,22.64,22.71,22.61,22.71,1616,0
NETL.US,60,20240415,160000,22.66,22.66,22.66,22.66,116,0
NETL.US,60,20240415,180000,22.5,22.5,22.5,22.5,1643,0
NETL.US,60,20240415,190000,22.6041,22.6041,22.5,22.5,560,0
NETL.US,60,20240415,210000,22.36,22.36,22.36,22.36,222,0
NETL.US,60,20240416,160000,22.24,22.24,22.03,22.03,1204,0
NETL.US,60,20240416,170000,22.0461,22.0614,22.0461,22.0532,659,0
NETL.US,60,20240416,200000,22.1381,22.1381,22.1381,22.1381,100,0
NETL.US,60,20240416,210000,22,22.01,22,22.01,559,0
NETL.US,60,20240416,220000,22.055,22.055,22.055,22.055,150,0
NETL.US,60,20240417,170000,22.02,22.0485,21.95,21.95,1745,0
NETL.US,60,20240417,180000,22.0434,22.0434,22.0434,22.0434,161,0
NETL.US,60,20240417,190000,21.93,21.93,21.93,21.93,200,0
NETL.US,60,20240417,220000,21.978,21.978,21.9501,21.9501,1424,0
NETL.US,60,20240418,160000,22.0457,22.0457,21.9001,21.9001,1458,0
NETL.US,60,20240418,170000,21.97,22,21.97,22,230,0
NETL.US,60,20240418,180000,22.08,22.08,22.08,22.08,100,0
NETL.US,60,20240418,210000,22.08,22.08,22.08,22.08,100,0
NETL.US,60,20240419,160000,21.98,22.33,21.98,22.33,1120,0
NETL.US,60,20240419,170000,22.4362,22.4362,22.4362,22.4362,237,0
