<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUDV.US,60,20240411,180000,26.27,26.27,26.27,26.27,201,0
NUDV.US,60,20240411,220000,26.38,26.38,26.36,26.36,300,0
NUDV.US,60,20240412,210000,25.94,25.94,25.94,25.94,3251,0
NUDV.US,60,20240415,170000,26.02,26.02,26.02,26.02,100,0
NUDV.US,60,20240415,180000,26.0099,26.0099,26.0099,26.0099,1925,0
NUDV.US,60,20240415,190000,25.99,25.99,25.99,25.99,100,0
NUDV.US,60,20240415,200000,25.89,25.89,25.89,25.89,100,0
NUDV.US,60,20240415,220000,25.79,25.85,25.79,25.85,309,0
NUDV.US,60,20240416,210000,25.7,25.7089,25.7,25.7089,245,0
NUDV.US,60,20240416,220000,25.75,25.75,25.75,25.75,100,0
NUDV.US,60,20240417,190000,25.63,25.63,25.63,25.63,200,0
NUDV.US,60,20240417,200000,25.71,25.72,25.71,25.72,1600,0
NUDV.US,60,20240417,220000,25.69,25.69,25.69,25.69,196,0
NUDV.US,60,20240418,190000,25.7899,25.7899,25.7899,25.7899,128,0
NUDV.US,60,20240418,220000,25.77,25.77,25.77,25.77,200,0
NUDV.US,60,20240419,160000,25.83,25.83,25.83,25.83,100,0
NUDV.US,60,20240422,190000,26.1,26.1,26.1,26.1,300,0
NUDV.US,60,20240423,200000,26.3999,26.3999,26.3999,26.3999,243,0
NUDV.US,60,20240424,180000,26.3,26.3,26.2799,26.2799,400,0
NUDV.US,60,20240424,190000,26.3,26.3,26.29,26.29,300,0
NUDV.US,60,20240430,220000,26.1143,26.1143,26.1143,26.1143,4590,0
NUDV.US,60,20240501,170000,26.04,26.04,26.0399,26.0399,1400,0
NUDV.US,60,20240501,210000,26.23,26.23,26.23,26.23,100,0
NUDV.US,60,20240501,220000,26.35,26.3599,26.08,26.09,1150,0
NUDV.US,60,20240507,170000,26.76,26.76,26.7599,26.7599,298,0
NUDV.US,60,20240507,180000,26.72,26.72,26.72,26.72,150,0
NUDV.US,60,20240508,170000,26.7,26.7,26.69,26.69,200,0
NUDV.US,60,20240510,200000,27.08,27.08,27.0799,27.0799,200,0
NUDV.US,60,20240513,180000,27.19,27.19,27.19,27.19,100,0
NUDV.US,60,20240515,210000,27.43,27.43,27.4299,27.4299,332,0
NUDV.US,60,20240520,190000,27.44,27.44,27.4315,27.44,1010,0
NUDV.US,60,20240524,200000,26.9,26.9,26.8927,26.8927,722,0
NUDV.US,60,20240524,210000,26.89,26.89,26.8827,26.8827,644,0
NUDV.US,60,20240524,220000,26.86,26.8601,26.86,26.8601,1214,0
NUDV.US,60,20240528,180000,26.78,26.79,26.77,26.79,18054,0
NUDV.US,60,20240529,220000,26.36,26.36,26.36,26.36,104,0
NUDV.US,60,20240531,170000,26.5999,26.5999,26.5999,26.5999,1691,0
NUDV.US,60,20240603,200000,26.62,26.63,26.62,26.63,752,0
NUDV.US,60,20240605,190000,26.75,26.76,26.7499,26.76,421,0
NUDV.US,60,20240605,210000,26.79,26.79,26.79,26.79,6982,0
