<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PMAY.US,60,20240411,160000,32.47,32.566,32.47,32.49,18287,0
PMAY.US,60,20240411,170000,32.49,32.49,32.49,32.49,100,0
PMAY.US,60,20240411,180000,32.49,32.5464,32.47,32.525,7652,0
PMAY.US,60,20240411,190000,32.5004,32.5004,32.5004,32.5004,2409,0
PMAY.US,60,20240411,200000,32.52,32.52,32.52,32.52,794,0
PMAY.US,60,20240411,210000,32.5,32.5708,32.5,32.5708,8903,0
PMAY.US,60,20240411,220000,32.55,32.55,32.52,32.52,2505,0
PMAY.US,60,20240412,160000,32.54,32.54,32.52,32.525,366,0
PMAY.US,60,20240412,170000,32.53,32.53,32.51,32.52,953,0
PMAY.US,60,20240412,180000,32.5,32.51,32.5,32.51,595,0
PMAY.US,60,20240412,190000,32.515,32.5263,32.4903,32.5,2982,0
PMAY.US,60,20240412,200000,32.505,32.5199,32.4809,32.4809,1486,0
PMAY.US,60,20240412,210000,32.5199,32.5199,32.5,32.5,870,0
PMAY.US,60,20240412,220000,32.5199,32.55,32.4904,32.55,2758,0
PMAY.US,60,20240415,160000,32.53,32.53,32.53,32.53,100,0
PMAY.US,60,20240415,170000,32.555,32.555,32.5417,32.5417,851,0
PMAY.US,60,20240415,190000,32.53,32.53,32.52,32.52,200,0
PMAY.US,60,20240415,200000,32.5115,32.5232,32.4901,32.5,5182,0
PMAY.US,60,20240415,210000,32.5455,32.5455,32.5,32.5,533,0
PMAY.US,60,20240415,220000,32.5294,32.54,32.49,32.49,1464,0
PMAY.US,60,20240416,160000,32.52,32.52,32.5,32.5,1826,0
PMAY.US,60,20240416,170000,32.49,32.49,32.49,32.49,100,0
PMAY.US,60,20240416,180000,32.5,32.515,32.49,32.5,6400,0
PMAY.US,60,20240416,190000,32.53,32.54,32.52,32.52,3479,0
PMAY.US,60,20240416,200000,32.51,32.515,32.51,32.51,1422,0
PMAY.US,60,20240416,210000,32.51,32.5375,32.4901,32.52,5485,0
PMAY.US,60,20240416,220000,32.55,32.55,32.51,32.51,2665,0
PMAY.US,60,20240417,160000,32.54,32.54,32.54,32.54,141,0
PMAY.US,60,20240417,170000,32.53,32.57,32.53,32.55,2168,0
PMAY.US,60,20240417,180000,32.53,32.53,32.53,32.53,100,0
PMAY.US,60,20240417,190000,32.51,32.535,32.51,32.535,945,0
PMAY.US,60,20240417,200000,32.535,32.535,32.52,32.53,1168,0
PMAY.US,60,20240417,210000,32.55,32.55,32.5101,32.5101,8110,0
PMAY.US,60,20240417,220000,32.52,32.52,32.51,32.51,412,0
PMAY.US,60,20240418,160000,32.51,32.53,32.51,32.53,8516,0
PMAY.US,60,20240418,170000,32.53,32.55,32.53,32.53,958,0
PMAY.US,60,20240418,180000,32.58,32.58,32.54,32.54,340,0
PMAY.US,60,20240418,190000,32.5456,32.5579,32.5207,32.5579,2239,0
PMAY.US,60,20240418,200000,32.53,32.5308,32.52,32.5308,411,0
PMAY.US,60,20240418,210000,32.53,32.58,32.5115,32.5115,7379,0
PMAY.US,60,20240418,220000,32.545,32.5618,32.53,32.53,1729,0
PMAY.US,60,20240419,160000,32.53,32.555,32.53,32.54,637,0
PMAY.US,60,20240419,180000,32.5992,32.5992,32.53,32.53,9237,0
PMAY.US,60,20240419,190000,32.53,32.545,32.52,32.545,2842,0
PMAY.US,60,20240419,200000,32.5113,32.53,32.5113,32.5284,1208,0
PMAY.US,60,20240419,220000,32.52,32.52,32.5115,32.52,6552,0
PMAY.US,60,20240422,160000,32.57,32.57,32.55,32.5647,5746,0
PMAY.US,60,20240422,170000,32.55,32.61,32.55,32.55,3697,0
PMAY.US,60,20240422,180000,32.5518,32.586,32.55,32.58,2465,0
PMAY.US,60,20240422,190000,32.56,32.5949,32.5512,32.5949,2335,0
PMAY.US,60,20240422,200000,32.57,32.585,32.56,32.5611,6675,0
PMAY.US,60,20240422,210000,32.59,32.59,32.57,32.57,4234,0
PMAY.US,60,20240422,220000,32.6027,32.61,32.54,32.56,7933,0
PMAY.US,60,20240423,180000,32.595,32.595,32.595,32.595,615,0
PMAY.US,60,20240423,190000,32.57,32.5987,32.57,32.5987,953,0
PMAY.US,60,20240423,200000,32.61,32.61,32.57,32.57,3099,0
PMAY.US,60,20240423,210000,32.5601,32.6299,32.56,32.595,2639,0
PMAY.US,60,20240423,220000,32.63,32.64,32.5601,32.64,1743,0
PMAY.US,60,20240424,160000,32.65,32.65,32.58,32.58,884,0
PMAY.US,60,20240424,170000,32.58,32.58,32.58,32.58,1701,0
PMAY.US,60,20240424,180000,32.6089,32.6089,32.6,32.6052,615,0
PMAY.US,60,20240424,190000,32.6099,32.6099,32.59,32.6,3715,0
PMAY.US,60,20240424,200000,32.61,32.61,32.59,32.6,8208,0
PMAY.US,60,20240424,210000,32.6,32.606,32.59,32.6,2500,0
PMAY.US,60,20240424,220000,32.61,32.64,32.59,32.64,2601,0
PMAY.US,60,20240425,160000,32.63,32.67,32.58,32.58,2849,0
PMAY.US,60,20240425,170000,32.605,32.605,32.605,32.605,107,0
PMAY.US,60,20240425,180000,32.605,32.605,32.583,32.583,1704,0
