<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PST.US,60,20240411,160000,24.43,24.43,24.43,24.43,2841,0
PST.US,60,20240411,170000,25,25,24.54,24.5753,5088,0
PST.US,60,20240411,180000,24.5924,24.637,24.5924,24.62,1300,0
PST.US,60,20240411,190000,24.63,24.63,24.63,24.63,200,0
PST.US,60,20240411,200000,24.54,24.54,24.54,24.54,200,0
PST.US,60,20240411,210000,24.48,24.54,24.47,24.54,1150,0
PST.US,60,20240411,220000,24.6,24.6,24.55,24.6,3564,0
PST.US,60,20240412,160000,24.34,24.351,24.33,24.34,1077,0
PST.US,60,20240412,170000,24.35,24.35,24.26,24.29,3112,0
PST.US,60,20240412,180000,24.3176,24.3176,24.3176,24.3176,100,0
PST.US,60,20240412,190000,24.365,24.365,24.3176,24.3176,1500,0
PST.US,60,20240412,200000,24.3,24.3021,24.26,24.27,1600,0
PST.US,60,20240412,210000,24.28,24.3076,24.28,24.3076,600,0
PST.US,60,20240412,220000,24.34,24.37,24.34,24.37,1159,0
PST.US,60,20240415,160000,24.73,24.8024,24.73,24.7802,4001,0
PST.US,60,20240415,170000,24.8,24.9001,24.78,24.8,2912,0
PST.US,60,20240415,180000,24.8,24.83,24.78,24.83,700,0
PST.US,60,20240415,190000,24.7976,24.805,24.7976,24.8,400,0
PST.US,60,20240415,210000,24.7899,24.7899,24.7799,24.7799,600,0
PST.US,60,20240415,220000,24.775,24.775,24.73,24.73,859,0
PST.US,60,20240416,160000,24.95,25,24.9476,24.9524,249881,0
PST.US,60,20240416,170000,24.94,24.94,24.87,24.8824,2444,0
PST.US,60,20240416,180000,24.87,24.87,24.8324,24.86,500,0
PST.US,60,20240416,200000,24.92,25.0103,24.92,24.9476,2866,0
PST.US,60,20240416,220000,24.91,24.92,24.905,24.92,3100,0
PST.US,60,20240417,160000,24.75,24.75,24.75,24.75,167,0
PST.US,60,20240417,170000,24.8176,24.8224,24.81,24.81,500,0
PST.US,60,20240417,180000,24.75,24.75,24.6999,24.6999,1850,0
PST.US,60,20240417,190000,24.7,24.71,24.67,24.6776,1300,0
PST.US,60,20240417,200000,24.61,24.6599,24.5924,24.5924,2152,0
PST.US,60,20240417,210000,24.6,24.6,24.59,24.5976,400,0
PST.US,60,20240417,220000,24.61,24.64,24.6099,24.62,6042,0
PST.US,60,20240418,160000,24.68,24.79,24.68,24.785,7524,0
PST.US,60,20240418,170000,24.8,24.8,24.759,24.8,3760,0
PST.US,60,20240418,180000,24.8,24.8,24.8,24.8,100,0
PST.US,60,20240418,190000,24.82,24.87,24.82,24.85,700,0
PST.US,60,20240418,200000,24.84,24.859,24.83,24.83,2519,0
PST.US,60,20240418,210000,24.85,24.8524,24.84,24.85,1500,0
PST.US,60,20240418,220000,24.81,24.82,24.8,24.82,59444,0
PST.US,60,20240419,160000,24.69,24.76,24.68,24.75,3409,0
PST.US,60,20240419,170000,24.77,24.79,24.75,24.75,2225,0
PST.US,60,20240419,180000,24.75,24.75,24.7,24.7,700,0
PST.US,60,20240419,190000,24.71,24.739,24.71,24.739,800,0
PST.US,60,20240419,220000,24.7482,24.76,24.745,24.76,3427,0
PST.US,60,20240422,160000,24.87,24.87,24.8276,24.83,3946,0
PST.US,60,20240422,170000,24.8301,24.84,24.75,24.76,251020,0
PST.US,60,20240422,180000,24.7724,24.7824,24.74,24.745,1097,0
PST.US,60,20240422,190000,24.7376,24.7603,24.7376,24.7603,833,0
PST.US,60,20240422,200000,24.77,24.77,24.77,24.77,100,0
PST.US,60,20240422,210000,24.78,24.78,24.77,24.77,1242,0
PST.US,60,20240422,220000,24.76,24.7611,24.74,24.76,3827,0
PST.US,60,20240423,160000,24.85,24.8701,24.66,24.68,2305,0
PST.US,60,20240423,170000,24.62,24.65,24.615,24.65,2288,0
PST.US,60,20240423,180000,24.645,24.66,24.645,24.66,2100,0
PST.US,60,20240423,190000,24.655,24.655,24.6098,24.6098,450,0
