<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QCON.US,60,20240411,170000,42.19,42.19,42.19,42.19,501,0
QCON.US,60,20240411,190000,42.23,42.2301,42.23,42.2301,200,0
QCON.US,60,20240412,170000,42.1542,42.1542,42.1542,42.1542,224,0
QCON.US,60,20240412,220000,41.871,41.871,41.871,41.871,100,0
QCON.US,60,20240415,160000,42.15,42.15,42.15,42.15,667,0
QCON.US,60,20240415,200000,41.59,41.61,41.59,41.61,814,0
QCON.US,60,20240415,210000,41.53,41.53,41.4903,41.4903,610,0
QCON.US,60,20240415,220000,41.48,41.48,41.48,41.48,100,0
QCON.US,60,20240416,170000,41.37,41.37,41.37,41.37,314,0
QCON.US,60,20240416,190000,41.44,41.473,41.44,41.473,246,0
QCON.US,60,20240416,210000,41.42,41.42,41.42,41.42,100,0
QCON.US,60,20240417,170000,41.53,41.53,41.53,41.53,400,0
QCON.US,60,20240417,180000,41.41,41.41,41.41,41.41,500,0
QCON.US,60,20240417,200000,41.425,41.425,41.39,41.39,867,0
QCON.US,60,20240419,180000,41.518,41.518,41.3437,41.3437,1224,0
QCON.US,60,20240419,190000,41.27,41.27,41.2699,41.2699,634,0
QCON.US,60,20240419,200000,41.32,41.32,41.32,41.32,100,0
QCON.US,60,20240419,220000,41.2,41.25,41.2,41.24,1151,0
QCON.US,60,20240422,180000,41.27,41.27,41.27,41.27,334,0
QCON.US,60,20240422,200000,41.42,41.42,41.3908,41.3908,400,0
QCON.US,60,20240423,170000,41.8508,41.8508,41.8508,41.8508,1141,0
QCON.US,60,20240423,180000,41.84,41.84,41.84,41.84,134,0
QCON.US,60,20240423,220000,41.87,41.87,41.87,41.87,1462,0
QCON.US,60,20240424,170000,41.99,41.99,41.9447,41.9447,600,0
QCON.US,60,20240424,190000,41.84,41.88,41.84,41.88,1000,0
QCON.US,60,20240424,200000,41.92,41.92,41.92,41.92,100,0
QCON.US,60,20240425,160000,41.79,41.79,41.79,41.79,157,0
QCON.US,60,20240425,170000,41.64,41.64,41.64,41.64,232,0
QCON.US,60,20240425,180000,41.73,41.73,41.7044,41.7044,200,0
QCON.US,60,20240425,190000,41.76,41.76,41.7301,41.7301,580,0
QCON.US,60,20240425,210000,41.79,41.79,41.79,41.79,654,0
QCON.US,60,20240425,220000,41.83,41.85,41.83,41.85,240,0
QCON.US,60,20240429,170000,41.905,41.955,41.84,41.955,1353,0
QCON.US,60,20240429,180000,41.87,41.915,41.87,41.915,1370,0
QCON.US,60,20240429,220000,41.9,41.95,41.9,41.95,200,0
QCON.US,60,20240501,190000,41.59,41.59,41.59,41.59,706,0
QCON.US,60,20240501,210000,41.65,41.65,41.65,41.65,103,0
QCON.US,60,20240501,220000,41.63,41.63,41.63,41.63,100,0
QCON.US,60,20240502,170000,41.695,41.695,41.695,41.695,1207,0
QCON.US,60,20240502,190000,41.73,41.73,41.73,41.73,100,0
QCON.US,60,20240502,220000,41.75,41.75,41.75,41.75,863,0
QCON.US,60,20240507,200000,42.52,42.52,42.42,42.42,670,0
QCON.US,60,20240507,220000,42.4,42.4,42.4,42.4,100,0
QCON.US,60,20240508,170000,42.345,42.345,42.312,42.312,865,0
QCON.US,60,20240508,180000,42.3522,42.3522,42.3522,42.3522,164,0
QCON.US,60,20240509,170000,42.47,42.47,42.47,42.47,200,0
QCON.US,60,20240509,190000,42.38,42.38,42.35,42.35,1853,0
QCON.US,60,20240509,200000,42.3624,42.3624,42.3624,42.3624,507,0
QCON.US,60,20240509,220000,42.34,42.34,42.34,42.34,100,0
QCON.US,60,20240510,210000,42.48,42.48,42.48,42.48,464,0
QCON.US,60,20240513,160000,42.44,42.44,42.44,42.44,143,0
QCON.US,60,20240513,210000,42.371,42.4101,42.371,42.4101,800,0
QCON.US,60,20240513,220000,42.42,42.42,42.37,42.37,368,0
