<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
REET.US,60,20240411,160000,22.85,22.95,22.78,22.81,41947,0
REET.US,60,20240411,170000,22.795,22.795,22.675,22.68,48590,0
REET.US,60,20240411,180000,22.68,22.83,22.665,22.83,50239,0
REET.US,60,20240411,190000,22.83,22.845,22.79,22.84,79620,0
REET.US,60,20240411,200000,22.84,22.95,22.83,22.94,40712,0
REET.US,60,20240411,210000,22.935,22.99,22.915,22.93,393502,0
REET.US,60,20240411,220000,22.93,22.935,22.86,22.88,98906,0
REET.US,60,20240412,160000,22.72,22.74,22.67,22.68,11805,0
REET.US,60,20240412,170000,22.67,22.69,22.62,22.65,19084,0
REET.US,60,20240412,180000,22.63,22.6661,22.63,22.64,22851,0
REET.US,60,20240412,190000,22.645,22.6499,22.555,22.59,17887,0
REET.US,60,20240412,200000,22.5859,22.5999,22.52,22.589,56009,0
REET.US,60,20240412,210000,22.575,22.605,22.4921,22.53,36065,0
REET.US,60,20240412,220000,22.51,22.5688,22.48,22.55,79631,0
REET.US,60,20240415,160000,22.65,22.7,22.56,22.58,27060,0
REET.US,60,20240415,170000,22.6,22.6,22.39,22.39,35272,0
REET.US,60,20240415,180000,22.371,22.45,22.3612,22.4401,57812,0
REET.US,60,20240415,190000,22.43,22.455,22.35,22.38,21822,0
REET.US,60,20240415,200000,22.3585,22.385,22.23,22.28,24136,0
REET.US,60,20240415,210000,22.275,22.275,22.145,22.18,38579,0
REET.US,60,20240415,220000,22.175,22.245,22.11,22.23,150117,0
REET.US,60,20240416,160000,22.08,22.1,21.9025,21.935,155692,0
REET.US,60,20240416,170000,21.925,21.9702,21.895,21.92,40229,0
REET.US,60,20240416,180000,21.925,22.09,21.925,22.05,72658,0
REET.US,60,20240416,190000,22.04,22.075,22.015,22.055,60694,0
REET.US,60,20240416,200000,22.055,22.07,21.94,22.0001,44528,0
REET.US,60,20240416,210000,22,22.105,21.95,22.069,42624,0
REET.US,60,20240416,220000,22.07,22.07,21.96,21.98,166649,0
REET.US,60,20240417,160000,21.94,21.98,21.9104,21.945,36539,0
REET.US,60,20240417,170000,21.945,21.95,21.875,21.895,43369,0
REET.US,60,20240417,180000,21.9,21.935,21.825,21.8901,28243,0
REET.US,60,20240417,190000,21.885,21.905,21.825,21.88,54943,0
REET.US,60,20240417,200000,21.88,22.01,21.87,21.9924,51175,0
REET.US,60,20240417,210000,21.9901,22.03,21.91,21.91,66832,0
REET.US,60,20240417,220000,21.9,21.915,21.85,21.85,256603,0
REET.US,60,20240418,160000,21.9,21.95,21.795,21.89,29877,0
REET.US,60,20240418,170000,21.9,21.98,21.83,21.97,99450,0
REET.US,60,20240418,180000,21.965,21.98,21.885,21.925,67233,0
REET.US,60,20240418,190000,21.9287,21.95,21.831,21.831,93725,0
REET.US,60,20240418,200000,21.83,21.855,21.79,21.84,67663,0
REET.US,60,20240418,210000,21.84,21.88,21.815,21.8498,91074,0
REET.US,60,20240418,220000,21.845,21.9045,21.84,21.89,138097,0
REET.US,60,20240419,160000,21.86,21.98,21.86,21.98,118158,0
REET.US,60,20240419,170000,21.985,22.03,21.95,21.975,148234,0
REET.US,60,20240419,180000,21.98,22,21.95,21.96,66323,0
REET.US,60,20240419,190000,21.9642,21.97,21.895,21.95,57347,0
REET.US,60,20240419,200000,21.95,21.98,21.94,21.97,76025,0
REET.US,60,20240419,210000,21.945,21.95,21.88,21.915,139915,0
REET.US,60,20240419,220000,21.92,21.99,21.905,21.99,120611,0
REET.US,60,20240422,160000,22.02,22.1199,21.955,22.0504,28707,0
REET.US,60,20240422,170000,22.055,22.09,22.0499,22.0689,37164,0
REET.US,60,20240422,180000,22.05,22.065,22.01,22.0342,53240,0
REET.US,60,20240422,190000,22.035,22.1,22.035,22.1,28532,0
REET.US,60,20240422,200000,22.1,22.215,22.09,22.1999,97385,0
REET.US,60,20240422,210000,22.19,22.22,22.14,22.18,42142,0
REET.US,60,20240422,220000,22.18,22.18,22.1151,22.16,103986,0
REET.US,60,20240423,160000,22.26,22.36,22.215,22.345,48109,0
REET.US,60,20240423,170000,22.35,22.41,22.34,22.41,47720,0
REET.US,60,20240423,180000,22.41,22.425,22.37,22.395,84064,0
REET.US,60,20240423,190000,22.39,22.45,22.38,22.43,54401,0
REET.US,60,20240423,200000,22.43,22.475,22.42,22.47,72394,0
