<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPAB.US,60,20240411,160000,24.82,24.82,24.72,24.74,69179,0
SPAB.US,60,20240411,170000,24.735,24.735,24.6764,24.7,108165,0
SPAB.US,60,20240411,180000,24.7,24.71,24.6701,24.705,175291,0
SPAB.US,60,20240411,190000,24.7,24.71,24.68,24.694,91213,0
SPAB.US,60,20240411,200000,24.694,24.74,24.69,24.732,234936,0
SPAB.US,60,20240411,210000,24.74,24.765,24.71,24.71,223509,0
SPAB.US,60,20240411,220000,24.7099,24.73,24.704,24.71,314625,0
SPAB.US,60,20240412,160000,24.82,24.82,24.78,24.795,73240,0
SPAB.US,60,20240412,170000,24.79,24.8299,24.79,24.8137,145340,0
SPAB.US,60,20240412,180000,24.805,24.81,24.79,24.795,263914,0
SPAB.US,60,20240412,190000,24.8,24.81,24.79,24.81,194138,0
SPAB.US,60,20240412,200000,24.81,24.84,24.8,24.8299,104374,0
SPAB.US,60,20240412,210000,24.824,24.83,24.81,24.8169,114860,0
SPAB.US,60,20240412,220000,24.81,24.82,24.78,24.79,196001,0
SPAB.US,60,20240415,160000,24.67,24.67,24.625,24.6452,105340,0
SPAB.US,60,20240415,170000,24.6412,24.65,24.5812,24.615,200967,0
SPAB.US,60,20240415,180000,24.62,24.6267,24.595,24.61,339955,0
SPAB.US,60,20240415,190000,24.6018,24.63,24.6,24.615,203425,0
SPAB.US,60,20240415,200000,24.615,24.63,24.6,24.62,319587,0
SPAB.US,60,20240415,210000,24.625,24.6273,24.59,24.61,252242,0
SPAB.US,60,20240415,220000,24.61,24.63,24.595,24.63,349308,0
SPAB.US,60,20240416,160000,24.52,24.555,24.4901,24.52,76633,0
SPAB.US,60,20240416,170000,24.5214,24.56,24.52,24.55,171664,0
SPAB.US,60,20240416,180000,24.5565,24.5699,24.55,24.5581,234921,0
SPAB.US,60,20240416,190000,24.555,24.5686,24.54,24.541,157856,0
SPAB.US,60,20240416,200000,24.54,24.55,24.5,24.5399,306694,0
SPAB.US,60,20240416,210000,24.535,24.57,24.5327,24.5529,270745,0
SPAB.US,60,20240416,220000,24.56,24.56,24.53,24.54,238301,0
SPAB.US,60,20240417,160000,24.59,24.6248,24.58,24.6,62928,0
SPAB.US,60,20240417,170000,24.6,24.61,24.58,24.6014,170116,0
SPAB.US,60,20240417,180000,24.61,24.64,24.61,24.64,285260,0
SPAB.US,60,20240417,190000,24.635,24.649,24.63,24.64,147570,0
SPAB.US,60,20240417,200000,24.64,24.68,24.63,24.6703,389212,0
SPAB.US,60,20240417,210000,24.68,24.69,24.67,24.6733,274360,0
SPAB.US,60,20240417,220000,24.67,24.68,24.65,24.67,851559,0
SPAB.US,60,20240418,160000,24.67,24.67,24.6197,24.6227,130082,0
SPAB.US,60,20240418,170000,24.625,24.64,24.6112,24.6213,226432,0
SPAB.US,60,20240418,180000,24.6231,24.63,24.6,24.6001,221689,0
SPAB.US,60,20240418,190000,24.605,24.61,24.58,24.59,207350,0
SPAB.US,60,20240418,200000,24.595,24.6074,24.58,24.595,282997,0
SPAB.US,60,20240418,210000,24.5979,24.6,24.59,24.595,194215,0
SPAB.US,60,20240418,220000,24.595,24.61,24.59,24.61,540985,0
SPAB.US,60,20240419,160000,24.67,24.67,24.63,24.63,120902,0
SPAB.US,60,20240419,170000,24.63,24.64,24.6109,24.632,396027,0
SPAB.US,60,20240419,180000,24.635,24.656,24.62,24.655,244848,0
SPAB.US,60,20240419,190000,24.655,24.66,24.63,24.6323,89250,0
SPAB.US,60,20240419,200000,24.6379,24.6379,24.61,24.6197,305481,0
SPAB.US,60,20240419,210000,24.6156,24.64,24.61,24.6314,174688,0
SPAB.US,60,20240419,220000,24.635,24.64,24.62,24.62,338090,0
SPAB.US,60,20240422,160000,24.6,24.63,24.6,24.625,555758,0
SPAB.US,60,20240422,170000,24.6253,24.65,24.6112,24.645,229871,0
SPAB.US,60,20240422,180000,24.645,24.6583,24.63,24.6583,231108,0
SPAB.US,60,20240422,190000,24.655,24.66,24.64,24.65,249351,0
SPAB.US,60,20240422,200000,24.64,24.65,24.64,24.645,133411,0
SPAB.US,60,20240422,210000,24.645,24.65,24.63,24.64,175481,0
SPAB.US,60,20240422,220000,24.64,24.65,24.63,24.65,1673730,0
SPAB.US,60,20240423,160000,24.63,24.71,24.61,24.7031,81698,0
SPAB.US,60,20240423,170000,24.69,24.725,24.6808,24.705,2080746,0
SPAB.US,60,20240423,180000,24.7083,24.71,24.69,24.705,2718725,0
SPAB.US,60,20240423,190000,24.705,24.76,24.7,24.73,1487891,0
SPAB.US,60,20240423,200000,24.725,24.74,24.7021,24.715,402998,0
SPAB.US,60,20240423,210000,24.7164,24.72,24.7,24.705,520869,0
SPAB.US,60,20240423,220000,24.71,24.72,24.6821,24.695,409630,0
SPAB.US,60,20240424,160000,24.64,24.65,24.6119,24.6119,38951,0
SPAB.US,60,20240424,170000,24.6163,24.6193,24.58,24.595,104990,0
SPAB.US,60,20240424,180000,24.6,24.62,24.6,24.6022,90401,0
SPAB.US,60,20240424,190000,24.6083,24.62,24.6,24.61,91563,0
SPAB.US,60,20240424,200000,24.6101,24.6169,24.5925,24.605,237774,0
SPAB.US,60,20240424,210000,24.605,24.61,24.594,24.605,113057,0
SPAB.US,60,20240424,220000,24.605,24.63,24.6019,24.63,385405,0
SPAB.US,60,20240425,160000,24.56,24.56,24.49,24.5,103061,0
SPAB.US,60,20240425,170000,24.4988,24.535,24.4912,24.535,99693,0
SPAB.US,60,20240425,180000,24.535,24.55,24.53,24.5499,156184,0
SPAB.US,60,20240425,190000,24.54,24.56,24.5301,24.554,234345,0
SPAB.US,60,20240425,200000,24.5569,24.56,24.54,24.56,272579,0
SPAB.US,60,20240425,210000,24.5599,24.56,24.54,24.5505,262405,0
SPAB.US,60,20240425,220000,24.55,24.57,24.55,24.57,268065,0
SPAB.US,60,20240426,160000,24.64,24.65,24.61,24.63,56972,0
SPAB.US,60,20240426,170000,24.645,24.6489,24.6201,24.63,133017,0
SPAB.US,60,20240426,180000,24.6255,24.63,24.6122,24.626,324893,0
SPAB.US,60,20240426,190000,24.62,24.63,24.61,24.62,209743,0
SPAB.US,60,20240426,200000,24.6199,24.62,24.6016,24.6133,225172,0
SPAB.US,60,20240426,210000,24.61,24.62,24.604,24.61,155835,0
SPAB.US,60,20240426,220000,24.619,24.62,24.6,24.62,408609,0
SPAB.US,60,20240429,160000,24.66,24.66,24.644,24.655,52316,0
SPAB.US,60,20240429,170000,24.6522,24.696,24.6511,24.695,534510,0
SPAB.US,60,20240429,180000,24.6938,24.708,24.6703,24.6712,188699,0
