<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPWO.US,60,20240411,160000,21.27,21.27,21.27,21.27,400,0
SPWO.US,60,20240411,190000,21.11,21.1101,21.11,21.11,10026,0
SPWO.US,60,20240411,210000,21.2799,21.2799,21.2799,21.2799,140,0
SPWO.US,60,20240412,170000,21.0303,21.0303,21.0303,21.0303,442,0
SPWO.US,60,20240412,180000,20.88,20.8801,20.88,20.8801,210,0
SPWO.US,60,20240412,200000,20.9,20.91,20.9,20.9,816,0
SPWO.US,60,20240412,210000,20.7909,20.7909,20.7909,20.7909,174,0
SPWO.US,60,20240412,220000,20.85,20.85,20.85,20.85,148,0
SPWO.US,60,20240415,190000,20.8611,20.8611,20.8611,20.8611,116,0
SPWO.US,60,20240415,200000,20.94,20.94,20.94,20.94,100,0
SPWO.US,60,20240416,160000,20.6,20.61,20.59,20.6,4000,0
SPWO.US,60,20240416,180000,20.59,20.59,20.59,20.59,100,0
SPWO.US,60,20240416,190000,20.61,20.61,20.5979,20.5979,220,0
SPWO.US,60,20240416,200000,20.34,20.34,20.34,20.34,200,0
SPWO.US,60,20240417,160000,20.68,20.68,20.68,20.68,419,0
SPWO.US,60,20240417,170000,20.5872,20.5872,20.5872,20.5872,200,0
SPWO.US,60,20240417,190000,20.49,20.5399,20.465,20.5199,1204,0
SPWO.US,60,20240418,200000,20.55,20.55,20.3598,20.3598,1610,0
SPWO.US,60,20240418,210000,20.34,20.4,20.34,20.38,996,0
SPWO.US,60,20240419,170000,20.23,20.23,20.23,20.23,101,0
SPWO.US,60,20240419,190000,20.2,20.2,20.2,20.2,400,0
SPWO.US,60,20240419,200000,20.17,20.17,20.17,20.17,479,0
SPWO.US,60,20240419,220000,20.16,20.1601,20.16,20.1601,938,0
SPWO.US,60,20240422,160000,20.2,20.2,20.2,20.2,160,0
SPWO.US,60,20240422,170000,20.3,20.35,20.24,20.24,974,0
SPWO.US,60,20240422,180000,20.35,20.35,20.28,20.3,386,0
SPWO.US,60,20240422,200000,20.509,20.509,20.509,20.509,1349,0
SPWO.US,60,20240423,160000,20.65,20.66,20.65,20.6599,1204,0
SPWO.US,60,20240423,170000,20.76,20.76,20.7599,20.7599,576,0
SPWO.US,60,20240423,180000,20.76,20.76,20.76,20.76,100,0
SPWO.US,60,20240423,190000,20.771,20.771,20.771,20.771,904,0
SPWO.US,60,20240424,210000,20.7483,20.7483,20.7483,20.7483,310,0
SPWO.US,60,20240424,220000,20.71,20.7208,20.71,20.7208,297,0
SPWO.US,60,20240425,170000,20.62,20.62,20.57,20.57,400,0
SPWO.US,60,20240425,210000,20.7201,20.7201,20.7201,20.7201,147,0
SPWO.US,60,20240426,170000,20.945,20.945,20.945,20.945,152,0
SPWO.US,60,20240429,160000,20.99,20.99,20.99,20.99,200,0
SPWO.US,60,20240429,170000,20.93,20.93,20.93,20.93,100,0
SPWO.US,60,20240430,210000,21.08,21.08,20.8563,20.8563,400,0
SPWO.US,60,20240501,170000,20.6601,20.6601,20.6601,20.6601,100,0
SPWO.US,60,20240501,180000,20.67,20.67,20.67,20.67,106,0
SPWO.US,60,20240501,190000,20.7499,20.7499,20.7499,20.7499,509,0
SPWO.US,60,20240502,220000,21.12,21.14,21.12,21.14,1844,0
SPWO.US,60,20240507,160000,21.57,21.57,21.57,21.57,506,0
SPWO.US,60,20240507,200000,21.59,21.59,21.59,21.59,170,0
SPWO.US,60,20240507,210000,21.52,21.52,21.5071,21.5071,286,0
SPWO.US,60,20240507,220000,21.49,21.54,21.49,21.54,725,0
SPWO.US,60,20240508,200000,21.46,21.51,21.457,21.5099,2094,0
SPWO.US,60,20240509,160000,21.6,21.6,21.59,21.59,507,0
SPWO.US,60,20240509,170000,21.6,21.6,21.6,21.6,355,0
SPWO.US,60,20240509,190000,21.64,21.64,21.64,21.64,100,0
SPWO.US,60,20240509,210000,21.68,21.68,21.68,21.68,202,0
SPWO.US,60,20240509,220000,21.6,21.68,21.6,21.68,541,0
SPWO.US,60,20240510,160000,21.82,21.82,21.82,21.82,1200,0
SPWO.US,60,20240510,180000,21.82,21.82,21.82,21.82,250,0
SPWO.US,60,20240510,190000,21.821,21.821,21.821,21.821,100,0
SPWO.US,60,20240510,210000,21.84,21.84,21.84,21.84,100,0
SPWO.US,60,20240510,220000,21.83,21.83,21.83,21.83,1500,0
SPWO.US,60,20240513,160000,21.54,21.54,21.54,21.54,235,0
SPWO.US,60,20240513,180000,21.87,21.87,21.87,21.87,142,0
SPWO.US,60,20240513,200000,21.8258,21.8258,21.8258,21.8258,548,0
SPWO.US,60,20240513,210000,21.83,21.84,21.8,21.84,623,0
SPWO.US,60,20240513,220000,21.98,21.98,21.8,21.8,504,0
SPWO.US,60,20240514,170000,22.06,22.06,22.06,22.06,100,0
SPWO.US,60,20240514,190000,21.92,21.93,21.92,21.93,300,0
SPWO.US,60,20240514,200000,22.0218,22.0218,22.0218,22.0218,200,0
SPWO.US,60,20240514,210000,22.039,22.039,22.01,22.01,371,0
SPWO.US,60,20240514,220000,21.97,22.055,21.97,22.055,642,0
SPWO.US,60,20240515,170000,22.28,22.3,22.28,22.2999,3000,0
SPWO.US,60,20240515,190000,22.31,22.42,22.31,22.42,334,0
SPWO.US,60,20240515,200000,22.3458,22.3458,22.3458,22.3458,267,0
SPWO.US,60,20240515,220000,22.29,22.44,22.29,22.44,400,0
SPWO.US,60,20240516,170000,22.355,22.355,22.355,22.355,756,0
SPWO.US,60,20240516,180000,22.63,22.63,22.63,22.63,100,0
SPWO.US,60,20240516,190000,22.3702,22.3702,22.3702,22.3702,300,0
SPWO.US,60,20240517,160000,22.22,22.22,22.22,22.22,813,0
SPWO.US,60,20240517,180000,22.345,22.6,22.345,22.6,491,0
SPWO.US,60,20240520,160000,22.28,22.28,22.28,22.28,288,0
SPWO.US,60,20240520,180000,22.6899,22.6899,22.64,22.64,221,0
SPWO.US,60,20240520,200000,22.64,22.65,22.5002,22.5002,477,0
SPWO.US,60,20240520,210000,22.38,22.4642,22.38,22.4642,433,0
SPWO.US,60,20240521,180000,22.37,22.37,22.37,22.37,100,0
SPWO.US,60,20240521,200000,22.2069,22.2069,22.2069,22.2069,200,0
SPWO.US,60,20240521,210000,22.3827,22.54,22.3827,22.54,473,0
SPWO.US,60,20240522,160000,22.27,22.76,22.27,22.76,2010,0
SPWO.US,60,20240522,170000,22.72,22.72,22.72,22.72,103,0
SPWO.US,60,20240522,190000,22.7,22.7,22.7,22.7,100,0
SPWO.US,60,20240522,220000,22.1,22.69,22.1,22.69,601,0
SPWO.US,60,20240523,190000,22.08,22.82,22.08,22.82,250,0
SPWO.US,60,20240523,210000,22.1,22.6099,22.1,22.6099,310,0
SPWO.US,60,20240523,220000,22.303,22.303,22.303,22.303,100,0
SPWO.US,60,20240524,160000,22.16,22.16,22.16,22.16,367,0
SPWO.US,60,20240524,190000,22.1326,22.1326,22.1326,22.1326,128,0
SPWO.US,60,20240524,200000,22.44,22.44,22.44,22.44,100,0
SPWO.US,60,20240528,180000,22.41,22.41,22.41,22.41,400,0
SPWO.US,60,20240528,190000,22.6544,22.6544,22.6544,22.6544,174,0
SPWO.US,60,20240528,210000,22.385,22.385,22.3161,22.3161,266,0
SPWO.US,60,20240529,160000,21.9,21.9,21.9,21.9,230,0
SPWO.US,60,20240529,170000,22.4,22.4,22.4,22.4,115,0
SPWO.US,60,20240529,190000,22.0701,22.0701,22.0701,22.0701,1148,0
SPWO.US,60,20240529,200000,21.965,21.965,21.965,21.965,300,0
SPWO.US,60,20240529,210000,21.97,22.35,21.97,22.0819,3040,0
SPWO.US,60,20240529,220000,22.36,22.37,22.22,22.37,886,0
SPWO.US,60,20240530,160000,21.98,21.98,21.98,21.98,1900,0
SPWO.US,60,20240530,180000,22.325,22.325,22.26,22.27,450,0
SPWO.US,60,20240530,190000,22.398,22.4,22.39,22.4,400,0
SPWO.US,60,20240530,210000,22.45,22.45,22.45,22.45,900,0
SPWO.US,60,20240531,160000,22.1,22.1,22.1,22.1,2006,0
SPWO.US,60,20240603,180000,22.27,22.5,22.27,22.5,200,0
SPWO.US,60,20240603,190000,22.32,22.38,22.32,22.38,288,0
SPWO.US,60,20240603,200000,22.148,22.148,22,22,547,0
SPWO.US,60,20240603,210000,22.41,22.45,22.41,22.45,1900,0
SPWO.US,60,20240604,160000,22.29,22.29,22.17,22.17,2001,0
SPWO.US,60,20240604,200000,22.33,22.33,22.33,22.33,100,0
SPWO.US,60,20240604,210000,22,22.11,22,22.11,4565,0
SPWO.US,60,20240604,220000,22.14,22.14,22.14,22.14,500,0
SPWO.US,60,20240605,160000,22.27,22.27,22.27,22.27,1886,0
SPWO.US,60,20240605,170000,22.11,22.11,22.11,22.11,300,0
SPWO.US,60,20240605,190000,22.47,22.47,22.47,22.47,116,0
SPWO.US,60,20240605,200000,22.2453,22.2453,22.2453,22.2453,191,0
SPWO.US,60,20240605,220000,22.46,22.46,22.45,22.46,3100,0
SPWO.US,60,20240606,160000,22.45,22.45,22.45,22.45,1628,0
SPWO.US,60,20240606,170000,22.28,22.28,22.28,22.28,126,0
SPWO.US,60,20240606,180000,22.405,22.405,22.405,22.405,100,0
SPWO.US,60,20240606,200000,22.47,22.47,22.4699,22.4699,520,0
SPWO.US,60,20240606,210000,22.47,22.48,22.35,22.48,1432,0
SPWO.US,60,20240606,220000,22.49,22.51,22.48,22.51,1663,0
SPWO.US,60,20240607,160000,22.43,22.43,22.43,22.43,134,0
SPWO.US,60,20240607,180000,22.42,22.43,22.27,22.27,1350,0
SPWO.US,60,20240610,210000,22.45,22.46,22.44,22.45,1022,0
SPWO.US,60,20240611,170000,22.1804,22.1804,22.1804,22.1804,225,0
SPWO.US,60,20240611,180000,22.2,22.21,22.2,22.21,1000,0
SPWO.US,60,20240611,210000,22.2297,22.2297,22.2297,22.2297,170,0
SPWO.US,60,20240611,220000,22.18,22.18,22.18,22.18,729,0
SPWO.US,60,20240612,160000,22.55,22.55,22.55,22.55,363,0
SPWO.US,60,20240612,190000,22.74,22.74,22.68,22.74,702,0
SPWO.US,60,20240612,200000,22.6,22.6,22.6,22.6,100,0
SPWO.US,60,20240612,210000,22.5196,22.5196,22.5196,22.5196,150,0
SPWO.US,60,20240612,220000,22.5,22.53,22.5,22.53,804,0
SPWO.US,60,20240613,160000,22.59,22.59,22.5,22.5,457,0
SPWO.US,60,20240613,170000,22.33,22.33,22.33,22.33,1998,0
SPWO.US,60,20240613,190000,22.19,22.19,22.19,22.19,353,0
SPWO.US,60,20240613,210000,22.25,22.39,22.25,22.3599,17690,0
SPWO.US,60,20240613,220000,22.36,22.36,22.36,22.36,200,0
SPWO.US,60,20240614,170000,22.11,22.11,22.1,22.1,200,0
SPWO.US,60,20240614,210000,22.13,22.15,22.13,22.15,511,0
SPWO.US,60,20240614,220000,22.17,22.17,22.17,22.17,410,0
SPWO.US,60,20240617,190000,22.23,22.23,22.23,22.23,280,0
SPWO.US,60,20240617,220000,22.15,22.15,22.15,22.15,1325,0
SPWO.US,60,20240618,160000,22.45,22.45,22.45,22.45,100,0
SPWO.US,60,20240618,170000,22.2603,22.45,22.2603,22.45,649,0
SPWO.US,60,20240618,180000,22.46,22.46,22.46,22.46,1680,0
SPWO.US,60,20240618,210000,22.41,22.41,22.4099,22.4099,1528,0
SPWO.US,60,20240618,220000,22.41,22.52,22.41,22.52,163805,0
SPWO.US,60,20240620,160000,22.5,22.5,22.5,22.5,583,0
SPWO.US,60,20240620,170000,22.4,22.4,22.4,22.4,682,0
SPWO.US,60,20240620,180000,22.4,22.5099,22.4,22.475,52875,0
SPWO.US,60,20240620,190000,22.423,22.44,22.4,22.44,515,0
SPWO.US,60,20240620,200000,22.45,22.45,22.45,22.45,133,0
SPWO.US,60,20240621,190000,22.195,22.195,22.195,22.195,519,0
SPWO.US,60,20240621,220000,22.23,22.24,22.23,22.24,400,0
SPWO.US,60,20240624,160000,22.26,22.26,22.26,22.26,390,0
SPWO.US,60,20240624,170000,22.3582,22.3582,22.3582,22.3582,546,0
SPWO.US,60,20240624,190000,22.17,22.17,22.17,22.17,5610,0
SPWO.US,60,20240624,200000,22.197,22.2,22.197,22.2,11763,0
SPWO.US,60,20240624,220000,22.2,22.2,22.18,22.19,1516,0
SPWO.US,60,20240625,160000,22.23,22.23,22.23,22.23,367,0
SPWO.US,60,20240625,190000,22.1145,22.25,22.1145,22.24,2283,0
SPWO.US,60,20240625,200000,22.24,22.3,22.24,22.3,3500,0
SPWO.US,60,20240625,210000,22.3,22.3,22.28,22.3,3400,0
SPWO.US,60,20240625,220000,22.29,22.77,22.29,22.44,29511,0
SPWO.US,60,20240626,160000,22.26,22.26,22.08,22.08,2224,0
SPWO.US,60,20240626,200000,22.2,22.2,22.2,22.2,225,0
SPWO.US,60,20240626,210000,22.2,22.2,22.2,22.2,300,0
SPWO.US,60,20240626,220000,22.225,22.225,22.2,22.2013,1763,0
SPWO.US,60,20240627,160000,22.17,22.195,22.17,22.195,2127,0
SPWO.US,60,20240627,170000,22.32,22.32,22.28,22.28,300,0
SPWO.US,60,20240627,180000,22.27,22.28,22.27,22.28,331,0
SPWO.US,60,20240627,200000,22.32,22.32,22.32,22.32,1300,0
SPWO.US,60,20240627,210000,22.265,22.265,22.265,22.265,107,0
SPWO.US,60,20240627,220000,22.28,22.28,22.28,22.28,200,0
SPWO.US,60,20240628,160000,22.25,22.28,22.1,22.28,3000,0
SPWO.US,60,20240628,180000,22.28,22.28,22.2799,22.2799,402,0
SPWO.US,60,20240701,160000,22.29,22.29,22.26,22.26,202,0
SPWO.US,60,20240701,190000,22.1999,22.1999,22.1999,22.1999,201,0
SPWO.US,60,20240701,200000,22.1692,22.18,22.11,22.1462,808,0
SPWO.US,60,20240701,210000,22.15,22.15,22.0751,22.0751,1159,0
SPWO.US,60,20240701,220000,22.13,22.16,22.13,22.16,12673,0
SPWO.US,60,20240702,160000,22.02,22.045,22.02,22.045,1343,0
SPWO.US,60,20240702,170000,22.11,22.11,22.1099,22.1099,226,0
SPWO.US,60,20240702,180000,22.075,22.18,22.07,22.125,6037,0
SPWO.US,60,20240702,190000,22.1599,22.1599,22.1599,22.1599,100,0
SPWO.US,60,20240702,200000,22.19,22.19,22.19,22.19,600,0
SPWO.US,60,20240702,210000,22.209,22.24,22.1,22.2299,4225,0
SPWO.US,60,20240702,220000,22.25,22.289,22.0701,22.2799,6917,0
SPWO.US,60,20240703,170000,22.515,22.515,22.515,22.515,836,0
SPWO.US,60,20240703,180000,22.54,22.54,22.54,22.54,140,0
SPWO.US,60,20240703,190000,22.65,22.65,22.61,22.62,8317,0
SPWO.US,60,20240705,160000,22.54,22.56,22.54,22.56,354,0
SPWO.US,60,20240705,180000,22.65,22.74,22.65,22.67,4231,0
SPWO.US,60,20240705,200000,22.76,22.76,22.76,22.76,100,0
SPWO.US,60,20240705,210000,22.76,22.78,22.76,22.78,1255,0
SPWO.US,60,20240705,220000,22.67,22.79,22.67,22.79,538,0
SPWO.US,60,20240708,160000,22.84,22.9,22.84,22.9,2410,0
SPWO.US,60,20240708,170000,22.844,22.844,22.844,22.844,220,0
SPWO.US,60,20240708,180000,22.815,22.84,22.79,22.81,3220,0
SPWO.US,60,20240708,190000,22.81,22.82,22.8,22.82,2892,0
SPWO.US,60,20240708,200000,22.805,22.805,22.805,22.805,100,0
SPWO.US,60,20240708,210000,22.82,22.82,22.8,22.8,650,0
SPWO.US,60,20240709,160000,22.77,22.77,22.77,22.77,101,0
SPWO.US,60,20240709,170000,22.6884,22.7,22.68,22.68,2144,0
SPWO.US,60,20240709,180000,22.65,22.65,22.65,22.65,100,0
SPWO.US,60,20240709,190000,22.67,22.68,22.67,22.68,864,0
SPWO.US,60,20240709,200000,22.7,22.7,22.56,22.68,2032,0
SPWO.US,60,20240709,210000,22.67,22.67,22.67,22.67,1367,0
SPWO.US,60,20240710,160000,22.71,22.71,22.71,22.71,2098,0
SPWO.US,60,20240710,170000,22.83,22.83,22.83,22.83,199,0
SPWO.US,60,20240710,190000,22.97,22.97,22.97,22.97,100,0
SPWO.US,60,20240710,200000,22.915,22.915,22.915,22.915,102,0
SPWO.US,60,20240711,160000,23.11,23.11,23.11,23.11,395,0
SPWO.US,60,20240711,170000,23.01,23.12,23.01,23.12,326,0
SPWO.US,60,20240711,180000,23.01,23.01,22.82,22.95,680,0
SPWO.US,60,20240711,190000,22.91,22.91,22.91,22.91,217,0
SPWO.US,60,20240711,200000,22.8,22.95,22.8,22.95,335,0
SPWO.US,60,20240711,210000,22.928,22.928,22.928,22.928,100,0
SPWO.US,60,20240712,160000,23.02,23.02,23.02,23.02,405,0
SPWO.US,60,20240712,170000,23.3,23.3,23.3,23.3,107,0
SPWO.US,60,20240712,210000,23.32,23.32,23.2628,23.2628,508,0
SPWO.US,60,20240712,220000,23.235,23.235,23.235,23.235,171,0
SPWO.US,60,20240715,160000,23.11,23.11,23.11,23.11,111,0
SPWO.US,60,20240715,170000,23.09,23.09,23,23.0049,7604,0
SPWO.US,60,20240715,180000,23.065,23.07,23.065,23.07,200,0
SPWO.US,60,20240715,190000,23.0535,23.27,22.975,22.99,3287,0
SPWO.US,60,20240715,210000,22.925,22.9996,22.88,22.945,2588,0
SPWO.US,60,20240715,220000,22.975,22.975,22.975,22.975,100,0
SPWO.US,60,20240716,160000,22.97,22.97,22.97,22.97,460,0
SPWO.US,60,20240716,170000,22.94,22.94,22.9399,22.9399,230,0
SPWO.US,60,20240716,180000,22.96,22.96,22.96,22.96,450,0
SPWO.US,60,20240716,190000,22.9271,22.9271,22.9271,22.9271,472,0
SPWO.US,60,20240716,200000,22.91,22.93,22.91,22.93,1500,0
SPWO.US,60,20240716,210000,22.95,22.961,22.93,22.93,1321,0
SPWO.US,60,20240717,160000,22.63,22.63,22.56,22.565,401,0
SPWO.US,60,20240717,170000,22.53,22.5889,22.53,22.5889,850,0
SPWO.US,60,20240717,180000,22.48,22.48,22.48,22.48,170,0
SPWO.US,60,20240717,190000,22.57,22.57,22.43,22.43,930,0
SPWO.US,60,20240717,200000,22.47,22.47,22.46,22.46,1000,0
SPWO.US,60,20240717,210000,22.425,22.47,22.425,22.4298,789,0
