<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMDV.US,60,20240412,170000,46.0792,46.0792,46.0792,46.0792,138,0
TMDV.US,60,20240412,190000,45.97,45.97,45.97,45.97,694,0
TMDV.US,60,20240415,180000,45.88,45.915,45.88,45.915,600,0
TMDV.US,60,20240415,220000,45.66,45.66,45.6599,45.6599,400,0
TMDV.US,60,20240418,160000,45.685,45.685,45.685,45.685,110,0
TMDV.US,60,20240419,170000,46.08,46.08,46.08,46.08,100,0
TMDV.US,60,20240419,180000,46.09,46.09,46.09,46.09,341,0
TMDV.US,60,20240422,220000,46.62,46.62,46.62,46.62,100,0
TMDV.US,60,20240423,160000,46.39,46.3903,46.39,46.39,600,0
TMDV.US,60,20240423,170000,46.75,46.75,46.75,46.75,100,0
TMDV.US,60,20240423,190000,46.7306,46.7306,46.7306,46.7306,175,0
TMDV.US,60,20240423,200000,46.75,46.75,46.75,46.75,567,0
TMDV.US,60,20240424,170000,46.6,46.6,46.6,46.6,100,0
TMDV.US,60,20240424,220000,46.79,46.7901,46.79,46.7901,200,0
TMDV.US,60,20240425,190000,46.4902,46.4902,46.49,46.49,304,0
TMDV.US,60,20240426,160000,46.6,46.6,46.6,46.6,254,0
TMDV.US,60,20240426,170000,46.69,46.69,46.69,46.69,100,0
TMDV.US,60,20240501,220000,46.5898,46.59,46.5898,46.59,233,0
TMDV.US,60,20240509,190000,47.06,47.42,47.06,47.42,800,0
TMDV.US,60,20240509,210000,47.48,47.48,47.48,47.48,100,0
TMDV.US,60,20240510,220000,47.79,47.79,47.79,47.79,100,0
TMDV.US,60,20240513,200000,47.858,47.858,47.825,47.825,300,0
TMDV.US,60,20240520,220000,47.68,47.82,47.6799,47.82,300,0
TMDV.US,60,20240522,170000,47.57,47.6001,47.56,47.562,2028,0
TMDV.US,60,20240522,220000,47.38,47.38,47.38,47.38,400,0
TMDV.US,60,20240531,190000,46.1694,46.1694,46.1694,46.1694,106,0
TMDV.US,60,20240604,180000,46.36,46.36,46.26,46.26,670,0
TMDV.US,60,20240605,220000,46.1306,46.1306,46.1306,46.1306,280,0
