<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VUSB.US,60,20240411,160000,49.35,49.36,49.35,49.3599,40267,0
VUSB.US,60,20240411,170000,49.35,49.36,49.34,49.36,329958,0
VUSB.US,60,20240411,180000,49.355,49.36,49.34,49.35,117649,0
VUSB.US,60,20240411,190000,49.35,49.35,49.34,49.346,27880,0
VUSB.US,60,20240411,200000,49.3458,49.36,49.34,49.355,61988,0
VUSB.US,60,20240411,210000,49.35,49.36,49.35,49.35,53666,0
VUSB.US,60,20240411,220000,49.355,49.36,49.35,49.36,79758,0
VUSB.US,60,20240412,160000,49.37,49.38,49.37,49.373,52907,0
VUSB.US,60,20240412,170000,49.38,49.38,49.37,49.375,50138,0
VUSB.US,60,20240412,180000,49.3744,49.38,49.37,49.375,30613,0
VUSB.US,60,20240412,190000,49.376,49.38,49.37,49.3775,45774,0
VUSB.US,60,20240412,200000,49.38,49.38,49.37,49.38,87683,0
VUSB.US,60,20240412,210000,49.38,49.38,49.37,49.38,95793,0
VUSB.US,60,20240412,220000,49.38,49.38,49.37,49.38,134324,0
VUSB.US,60,20240415,160000,49.34,49.3587,49.33,49.3352,75223,0
VUSB.US,60,20240415,170000,49.34,49.35,49.33,49.34,51850,0
VUSB.US,60,20240415,180000,49.345,49.35,49.34,49.345,106754,0
VUSB.US,60,20240415,190000,49.345,49.35,49.34,49.345,89535,0
VUSB.US,60,20240415,200000,49.345,49.35,49.34,49.34,64203,0
VUSB.US,60,20240415,210000,49.34,49.35,49.33,49.345,222879,0
VUSB.US,60,20240415,220000,49.35,49.36,49.34,49.345,211154,0
VUSB.US,60,20240416,160000,49.34,49.35,49.34,49.34,31053,0
VUSB.US,60,20240416,170000,49.34,49.35,49.34,49.345,57896,0
VUSB.US,60,20240416,180000,49.345,49.35,49.34,49.345,204385,0
VUSB.US,60,20240416,190000,49.34,49.35,49.34,49.345,34751,0
VUSB.US,60,20240416,200000,49.345,49.3487,49.32,49.325,35129,0
VUSB.US,60,20240416,210000,49.325,49.34,49.32,49.335,67697,0
VUSB.US,60,20240416,220000,49.33,49.34,49.33,49.335,41307,0
VUSB.US,60,20240417,160000,49.35,49.37,49.35,49.36,38287,0
VUSB.US,60,20240417,170000,49.364,49.37,49.36,49.37,26785,0
VUSB.US,60,20240417,180000,49.37,49.38,49.3631,49.375,108293,0
VUSB.US,60,20240417,190000,49.38,49.39,49.37,49.387,28340,0
VUSB.US,60,20240417,200000,49.39,49.39,49.38,49.385,50588,0
VUSB.US,60,20240417,210000,49.39,49.39,49.37,49.375,131280,0
VUSB.US,60,20240417,220000,49.376,49.38,49.37,49.38,59007,0
VUSB.US,60,20240418,160000,49.4,49.4,49.37,49.37,15576,0
VUSB.US,60,20240418,170000,49.37,49.38,49.37,49.3787,15349,0
VUSB.US,60,20240418,180000,49.37,49.38,49.37,49.37,91254,0
VUSB.US,60,20240418,190000,49.37,49.38,49.365,49.37,56470,0
VUSB.US,60,20240418,200000,49.365,49.37,49.36,49.365,29380,0
VUSB.US,60,20240418,210000,49.3699,49.37,49.36,49.37,97660,0
VUSB.US,60,20240418,220000,49.36,49.37,49.36,49.36,47036,0
VUSB.US,60,20240419,160000,49.39,49.39,49.38,49.38,93298,0
VUSB.US,60,20240419,170000,49.38,49.39,49.38,49.385,91076,0
VUSB.US,60,20240419,180000,49.385,49.39,49.38,49.385,37136,0
VUSB.US,60,20240419,190000,49.3899,49.39,49.38,49.385,29035,0
VUSB.US,60,20240419,200000,49.385,49.39,49.38,49.38,30836,0
VUSB.US,60,20240419,210000,49.38,49.39,49.38,49.385,45304,0
VUSB.US,60,20240419,220000,49.385,49.39,49.38,49.385,54010,0
VUSB.US,60,20240422,160000,49.4,49.4,49.39,49.395,157805,0
VUSB.US,60,20240422,170000,49.395,49.4,49.39,49.395,355366,0
VUSB.US,60,20240422,180000,49.3989,49.4,49.39,49.395,76560,0
VUSB.US,60,20240422,190000,49.395,49.4,49.39,49.395,172813,0
VUSB.US,60,20240422,200000,49.3901,49.4,49.39,49.395,24346,0
VUSB.US,60,20240422,210000,49.395,49.4,49.39,49.394,43667,0
VUSB.US,60,20240422,220000,49.39,49.4,49.39,49.4,68610,0
VUSB.US,60,20240423,160000,49.4,49.43,49.4,49.425,137333,0
VUSB.US,60,20240423,170000,49.43,49.43,49.42,49.425,197798,0
VUSB.US,60,20240423,180000,49.43,49.43,49.42,49.42,45930,0
VUSB.US,60,20240423,190000,49.425,49.445,49.42,49.44,138014,0
VUSB.US,60,20240423,200000,49.445,49.446,49.43,49.4389,87577,0
VUSB.US,60,20240423,210000,49.435,49.44,49.43,49.44,435311,0
VUSB.US,60,20240423,220000,49.435,49.44,49.43,49.435,52710,0
VUSB.US,60,20240424,160000,49.43,49.4399,49.42,49.43,48638,0
VUSB.US,60,20240424,170000,49.4294,49.44,49.4217,49.43,41815,0
VUSB.US,60,20240424,180000,49.425,49.44,49.4101,49.42,203949,0
VUSB.US,60,20240424,190000,49.42,49.44,49.42,49.435,454346,0
VUSB.US,60,20240424,200000,49.435,49.44,49.43,49.44,35519,0
VUSB.US,60,20240424,210000,49.43,49.44,49.43,49.4301,43161,0
VUSB.US,60,20240424,220000,49.4397,49.44,49.43,49.44,70625,0
VUSB.US,60,20240425,160000,49.44,49.44,49.42,49.42,98606,0
VUSB.US,60,20240425,170000,49.43,49.43,49.41,49.42,109368,0
VUSB.US,60,20240425,180000,49.42,49.43,49.41,49.43,455755,0
VUSB.US,60,20240425,190000,49.43,49.435,49.42,49.43,54307,0
VUSB.US,60,20240425,200000,49.435,49.44,49.43,49.435,27731,0
VUSB.US,60,20240425,210000,49.435,49.44,49.42,49.4259,110756,0
VUSB.US,60,20240425,220000,49.43,49.43,49.42,49.43,163579,0
VUSB.US,60,20240426,160000,49.45,49.45,49.44,49.45,78110,0
VUSB.US,60,20240426,170000,49.4413,49.45,49.44,49.445,39500,0
VUSB.US,60,20240426,180000,49.445,49.45,49.44,49.445,28739,0
VUSB.US,60,20240426,190000,49.445,49.45,49.44,49.445,447915,0
VUSB.US,60,20240426,200000,49.44,49.45,49.44,49.44,61230,0
VUSB.US,60,20240426,210000,49.44,49.44,49.43,49.44,24841,0
VUSB.US,60,20240426,220000,49.435,49.44,49.43,49.435,121384,0
VUSB.US,60,20240429,160000,49.44,49.46,49.44,49.46,143199,0
VUSB.US,60,20240429,170000,49.46,49.47,49.455,49.455,59480,0
VUSB.US,60,20240429,180000,49.455,49.46,49.45,49.46,79869,0
VUSB.US,60,20240429,190000,49.46,49.46,49.45,49.4501,25280,0
VUSB.US,60,20240429,200000,49.46,49.48,49.45,49.465,193348,0
VUSB.US,60,20240429,210000,49.4699,49.47,49.45,49.46,40001,0
VUSB.US,60,20240429,220000,49.455,49.46,49.45,49.455,67770,0
VUSB.US,60,20240430,160000,49.46,49.46,49.4402,49.455,16935,0
VUSB.US,60,20240430,170000,49.45,49.46,49.45,49.455,37883,0
VUSB.US,60,20240430,180000,49.45,49.46,49.45,49.45,71195,0
VUSB.US,60,20240430,190000,49.4542,49.46,49.45,49.4512,21789,0
VUSB.US,60,20240430,200000,49.4575,49.46,49.45,49.46,50563,0
VUSB.US,60,20240430,210000,49.45,49.46,49.45,49.46,25669,0
VUSB.US,60,20240430,220000,49.4501,49.4586,49.44,49.44,69128,0
VUSB.US,60,20240501,160000,49.24,49.26,49.24,49.245,11068,0
VUSB.US,60,20240501,170000,49.2403,49.25,49.24,49.25,31194,0
