<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUB.US,60,20240411,160000,32.74,32.74,32.36,32.38,10168,0
AUB.US,60,20240411,170000,32.31,32.31,31.97,32.19,35606,0
AUB.US,60,20240411,180000,32.14,32.45,32.07,32.44,15212,0
AUB.US,60,20240411,190000,32.44,32.44,32.24,32.35,9107,0
AUB.US,60,20240411,200000,32.33,32.6,32.3,32.58,13865,0
AUB.US,60,20240411,210000,32.5466,32.6255,32.46,32.46,27100,0
AUB.US,60,20240411,220000,32.44,32.53,32.32,32.35,135427,0
AUB.US,60,20240412,160000,32.01,32.33,31.86,31.965,12788,0
AUB.US,60,20240412,170000,31.9,32.07,31.83,31.88,27384,0
AUB.US,60,20240412,180000,31.94,32.155,31.88,32.1,14060,0
AUB.US,60,20240412,190000,32.07,32.09,31.95,32.09,15850,0
AUB.US,60,20240412,200000,32.07,32.15,31.96,32.04,22799,0
AUB.US,60,20240412,210000,32.025,32.14,32.01,32.06,15325,0
AUB.US,60,20240412,220000,32.02,32.13,31.97,32.06,148884,0
AUB.US,60,20240415,160000,32.15,32.54,32.1,32.1,10958,0
AUB.US,60,20240415,170000,31.995,32.09,31.71,31.885,16137,0
AUB.US,60,20240415,180000,31.905,32.06,31.83,32.06,16500,0
AUB.US,60,20240415,190000,32.1,32.14,31.96,31.97,12909,0
AUB.US,60,20240415,200000,31.97,32.07,31.7,31.87,25600,0
AUB.US,60,20240415,210000,31.91,31.98,31.6,31.69,16126,0
AUB.US,60,20240415,220000,31.7,31.89,31.68,31.88,78127,0
AUB.US,60,20240416,160000,31.5,31.73,31.5,31.59,17090,0
AUB.US,60,20240416,170000,31.54,31.72,31.53,31.64,18690,0
AUB.US,60,20240416,180000,31.63,31.81,31.62,31.78,11460,0
AUB.US,60,20240416,190000,31.73,31.87,31.66,31.755,19617,0
AUB.US,60,20240416,200000,31.74,31.795,31.52,31.665,22445,0
AUB.US,60,20240416,210000,31.6,31.83,31.55,31.69,18649,0
AUB.US,60,20240416,220000,31.72,31.875,31.65,31.8,234036,0
AUB.US,60,20240417,160000,32.09,32.33,31.99,32.2,10631,0
AUB.US,60,20240417,170000,32.2,32.2,31.88,31.92,25462,0
AUB.US,60,20240417,180000,31.935,32.04,31.78,31.915,23370,0
AUB.US,60,20240417,190000,31.9,31.92,31.78,31.82,12439,0
AUB.US,60,20240417,200000,31.87,32.115,31.87,32.01,13846,0
AUB.US,60,20240417,210000,32.03,32.06,31.77,31.88,23234,0
AUB.US,60,20240417,220000,31.86,31.91,31.78,31.82,1440185,0
AUB.US,60,20240418,160000,31.92,32.25,31.92,32.25,8843,0
AUB.US,60,20240418,170000,32.16,32.49,32.09,32.47,12731,0
AUB.US,60,20240418,180000,32.49,32.56,32.38,32.41,14942,0
AUB.US,60,20240418,190000,32.41,32.46,32.24,32.31,16505,0
AUB.US,60,20240418,200000,32.31,32.425,32.24,32.39,20881,0
AUB.US,60,20240418,210000,32.39,32.46,32.17,32.22,19149,0
AUB.US,60,20240418,220000,32.23,32.47,32.18,32.18,213720,0
AUB.US,60,20240419,160000,32.13,32.735,32.12,32.725,23520,0
AUB.US,60,20240419,170000,32.75,32.92,32.7,32.79,13939,0
AUB.US,60,20240419,180000,32.79,33,32.74,32.99,17235,0
AUB.US,60,20240419,190000,32.9675,33.02,32.77,33.01,17504,0
AUB.US,60,20240419,200000,33.03,33.09,32.9,32.97,24458,0
AUB.US,60,20240419,210000,32.92,32.92,32.67,32.88,17310,0
