<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BFS.US,60,20240411,160000,36.5,36.717,36.3372,36.49,2389,0
BFS.US,60,20240411,170000,36.41,36.41,36.4,36.4,299,0
BFS.US,60,20240411,180000,36.29,36.6245,36.29,36.6201,2728,0
BFS.US,60,20240411,190000,36.74,36.9975,36.695,36.9975,6468,0
BFS.US,60,20240411,200000,37.05,37.25,37.035,37.25,4338,0
BFS.US,60,20240411,210000,37.279,37.279,36.9,36.9,7369,0
BFS.US,60,20240411,220000,36.82,37.04,36.82,37.04,31397,0
BFS.US,60,20240412,160000,36.45,36.45,36.3,36.36,1259,0
BFS.US,60,20240412,170000,36.35,36.35,36.13,36.23,2555,0
BFS.US,60,20240412,180000,36.225,36.31,36.18,36.185,2413,0
BFS.US,60,20240412,190000,36.25,36.315,36.22,36.22,1615,0
BFS.US,60,20240412,200000,36.21,36.24,36.03,36.065,3273,0
BFS.US,60,20240412,210000,36.095,36.23,36.095,36.17,3642,0
BFS.US,60,20240412,220000,36.14,36.27,36.05,36.24,16718,0
BFS.US,60,20240415,160000,36.26,36.55,36.17,36.17,970,0
BFS.US,60,20240415,180000,36.03,36.08,35.95,36.0352,2012,0
BFS.US,60,20240415,190000,36.07,36.07,35.8,35.8,1487,0
BFS.US,60,20240415,200000,35.76,35.8777,35.75,35.835,4229,0
BFS.US,60,20240415,210000,35.835,35.89,35.66,35.66,3121,0
BFS.US,60,20240415,220000,35.5407,35.89,35.51,35.86,15168,0
BFS.US,60,20240416,160000,35.52,35.57,35.28,35.29,1654,0
BFS.US,60,20240416,170000,35.34,35.53,35.34,35.53,1293,0
BFS.US,60,20240416,180000,35.59,35.7273,35.5691,35.7273,994,0
BFS.US,60,20240416,190000,35.59,35.67,35.53,35.54,1105,0
BFS.US,60,20240416,200000,35.43,35.59,35.43,35.4986,3535,0
BFS.US,60,20240416,210000,35.54,35.6,35.38,35.51,1333,0
BFS.US,60,20240416,220000,35.46,35.51,35.43,35.51,13504,0
BFS.US,60,20240417,160000,35.49,35.49,35.29,35.425,1691,0
BFS.US,60,20240417,170000,35.235,35.29,35.15,35.19,2039,0
BFS.US,60,20240417,180000,35.21,35.24,35.01,35.02,1641,0
BFS.US,60,20240417,190000,35.05,35.105,34.98,35.04,2088,0
BFS.US,60,20240417,200000,35.09,35.35,35.09,35.32,1829,0
BFS.US,60,20240417,210000,35.405,35.405,35.125,35.125,2978,0
BFS.US,60,20240417,220000,35.08,35.22,35.01,35.14,16549,0
BFS.US,60,20240418,160000,35.18,35.21,35.1,35.2,500,0
BFS.US,60,20240418,170000,35.2001,35.42,35.2001,35.42,1200,0
BFS.US,60,20240418,180000,35.53,35.5774,35.5,35.5,521,0
BFS.US,60,20240418,190000,35.47,35.47,35.34,35.37,799,0
BFS.US,60,20240418,200000,35.305,35.365,35.2,35.35,2460,0
BFS.US,60,20240418,210000,35.37,35.37,35.31,35.31,200,0
BFS.US,60,20240418,220000,35.34,35.47,35.33,35.45,16699,0
BFS.US,60,20240419,160000,35.45,35.53,35.45,35.53,2368,0
BFS.US,60,20240419,180000,35.935,35.96,35.9,35.905,1180,0
BFS.US,60,20240419,190000,35.89,36,35.825,35.9771,1200,0
BFS.US,60,20240419,200000,36.01,36.17,36.01,36.12,1931,0
BFS.US,60,20240419,210000,36.06,36.17,35.96,36.169,6317,0
BFS.US,60,20240419,220000,36.1,36.42,36.06,36.33,12015,0
BFS.US,60,20240422,160000,36.27,36.375,36.27,36.3,1214,0
BFS.US,60,20240422,170000,36.33,36.35,36.1,36.1,6025,0
BFS.US,60,20240422,180000,36.17,36.325,36,36.04,3925,0
BFS.US,60,20240422,190000,36.05,36.335,36.04,36.335,5056,0
BFS.US,60,20240422,200000,36.445,36.5,36.34,36.43,1892,0
BFS.US,60,20240422,210000,36.445,36.445,36,36.06,4782,0
BFS.US,60,20240422,220000,36.125,36.39,36.01,36.1,29130,0
BFS.US,60,20240423,160000,36.05,36.26,36.05,36.26,563,0
BFS.US,60,20240423,170000,36.325,36.36,36.28,36.36,905,0
BFS.US,60,20240423,180000,36.375,36.45,36.18,36.2575,3764,0
BFS.US,60,20240423,190000,36.19,36.265,36.165,36.225,3729,0
BFS.US,60,20240423,200000,36.225,36.28,36.225,36.27,2900,0
BFS.US,60,20240423,210000,36.24,36.27,36.1,36.22,4332,0
BFS.US,60,20240423,220000,36.28,36.45,36.21,36.44,21519,0
BFS.US,60,20240424,160000,36.1,36.27,36.1,36.27,626,0
BFS.US,60,20240424,170000,36.44,36.44,36.17,36.25,1524,0
BFS.US,60,20240424,180000,36.26,36.26,36.04,36.23,700,0
BFS.US,60,20240424,190000,36.14,36.4,36.14,36.4,514,0
BFS.US,60,20240424,200000,36.24,36.37,36.24,36.26,673,0
