<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BN.US,60,20240411,160000,39.38,39.49,39.24,39.31,222294,0
BN.US,60,20240411,170000,39.31,39.315,38.985,39.0345,643170,0
BN.US,60,20240411,180000,39.04,39.46,39.02,39.44,214449,0
BN.US,60,20240411,190000,39.4501,39.47,39.295,39.36,144122,0
BN.US,60,20240411,200000,39.355,39.63,39.31,39.595,176088,0
BN.US,60,20240411,210000,39.6,39.735,39.58,39.605,161558,0
BN.US,60,20240411,220000,39.605,39.779,39.6,39.72,610968,0
BN.US,60,20240412,160000,39.21,39.65,39.12,39.53,152576,0
BN.US,60,20240412,170000,39.56,39.57,39.135,39.2,456131,0
BN.US,60,20240412,180000,39.2,39.36,39.15,39.325,352137,0
BN.US,60,20240412,190000,39.325,39.34,39.21,39.255,405588,0
BN.US,60,20240412,200000,39.255,39.29,39.04,39.245,377955,0
BN.US,60,20240412,210000,39.245,39.29,39.1,39.175,534753,0
BN.US,60,20240412,220000,39.175,39.33,39.135,39.3,1047705,0
BN.US,60,20240415,160000,39.56,39.94,39.56,39.65,122203,0
BN.US,60,20240415,170000,39.66,39.67,39.025,39.04,351450,0
BN.US,60,20240415,180000,39.045,39.1801,38.975,39.14,405515,0
BN.US,60,20240415,190000,39.145,39.21,39,39.045,351184,0
BN.US,60,20240415,200000,39.045,39.045,38.7,38.87,533372,0
BN.US,60,20240415,210000,38.87,38.91,38.66,38.68,835889,0
BN.US,60,20240415,220000,38.68,39.015,38.65,38.99,1743589,0
BN.US,60,20240416,160000,38.5,38.8,38.32,38.455,342747,0
BN.US,60,20240416,170000,38.455,38.52,38.18,38.2,750773,0
BN.US,60,20240416,180000,38.195,38.67,38.195,38.585,531034,0
BN.US,60,20240416,190000,38.58,38.715,38.495,38.7,290962,0
BN.US,60,20240416,200000,38.7,38.77,38.44,38.68,328993,0
BN.US,60,20240416,210000,38.675,38.91,38.5,38.765,413209,0
BN.US,60,20240416,220000,38.77,38.915,38.67,38.72,1212994,0
BN.US,60,20240417,160000,39,39.245,38.83,39.16,152108,0
BN.US,60,20240417,170000,39.165,39.165,38.86,38.955,705823,0
BN.US,60,20240417,180000,38.96,39.06,38.79,38.965,545255,0
BN.US,60,20240417,190000,38.96,38.97,38.645,38.8,504994,0
BN.US,60,20240417,200000,38.79,39.08,38.78,39.065,315571,0
BN.US,60,20240417,210000,39.065,39.2,38.99,39.02,279684,0
BN.US,60,20240417,220000,39.015,39.11,38.95,39.01,1074109,0
BN.US,60,20240418,160000,39.16,39.16,38.715,38.9,133365,0
BN.US,60,20240418,170000,38.905,38.965,38.68,38.905,330420,0
BN.US,60,20240418,180000,38.91,39.07,38.805,38.87,199485,0
BN.US,60,20240418,190000,38.87,38.915,38.625,38.655,230086,0
BN.US,60,20240418,200000,38.655,38.685,38.43,38.52,319385,0
BN.US,60,20240418,210000,38.515,38.6,38.41,38.42,281797,0
BN.US,60,20240418,220000,38.42,38.6,38.32,38.58,941789,0
BN.US,60,20240419,160000,38.64,39.01,38.505,38.96,76220,0
BN.US,60,20240419,170000,38.995,39.06,38.785,38.905,221684,0
BN.US,60,20240419,180000,38.895,38.96,38.81,38.835,148265,0
BN.US,60,20240419,190000,38.85,38.88,38.65,38.835,134711,0
BN.US,60,20240419,200000,38.83,38.8656,38.73,38.775,170965,0
BN.US,60,20240419,210000,38.77,38.77,38.57,38.68,251050,0
BN.US,60,20240419,220000,38.68,39.025,38.65,39,703987,0
BN.US,60,20240422,160000,39.24,39.35,38.965,39.21,86359,0
BN.US,60,20240422,170000,39.23,39.315,38.96,38.96,196112,0
BN.US,60,20240422,180000,38.955,39.12,38.89,39.12,183643,0
BN.US,60,20240422,190000,39.145,39.4,39.12,39.39,88840,0
BN.US,60,20240422,200000,39.38,39.7,39.335,39.655,90133,0
BN.US,60,20240422,210000,39.65,39.76,39.53,39.66,181965,0
BN.US,60,20240422,220000,39.67,39.725,39.5548,39.61,432729,0
BN.US,60,20240423,160000,39.75,39.86,39.48,39.84,122845,0
BN.US,60,20240423,170000,39.85,40.14,39.82,40.065,498665,0
BN.US,60,20240423,180000,40.075,40.255,39.97,40.095,224382,0
BN.US,60,20240423,190000,40.1,40.32,40.07,40.305,80758,0
BN.US,60,20240423,200000,40.3001,40.4,40.23,40.375,144302,0
BN.US,60,20240423,210000,40.37,40.5,40.365,40.44,158974,0
BN.US,60,20240423,220000,40.44,40.45,40.29,40.37,599556,0
BN.US,60,20240424,160000,40.28,40.53,40.17,40.48,149818,0
BN.US,60,20240424,170000,40.48,40.52,39.995,40,229441,0
BN.US,60,20240424,180000,40.01,40.045,39.86,40.02,200667,0
BN.US,60,20240424,190000,40.025,40.13,39.95,40.125,227348,0
BN.US,60,20240424,200000,40.125,40.45,40.12,40.44,163225,0
BN.US,60,20240424,210000,40.44,40.44,40.28,40.41,217368,0
BN.US,60,20240424,220000,40.41,40.615,40.4,40.53,799784,0
BN.US,60,20240425,160000,39.93,39.97,39.3,39.43,206542,0
BN.US,60,20240425,170000,39.43,39.78,39.275,39.7155,245315,0
BN.US,60,20240425,180000,39.715,40.08,39.71,40.08,176130,0
BN.US,60,20240425,190000,40.06,40.195,40.03,40.16,186859,0
BN.US,60,20240425,200000,40.16,40.34,40.07,40.33,216112,0
BN.US,60,20240425,210000,40.34,40.34,40.145,40.25,305100,0
BN.US,60,20240425,220000,40.245,40.36,40.19,40.23,751831,0
BN.US,60,20240426,160000,40.37,40.75,40.23,40.74,110944,0
BN.US,60,20240426,170000,40.735,40.77,40.53,40.55,330577,0
BN.US,60,20240426,180000,40.56,40.61,40.42,40.58,238548,0
BN.US,60,20240426,190000,40.58,40.83,40.555,40.78,123762,0
BN.US,60,20240426,200000,40.79,40.8302,40.645,40.655,65400,0
BN.US,60,20240426,210000,40.67,40.9,40.64,40.89,132955,0
BN.US,60,20240426,220000,40.885,40.98,40.7525,40.96,935422,0
BN.US,60,20240429,160000,41.04,41.28,40.92,41.05,132091,0
BN.US,60,20240429,170000,41.06,41.12,40.94,41,225793,0
