<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRDG.US,60,20240411,160000,6.9,7.02,6.855,6.995,7757,0
BRDG.US,60,20240411,170000,7.01,7.07,6.89,6.89,28263,0
BRDG.US,60,20240411,180000,6.85,6.925,6.84,6.925,8746,0
BRDG.US,60,20240411,190000,6.92,6.92,6.85,6.85,20451,0
BRDG.US,60,20240411,200000,6.86,6.975,6.86,6.945,12352,0
BRDG.US,60,20240411,210000,6.94,6.945,6.71,6.83,88352,0
BRDG.US,60,20240411,220000,6.83,6.85,6.66,6.7,86832,0
BRDG.US,60,20240412,160000,6.75,6.765,6.7,6.74,6639,0
BRDG.US,60,20240412,170000,6.75,6.78,6.75,6.78,6689,0
BRDG.US,60,20240412,180000,6.78,6.94,6.78,6.94,85055,0
BRDG.US,60,20240412,190000,6.95,6.96,6.89,6.9,16877,0
BRDG.US,60,20240412,200000,6.9,6.94,6.9,6.91,9831,0
BRDG.US,60,20240412,210000,6.902,6.92,6.85,6.885,25393,0
BRDG.US,60,20240412,220000,6.88,6.91,6.85,6.9,49425,0
BRDG.US,60,20240415,160000,6.95,7,6.91,6.9422,5673,0
BRDG.US,60,20240415,170000,6.95,6.96,6.85,6.9,21531,0
BRDG.US,60,20240415,180000,6.9,6.93,6.895,6.93,12102,0
BRDG.US,60,20240415,190000,6.925,6.9278,6.87,6.875,6805,0
BRDG.US,60,20240415,200000,6.87,6.87,6.8,6.8,20346,0
BRDG.US,60,20240415,210000,6.815,6.84,6.69,6.7,19061,0
BRDG.US,60,20240415,220000,6.71,6.83,6.71,6.82,69355,0
BRDG.US,60,20240416,160000,6.81,6.85,6.76,6.85,13644,0
BRDG.US,60,20240416,170000,6.83,6.9,6.8,6.89,13741,0
BRDG.US,60,20240416,180000,6.88,6.905,6.86,6.9,16625,0
BRDG.US,60,20240416,190000,6.9,6.99,6.9,6.98,26560,0
BRDG.US,60,20240416,200000,6.96,6.98,6.85,6.86,44173,0
BRDG.US,60,20240416,210000,6.85,6.87,6.79,6.815,40194,0
