<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUI.US,60,20240411,160000,20.81,20.87,20.77,20.77,3800,0
BUI.US,60,20240411,170000,20.74,20.76,20.68,20.75,9139,0
BUI.US,60,20240411,180000,20.73,20.8,20.73,20.79,5214,0
BUI.US,60,20240411,190000,20.8,20.81,20.78,20.81,3518,0
BUI.US,60,20240411,200000,20.81,20.85,20.8046,20.84,3449,0
BUI.US,60,20240411,210000,20.804,20.93,20.804,20.9172,13919,0
BUI.US,60,20240411,220000,20.9043,20.95,20.83,20.85,16955,0
BUI.US,60,20240412,160000,20.62,20.76,20.62,20.76,7668,0
BUI.US,60,20240412,170000,20.73,20.7438,20.6901,20.7,3482,0
BUI.US,60,20240412,180000,20.7,20.74,20.66,20.74,8674,0
BUI.US,60,20240412,190000,20.745,20.7628,20.68,20.68,6934,0
BUI.US,60,20240412,200000,20.68,20.7,20.62,20.7,7877,0
BUI.US,60,20240412,210000,20.6516,20.69,20.62,20.62,7780,0
BUI.US,60,20240412,220000,20.62,20.6291,20.51,20.56,12579,0
BUI.US,60,20240415,160000,20.67,20.76,20.67,20.715,3917,0
BUI.US,60,20240415,170000,20.655,20.68,20.56,20.56,8106,0
BUI.US,60,20240415,180000,20.58,20.6,20.52,20.54,14840,0
BUI.US,60,20240415,190000,20.55,20.57,20.5,20.5001,6822,0
BUI.US,60,20240415,200000,20.5001,20.5199,20.46,20.46,9051,0
BUI.US,60,20240415,210000,20.46,20.47,20.395,20.4,6737,0
BUI.US,60,20240415,220000,20.39,20.39,20.26,20.27,10457,0
BUI.US,60,20240416,160000,20.25,20.4599,20.17,20.2,6446,0
BUI.US,60,20240416,170000,20.1855,20.2199,20.17,20.199,8249,0
BUI.US,60,20240416,180000,20.18,20.21,20.17,20.19,4242,0
BUI.US,60,20240416,190000,20.225,20.28,20.225,20.2264,1291,0
BUI.US,60,20240416,200000,20.28,20.28,20.2,20.25,4960,0
BUI.US,60,20240416,210000,20.28,20.31,20.21,20.28,7885,0
BUI.US,60,20240416,220000,20.29,20.295,20.19,20.2,5178,0
BUI.US,60,20240417,160000,20.32,20.58,20.32,20.55,10880,0
BUI.US,60,20240417,170000,20.53,20.54,20.425,20.4294,5756,0
BUI.US,60,20240417,180000,20.43,20.5,20.43,20.48,5760,0
BUI.US,60,20240417,190000,20.49,20.49,20.3859,20.3859,7274,0
BUI.US,60,20240417,200000,20.44,20.57,20.44,20.57,6152,0
BUI.US,60,20240417,210000,20.545,20.56,20.49,20.515,3993,0
BUI.US,60,20240417,220000,20.54,20.571,20.51,20.55,5399,0
BUI.US,60,20240418,160000,20.54,20.6,20.51,20.6,1111,0
BUI.US,60,20240418,170000,20.5101,20.61,20.5101,20.5751,7483,0
BUI.US,60,20240418,180000,20.57,20.6199,20.56,20.565,1524,0
BUI.US,60,20240418,190000,20.564,20.6013,20.564,20.58,6861,0
BUI.US,60,20240418,200000,20.5812,20.6001,20.57,20.6,3551,0
BUI.US,60,20240418,210000,20.6432,20.675,20.6401,20.675,2985,0
BUI.US,60,20240418,220000,20.67,20.7095,20.59,20.62,32032,0
BUI.US,60,20240419,160000,20.64,20.7388,20.62,20.65,1518,0
BUI.US,60,20240419,170000,20.695,20.78,20.6863,20.78,7705,0
BUI.US,60,20240419,180000,20.785,20.83,20.785,20.82,3110,0
BUI.US,60,20240419,190000,20.82,20.83,20.761,20.78,3781,0
BUI.US,60,20240419,200000,20.7999,20.82,20.774,20.82,1819,0
BUI.US,60,20240419,210000,20.7737,20.78,20.75,20.75,3677,0
BUI.US,60,20240419,220000,20.75,20.8098,20.75,20.78,4068,0
BUI.US,60,20240422,160000,20.97,20.97,20.79,20.809,9375,0
BUI.US,60,20240422,170000,20.8598,20.86,20.8101,20.85,4975,0
BUI.US,60,20240422,180000,20.87,20.87,20.8102,20.86,18836,0
BUI.US,60,20240422,190000,20.85,20.89,20.85,20.89,7067,0
BUI.US,60,20240422,200000,20.91,20.92,20.86,20.88,11443,0
BUI.US,60,20240422,210000,20.8738,20.94,20.8738,20.93,2552,0
BUI.US,60,20240422,220000,20.9314,20.94,20.9,20.9,7231,0
BUI.US,60,20240423,160000,21.06,21.08,20.9691,21.055,8783,0
BUI.US,60,20240423,170000,21.0658,21.2188,21.0658,21.17,19800,0
BUI.US,60,20240423,180000,21.2162,21.24,21.1926,21.24,3872,0
BUI.US,60,20240423,190000,21.2106,21.3,21.2106,21.245,5607,0
BUI.US,60,20240423,200000,21.24,21.2915,21.24,21.2684,2917,0
BUI.US,60,20240423,210000,21.26,21.274,21.2,21.24,8776,0
BUI.US,60,20240423,220000,21.2101,21.3,21.2101,21.25,10426,0
BUI.US,60,20240424,160000,21.37,21.37,21.275,21.3449,4127,0
BUI.US,60,20240424,170000,21.34,21.38,21.34,21.3594,1730,0
BUI.US,60,20240424,180000,21.36,21.375,21.33,21.34,10886,0
BUI.US,60,20240424,190000,21.36,21.37,21.33,21.3301,5498,0
BUI.US,60,20240424,200000,21.3235,21.4099,21.3207,21.35,3513,0
BUI.US,60,20240424,210000,21.4,21.41,21.38,21.3881,3735,0
BUI.US,60,20240424,220000,21.38,21.44,21.3601,21.38,15288,0
BUI.US,60,20240425,160000,21.3,21.3,21.15,21.2015,4933,0
BUI.US,60,20240425,170000,21.16,21.23,21.15,21.21,6586,0
BUI.US,60,20240425,180000,21.21,21.2226,21.2,21.2,1712,0
BUI.US,60,20240425,190000,21.22,21.27,21.22,21.27,3073,0
BUI.US,60,20240425,200000,21.26,21.279,21.22,21.2594,3220,0
BUI.US,60,20240425,210000,21.2748,21.2748,21.245,21.245,1570,0
BUI.US,60,20240425,220000,21.2433,21.2622,21.21,21.23,3397,0
