<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DEI.US,60,20240411,160000,13.28,13.38,13.18,13.365,86702,0
DEI.US,60,20240411,170000,13.36,13.38,13.21,13.235,330889,0
DEI.US,60,20240411,180000,13.24,13.595,13.225,13.56,312983,0
DEI.US,60,20240411,190000,13.555,13.575,13.42,13.46,131880,0
DEI.US,60,20240411,200000,13.465,13.56,13.455,13.545,80991,0
DEI.US,60,20240411,210000,13.55,13.62,13.535,13.5525,70863,0
DEI.US,60,20240411,220000,13.54,13.56,13.48,13.49,505365,0
DEI.US,60,20240412,160000,13.38,13.45,13.25,13.3,74302,0
DEI.US,60,20240412,170000,13.3,13.3,13.155,13.205,51637,0
DEI.US,60,20240412,180000,13.205,13.275,13.175,13.27,131735,0
DEI.US,60,20240412,190000,13.275,13.275,13.19,13.27,186152,0
DEI.US,60,20240412,200000,13.26,13.3,13.1295,13.225,263497,0
DEI.US,60,20240412,210000,13.225,13.24,13.11,13.115,290880,0
DEI.US,60,20240412,220000,13.11,13.29,13.07,13.26,605880,0
DEI.US,60,20240415,160000,13.34,13.385,13.14,13.22,162889,0
DEI.US,60,20240415,170000,13.23,13.25,13.08,13.08,86696,0
DEI.US,60,20240415,180000,13.08,13.155,13,13.145,117485,0
DEI.US,60,20240415,190000,13.145,13.165,12.98,12.995,108622,0
DEI.US,60,20240415,200000,12.99,13.005,12.865,12.975,112699,0
DEI.US,60,20240415,210000,12.98,12.985,12.83,12.865,158922,0
DEI.US,60,20240415,220000,12.865,12.95,12.83,12.93,540255,0
DEI.US,60,20240416,160000,12.78,12.78,12.5,12.62,75012,0
DEI.US,60,20240416,170000,12.58,12.67,12.54,12.64,124928,0
DEI.US,60,20240416,180000,12.64,12.79,12.63,12.77,162175,0
DEI.US,60,20240416,190000,12.77,12.845,12.7425,12.845,107801,0
DEI.US,60,20240416,200000,12.845,12.89,12.73,12.8,106454,0
DEI.US,60,20240416,210000,12.8,12.9,12.73,12.815,138369,0
DEI.US,60,20240416,220000,12.82,12.825,12.68,12.76,497986,0
DEI.US,60,20240417,160000,12.8,12.975,12.74,12.9,39881,0
DEI.US,60,20240417,170000,12.91,12.92,12.79,12.85,63805,0
DEI.US,60,20240417,180000,12.85,12.9,12.775,12.8,56661,0
DEI.US,60,20240417,190000,12.8,12.91,12.77,12.89,68454,0
DEI.US,60,20240417,200000,12.895,13.015,12.895,13.015,97327,0
DEI.US,60,20240417,210000,13.01,13.0491,12.9,12.915,85675,0
DEI.US,60,20240417,220000,12.91,12.955,12.87,12.88,633168,0
DEI.US,60,20240418,160000,12.94,13.02,12.815,12.91,36423,0
DEI.US,60,20240418,170000,12.94,13.11,12.89,13.08,99216,0
DEI.US,60,20240418,180000,13.085,13.11,13.02,13.06,165929,0
