<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DFH.US,60,20240411,160000,38.19,38.85,38.16,38.83,11776,0
DFH.US,60,20240411,170000,38.74,38.7698,38,38.23,14888,0
DFH.US,60,20240411,180000,38.22,38.555,38.2,38.555,19402,0
DFH.US,60,20240411,190000,38.64,38.64,38.37,38.43,15695,0
DFH.US,60,20240411,200000,38.39,38.5,38.25,38.46,19357,0
DFH.US,60,20240411,210000,38.43,38.52,38.325,38.43,18920,0
DFH.US,60,20240411,220000,38.435,38.47,38.26,38.3,125123,0
DFH.US,60,20240412,160000,37.69,37.98,37.33,37.85,81365,0
DFH.US,60,20240412,170000,37.73,38,37.35,37.855,36517,0
DFH.US,60,20240412,180000,37.89,38.215,37.79,38.06,19828,0
DFH.US,60,20240412,190000,38.1,38.1,37.87,37.97,40828,0
DFH.US,60,20240412,200000,37.965,38.305,37.925,38.25,15837,0
DFH.US,60,20240412,210000,38.26,38.4,38.12,38.14,36667,0
DFH.US,60,20240412,220000,38.1699,38.62,38.035,38.58,77179,0
DFH.US,60,20240415,160000,38.59,38.85,37.8,37.875,35710,0
DFH.US,60,20240415,170000,37.82,37.9,37.05,37.08,61055,0
DFH.US,60,20240415,180000,37.1383,37.5,37.1,37.35,23328,0
DFH.US,60,20240415,190000,37.37,37.3997,37.17,37.32,29848,0
DFH.US,60,20240415,200000,37.3,37.52,36.354,36.52,44076,0
DFH.US,60,20240415,210000,36.48,36.52,35.64,35.75,70508,0
DFH.US,60,20240415,220000,35.715,36.385,35.715,36.34,131511,0
DFH.US,60,20240416,160000,36.35,36.35,34.7413,35.05,46780,0
DFH.US,60,20240416,170000,35.005,35.19,34.3421,34.5086,72465,0
DFH.US,60,20240416,180000,34.5799,34.91,34.43,34.685,50960,0
DFH.US,60,20240416,190000,34.67,34.94,34.63,34.77,24446,0
DFH.US,60,20240416,200000,34.76,34.8,34.41,34.74,45659,0
DFH.US,60,20240416,210000,34.72,35.16,34.6507,35.01,32064,0
DFH.US,60,20240416,220000,34.9801,35.04,34.72,34.76,125622,0
DFH.US,60,20240417,160000,35,35.3,34.736,35.09,30927,0
DFH.US,60,20240417,170000,35.04,35.0616,34.34,34.51,35680,0
DFH.US,60,20240417,180000,34.61,34.87,34.5501,34.7931,28608,0
DFH.US,60,20240417,190000,34.73,34.8127,34.53,34.59,25889,0
DFH.US,60,20240417,200000,34.575,34.847,34.54,34.847,27997,0
DFH.US,60,20240417,210000,34.79,34.86,34.5,34.56,38530,0
DFH.US,60,20240417,220000,34.565,34.565,34.29,34.3,104134,0
DFH.US,60,20240418,160000,35.34,35.34,34.1715,34.45,22450,0
DFH.US,60,20240418,170000,34.47,35.29,34.2725,35.16,45197,0
DFH.US,60,20240418,180000,35.19,35.32,35.02,35.27,44232,0
DFH.US,60,20240418,190000,35.235,35.2575,34.37,34.455,68019,0
DFH.US,60,20240418,200000,34.41,34.5,33.92,34.24,31750,0
DFH.US,60,20240418,210000,34.29,34.4,34.08,34.32,31645,0
DFH.US,60,20240418,220000,34.31,34.41,34.06,34.19,128983,0
DFH.US,60,20240419,160000,33.83,34.39,33.77,34.24,20554,0
DFH.US,60,20240419,170000,34.28,34.28,33.35,33.62,29598,0
DFH.US,60,20240419,180000,33.5,33.505,33.11,33.16,47946,0
DFH.US,60,20240419,190000,33.16,33.4301,32.92,33.42,64742,0
DFH.US,60,20240419,200000,33.385,33.54,33.33,33.355,39802,0
DFH.US,60,20240419,210000,33.35,33.37,33.06,33.37,52018,0
DFH.US,60,20240419,220000,33.37,33.83,33.26,33.82,167640,0
DFH.US,60,20240422,160000,34.16,34.21,33.64,33.69,14935,0
DFH.US,60,20240422,170000,33.74,33.91,33.16,33.64,44624,0
DFH.US,60,20240422,180000,33.64,33.79,33.35,33.6,23044,0
DFH.US,60,20240422,190000,33.64,33.87,33.5,33.58,18862,0
DFH.US,60,20240422,200000,33.665,34.08,33.59,33.89,19464,0
DFH.US,60,20240422,210000,33.945,34.23,33.89,34.1,24951,0
DFH.US,60,20240422,220000,34.1,34.32,33.92,34.14,109768,0
DFH.US,60,20240423,160000,34.25,34.7,33.84,34.635,17865,0
DFH.US,60,20240423,170000,34.655,35.76,34.655,35.73,26508,0
DFH.US,60,20240423,180000,35.71,36.16,35.58,36.005,33660,0
DFH.US,60,20240423,190000,35.99,36.43,35.9,36.155,27264,0
DFH.US,60,20240423,200000,36.12,36.13,35.94,36.0914,25355,0
DFH.US,60,20240423,210000,36.05,36.3,35.95,36.25,29848,0
DFH.US,60,20240423,220000,36.24,36.47,35.9601,36.46,173253,0
DFH.US,60,20240424,160000,36.29,37.53,36.1,36.66,37158,0
DFH.US,60,20240424,170000,36.7,36.7,36.07,36.265,29876,0
DFH.US,60,20240424,180000,36.265,36.32,35.42,35.49,14848,0
DFH.US,60,20240424,190000,35.449,35.49,35.18,35.415,10971,0
DFH.US,60,20240424,200000,35.47,35.65,35.42,35.61,12026,0
DFH.US,60,20240424,210000,35.6,35.6,35.16,35.34,13122,0
DFH.US,60,20240424,220000,35.36,35.64,35.25,35.54,67086,0
DFH.US,60,20240425,160000,34.27,35.02,33.58,34.1104,16082,0
DFH.US,60,20240425,170000,34.01,34.584,33.83,34.15,28040,0
DFH.US,60,20240425,180000,34.2,34.59,34.19,34.55,11392,0
DFH.US,60,20240425,190000,34.53,34.87,34.51,34.75,10806,0
DFH.US,60,20240425,200000,34.74,35.13,34.61,35.03,12370,0
DFH.US,60,20240425,210000,35.035,35.21,34.83,35.02,17030,0
DFH.US,60,20240425,220000,35.08,35.51,35.02,35.34,94315,0
DFH.US,60,20240426,160000,35.62,36.3924,35.51,36.34,8503,0
DFH.US,60,20240426,170000,36.315,36.7,36.06,36.435,48011,0
DFH.US,60,20240426,180000,36.43,36.95,36.37,36.74,27090,0
DFH.US,60,20240426,190000,36.75,37.05,36.745,36.9946,5437,0
DFH.US,60,20240426,200000,36.96,37.0294,36.5,36.7,8202,0
DFH.US,60,20240426,210000,36.66,36.91,36.51,36.585,12146,0
DFH.US,60,20240426,220000,36.53,36.54,36.15,36.29,74511,0
DFH.US,60,20240429,160000,36.62,37.03,36.09,36.09,8245,0
DFH.US,60,20240429,170000,36.3,36.72,36.26,36.675,17861,0
DFH.US,60,20240429,180000,36.72,36.82,36.5899,36.59,6814,0
DFH.US,60,20240429,190000,36.61,36.8,36.535,36.5791,5300,0
DFH.US,60,20240429,200000,36.57,37,36.4985,36.82,10067,0
DFH.US,60,20240429,210000,36.72,36.8999,36.7,36.82,11112,0
DFH.US,60,20240429,220000,36.8,36.8,36.475,36.7,50746,0
DFH.US,60,20240430,160000,35.81,36.165,35.81,35.94,8477,0
DFH.US,60,20240430,170000,35.96,36.085,35.64,35.74,15397,0
DFH.US,60,20240430,180000,35.73,35.73,35.39,35.68,15349,0
