<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DOW.US,60,20240411,160000,58.96,59,58.5701,58.79,164045,0
DOW.US,60,20240411,170000,58.7826,58.785,58.29,58.35,243546,0
DOW.US,60,20240411,180000,58.345,58.65,58.315,58.605,180549,0
DOW.US,60,20240411,190000,58.61,58.625,58.42,58.51,179453,0
DOW.US,60,20240411,200000,58.5179,58.79,58.5,58.76,213101,0
DOW.US,60,20240411,210000,58.76,58.85,58.67,58.795,417096,0
DOW.US,60,20240411,220000,58.795,58.84,58.44,58.46,1338811,0
DOW.US,60,20240412,160000,58.12,58.62,58.0041,58.355,141978,0
DOW.US,60,20240412,170000,58.36,58.55,58.2001,58.35,266712,0
DOW.US,60,20240412,180000,58.35,58.415,58.21,58.345,246149,0
DOW.US,60,20240412,190000,58.335,58.39,57.94,58.02,290365,0
DOW.US,60,20240412,200000,58,58.035,57.78,57.92,325582,0
DOW.US,60,20240412,210000,57.905,58.02,57.755,57.795,283735,0
DOW.US,60,20240412,220000,57.79,57.83,57.56,57.69,1378253,0
DOW.US,60,20240415,160000,58.23,58.67,58.05,58.115,308401,0
DOW.US,60,20240415,170000,58.12,58.16,57.61,57.73,254068,0
DOW.US,60,20240415,180000,57.735,57.865,57.54,57.8,202303,0
DOW.US,60,20240415,190000,57.825,57.83,57.36,57.425,212782,0
DOW.US,60,20240415,200000,57.41,57.43,57.06,57.26,251698,0
DOW.US,60,20240415,210000,57.25,57.28,56.96,57.0203,271808,0
DOW.US,60,20240415,220000,57.03,57.38,56.915,57.32,1445990,0
DOW.US,60,20240416,160000,56.98,57.06,56.64,56.78,185288,0
DOW.US,60,20240416,170000,56.77,56.975,56.645,56.685,314884,0
DOW.US,60,20240416,180000,56.685,56.97,56.65,56.88,236400,0
DOW.US,60,20240416,190000,56.87,57.01,56.82,56.93,190496,0
DOW.US,60,20240416,200000,56.935,57.0101,56.68,56.86,254180,0
DOW.US,60,20240416,210000,56.855,57.12,56.7,57.09,226017,0
DOW.US,60,20240416,220000,57.09,57.09,56.7809,56.86,890227,0
DOW.US,60,20240417,160000,57.17,57.36,57.04,57.24,185703,0
DOW.US,60,20240417,170000,57.255,57.26,56.83,56.89,225577,0
DOW.US,60,20240417,180000,56.89,56.97,56.67,56.82,220488,0
DOW.US,60,20240417,190000,56.81,56.875,56.68,56.76,276207,0
DOW.US,60,20240417,200000,56.735,57.08,56.705,57.07,149545,0
DOW.US,60,20240417,210000,57.075,57.14,56.8525,56.93,173855,0
DOW.US,60,20240417,220000,56.92,56.93,56.79,56.82,907544,0
DOW.US,60,20240418,160000,57.3,57.3,56.575,56.765,171304,0
DOW.US,60,20240418,170000,56.76,56.92,56.53,56.81,219731,0
DOW.US,60,20240418,180000,56.8,56.8899,56.66,56.685,190387,0
DOW.US,60,20240418,190000,56.685,56.75,56.525,56.53,168550,0
