<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EC.US,60,20240411,160000,12,12.06,11.9299,11.99,254962,0
EC.US,60,20240411,170000,11.995,11.995,11.845,11.9,319265,0
EC.US,60,20240411,180000,11.9,11.985,11.865,11.985,318004,0
EC.US,60,20240411,190000,11.985,12.02,11.94,11.975,234462,0
EC.US,60,20240411,200000,11.98,12.045,11.97,12.025,143322,0
EC.US,60,20240411,210000,12.025,12.095,12.02,12.075,203486,0
EC.US,60,20240411,220000,12.08,12.155,12,12.07,1261119,0
EC.US,60,20240412,160000,12.08,12.2,12.01,12.07,313052,0
EC.US,60,20240412,170000,12.07,12.165,12.07,12.13,450722,0
EC.US,60,20240412,180000,12.13,12.13,11.96,12,225381,0
EC.US,60,20240412,190000,11.995,12.03,11.87,11.8757,265069,0
EC.US,60,20240412,200000,11.87,11.9,11.81,11.835,233743,0
EC.US,60,20240412,210000,11.83,11.85,11.73,11.73,269634,0
EC.US,60,20240412,220000,11.73,11.75,11.7,11.7,718416,0
EC.US,60,20240415,160000,11.8,11.81,11.57,11.64,261042,0
EC.US,60,20240415,170000,11.6401,11.745,11.59,11.67,272013,0
EC.US,60,20240415,180000,11.6609,11.67,11.605,11.655,233688,0
EC.US,60,20240415,190000,11.66,11.66,11.55,11.6,385469,0
EC.US,60,20240415,200000,11.6,11.61,11.5501,11.58,143631,0
EC.US,60,20240415,210000,11.59,11.59,11.49,11.515,270966,0
EC.US,60,20240415,220000,11.515,11.54,11.49,11.53,465076,0
EC.US,60,20240416,160000,11.46,11.49,11.365,11.425,148377,0
EC.US,60,20240416,170000,11.41,11.51,11.37,11.51,218934,0
EC.US,60,20240416,180000,11.51,11.55,11.49,11.505,113208,0
EC.US,60,20240416,190000,11.5,11.53,11.485,11.52,106504,0
EC.US,60,20240416,200000,11.5295,11.535,11.475,11.51,146118,0
EC.US,60,20240416,210000,11.5,11.58,11.495,11.555,165038,0
EC.US,60,20240416,220000,11.55,11.56,11.49,11.5,315197,0
EC.US,60,20240417,160000,11.47,11.71,11.47,11.6605,132875,0
EC.US,60,20240417,170000,11.67,11.67,11.57,11.57,127080,0
EC.US,60,20240417,180000,11.58,11.62,11.5,11.5,186139,0
EC.US,60,20240417,190000,11.5002,11.5002,11.4,11.47,147216,0
EC.US,60,20240417,200000,11.46,11.56,11.46,11.56,109423,0
