<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVH.US,60,20240411,160000,30.47,30.639,30.34,30.4,9977,0
EVH.US,60,20240411,170000,30.3725,30.42,30.14,30.29,12971,0
EVH.US,60,20240411,180000,30.28,30.3,29.98,30.3,17593,0
EVH.US,60,20240411,190000,30.27,30.4,30.24,30.365,24290,0
EVH.US,60,20240411,200000,30.35,30.59,30.34,30.57,21543,0
EVH.US,60,20240411,210000,30.59,30.615,30.44,30.44,17524,0
EVH.US,60,20240411,220000,30.43,30.55,30.4,30.53,202984,0
EVH.US,60,20240412,160000,30.43,30.51,30.2713,30.36,12574,0
EVH.US,60,20240412,170000,30.32,30.32,30.08,30.2,18651,0
EVH.US,60,20240412,180000,30.23,30.31,29.99,30.28,14034,0
EVH.US,60,20240412,190000,30.26,30.26,30.13,30.24,10079,0
EVH.US,60,20240412,200000,30.23,30.29,30.15,30.26,13466,0
EVH.US,60,20240412,210000,30.25,30.25,29.98,30.04,43665,0
EVH.US,60,20240412,220000,30.02,30.22,30.015,30.13,203952,0
EVH.US,60,20240415,160000,30,30.12,29.86,30.035,32229,0
EVH.US,60,20240415,170000,30.02,30.06,29.64,29.84,51128,0
EVH.US,60,20240415,180000,29.845,30.045,29.84,29.95,36433,0
EVH.US,60,20240415,190000,29.9725,30.19,29.9,30.15,34765,0
EVH.US,60,20240415,200000,30.14,30.24,30.09,30.22,55381,0
EVH.US,60,20240415,210000,30.215,30.22,29.985,30.045,67947,0
EVH.US,60,20240415,220000,30.045,30.32,30.03,30.3,295469,0
EVH.US,60,20240416,160000,30.05,30.08,29.55,29.55,15000,0
EVH.US,60,20240416,170000,29.56,29.87,29.41,29.48,77580,0
EVH.US,60,20240416,180000,29.49,29.805,29.46,29.775,36462,0
EVH.US,60,20240416,190000,29.75,30,29.7,29.82,49756,0
EVH.US,60,20240416,200000,29.84,30.185,29.82,30.015,67964,0
EVH.US,60,20240416,210000,30.015,30.27,29.995,30.15,81750,0
EVH.US,60,20240416,220000,30.14,30.17,30,30.16,333118,0
EVH.US,60,20240417,160000,30.19,30.3,30.02,30.09,12833,0
EVH.US,60,20240417,170000,30.05,30.1625,29.93,29.95,31700,0
EVH.US,60,20240417,180000,29.97,30.105,29.84,29.885,76277,0
EVH.US,60,20240417,190000,29.885,29.9,29.35,29.47,62093,0
EVH.US,60,20240417,200000,29.5,29.725,29.5,29.6771,35862,0
EVH.US,60,20240417,210000,29.66,29.69,29.47,29.47,33774,0
EVH.US,60,20240417,220000,29.44,29.695,29.39,29.64,326776,0
EVH.US,60,20240418,160000,29.59,30.15,29.39,30.15,46734,0
EVH.US,60,20240418,170000,30.19,30.23,30.03,30.23,24628,0
EVH.US,60,20240418,180000,30.25,30.505,30.07,30.135,57648,0
EVH.US,60,20240418,190000,30.16,30.405,30.12,30.14,58220,0
EVH.US,60,20240418,200000,30.145,30.145,29.8,29.83,29068,0
EVH.US,60,20240418,210000,29.82,29.93,29.67,29.915,69475,0
EVH.US,60,20240418,220000,29.93,29.95,29.53,29.62,328296,0
EVH.US,60,20240419,160000,29.56,29.73,29.49,29.54,49118,0
EVH.US,60,20240419,170000,29.54,29.545,29.33,29.485,45685,0
EVH.US,60,20240419,180000,29.45,29.69,29.34,29.67,25722,0
EVH.US,60,20240419,190000,29.64,29.655,29.42,29.5,40527,0
EVH.US,60,20240419,200000,29.485,29.58,29.4,29.4775,30911,0
EVH.US,60,20240419,210000,29.46,29.46,29.06,29.265,81901,0
EVH.US,60,20240419,220000,29.25,29.61,29.18,29.53,141146,0
EVH.US,60,20240422,160000,29.91,30.11,29.69,29.75,12213,0
EVH.US,60,20240422,170000,29.76,29.76,29.44,29.44,30114,0
EVH.US,60,20240422,180000,29.445,29.4699,29.19,29.38,42458,0
EVH.US,60,20240422,190000,29.385,29.495,29.295,29.47,27012,0
EVH.US,60,20240422,200000,29.49,30.095,29.49,30.02,51685,0
EVH.US,60,20240422,210000,30.005,30.09,29.86,29.87,34563,0
EVH.US,60,20240422,220000,29.84,29.91,29.725,29.86,289876,0
EVH.US,60,20240423,160000,30.02,30.55,29.91,30.54,11723,0
EVH.US,60,20240423,170000,30.5,30.53,30.18,30.27,39160,0
EVH.US,60,20240423,180000,30.25,30.43,30.18,30.415,43407,0
EVH.US,60,20240423,190000,30.44,30.66,30.41,30.42,37324,0
EVH.US,60,20240423,200000,30.41,30.56,30.39,30.44,39627,0
EVH.US,60,20240423,210000,30.43,30.43,30.22,30.26,60105,0
EVH.US,60,20240423,220000,30.28,30.33,30.08,30.13,298157,0
EVH.US,60,20240424,160000,30.06,30.285,29.67,29.705,19885,0
EVH.US,60,20240424,170000,29.71,29.73,29.54,29.655,35419,0
EVH.US,60,20240424,180000,29.655,29.67,29.22,29.26,28253,0
EVH.US,60,20240424,190000,29.27,29.3,29.03,29.13,74947,0
EVH.US,60,20240424,200000,29.095,29.13,28.985,29,49030,0
EVH.US,60,20240424,210000,28.99,29.2199,28.96,29.08,109898,0
EVH.US,60,20240424,220000,29.08,29.35,29.06,29.26,444889,0
EVH.US,60,20240425,160000,28.97,28.97,28.36,28.46,21198,0
EVH.US,60,20240425,170000,28.49,28.54,28.25,28.34,38757,0
EVH.US,60,20240425,180000,28.34,28.49,28.33,28.47,18512,0
EVH.US,60,20240425,190000,28.45,28.51,28.29,28.475,43683,0
EVH.US,60,20240425,200000,28.475,28.54,28.31,28.47,29803,0
EVH.US,60,20240425,210000,28.475,28.475,28.24,28.24,57634,0
EVH.US,60,20240425,220000,28.24,28.41,28.12,28.32,424262,0
EVH.US,60,20240426,160000,28.36,28.56,28.145,28.52,33075,0
EVH.US,60,20240426,170000,28.4845,28.71,28.173,28.24,56596,0
EVH.US,60,20240426,180000,28.26,28.27,27.91,27.98,38941,0
EVH.US,60,20240426,190000,27.97,28.045,27.86,27.88,90522,0
EVH.US,60,20240426,200000,27.87,27.96,27.785,27.845,73405,0
EVH.US,60,20240426,210000,27.84,27.84,27.67,27.82,42909,0
EVH.US,60,20240426,220000,27.85,27.88,27.64,27.65,485778,0
EVH.US,60,20240429,160000,28.01,28.17,27.732,27.99,18833,0
EVH.US,60,20240429,170000,27.99,28.21,27.78,27.815,45222,0
EVH.US,60,20240429,180000,27.79,28.12,27.76,28.09,62411,0
EVH.US,60,20240429,190000,28.115,28.1475,28.02,28.05,32138,0
EVH.US,60,20240429,200000,28.04,28.05,27.91,27.99,76198,0
EVH.US,60,20240429,210000,27.98,28.03,27.86,27.95,44600,0
EVH.US,60,20240429,220000,27.94,27.94,27.74,27.81,223953,0
EVH.US,60,20240430,160000,27.69,27.69,27.345,27.675,16200,0
EVH.US,60,20240430,170000,27.68,28.09,27.65,27.95,59605,0
EVH.US,60,20240430,180000,27.94,28,27.69,27.89,59811,0
EVH.US,60,20240430,190000,27.88,27.95,27.79,27.89,39653,0
EVH.US,60,20240430,200000,27.88,27.97,27.78,27.97,25583,0
EVH.US,60,20240430,210000,27.975,28.01,27.78,27.86,51620,0
EVH.US,60,20240430,220000,27.865,27.89,27.73,27.74,273474,0
EVH.US,60,20240501,160000,27.83,27.83,27.6,27.65,8617,0
EVH.US,60,20240501,170000,27.65,27.71,27.5,27.54,24974,0
EVH.US,60,20240501,180000,27.54,27.61,27.35,27.53,40887,0
EVH.US,60,20240501,190000,27.52,27.69,27.46,27.48,123055,0
EVH.US,60,20240501,200000,27.48,27.52,27.39,27.4,61047,0
EVH.US,60,20240501,210000,27.39,28.025,27.32,28.025,116525,0
EVH.US,60,20240501,220000,28.0275,28.13,27.27,27.27,362812,0
EVH.US,60,20240502,160000,27.64,27.64,27.16,27.26,14614,0
EVH.US,60,20240502,170000,27.22,27.42,27.16,27.34,41453,0
EVH.US,60,20240502,180000,27.37,27.52,27.34,27.48,21216,0
EVH.US,60,20240502,190000,27.47,27.56,27.4,27.5,24327,0
EVH.US,60,20240502,200000,27.49,27.56,27.44,27.49,22933,0
EVH.US,60,20240502,210000,27.5,27.56,27.41,27.48,63050,0
EVH.US,60,20240502,220000,27.48,27.48,27.285,27.41,386094,0
EVH.US,60,20240506,160000,27.28,27.4196,27.11,27.11,13751,0
EVH.US,60,20240506,170000,27.11,27.21,27,27.05,141138,0
EVH.US,60,20240506,180000,27.06,27.1,26.985,27.06,97534,0
EVH.US,60,20240506,190000,27.065,27.115,27.02,27.095,180731,0
EVH.US,60,20240506,200000,27.095,27.17,27.05,27.16,109728,0
EVH.US,60,20240506,210000,27.165,27.34,27.14,27.19,50577,0
EVH.US,60,20240506,220000,27.2,27.28,27.135,27.24,336593,0
EVH.US,60,20240507,160000,27.33,27.4,26.86,27.105,65961,0
EVH.US,60,20240507,170000,27.07,27.535,27,27.39,73555,0
EVH.US,60,20240507,180000,27.42,27.715,27.39,27.49,54655,0
EVH.US,60,20240507,190000,27.48,27.68,27.46,27.68,42895,0
EVH.US,60,20240507,200000,27.68,27.69,27.47,27.47,64829,0
EVH.US,60,20240507,210000,27.495,27.525,27.39,27.48,52713,0
EVH.US,60,20240507,220000,27.47,27.66,27.31,27.61,765772,0
EVH.US,60,20240508,160000,27.44,27.64,27.33,27.46,70611,0
EVH.US,60,20240508,170000,27.39,27.5,27.12,27.26,64398,0
EVH.US,60,20240508,180000,27.29,27.35,27.105,27.25,63544,0
EVH.US,60,20240508,190000,27.245,27.25,27.04,27.21,53304,0
EVH.US,60,20240508,200000,27.21,27.3,27.08,27.295,38708,0
EVH.US,60,20240508,210000,27.3,27.49,27.24,27.47,58353,0
EVH.US,60,20240508,220000,27.47,27.5,27.23,27.27,398845,0
EVH.US,60,20240509,160000,27.41,27.41,27.01,27.07,37613,0
EVH.US,60,20240509,170000,27.04,27.32,26.94,27.26,145012,0
EVH.US,60,20240509,180000,27.28,27.3604,26.91,27.05,162645,0
EVH.US,60,20240509,190000,27.06,27.17,26.86,26.95,95356,0
EVH.US,60,20240509,200000,26.94,27.04,26.85,27.01,101480,0
EVH.US,60,20240509,210000,27,27.07,26.9,27.01,144280,0
EVH.US,60,20240509,220000,27,27.09,26.84,26.96,631304,0
EVH.US,60,20240510,160000,26.24,26.67,24.8166,25.37,243328,0
EVH.US,60,20240510,170000,25.32,25.39,24.64,25.045,680636,0
EVH.US,60,20240510,180000,25.02,25.08,24.51,24.71,684591,0
EVH.US,60,20240510,190000,24.725,24.84,24.21,24.765,413460,0
EVH.US,60,20240510,200000,24.765,24.815,24.24,24.43,221689,0
EVH.US,60,20240510,210000,24.41,24.49,24.11,24.42,218591,0
EVH.US,60,20240510,220000,24.43,24.52,23.87,24.46,2102923,0
EVH.US,60,20240513,160000,24.89,25.53,24.85,25.49,116267,0
EVH.US,60,20240513,170000,25.505,25.6,24.39,24.4,222668,0
EVH.US,60,20240513,180000,24.38,24.48,24.05,24.13,258405,0
EVH.US,60,20240513,190000,24.13,24.25,23.93,24.1,205661,0
EVH.US,60,20240513,200000,24.1,24.14,23.97,24.11,205917,0
EVH.US,60,20240513,210000,24.11,24.155,23.92,23.97,154524,0
EVH.US,60,20240513,220000,23.97,24.03,23.73,23.75,868790,0
EVH.US,60,20240514,160000,24.25,24.5771,24.21,24.265,52103,0
EVH.US,60,20240514,170000,24.29,24.58,24.04,24.33,190961,0
EVH.US,60,20240514,180000,24.35,24.48,24.15,24.45,165905,0
EVH.US,60,20240514,190000,24.45,24.51,24.26,24.35,118622,0
EVH.US,60,20240514,200000,24.35,24.38,24.22,24.245,89361,0
