<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EVR.US,60,20240411,160000,192.46,192.46,190.12,191.8,5750,0
EVR.US,60,20240411,170000,191.77,191.77,189.5,190.86,30711,0
EVR.US,60,20240411,180000,190.8,192.18,190.69,192.18,11356,0
EVR.US,60,20240411,190000,192.04,192.32,191.765,192.07,12394,0
EVR.US,60,20240411,200000,192.11,193.25,192.02,192.93,16128,0
EVR.US,60,20240411,210000,192.895,193.68,192.47,192.76,20128,0
EVR.US,60,20240411,220000,192.85,194.345,192.805,194.09,110652,0
EVR.US,60,20240412,160000,192.22,193.185,191.96,191.96,7443,0
EVR.US,60,20240412,170000,192,192,189.2,189.555,31517,0
EVR.US,60,20240412,180000,189.76,190.88,189.26,190.43,52117,0
EVR.US,60,20240412,190000,190.36,190.52,189.79,190.05,27891,0
EVR.US,60,20240412,200000,190.07,191.27,189.99,191.135,12138,0
EVR.US,60,20240412,210000,191,191.54,190.52,190.975,32682,0
EVR.US,60,20240412,220000,190.97,191.545,190.54,190.9,132666,0
EVR.US,60,20240415,160000,192.93,193.94,192.8,192.8,4439,0
EVR.US,60,20240415,170000,192.81,192.81,189.51,189.6,7091,0
EVR.US,60,20240415,180000,189.46,189.55,189.04,189.445,6806,0
EVR.US,60,20240415,190000,189.48,189.59,186.625,186.94,20581,0
EVR.US,60,20240415,200000,186.7,187.23,184.52,185.27,13879,0
EVR.US,60,20240415,210000,185.39,185.755,184.65,185.16,11997,0
EVR.US,60,20240415,220000,185.16,186.11,184.54,185.86,64738,0
EVR.US,60,20240416,160000,185.28,185.28,183.6674,184.4,3636,0
EVR.US,60,20240416,170000,184.16,184.3,182.92,183.8,5860,0
EVR.US,60,20240416,180000,184.275,186,184.19,185.5,7959,0
EVR.US,60,20240416,190000,185.44,185.525,184.59,184.93,7781,0
EVR.US,60,20240416,200000,184.7,185.45,184.03,184.33,7792,0
EVR.US,60,20240416,210000,184.29,185.63,184.19,184.99,10916,0
EVR.US,60,20240416,220000,185.29,185.71,184.31,184.67,65629,0
EVR.US,60,20240417,160000,186.6,187.015,186.6,186.96,3892,0
EVR.US,60,20240417,170000,186.9,187.86,186.74,187.385,16915,0
EVR.US,60,20240417,180000,187.38,187.62,186.9,187.31,27011,0
EVR.US,60,20240417,190000,187.29,187.57,186.71,186.8,27949,0
EVR.US,60,20240417,200000,186.72,188.37,186.44,188.36,20411,0
EVR.US,60,20240417,210000,188.28,188.31,187.12,187.42,21615,0
EVR.US,60,20240417,220000,187.405,187.405,185.5,185.5,91989,0
EVR.US,60,20240418,160000,186.45,187.49,186.45,187.49,2565,0
EVR.US,60,20240418,170000,187.68,187.68,186.34,186.69,11706,0
EVR.US,60,20240418,180000,186.75,187.25,186.07,186.325,13856,0
EVR.US,60,20240418,190000,186.58,186.58,185.42,185.455,8105,0
EVR.US,60,20240418,200000,185.4,185.4,184.05,185.23,10602,0
EVR.US,60,20240418,210000,185.21,185.77,184.62,185.585,11733,0
EVR.US,60,20240418,220000,185.61,185.97,185.22,185.29,48961,0
EVR.US,60,20240419,160000,185.58,187.54,185.58,187.535,3990,0
EVR.US,60,20240419,170000,187.69,187.69,186.66,186.685,13213,0
EVR.US,60,20240419,180000,186.6375,187.315,186.21,186.42,9501,0
EVR.US,60,20240419,190000,186.52,186.52,185.1615,186.49,9511,0
EVR.US,60,20240419,200000,186.34,187.29,186.29,186.72,10428,0
EVR.US,60,20240419,210000,186.57,186.8599,184.91,185.12,9711,0
