<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FSLY.US,60,20240411,160000,14.01,14.12,13.84,13.85,335406,0
FSLY.US,60,20240411,170000,13.85,13.86,13.705,13.74,439564,0
FSLY.US,60,20240411,180000,13.75,13.8,13.63,13.795,240061,0
FSLY.US,60,20240411,190000,13.7926,13.8,13.6925,13.74,194092,0
FSLY.US,60,20240411,200000,13.73,13.84,13.725,13.79,289924,0
FSLY.US,60,20240411,210000,13.79,13.88,13.68,13.6899,404477,0
FSLY.US,60,20240411,220000,13.685,13.76,13.6,13.74,898076,0
FSLY.US,60,20240412,160000,13.6,13.6899,13.51,13.56,247729,0
FSLY.US,60,20240412,170000,13.54,13.695,13.43,13.585,273677,0
FSLY.US,60,20240412,180000,13.585,13.75,13.555,13.68,183838,0
FSLY.US,60,20240412,190000,13.67,13.67,13.54,13.56,222308,0
FSLY.US,60,20240412,200000,13.565,13.62,13.495,13.595,169580,0
FSLY.US,60,20240412,210000,13.595,13.6,13.46,13.475,238189,0
FSLY.US,60,20240412,220000,13.47,13.665,13.45,13.63,1103933,0
FSLY.US,60,20240415,160000,13.61,13.686,13.52,13.685,155338,0
FSLY.US,60,20240415,170000,13.685,13.69,13.45,13.49,319265,0
FSLY.US,60,20240415,180000,13.475,13.565,13.36,13.55,273534,0
FSLY.US,60,20240415,190000,13.55,13.595,13.395,13.445,213124,0
FSLY.US,60,20240415,200000,13.435,13.455,13.13,13.2315,380886,0
FSLY.US,60,20240415,210000,13.23,13.26,13.11,13.13,338611,0
FSLY.US,60,20240415,220000,13.13,13.16,13,13.13,1130991,0
FSLY.US,60,20240416,160000,13,13.05,12.56,12.63,285899,0
FSLY.US,60,20240416,170000,12.62,12.83,12.56,12.625,393649,0
FSLY.US,60,20240416,180000,12.625,12.72,12.58,12.6,269994,0
FSLY.US,60,20240416,190000,12.595,12.755,12.555,12.7,188020,0
FSLY.US,60,20240416,200000,12.695,12.74,12.55,12.6999,209275,0
FSLY.US,60,20240416,210000,12.7,12.8298,12.625,12.72,179595,0
FSLY.US,60,20240416,220000,12.72,12.72,12.58,12.63,780683,0
FSLY.US,60,20240417,160000,12.69,12.93,12.65,12.74,174516,0
FSLY.US,60,20240417,170000,12.7,12.74,12.55,12.66,210137,0
FSLY.US,60,20240417,180000,12.66,12.73,12.57,12.64,155425,0
FSLY.US,60,20240417,190000,12.63,12.635,12.46,12.51,166269,0
FSLY.US,60,20240417,200000,12.51,12.71,12.51,12.7,138598,0
FSLY.US,60,20240417,210000,12.69,12.765,12.645,12.645,165502,0
FSLY.US,60,20240417,220000,12.64,12.64,12.48,12.52,614636,0
FSLY.US,60,20240418,160000,12.48,12.55,12.39,12.5301,86610,0
FSLY.US,60,20240418,170000,12.54,12.78,12.47,12.7603,264316,0
FSLY.US,60,20240418,180000,12.77,12.82,12.615,12.65,177865,0
FSLY.US,60,20240418,190000,12.65,12.725,12.6,12.605,137585,0
FSLY.US,60,20240418,200000,12.61,12.64,12.465,12.475,164231,0
FSLY.US,60,20240418,210000,12.47,12.47,12.35,12.385,126965,0
FSLY.US,60,20240418,220000,12.385,12.43,12.36,12.38,755569,0
FSLY.US,60,20240419,160000,12.25,12.53,12.1506,12.43,325744,0
FSLY.US,60,20240419,170000,12.43,12.44,12.29,12.395,202289,0
FSLY.US,60,20240419,180000,12.395,12.46,12.31,12.43,158476,0
FSLY.US,60,20240419,190000,12.435,12.48,12.25,12.34,137494,0
FSLY.US,60,20240419,200000,12.35,12.41,12.295,12.335,84547,0
FSLY.US,60,20240419,210000,12.33,12.335,12.16,12.225,195328,0
FSLY.US,60,20240419,220000,12.22,12.36,12.195,12.3,499269,0
FSLY.US,60,20240422,160000,12.418,12.54,12.18,12.19,181092,0
FSLY.US,60,20240422,170000,12.195,12.2506,11.96,12.06,496229,0
FSLY.US,60,20240422,180000,12.055,12.065,11.98,12.05,274203,0
FSLY.US,60,20240422,190000,12.06,12.35,12.055,12.35,295142,0
FSLY.US,60,20240422,200000,12.345,12.66,12.325,12.645,244744,0
FSLY.US,60,20240422,210000,12.645,12.67,12.535,12.64,275842,0
FSLY.US,60,20240422,220000,12.65,12.685,12.52,12.53,905869,0
FSLY.US,60,20240423,160000,12.54,13.175,12.54,13.16,286613,0
FSLY.US,60,20240423,170000,13.16,13.26,12.995,12.995,378542,0
FSLY.US,60,20240423,180000,13,13.06,12.87,12.985,136000,0
FSLY.US,60,20240423,190000,12.9801,13.04,12.925,13.005,186116,0
FSLY.US,60,20240423,200000,13,13.04,12.92,12.965,181074,0
FSLY.US,60,20240423,210000,12.96,13.085,12.905,12.99,661234,0
FSLY.US,60,20240423,220000,12.985,13,12.84,12.9,716213,0
FSLY.US,60,20240424,160000,13,13.14,12.875,12.97,308334,0
FSLY.US,60,20240424,170000,12.98,12.98,12.7349,12.79,366513,0
FSLY.US,60,20240424,180000,12.8,12.84,12.6,12.6199,279414,0
FSLY.US,60,20240424,190000,12.615,12.725,12.5738,12.715,158204,0
FSLY.US,60,20240424,200000,12.715,12.735,12.645,12.65,151034,0
FSLY.US,60,20240424,210000,12.65,12.725,12.55,12.555,313999,0
FSLY.US,60,20240424,220000,12.555,12.84,12.54,12.83,737993,0
FSLY.US,60,20240425,160000,12.35,12.44,12.13,12.14,282545,0
FSLY.US,60,20240425,170000,12.145,12.5,12.07,12.25,675323,0
FSLY.US,60,20240425,180000,12.25,12.315,12.15,12.215,284172,0
FSLY.US,60,20240425,190000,12.215,12.275,12.165,12.245,322308,0
FSLY.US,60,20240425,200000,12.26,12.425,12.23,12.38,199002,0
FSLY.US,60,20240425,210000,12.375,12.385,12.29,12.35,249640,0
FSLY.US,60,20240425,220000,12.35,12.4399,12.305,12.4,1364960,0
FSLY.US,60,20240426,160000,12.58,12.69,12.52,12.66,217492,0
FSLY.US,60,20240426,170000,12.66,12.82,12.625,12.735,682001,0
FSLY.US,60,20240426,180000,12.735,12.88,12.72,12.77,365292,0
FSLY.US,60,20240426,190000,12.765,12.97,12.755,12.955,237048,0
FSLY.US,60,20240426,200000,12.96,13.06,12.92,12.9363,317185,0
FSLY.US,60,20240426,210000,12.93,12.98,12.88,12.905,195123,0
FSLY.US,60,20240426,220000,12.905,12.995,12.87,12.95,769329,0
FSLY.US,60,20240429,160000,13,13.21,12.94,13.075,256302,0
FSLY.US,60,20240429,170000,13.075,13.24,12.995,13.17,352417,0
FSLY.US,60,20240429,180000,13.16,13.17,12.89,12.945,303925,0
FSLY.US,60,20240429,190000,12.95,12.98,12.9227,12.956,209553,0
FSLY.US,60,20240429,200000,12.955,13.01,12.935,12.965,120056,0
