<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GENM.US,60,20240523,160000,10.15,10.15,10.15,10.15,1000,0
GENM.US,60,20240523,190000,10.095,10.095,10.095,10.095,200,0
GENM.US,60,20240530,160000,10.08,10.08,10.08,10.08,100,0
GENM.US,60,20240603,220000,10.12,10.12,10.12,10.12,20000,0
GENM.US,60,20240605,170000,10.13,10.13,10.13,10.13,44035,0
GENM.US,60,20240627,210000,10.18,10.18,10.18,10.18,7125,0
GENM.US,60,20240701,220000,10.13,10.13,10.13,10.13,2020,0
GENM.US,60,20240708,160000,10.16,10.16,10.16,10.16,100,0
GENM.US,60,20240717,190000,10.18,10.18,10.18,10.18,330,0
GENM.US,60,20240723,210000,10.2,10.2,10.2,10.2,5000,0
GENM.US,60,20240920,220000,10.28,10.28,10.28,10.28,925,0
GENM.US,60,20241004,160000,10.26,10.26,10.26,10.26,9900,0
GENM.US,60,20241024,220000,10.14,10.15,10.14,10.15,22123,0
GENM.US,60,20241114,180000,10.16,10.16,10.16,10.16,7395,0
GENM.US,60,20241119,220000,10.18,10.18,10.17,10.17,263,0
GENM.US,60,20241202,160000,10.25,10.25,10.25,10.25,200,0
GENM.US,60,20241202,170000,10.21,10.21,10.21,10.21,300,0
GENM.US,60,20241202,190000,10.22,10.235,10.22,10.235,500,0
GENM.US,60,20241202,210000,10.22,10.235,10.2198,10.2198,624,0
GENM.US,60,20241202,220000,10.22,10.235,10.22,10.23,700,0
GENM.US,60,20241217,160000,10.24,10.24,10.19,10.19,5160,0
GENM.US,60,20241227,210000,10.12,10.13,10.12,10.13,18538,0
GENM.US,60,20250102,200000,10.1,10.13,10.1,10.11,2600,0
GENM.US,60,20250102,210000,10.11,10.12,10.11,10.12,2200,0
GENM.US,60,20250102,220000,10.12,10.13,10.11,10.13,11536,0
GENM.US,60,20250103,160000,10.12,10.12,10.12,10.12,100,0
