<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GPOR.US,60,20240411,160000,160,160.87,158.67,158.67,8917,0
GPOR.US,60,20240411,170000,157.96,158.61,156.53,157.005,5295,0
GPOR.US,60,20240411,180000,156.995,157.98,156.59,156.79,5876,0
GPOR.US,60,20240411,190000,156.87,158.05,156.87,157.745,6779,0
GPOR.US,60,20240411,200000,157.745,158.02,156.98,157.22,18027,0
GPOR.US,60,20240411,210000,157.07,157.64,156.94,157.52,14047,0
GPOR.US,60,20240411,220000,157.62,157.8,156.905,157.69,75875,0
GPOR.US,60,20240412,160000,159.39,160.42,158.77,159.435,2254,0
GPOR.US,60,20240412,170000,158.46,159.395,158,158.01,4079,0
GPOR.US,60,20240412,180000,157.71,158.54,157.17,157.67,12523,0
GPOR.US,60,20240412,190000,157.69,157.76,156.4,156.4,4138,0
GPOR.US,60,20240412,200000,156.45,157.07,155.9,156.65,7933,0
GPOR.US,60,20240412,210000,156.7575,157.04,155.43,155.68,8503,0
GPOR.US,60,20240412,220000,155.72,157.4,155.53,156.91,35118,0
GPOR.US,60,20240415,160000,158.37,158.72,157.63,158.055,10378,0
GPOR.US,60,20240415,170000,158.055,158.055,155.2426,155.73,9289,0
GPOR.US,60,20240415,180000,155.31,156.775,154.445,156.36,17255,0
GPOR.US,60,20240415,190000,156.3,156.835,154.89,155.77,38104,0
GPOR.US,60,20240415,200000,155.5,155.55,153.725,154.45,9887,0
GPOR.US,60,20240415,210000,154.3,154.47,153.665,154.085,7706,0
GPOR.US,60,20240415,220000,154.26,154.26,153.43,153.46,58567,0
GPOR.US,60,20240416,160000,152.14,152.315,150.0929,152.275,3387,0
GPOR.US,60,20240416,170000,152.435,153.08,150.87,153.08,6312,0
GPOR.US,60,20240416,180000,153.385,154.015,153.11,153.425,4702,0
GPOR.US,60,20240416,190000,153.515,154.59,153.515,153.895,6917,0
GPOR.US,60,20240416,200000,153.895,154.32,153.37,153.56,10638,0
GPOR.US,60,20240416,210000,153.99,155.235,153.75,155.08,11667,0
GPOR.US,60,20240416,220000,155.07,155.48,153.81,153.9,74637,0
GPOR.US,60,20240417,160000,153.72,155.825,153.2,155.13,14789,0
GPOR.US,60,20240417,170000,154.86,156.12,154.27,155.975,14473,0
GPOR.US,60,20240417,180000,155.975,156.14,154.1701,154.62,5584,0
GPOR.US,60,20240417,190000,154.57,154.62,152.39,152.75,18856,0
GPOR.US,60,20240417,200000,153,154.38,153,154.38,15872,0
GPOR.US,60,20240417,210000,154.185,155.3,153.96,154.5,15175,0
GPOR.US,60,20240417,220000,154.52,154.52,153.56,153.68,36987,0
GPOR.US,60,20240418,160000,153.85,155.55,152.2,153.38,5637,0
GPOR.US,60,20240418,170000,153.86,155.18,153.7,155.16,5374,0
GPOR.US,60,20240418,180000,154.58,155.67,153.9,154.72,8780,0
GPOR.US,60,20240418,190000,155.24,155.4,154.32,154.94,9384,0
GPOR.US,60,20240418,200000,155.22,155.22,153.59,154.07,15447,0
GPOR.US,60,20240418,210000,153.57,153.84,153.09,153.3,4675,0
GPOR.US,60,20240418,220000,153.245,153.77,152.775,152.8,31434,0
GPOR.US,60,20240419,160000,152.35,155.25,152.35,155.25,3860,0
GPOR.US,60,20240419,170000,154.57,154.815,153.94,153.98,2806,0
GPOR.US,60,20240419,180000,153.805,154.495,153.63,154.495,3175,0
GPOR.US,60,20240419,190000,154.495,155.165,153.22,155.165,5059,0
GPOR.US,60,20240419,200000,154.7,154.94,154.12,154.81,10930,0
GPOR.US,60,20240419,210000,154.5,154.55,153.46,154.21,3894,0
GPOR.US,60,20240419,220000,154.11,154.745,153.5,154.31,19877,0
GPOR.US,60,20240422,160000,154.41,155.8,153.535,155.055,2304,0
GPOR.US,60,20240422,170000,155.515,157.495,155.15,156.64,19629,0
GPOR.US,60,20240422,180000,156.98,157.06,155.87,157.06,8596,0
GPOR.US,60,20240422,190000,157.12,157.97,157.07,157.595,6807,0
GPOR.US,60,20240422,200000,157.34,158.25,156.95,157.995,7928,0
GPOR.US,60,20240422,210000,158.08,158.7,157.995,158.445,13925,0
GPOR.US,60,20240422,220000,158.33,158.46,155.56,155.82,40289,0
GPOR.US,60,20240423,160000,155.09,155.09,152.14,154.44,4423,0
GPOR.US,60,20240423,170000,154.41,156.81,153.97,156.22,8796,0
GPOR.US,60,20240423,180000,156.05,157.18,156.02,156.22,7865,0
GPOR.US,60,20240423,190000,156.4,157,156.3637,157,1225,0
GPOR.US,60,20240423,200000,156.71,156.77,156.32,156.4275,3419,0
GPOR.US,60,20240423,210000,156.59,156.59,156.11,156.11,2180,0
GPOR.US,60,20240423,220000,155.975,157.34,155.75,156.75,52896,0
GPOR.US,60,20240424,160000,157.11,158.29,156.726,157.725,5002,0
GPOR.US,60,20240424,170000,157.605,158.72,156.45,156.45,11166,0
GPOR.US,60,20240424,180000,156.72,157.62,156.47,157.62,5874,0
GPOR.US,60,20240424,190000,157.635,158.495,157.635,158.38,10942,0
