<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JHS.US,60,20240411,160000,10.87,10.875,10.863,10.863,1718,0
JHS.US,60,20240411,170000,10.875,10.8873,10.82,10.8358,3218,0
JHS.US,60,20240411,180000,10.86,10.86,10.82,10.83,600,0
JHS.US,60,20240411,190000,10.79,10.8,10.79,10.79,400,0
JHS.US,60,20240411,200000,10.8,10.8,10.77,10.79,800,0
JHS.US,60,20240411,210000,10.79,10.82,10.739232,10.81,2105,0
JHS.US,60,20240411,220000,10.8,10.8,10.76,10.77,5778,0
JHS.US,60,20240412,160000,10.81,10.839,10.81,10.839,931,0
JHS.US,60,20240412,170000,10.83,10.83,10.8,10.82,1061,0
JHS.US,60,20240412,180000,10.81,10.82,10.81,10.815,2200,0
JHS.US,60,20240412,190000,10.815,10.815,10.81,10.81,300,0
JHS.US,60,20240412,200000,10.81,10.81,10.79,10.79,1000,0
JHS.US,60,20240412,210000,10.79,10.8,10.74,10.75,4703,0
JHS.US,60,20240412,220000,10.74,10.7599,10.74,10.7599,3512,0
JHS.US,60,20240415,160000,10.79,10.79,10.7,10.7,3643,0
JHS.US,60,20240415,170000,10.7,10.72,10.7,10.715,4395,0
JHS.US,60,20240415,190000,10.71,10.71,10.71,10.71,322,0
JHS.US,60,20240415,200000,10.68,10.68,10.68,10.68,100,0
JHS.US,60,20240415,220000,10.68,10.73,10.68,10.72,7875,0
JHS.US,60,20240416,160000,10.68,10.68,10.68,10.68,900,0
JHS.US,60,20240416,170000,10.7,10.7,10.695,10.695,300,0
JHS.US,60,20240416,180000,10.7,10.72,10.6993,10.72,2120,0
JHS.US,60,20240416,190000,10.72,10.72,10.7154,10.7155,1600,0
JHS.US,60,20240416,200000,10.72,10.72,10.7153,10.7153,2932,0
JHS.US,60,20240416,210000,10.715,10.7297,10.715,10.7297,1300,0
JHS.US,60,20240416,220000,10.7246,10.74,10.7246,10.74,5654,0
JHS.US,60,20240417,160000,10.79,10.92,10.79,10.84,2152,0
JHS.US,60,20240417,170000,10.84,10.84,10.8033,10.83,1060,0
JHS.US,60,20240417,180000,10.84,10.84,10.84,10.84,300,0
JHS.US,60,20240417,190000,10.84,10.85,10.83,10.85,3900,0
JHS.US,60,20240417,200000,10.85,10.85,10.85,10.85,1100,0
JHS.US,60,20240417,210000,10.835,10.85,10.835,10.85,2526,0
JHS.US,60,20240417,220000,10.85,10.885,10.78,10.81,14865,0
JHS.US,60,20240418,160000,10.86,10.87,10.86,10.87,668,0
JHS.US,60,20240418,170000,10.87,10.87,10.86,10.87,1348,0
JHS.US,60,20240418,180000,10.89,10.89,10.8809,10.89,1733,0
JHS.US,60,20240418,190000,10.8924,10.9,10.8924,10.9,1087,0
JHS.US,60,20240418,200000,10.9,10.9,10.89,10.9,1254,0
JHS.US,60,20240418,210000,10.908,10.91,10.892,10.8948,1655,0
JHS.US,60,20240418,220000,10.91,10.91,10.91,10.91,315,0
JHS.US,60,20240419,160000,10.96,10.96,10.94,10.96,1123,0
JHS.US,60,20240419,170000,10.97,10.97,10.97,10.97,112,0
JHS.US,60,20240419,180000,10.97,10.97,10.955,10.97,850,0
JHS.US,60,20240419,190000,10.98,10.98,10.969,10.969,450,0
JHS.US,60,20240419,200000,10.98,10.98,10.98,10.98,357,0
JHS.US,60,20240419,210000,10.98,10.98,10.975,10.98,2000,0
JHS.US,60,20240419,220000,10.97,10.97,10.97,10.97,108,0
JHS.US,60,20240422,160000,11.04,11.04,11.01,11.015,1890,0
JHS.US,60,20240422,170000,11.0198,11.02,11.01,11.02,1125,0
JHS.US,60,20240422,180000,11.02,11.02,11.01,11.01,1723,0
JHS.US,60,20240422,190000,11.02,11.02,11.02,11.02,1589,0
JHS.US,60,20240422,200000,11.02,11.02,11.015,11.015,234,0
JHS.US,60,20240422,220000,11.02,11.02,11.001,11.02,8383,0
JHS.US,60,20240423,160000,11.05,11.05,11.03,11.03,3856,0
JHS.US,60,20240423,170000,11.03,11.03,11.03,11.03,200,0
JHS.US,60,20240423,180000,11.02,11.02,11.02,11.02,300,0
JHS.US,60,20240423,200000,11.04,11.045,11.04,11.045,1100,0
JHS.US,60,20240423,210000,11.05,11.05,11.05,11.05,100,0
JHS.US,60,20240423,220000,11.04,11.05,11.03,11.03,1890,0
JHS.US,60,20240424,160000,11.14,11.14,11.052,11.052,4149,0
JHS.US,60,20240424,170000,11.09,11.09,11.07,11.08,1299,0
JHS.US,60,20240424,180000,11.06,11.06,11.02,11.03,9181,0
JHS.US,60,20240424,190000,11.01,11.0101,10.9826,10.9826,2500,0
JHS.US,60,20240424,200000,10.98,10.98,10.98,10.98,300,0
JHS.US,60,20240424,220000,10.98,10.99,10.98,10.99,631,0
JHS.US,60,20240425,160000,11.01,11.01,10.97,10.99,2154,0
JHS.US,60,20240425,170000,10.99,10.99,10.96,10.98,2562,0
JHS.US,60,20240425,180000,10.9583,10.9583,10.94,10.9403,4509,0
JHS.US,60,20240425,190000,10.9319,10.9319,10.9319,10.9319,176,0
JHS.US,60,20240425,210000,10.93,10.93,10.93,10.93,750,0
JHS.US,60,20240425,220000,10.94,10.95,10.9,10.92,12577,0
JHS.US,60,20240426,160000,11.04,11.067,11.04,11.067,1203,0
JHS.US,60,20240426,170000,11.06,11.08,11.06,11.08,1400,0
JHS.US,60,20240426,180000,11.08,11.08,11.06,11.06,600,0
JHS.US,60,20240426,190000,11.06,11.06,11.04,11.04,1500,0
JHS.US,60,20240426,200000,11.04,11.0401,11.03,11.03,1249,0
JHS.US,60,20240426,210000,11.0388,11.04,11,11.0325,11256,0
JHS.US,60,20240426,220000,11.03,11.03,11.0189,11.02,1001,0
JHS.US,60,20240429,160000,11.04,11.04,11.03,11.03,2055,0
JHS.US,60,20240429,170000,11.02,11.03,11.016,11.0201,1600,0
JHS.US,60,20240429,180000,11.025,11.025,11.025,11.025,200,0
JHS.US,60,20240429,190000,11.025,11.03,11.025,11.025,400,0
JHS.US,60,20240429,200000,11.03,11.03,11.02,11.025,400,0
JHS.US,60,20240429,210000,11.03,11.03,11.02,11.02,500,0
JHS.US,60,20240429,220000,11.03,11.03,11.03,11.03,100,0
JHS.US,60,20240430,160000,11.04,11.04,11.04,11.04,100,0
JHS.US,60,20240430,170000,11.04,11.04,11.04,11.04,1258,0
JHS.US,60,20240430,180000,11.04,11.04,11,11.03,900,0
JHS.US,60,20240430,210000,11,11,10.99,10.992,370,0
JHS.US,60,20240430,220000,11.01,11.03,11,11.03,2934,0
JHS.US,60,20240501,160000,11.06,11.08,11.01,11.06,4978,0
JHS.US,60,20240501,170000,11.06,11.06,11.04,11.055,889,0
JHS.US,60,20240501,180000,11.055,11.06,11.055,11.06,500,0
JHS.US,60,20240501,190000,11.055,11.055,11.055,11.055,200,0
JHS.US,60,20240501,200000,11.06,11.06,11.06,11.06,100,0
JHS.US,60,20240501,210000,11.05,11.06,11.05,11.06,2343,0
JHS.US,60,20240501,220000,11.06,11.06,11.05,11.06,1961,0
JHS.US,60,20240502,160000,11.07,11.07,11.07,11.07,2006,0
JHS.US,60,20240502,170000,11.07,11.07,11.07,11.07,224,0
JHS.US,60,20240502,180000,11.06,11.063,11.05,11.06,1755,0
JHS.US,60,20240502,200000,11.065,11.07,11.065,11.065,767,0
JHS.US,60,20240502,210000,11.0646,11.0646,11.0416,11.0416,1212,0
JHS.US,60,20240502,220000,11.0544,11.06,11.05,11.06,1980,0
JHS.US,60,20240507,160000,11.25,11.2964,11.25,11.26,1067,0
JHS.US,60,20240507,170000,11.26,11.2611,11.2544,11.2611,600,0
JHS.US,60,20240507,180000,11.25,11.26,11.2,11.21,2602,0
JHS.US,60,20240507,190000,11.21,11.21,11.19,11.205,12995,0
JHS.US,60,20240507,200000,11.21,11.2299,11.19,11.2173,14915,0
JHS.US,60,20240507,210000,11.2066,11.2172,11.19,11.21,3730,0
JHS.US,60,20240507,220000,11.2042,11.57,11.2,11.55,54748,0
JHS.US,60,20240508,160000,11.6,11.6,11.37,11.55,3570,0
