<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JUNM.US,60,20240625,160000,30.58,31.1,30.4901,30.4901,148575,0
JUNM.US,60,20240625,170000,30.52,30.56,30.5057,30.54,40663,0
JUNM.US,60,20240625,180000,30.5281,30.5699,30.5101,30.56,27498,0
JUNM.US,60,20240625,190000,30.56,30.57,30.5033,30.5057,96338,0
JUNM.US,60,20240625,200000,30.5199,30.56,30.5021,30.5376,59760,0
JUNM.US,60,20240625,210000,30.56,30.64,30.525,30.5698,109449,0
JUNM.US,60,20240625,220000,30.53,30.57,30.5,30.5,24965,0
JUNM.US,60,20240626,160000,30.53,30.53,30.53,30.53,800,0
JUNM.US,60,20240626,170000,30.5449,30.58,30.5,30.535,20001,0
JUNM.US,60,20240626,180000,30.5241,30.53,30.5,30.5145,16364,0
JUNM.US,60,20240626,190000,30.525,30.54,30.5153,30.52,4126,0
JUNM.US,60,20240626,200000,30.54,30.55,30.5046,30.55,36347,0
JUNM.US,60,20240626,210000,30.54,30.55,30.5081,30.55,2309,0
JUNM.US,60,20240626,220000,30.539,30.58,30.5073,30.58,24471,0
JUNM.US,60,20240627,160000,30.54,30.57,30.53,30.56,6968,0
JUNM.US,60,20240627,170000,30.59,30.59,30.53,30.57,16441,0
JUNM.US,60,20240627,180000,30.57,30.57,30.53,30.53,8651,0
JUNM.US,60,20240627,190000,30.5581,30.57,30.55,30.56,9246,0
JUNM.US,60,20240627,200000,30.5354,30.58,30.5337,30.5337,10664,0
JUNM.US,60,20240627,210000,30.55,30.56,30.55,30.55,5920,0
JUNM.US,60,20240627,220000,30.56,30.58,30.53,30.56,58369,0
JUNM.US,60,20240628,160000,30.62,30.62,30.575,30.6,19361,0
JUNM.US,60,20240628,170000,30.62,30.64,30.595,30.6175,18900,0
JUNM.US,60,20240628,180000,30.6,30.6182,30.5699,30.6,11712,0
JUNM.US,60,20240628,190000,30.6,30.6,30.5446,30.5446,8662,0
JUNM.US,60,20240628,200000,30.565,30.5999,30.5488,30.5885,11828,0
JUNM.US,60,20240628,210000,30.56,30.58,30.553,30.56,6994,0
JUNM.US,60,20240628,220000,30.555,30.58,30.545,30.55,50417,0
JUNM.US,60,20240701,160000,30.57,30.57,30.55,30.56,5072,0
JUNM.US,60,20240701,170000,30.53,30.55,30.53,30.54,12470,0
JUNM.US,60,20240701,180000,30.53,30.5582,30.52,30.55,17797,0
JUNM.US,60,20240701,190000,30.55,30.5791,30.535,30.56,39177,0
JUNM.US,60,20240701,200000,30.5323,30.5799,30.5256,30.5799,10513,0
JUNM.US,60,20240701,210000,30.56,30.58,30.534,30.56,152776,0
JUNM.US,60,20240701,220000,30.56,30.58,30.525,30.57,17688,0
JUNM.US,60,20240702,160000,30.65,30.65,30.55,30.6,13834,0
JUNM.US,60,20240702,170000,30.59,30.6215,30.54,30.6,2578,0
JUNM.US,60,20240702,180000,30.6,30.62,30.55,30.55,2849,0
JUNM.US,60,20240702,190000,30.5884,30.61,30.545,30.6,13132,0
JUNM.US,60,20240702,200000,30.4869,30.61,30.4869,30.6,3519,0
JUNM.US,60,20240702,210000,30.61,30.61,30.5827,30.61,941,0
JUNM.US,60,20240702,220000,30.58,30.63,30.58,30.62,22333,0
JUNM.US,60,20240703,160000,30.65,30.65,30.639,30.639,490,0
JUNM.US,60,20240703,170000,30.624,30.65,30.6,30.61,11544,0
JUNM.US,60,20240703,180000,30.63,30.65,30.615,30.615,6650,0
JUNM.US,60,20240703,190000,30.64,30.67,30.6225,30.67,20701,0
JUNM.US,60,20240705,160000,30.76,30.76,30.6847,30.6847,6009,0
JUNM.US,60,20240705,170000,30.59,30.59,30.59,30.59,265,0
JUNM.US,60,20240705,180000,30.655,30.655,30.655,30.655,100,0
JUNM.US,60,20240705,190000,30.67,30.7099,30.67,30.6819,3848,0
JUNM.US,60,20240705,200000,30.71,30.71,30.68,30.68,400,0
JUNM.US,60,20240705,210000,30.729,30.729,30.7049,30.7049,4000,0
JUNM.US,60,20240705,220000,30.7298,30.7298,30.6939,30.7091,11843,0
JUNM.US,60,20240708,160000,30.83,30.83,30.72,30.72,4316,0
JUNM.US,60,20240708,170000,30.72,30.72,30.7154,30.72,3600,0
JUNM.US,60,20240708,180000,30.73,30.73,30.64,30.6959,3322,0
JUNM.US,60,20240708,190000,30.71,30.71,30.7,30.71,4671,0
JUNM.US,60,20240708,200000,30.69,30.73,30.6401,30.71,18810,0
JUNM.US,60,20240708,210000,30.71,30.7292,30.71,30.7292,18259,0
JUNM.US,60,20240708,220000,30.7049,30.71,30.685,30.71,8967,0
