<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
KNX.US,60,20240411,160000,51.74,52.2,51.7,52.04,47613,0
KNX.US,60,20240411,170000,52.05,52.125,51.84,52.04,48487,0
KNX.US,60,20240411,180000,52.05,52.21,51.97,52.175,84177,0
KNX.US,60,20240411,190000,52.21,52.23,51.98,52.02,46624,0
KNX.US,60,20240411,200000,52.04,52.25,52,52.09,53681,0
KNX.US,60,20240411,210000,52.09,52.27,52.07,52.14,58562,0
KNX.US,60,20240411,220000,52.14,52.2,51.95,52,425177,0
KNX.US,60,20240412,160000,51.64,51.84,51.54,51.54,18590,0
KNX.US,60,20240412,170000,51.52,51.54,51.21,51.33,57901,0
KNX.US,60,20240412,180000,51.34,51.395,51.07,51.19,57401,0
KNX.US,60,20240412,190000,51.19,51.19,50.745,50.8,109059,0
KNX.US,60,20240412,200000,50.79,51.06,50.64,50.86,233122,0
KNX.US,60,20240412,210000,50.85,51.085,50.725,51.08,171872,0
KNX.US,60,20240412,220000,51.07,51.18,50.93,51,399111,0
KNX.US,60,20240415,160000,51.24,51.38,51.07,51.36,22247,0
KNX.US,60,20240415,170000,51.36,51.36,50.89,51.03,83916,0
KNX.US,60,20240415,180000,51.03,51.27,50.98,51.22,46297,0
KNX.US,60,20240415,190000,51.19,51.205,50.83,50.85,62834,0
KNX.US,60,20240415,200000,50.81,50.86,50.61,50.76,57252,0
KNX.US,60,20240415,210000,50.75,50.87,50.47,50.52,78619,0
KNX.US,60,20240415,220000,50.51,50.75,50.43,50.75,448188,0
KNX.US,60,20240416,160000,50.68,50.785,50.33,50.525,55354,0
KNX.US,60,20240416,170000,50.525,50.75,50.39,50.4725,85071,0
KNX.US,60,20240416,180000,50.46,50.57,50.28,50.47,115546,0
KNX.US,60,20240416,190000,50.455,50.665,50.395,50.62,80168,0
KNX.US,60,20240416,200000,50.64,50.81,50.45,50.7,144631,0
KNX.US,60,20240416,210000,50.68,51.06,50.56,51.015,155848,0
KNX.US,60,20240416,220000,51.015,51.2,50.77,50.78,894937,0
KNX.US,60,20240417,160000,46.015,49.25,45.79,48.84,1303349,0
KNX.US,60,20240417,170000,48.88,48.98,47.96,48.86,1714805,0
KNX.US,60,20240417,180000,48.84,49.355,48.57,49.27,878105,0
KNX.US,60,20240417,190000,49.26,49.26,48.8,48.8394,608501,0
KNX.US,60,20240417,200000,48.85,49.175,48.53,49.08,439204,0
KNX.US,60,20240417,210000,49.085,49.17,48.75,48.87,920111,0
KNX.US,60,20240417,220000,48.875,49.03,48.25,48.53,2054446,0
KNX.US,60,20240418,160000,48.59,48.79,47.81,48.49,619844,0
KNX.US,60,20240418,170000,48.5,48.55,48.165,48.265,357403,0
KNX.US,60,20240418,180000,48.265,48.68,48.18,48.29,396355,0
KNX.US,60,20240418,190000,48.26,48.38,47.83,48.05,312543,0
KNX.US,60,20240418,200000,48.05,48.08,47.5,47.6,359308,0
KNX.US,60,20240418,210000,47.6,47.715,47.44,47.48,386187,0
KNX.US,60,20240418,220000,47.475,48.015,47.47,47.88,1466006,0
KNX.US,60,20240419,160000,47.87,48.54,47.87,48.54,121002,0
KNX.US,60,20240419,170000,48.505,48.56,47.83,48.08,241568,0
KNX.US,60,20240419,180000,48.08,48.25,48.01,48.15,131603,0
KNX.US,60,20240419,190000,48.15,48.31,47.98,48.27,138848,0
KNX.US,60,20240419,200000,48.28,48.34,48.15,48.18,112061,0
KNX.US,60,20240419,210000,48.17,48.21,48.01,48.12,162286,0
KNX.US,60,20240419,220000,48.1125,48.18,47.85,48.14,520970,0
KNX.US,60,20240422,160000,48.6,48.6,47.82,48.275,140263,0
KNX.US,60,20240422,170000,48.27,48.58,48.19,48.345,165478,0
KNX.US,60,20240422,180000,48.32,48.51,48.2564,48.355,102672,0
KNX.US,60,20240422,190000,48.35,48.46,48.11,48.22,117288,0
KNX.US,60,20240422,200000,48.23,48.63,48.2,48.6,91665,0
KNX.US,60,20240422,210000,48.59,48.59,48.275,48.415,130196,0
KNX.US,60,20240422,220000,48.41,48.49,48.06,48.15,803001,0
KNX.US,60,20240423,160000,48.25,48.84,48.25,48.61,41558,0
KNX.US,60,20240423,170000,48.6,48.98,48.5,48.94,281000,0
KNX.US,60,20240423,180000,48.95,49.14,48.75,48.89,164630,0
KNX.US,60,20240423,190000,48.88,49.27,48.83,49.23,190638,0
KNX.US,60,20240423,200000,49.24,49.44,49.09,49.37,236358,0
KNX.US,60,20240423,210000,49.37,49.48,49.185,49.445,168904,0
KNX.US,60,20240423,220000,49.44,49.45,49.21,49.23,846782,0
KNX.US,60,20240424,160000,48.76,49.15,48.56,48.75,113656,0
KNX.US,60,20240424,170000,48.78,48.93,47.92,48.095,310166,0
KNX.US,60,20240424,180000,48.095,48.38,48,48.105,214468,0
KNX.US,60,20240424,190000,48.1125,48.165,47.92,48.105,169133,0
KNX.US,60,20240424,200000,48.1,48.565,48.0818,48.56,500483,0
KNX.US,60,20240424,210000,48.57,48.58,48.335,48.56,225661,0
KNX.US,60,20240424,220000,48.56,48.82,48.44,48.51,1062476,0
KNX.US,60,20240425,160000,47.16,47.83,46.645,47.42,175484,0
KNX.US,60,20240425,170000,47.36,47.86,46.63,46.765,283142,0
KNX.US,60,20240425,180000,46.72,47.22,46.65,47.16,229669,0
KNX.US,60,20240425,190000,47.155,47.4,46.88,47.32,165170,0
KNX.US,60,20240425,200000,47.325,47.73,47.21,47.61,312895,0
KNX.US,60,20240425,210000,47.585,47.68,47.2,47.345,244048,0
KNX.US,60,20240425,220000,47.36,47.46,47.11,47.14,1095344,0
KNX.US,60,20240426,160000,46.59,47.435,46.5275,46.97,169573,0
KNX.US,60,20240426,170000,46.97,47.015,46.34,46.465,599629,0
KNX.US,60,20240426,180000,46.465,46.71,46.39,46.62,392248,0
KNX.US,60,20240426,190000,46.63,46.95,46.495,46.525,533429,0
KNX.US,60,20240426,200000,46.53,46.55,46.26,46.49,253296,0
KNX.US,60,20240426,210000,46.49,46.71,46.35,46.69,198896,0
KNX.US,60,20240426,220000,46.7,46.915,46.56,46.89,1218336,0
KNX.US,60,20240429,160000,47.08,47.985,46.94,47.34,109235,0
KNX.US,60,20240429,170000,47.34,47.47,47.17,47.36,138262,0
