<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTB_H.US,60,20240411,160000,22.85,22.85,22.85,22.85,999,0
MTB_H.US,60,20240411,170000,22.62,22.7399,22.52,22.625,6973,0
MTB_H.US,60,20240411,180000,22.61,22.72,22.55,22.68,1617,0
MTB_H.US,60,20240411,190000,22.71,22.71,22.65,22.65,638,0
MTB_H.US,60,20240411,200000,22.65,22.73,22.61,22.73,3143,0
MTB_H.US,60,20240411,210000,22.71,22.75,22.64,22.71,11151,0
MTB_H.US,60,20240411,220000,22.592,22.7015,22.56,22.68,2233,0
MTB_H.US,60,20240412,160000,22.6,22.7399,22.6,22.7399,1001,0
MTB_H.US,60,20240412,170000,22.6547,22.6547,22.56,22.56,508,0
MTB_H.US,60,20240412,180000,22.64,22.72,22.52,22.52,2565,0
MTB_H.US,60,20240412,190000,22.7399,22.7399,22.53,22.61,12734,0
MTB_H.US,60,20240412,200000,22.55,22.6049,22.53,22.54,1390,0
MTB_H.US,60,20240412,210000,22.6217,22.7099,22.615,22.7099,1266,0
MTB_H.US,60,20240412,220000,22.71,22.71,22.54,22.58,1439,0
MTB_H.US,60,20240415,160000,22.67,22.75,22.65,22.74,3638,0
MTB_H.US,60,20240415,170000,22.7499,22.8879,22.65,22.65,2807,0
MTB_H.US,60,20240415,180000,22.6822,22.7499,22.65,22.655,8783,0
MTB_H.US,60,20240415,190000,22.64,22.7259,22.6,22.63,1013,0
MTB_H.US,60,20240415,200000,22.67,22.67,22.5,22.5988,5824,0
MTB_H.US,60,20240415,210000,22.5541,22.67,22.55,22.55,1269,0
MTB_H.US,60,20240415,220000,22.52,22.6571,22.48,22.58,5119,0
MTB_H.US,60,20240416,160000,22.45,22.5,22.39,22.45,1641,0
MTB_H.US,60,20240416,170000,22.578,22.8599,22.578,22.645,3525,0
MTB_H.US,60,20240416,180000,22.645,22.75,22.5801,22.69,2781,0
MTB_H.US,60,20240416,190000,22.69,22.7,22.6501,22.7,5364,0
MTB_H.US,60,20240416,200000,22.71,22.71,22.6014,22.65,7459,0
MTB_H.US,60,20240416,210000,22.66,22.75,22.65,22.75,2422,0
MTB_H.US,60,20240416,220000,22.71,22.7494,22.67,22.71,1290,0
MTB_H.US,60,20240417,160000,22.84,22.84,22.8033,22.8033,670,0
MTB_H.US,60,20240417,170000,22.85,22.86,22.85,22.86,2232,0
MTB_H.US,60,20240417,180000,22.915,23,22.91,22.9257,7806,0
MTB_H.US,60,20240417,190000,22.94,23,22.88,22.88,6303,0
MTB_H.US,60,20240417,200000,22.88,23.0287,22.88,22.88,7172,0
MTB_H.US,60,20240417,210000,22.89,22.9711,22.85,22.86,10301,0
MTB_H.US,60,20240417,220000,22.9956,22.9956,22.85,22.87,2196,0
MTB_H.US,60,20240418,160000,22.96,22.96,22.915,22.915,391,0
MTB_H.US,60,20240418,170000,22.855,22.9901,22.855,22.875,857,0
MTB_H.US,60,20240418,180000,22.9235,22.9235,22.9235,22.9235,291,0
MTB_H.US,60,20240418,190000,22.84,22.84,22.78,22.78,5377,0
MTB_H.US,60,20240418,200000,22.78,22.82,22.78,22.82,535,0
MTB_H.US,60,20240418,210000,22.805,22.8299,22.66,22.66,1696,0
MTB_H.US,60,20240418,220000,22.725,22.725,22.69,22.7,1388,0
MTB_H.US,60,20240419,160000,22.79,22.9499,22.75,22.9499,861,0
MTB_H.US,60,20240419,170000,22.8,22.85,22.78,22.85,1699,0
MTB_H.US,60,20240419,180000,22.78,22.79,22.78,22.78,1736,0
