<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NGVC.US,60,20240411,160000,16.62,16.62,16.62,16.62,415,0
NGVC.US,60,20240411,170000,16.49,16.52,16.42,16.52,1005,0
NGVC.US,60,20240411,180000,16.46,16.645,16.42,16.645,2508,0
NGVC.US,60,20240411,190000,16.72,16.76,16.72,16.75,1394,0
NGVC.US,60,20240411,200000,16.7791,16.7791,16.7791,16.7791,660,0
NGVC.US,60,20240411,210000,16.84,16.84,16.75,16.75,873,0
NGVC.US,60,20240411,220000,16.735,16.85,16.68,16.7,14579,0
NGVC.US,60,20240412,160000,16.58,16.68,16.58,16.68,507,0
NGVC.US,60,20240412,180000,16.5,16.5,16.5,16.5,100,0
NGVC.US,60,20240412,190000,16.5,16.5,16.36,16.405,900,0
NGVC.US,60,20240412,200000,16.4,16.41,16.33,16.39,1406,0
NGVC.US,60,20240412,210000,16.3901,16.4,16.2914,16.2914,1085,0
NGVC.US,60,20240412,220000,16.31,16.37,16.18,16.28,18883,0
NGVC.US,60,20240415,160000,16.45,16.45,16.45,16.45,799,0
NGVC.US,60,20240415,170000,16.27,16.27,16.08,16.08,2534,0
NGVC.US,60,20240415,180000,16.17,16.17,16.075,16.15,3800,0
NGVC.US,60,20240415,190000,16.21,16.21,16.15,16.15,600,0
NGVC.US,60,20240415,200000,16.08,16.17,16.02,16.17,1696,0
NGVC.US,60,20240415,210000,16.24,16.25,16.17,16.2,1012,0
NGVC.US,60,20240415,220000,16.18,16.47,16.15,16.41,30232,0
NGVC.US,60,20240416,160000,16.29,16.37,16.29,16.34,618,0
NGVC.US,60,20240416,170000,16.25,16.42,16.25,16.2601,3167,0
NGVC.US,60,20240416,180000,16.36,16.44,16.35,16.44,658,0
NGVC.US,60,20240416,190000,16.4,16.45,16.3001,16.38,3700,0
NGVC.US,60,20240416,200000,16.34,16.47,16.33,16.33,1200,0
NGVC.US,60,20240416,210000,16.47,16.52,16.335,16.41,2600,0
NGVC.US,60,20240416,220000,16.41,16.47,16.31,16.33,9361,0
NGVC.US,60,20240417,160000,16.34,16.52,16.34,16.49,795,0
NGVC.US,60,20240417,170000,16.46,16.62,16.41,16.58,1722,0
NGVC.US,60,20240417,180000,16.55,16.55,16.43,16.46,1350,0
NGVC.US,60,20240417,190000,16.4,16.4,16.26,16.28,4293,0
NGVC.US,60,20240417,200000,16.25,16.35,16.25,16.32,1319,0
NGVC.US,60,20240417,210000,16.37,16.37,16.26,16.26,983,0
NGVC.US,60,20240417,220000,16.23,16.27,16.12,16.18,9290,0
NGVC.US,60,20240418,160000,16.26,16.29,16.1201,16.29,361,0
NGVC.US,60,20240418,170000,16.1755,16.405,16.1755,16.35,1229,0
NGVC.US,60,20240418,180000,16.3,16.32,16.29,16.29,905,0
NGVC.US,60,20240418,190000,16.25,16.25,16.16,16.16,1450,0
NGVC.US,60,20240418,200000,16.2,16.2,16.135,16.135,700,0
NGVC.US,60,20240418,210000,16.18,16.27,16.14,16.27,1795,0
NGVC.US,60,20240418,220000,16.29,16.31,16.17,16.24,17346,0
NGVC.US,60,20240419,160000,16.14,16.36,16.14,16.36,2276,0
NGVC.US,60,20240419,170000,16.36,16.58,16.347,16.4,3718,0
NGVC.US,60,20240419,180000,16.41,16.42,16.36,16.4,2053,0
NGVC.US,60,20240419,190000,16.43,16.43,16.21,16.24,1516,0
NGVC.US,60,20240419,200000,16.3,16.3581,16.275,16.3,928,0
NGVC.US,60,20240419,210000,16.3639,16.37,16.35,16.37,800,0
NGVC.US,60,20240419,220000,16.36,16.52,16.3,16.51,8400,0
NGVC.US,60,20240422,160000,16.45,16.45,16.405,16.405,2000,0
NGVC.US,60,20240422,170000,16.37,16.37,16.18,16.23,3427,0
NGVC.US,60,20240422,180000,16.3299,16.37,16.26,16.326,4574,0
NGVC.US,60,20240422,190000,16.342,16.41,16.327,16.39,7062,0
NGVC.US,60,20240422,200000,16.43,16.51,16.43,16.4901,3413,0
NGVC.US,60,20240422,210000,16.49,16.49,16.475,16.475,200,0
NGVC.US,60,20240422,220000,16.53,16.53,16.21,16.21,24457,0
NGVC.US,60,20240423,160000,16.21,16.29,16.21,16.29,416,0
NGVC.US,60,20240423,170000,16.3,16.3,16.2,16.25,2360,0
NGVC.US,60,20240423,180000,16.185,16.185,16.11,16.15,600,0
NGVC.US,60,20240423,190000,16.14,16.18,16.05,16.09,1921,0
NGVC.US,60,20240423,200000,16.14,16.16,16.09,16.112,1967,0
NGVC.US,60,20240423,210000,16.087,16.15,16.02,16.02,2577,0
NGVC.US,60,20240423,220000,16,16.07,15.94,16.01,19486,0
NGVC.US,60,20240424,160000,15.9,15.91,15.83,15.83,800,0
NGVC.US,60,20240424,170000,15.84,15.92,15.84,15.89,1203,0
NGVC.US,60,20240424,180000,15.872,15.97,15.82,15.97,2518,0
NGVC.US,60,20240424,190000,15.89,16,15.8769,15.97,1464,0
NGVC.US,60,20240424,210000,15.92,15.9548,15.91,15.95,1385,0
NGVC.US,60,20240424,220000,15.94,16.05,15.9,16.04,13049,0
NGVC.US,60,20240425,160000,16.09,16.13,15.985,15.985,3344,0
NGVC.US,60,20240425,170000,16.14,16.44,16.135,16.43,3717,0
NGVC.US,60,20240425,180000,16.38,16.45,16.27,16.305,3539,0
NGVC.US,60,20240425,190000,16.33,16.35,16.28,16.325,1450,0
NGVC.US,60,20240425,200000,16.3406,16.4,16.27,16.28,3468,0
NGVC.US,60,20240425,210000,16.26,16.35,16.23,16.32,2572,0
NGVC.US,60,20240425,220000,16.42,16.46,16.33,16.39,16758,0
NGVC.US,60,20240426,160000,16.48,16.59,16.48,16.59,3321,0
NGVC.US,60,20240426,170000,16.65,16.69,16.613,16.69,1057,0
NGVC.US,60,20240426,180000,16.7399,16.88,16.69,16.88,3400,0
NGVC.US,60,20240426,190000,16.92,16.97,16.87,16.92,1361,0
NGVC.US,60,20240426,200000,16.9,17.03,16.88,16.88,4612,0
NGVC.US,60,20240426,210000,16.88,16.95,16.8517,16.95,1645,0
NGVC.US,60,20240426,220000,16.88,16.95,16.86,16.88,14133,0
NGVC.US,60,20240429,160000,16.88,16.96,16.82,16.96,1734,0
NGVC.US,60,20240429,170000,16.95,16.95,16.8401,16.8401,378,0
NGVC.US,60,20240429,180000,16.84,16.86,16.61,16.65,1417,0
NGVC.US,60,20240429,190000,16.7,16.7,16.62,16.65,800,0
NGVC.US,60,20240429,200000,16.68,16.86,16.67,16.86,1436,0
NGVC.US,60,20240429,210000,16.81,16.83,16.72,16.83,879,0
NGVC.US,60,20240429,220000,16.74,16.78,16.63,16.63,16142,0
NGVC.US,60,20240430,160000,16.5005,16.52,16.5005,16.52,300,0
NGVC.US,60,20240430,170000,16.56,16.68,16.545,16.68,805,0
NGVC.US,60,20240430,180000,16.65,16.65,16.5,16.54,1706,0
NGVC.US,60,20240430,190000,16.54,16.54,16.44,16.44,1200,0
NGVC.US,60,20240430,200000,16.44,16.44,16.44,16.44,200,0
NGVC.US,60,20240430,210000,16.45,16.45,16.43,16.43,522,0
NGVC.US,60,20240430,220000,16.45,16.47,16.36,16.36,14557,0
NGVC.US,60,20240501,160000,16.43,16.43,16.43,16.43,365,0
NGVC.US,60,20240501,170000,16.5,16.5,16.5,16.5,200,0
NGVC.US,60,20240501,180000,16.48,16.48,16.42,16.42,300,0
NGVC.US,60,20240501,190000,16.46,16.51,16.4,16.51,1940,0
NGVC.US,60,20240501,200000,16.57,16.63,16.57,16.61,505,0
NGVC.US,60,20240501,210000,16.705,16.75,16.705,16.75,1900,0
NGVC.US,60,20240501,220000,16.68,16.69,16.52,16.52,8104,0
NGVC.US,60,20240502,160000,16.62,16.62,16.62,16.62,323,0
NGVC.US,60,20240502,180000,16.62,16.75,16.62,16.7,1701,0
NGVC.US,60,20240502,190000,16.695,16.74,16.685,16.7,1609,0
NGVC.US,60,20240502,200000,16.68,16.98,16.67,16.965,11414,0
NGVC.US,60,20240502,210000,16.82,16.9,16.82,16.9,1475,0
NGVC.US,60,20240502,220000,16.89,16.94,16.79,16.82,14465,0
NGVC.US,60,20240507,160000,17.69,17.87,17.69,17.87,1032,0
NGVC.US,60,20240507,170000,18.02,18.02,17.91,17.995,500,0
NGVC.US,60,20240507,180000,18,18.23,18,18.15,2128,0
NGVC.US,60,20240507,190000,18.11,18.2299,18.11,18.1201,3256,0
NGVC.US,60,20240507,200000,18.2,18.22,18.07,18.07,1200,0
NGVC.US,60,20240507,210000,18.07,18.105,18.02,18.055,2096,0
NGVC.US,60,20240507,220000,18.02,18.05,17.93,17.94,30733,0
NGVC.US,60,20240508,160000,17.91,18.09,17.91,18.09,1635,0
NGVC.US,60,20240508,170000,18.0912,18.1036,17.8,17.99,3221,0
NGVC.US,60,20240508,180000,17.93,18.01,17.93,18,1810,0
NGVC.US,60,20240508,190000,18.07,18.08,18.07,18.08,597,0
NGVC.US,60,20240508,200000,18.13,18.13,17.995,18,1260,0
NGVC.US,60,20240508,210000,17.9875,18.08,17.98,17.98,20421,0
NGVC.US,60,20240508,220000,17.96,17.98,17.89,17.89,9081,0
NGVC.US,60,20240509,160000,17.8,17.9,17.8,17.9,3426,0
NGVC.US,60,20240509,170000,17.92,18.04,17.92,18.04,600,0
NGVC.US,60,20240509,180000,17.95,17.97,17.8,17.805,2672,0
NGVC.US,60,20240509,190000,17.79,17.8,17.65,17.7,4275,0
NGVC.US,60,20240509,200000,17.715,17.8299,17.71,17.765,3455,0
NGVC.US,60,20240509,210000,17.74,17.86,17.74,17.78,1907,0
NGVC.US,60,20240509,220000,17.815,17.9,17.77,17.83,18046,0
NGVC.US,60,20240510,160000,19.44,20.72,19.33,20.205,16107,0
NGVC.US,60,20240510,170000,20.2,20.58,20,20.01,21302,0
NGVC.US,60,20240510,180000,19.95,20.1,19.7982,20.01,14515,0
NGVC.US,60,20240510,190000,20.07,20.275,19.99,20.05,9385,0
NGVC.US,60,20240510,200000,20.115,20.115,19.63,19.7699,10021,0
NGVC.US,60,20240510,210000,19.77,19.84,19.2,19.35,19936,0
NGVC.US,60,20240510,220000,19.44,19.56,19.27,19.52,30436,0
NGVC.US,60,20240513,160000,19.46,20.01,19.41,20.01,10594,0
NGVC.US,60,20240513,170000,20.06,20.42,20.06,20.3498,11957,0
NGVC.US,60,20240513,180000,20.2814,20.45,19.9,19.99,25211,0
NGVC.US,60,20240513,190000,20.04,20.04,19.73,19.73,5530,0
NGVC.US,60,20240513,200000,19.73,19.86,19.67,19.81,4446,0
NGVC.US,60,20240513,210000,19.86,19.99,19.8042,19.88,2416,0
NGVC.US,60,20240513,220000,19.88,19.89,19.45,19.48,30835,0
NGVC.US,60,20240514,160000,19.61,20.22,19.61,20.18,10237,0
NGVC.US,60,20240514,170000,20.15,20.16,20,20.017,4063,0
NGVC.US,60,20240514,180000,19.92,20.0591,19.92,19.94,2152,0
NGVC.US,60,20240514,190000,19.9,19.9567,19.78,19.94,2998,0
NGVC.US,60,20240514,200000,19.94,20.13,19.82,20.0715,2796,0
NGVC.US,60,20240514,210000,20.06,20.33,20.06,20.27,13653,0
NGVC.US,60,20240514,220000,20.275,20.29,20.08,20.24,41206,0
NGVC.US,60,20240515,160000,20.41,20.41,19.81,19.97,3482,0
NGVC.US,60,20240515,170000,20.24,20.2556,20.155,20.17,1271,0
NGVC.US,60,20240515,180000,20.18,20.51,20.1517,20.51,4806,0
NGVC.US,60,20240515,190000,20.54,20.69,20.49,20.6822,7666,0
NGVC.US,60,20240515,200000,20.71,20.78,20.665,20.67,5096,0
NGVC.US,60,20240515,210000,20.72,20.769,20.68,20.7,6389,0
NGVC.US,60,20240515,220000,20.7,20.92,20.69,20.81,22677,0
NGVC.US,60,20240516,160000,20.85,21.18,20.83,21.135,6232,0
NGVC.US,60,20240516,170000,21.1785,21.56,21.14,21.5,26565,0
NGVC.US,60,20240516,180000,21.5,21.51,20.94,21.35,25259,0
NGVC.US,60,20240516,190000,21.35,21.455,21.29,21.455,13565,0
NGVC.US,60,20240516,200000,21.46,21.48,21.25,21.3,22504,0
NGVC.US,60,20240516,210000,21.2,21.2,20.99,21.0967,4397,0
NGVC.US,60,20240516,220000,21.091,21.18,20.95,21.07,20463,0
NGVC.US,60,20240517,160000,21.09,21.09,20.8948,21.0097,2803,0
NGVC.US,60,20240517,170000,20.93,20.93,20.78,20.797,967,0
NGVC.US,60,20240517,180000,20.7977,21.01,20.795,21,5696,0
