<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKX.US,60,20240411,160000,11.99,11.99,11.91,11.91,9848,0
NKX.US,60,20240411,170000,11.91,11.91,11.88,11.88,18194,0
NKX.US,60,20240411,180000,11.885,11.9,11.86,11.9,7774,0
NKX.US,60,20240411,190000,11.89,11.95,11.89,11.91,4305,0
NKX.US,60,20240411,200000,11.94,11.98,11.91,11.96,15255,0
NKX.US,60,20240411,210000,11.96,11.965,11.94,11.94,12400,0
NKX.US,60,20240411,220000,11.9401,11.955,11.91,11.95,19016,0
NKX.US,60,20240412,160000,11.89,11.91,11.86,11.9,13303,0
NKX.US,60,20240412,170000,11.905,11.94,11.88,11.88,18747,0
NKX.US,60,20240412,180000,11.865,11.89,11.85,11.87,7362,0
NKX.US,60,20240412,190000,11.87,11.8932,11.8593,11.8915,11652,0
NKX.US,60,20240412,200000,11.89,11.9,11.87,11.87,17586,0
NKX.US,60,20240412,210000,11.87,11.88,11.85,11.85,12257,0
NKX.US,60,20240412,220000,11.85,11.87,11.85,11.85,10905,0
NKX.US,60,20240415,160000,11.8,11.83,11.75,11.7601,154106,0
NKX.US,60,20240415,170000,11.76,11.76,11.73,11.73,11449,0
NKX.US,60,20240415,180000,11.74,11.74,11.7,11.7,8100,0
NKX.US,60,20240415,190000,11.695,11.73,11.675,11.73,36281,0
NKX.US,60,20240415,200000,11.71,11.75,11.6701,11.75,25014,0
NKX.US,60,20240415,210000,11.73,11.7698,11.73,11.751,12854,0
NKX.US,60,20240415,220000,11.76,11.8,11.75,11.76,17092,0
NKX.US,60,20240416,160000,11.7,11.7,11.65,11.7,20110,0
NKX.US,60,20240416,170000,11.72,11.83,11.72,11.825,27644,0
NKX.US,60,20240416,180000,11.84,11.85,11.82,11.83,21100,0
NKX.US,60,20240416,190000,11.815,11.8182,11.8,11.8095,6624,0
NKX.US,60,20240416,200000,11.8,11.8,11.785,11.795,3500,0
NKX.US,60,20240416,210000,11.7901,11.81,11.79,11.795,17413,0
NKX.US,60,20240416,220000,11.8,11.815,11.77,11.78,11783,0
NKX.US,60,20240417,160000,11.82,11.86,11.82,11.83,4170,0
NKX.US,60,20240417,170000,11.83,11.85,11.82,11.84,6517,0
NKX.US,60,20240417,180000,11.84,11.88,11.84,11.88,5439,0
NKX.US,60,20240417,190000,11.8854,11.8854,11.8201,11.85,8388,0
NKX.US,60,20240417,200000,11.85,11.85,11.82,11.835,10117,0
NKX.US,60,20240417,210000,11.821,11.87,11.81,11.86,35414,0
NKX.US,60,20240417,220000,11.85,11.94,11.85,11.9,25760,0
NKX.US,60,20240418,160000,11.92,11.96,11.85,11.92,12978,0
NKX.US,60,20240418,170000,11.95,11.96,11.93,11.945,5873,0
NKX.US,60,20240418,180000,11.945,11.945,11.92,11.92,4300,0
