<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NMAX.US,60,20250401,160000,125.98,147.9,114.22,137.5824,320607,0
NMAX.US,60,20250401,170000,135.31,193.79,120,143.9404,1193542,0
NMAX.US,60,20250401,180000,143.81,149.249,126,134.98,488500,0
NMAX.US,60,20250401,190000,135,166.68,135,166.68,634051,0
NMAX.US,60,20250401,200000,165.97,200.12,164.6601,191.4646,827138,0
NMAX.US,60,20250401,210000,191.12,229,167.401,205.0352,948643,0
NMAX.US,60,20250401,220000,206,265,201,233,1049479,0
NMAX.US,60,20250402,160000,176.16,177.01,133,159.19,433376,0
NMAX.US,60,20250402,170000,159.45,160,116.0001,125,751727,0
NMAX.US,60,20250402,180000,126.6801,148.8611,120.68,131.48,679724,0
NMAX.US,60,20250402,190000,130.311,135,125,126.7263,245163,0
NMAX.US,60,20250402,200000,126.625,128.6422,88.44,88.44,669222,0
NMAX.US,60,20250402,210000,87,90,58.25,60.3764,1800488,0
NMAX.US,60,20250402,220000,60.375,63.5,46,52.52,2010547,0
NMAX.US,60,20250403,160000,45.48,47.2304,42.1101,44.34,277379,0
NMAX.US,60,20250403,170000,44.755,46.75,40,46.365,447503,0
NMAX.US,60,20250403,180000,46.019,53.63,44.4301,51.65,798701,0
NMAX.US,60,20250403,190000,51.65,59.69,50.73,56.7499,1771636,0
NMAX.US,60,20250403,200000,56.425,67,54,63.375,1264234,0
NMAX.US,60,20250403,210000,63.375,75.45,59,64.6001,2437657,0
NMAX.US,60,20250403,220000,65,65.99,57.03,62.12,1166314,0
NMAX.US,60,20250404,160000,57,63.8,55.055,61.1345,296754,0
NMAX.US,60,20250404,170000,61.175,68,56,58.78,764901,0
NMAX.US,60,20250404,180000,58.75,61,55.15,55.625,317278,0
NMAX.US,60,20250404,190000,55.5,55.8589,50.25,51.8,603457,0
NMAX.US,60,20250404,200000,51.7001,52.25,45.2501,48.27,724417,0
NMAX.US,60,20250404,210000,48.27,48.4799,45.5,45.75,443104,0
NMAX.US,60,20250404,220000,46.315,48.05,42.33,45,726573,0
NMAX.US,60,20250407,160000,44.225,48,43.56,46.93,248623,0
NMAX.US,60,20250407,170000,47,63.95,46.9915,52.7499,600455,0
NMAX.US,60,20250407,180000,52.5748,53.18,48.51,49.25,288724,0
NMAX.US,60,20250407,190000,49.44,49.99,47.16,48.7001,313274,0
NMAX.US,60,20250407,200000,48.85,52.2499,48.7,51.28,349482,0
NMAX.US,60,20250407,210000,51.29,51.61,48,48.3623,273181,0
NMAX.US,60,20250407,220000,48.355,48.99,45.06,47.12,524692,0
NMAX.US,60,20250408,160000,54.22,55,45.9,49.4886,517838,0
NMAX.US,60,20250408,170000,49.475,50.8,47.368,48.07,312204,0
NMAX.US,60,20250408,180000,48.215,48.99,43.1,44.298,526991,0
NMAX.US,60,20250408,190000,44.3,44.85,41.101,42,479711,0
NMAX.US,60,20250408,200000,42.099,42.099,40,41.6,319979,0
NMAX.US,60,20250408,210000,41.3165,41.3165,40,40.125,215529,0
NMAX.US,60,20250408,220000,40.1,41,38.0001,39.21,655426,0
NMAX.US,60,20250409,160000,40.18,40.5,34.461,36.3362,348566,0
NMAX.US,60,20250409,170000,36.7,36.9,35.401,35.55,195810,0
NMAX.US,60,20250409,180000,35.501,36.2,34.65,34.7,150637,0
NMAX.US,60,20250409,190000,34.65,35,31.26,31.575,570179,0
NMAX.US,60,20250409,200000,31.26,36.45,30.8,35.94,881260,0
NMAX.US,60,20250409,210000,36,36.2,33,33.02,455212,0
NMAX.US,60,20250409,220000,33.02,34.76,31.75,34.71,571742,0
NMAX.US,60,20250410,160000,34.76,35.4647,31.25,31.75,140616,0
NMAX.US,60,20250410,170000,31.7001,32,31.05,31.16,130119,0
NMAX.US,60,20250410,180000,31.0904,31.1408,28.3,29.37,378967,0
NMAX.US,60,20250410,190000,29.1895,29.2,26.26,26.4506,445455,0
NMAX.US,60,20250410,200000,26.598,27,25.7501,26.8938,468753,0
NMAX.US,60,20250410,210000,26.9,27.2,25.91,27.099,311994,0
NMAX.US,60,20250410,220000,27.1389,27.17,25,25.4,436391,0
