<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOTE-WS.US,60,20240411,200000,0.24,0.24,0.24,0.24,100,0
NOTE-WS.US,60,20240411,210000,0.2451,0.2451,0.245,0.245,1041,0
NOTE-WS.US,60,20240418,190000,0.245,0.245,0.245,0.245,440,0
NOTE-WS.US,60,20240419,200000,0.2,0.2213,0.2,0.2213,3000,0
NOTE-WS.US,60,20240419,220000,0.21875,0.21875,0.21875,0.21875,600,0
NOTE-WS.US,60,20240423,190000,0.2475,0.2475,0.2475,0.2475,100,0
NOTE-WS.US,60,20240424,170000,0.2112,0.2112,0.2112,0.2112,100,0
NOTE-WS.US,60,20240424,200000,0.20505,0.20505,0.20505,0.20505,1000,0
NOTE-WS.US,60,20240429,180000,0.2475,0.25,0.205,0.205,1000,0
NOTE-WS.US,60,20240430,170000,0.2121,0.2121,0.21,0.21,500,0
NOTE-WS.US,60,20240430,220000,0.21,0.21,0.21,0.21,755,0
NOTE-WS.US,60,20240502,160000,0.2,0.2,0.2,0.2,5000,0
NOTE-WS.US,60,20240502,180000,0.2,0.215,0.2,0.215,500,0
NOTE-WS.US,60,20240507,170000,0.2,0.2,0.2,0.2,1743,0
NOTE-WS.US,60,20240507,190000,0.192601,0.192601,0.1901,0.1925,2038,0
NOTE-WS.US,60,20240507,220000,0.19,0.19005,0.19,0.190001,3957,0
NOTE-WS.US,60,20240509,180000,0.198,0.2,0.198,0.1999,900,0
NOTE-WS.US,60,20240509,200000,0.1962,0.2,0.195,0.1951,900,0
NOTE-WS.US,60,20240510,160000,0.2,0.2,0.2,0.2,200,0
NOTE-WS.US,60,20240510,200000,0.199899,0.199899,0.199899,0.199899,100,0
NOTE-WS.US,60,20240514,210000,0.21,0.2101,0.21,0.21,3300,0
NOTE-WS.US,60,20240516,180000,0.2,0.2001,0.2,0.2001,3400,0
NOTE-WS.US,60,20240516,190000,0.199899,0.199899,0.199899,0.199899,200,0
NOTE-WS.US,60,20240517,210000,0.1998,0.199801,0.1998,0.199801,1500,0
NOTE-WS.US,60,20240522,180000,0.2026,0.2026,0.2026,0.2026,1000,0
NOTE-WS.US,60,20240528,160000,0.2,0.2,0.2,0.2,500,0
NOTE-WS.US,60,20240528,220000,0.2,0.2,0.2,0.2,440,0
NOTE-WS.US,60,20240529,160000,0.23,0.23,0.23,0.23,100,0
NOTE-WS.US,60,20240529,210000,0.2,0.2,0.2,0.2,200,0
NOTE-WS.US,60,20240530,180000,0.1999,0.1999,0.1999,0.1999,100,0
NOTE-WS.US,60,20240530,210000,0.1998,0.1998,0.1998,0.1998,800,0
NOTE-WS.US,60,20240603,220000,0.1999,0.1999,0.1999,0.1999,500,0
NOTE-WS.US,60,20240604,210000,0.1998,0.199803,0.1998,0.199803,600,0
NOTE-WS.US,60,20240605,160000,0.1998,0.1998,0.1998,0.1998,900,0
NOTE-WS.US,60,20240605,190000,0.199801,0.199801,0.199801,0.199801,1000,0
NOTE-WS.US,60,20240606,170000,0.199901,0.206011,0.1998,0.1998,6514,0
NOTE-WS.US,60,20240606,190000,0.1998,0.1998,0.1998,0.1998,100,0
NOTE-WS.US,60,20240606,210000,0.195,0.195,0.1942,0.1943,5988,0
NOTE-WS.US,60,20240606,220000,0.1942,0.1998,0.1942,0.1998,200,0
NOTE-WS.US,60,20240607,200000,0.1942,0.1943,0.1942,0.1943,300,0
NOTE-WS.US,60,20240610,160000,0.19,0.19,0.19,0.19,856,0
NOTE-WS.US,60,20240612,170000,0.1818,0.190501,0.171,0.190501,2436,0
NOTE-WS.US,60,20240613,160000,0.209899,0.209899,0.175,0.175,2756,0
NOTE-WS.US,60,20240620,190000,0.1751,0.1752,0.1675,0.1675,17876,0
NOTE-WS.US,60,20240620,200000,0.1687,0.1687,0.1675,0.1676,1322,0
NOTE-WS.US,60,20240621,160000,0.1651,0.18625,0.1651,0.18625,2000,0
NOTE-WS.US,60,20240621,190000,0.165,0.165,0.1638,0.165,3000,0
NOTE-WS.US,60,20240621,200000,0.165,0.1651,0.165,0.1651,200,0
NOTE-WS.US,60,20240621,210000,0.18,0.18,0.1777,0.1777,2222,0
