<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PBR-A.US,60,20240411,160000,15.55,15.6,15.44,15.45,551181,0
PBR-A.US,60,20240411,170000,15.455,15.52,15.397,15.49,723796,0
PBR-A.US,60,20240411,180000,15.49,15.62,15.485,15.62,591458,0
PBR-A.US,60,20240411,190000,15.62,15.635,15.49,15.52,519919,0
PBR-A.US,60,20240411,200000,15.52,15.5601,15.505,15.5383,270535,0
PBR-A.US,60,20240411,210000,15.54,15.57,15.425,15.435,486948,0
PBR-A.US,60,20240411,220000,15.44,15.48,15.39,15.42,1797179,0
PBR-A.US,60,20240412,160000,15.57,15.57,15.37,15.41,478095,0
PBR-A.US,60,20240412,170000,15.4,15.44,15.2911,15.2911,590262,0
PBR-A.US,60,20240412,180000,15.3,15.335,15.25,15.27,635945,0
PBR-A.US,60,20240412,190000,15.265,15.365,15.205,15.23,827282,0
PBR-A.US,60,20240412,200000,15.23,15.245,15.115,15.165,569792,0
PBR-A.US,60,20240412,210000,15.16,15.22,15.07,15.07,681597,0
PBR-A.US,60,20240412,220000,15.07,15.21,15.065,15.17,1165145,0
PBR-A.US,60,20240415,160000,15.03,15.17,14.985,15.11,755602,0
PBR-A.US,60,20240415,170000,15.1192,15.23,15.045,15.18,499373,0
PBR-A.US,60,20240415,180000,15.185,15.19,15.105,15.145,305381,0
PBR-A.US,60,20240415,190000,15.145,15.15,15.05,15.1,224284,0
PBR-A.US,60,20240415,200000,15.1,15.1,14.945,15.065,467466,0
PBR-A.US,60,20240415,210000,15.0615,15.14,15.03,15.125,392393,0
PBR-A.US,60,20240415,220000,15.13,15.16,15.08,15.16,2140926,0
PBR-A.US,60,20240416,160000,14.9,14.975,14.8,14.86,407401,0
PBR-A.US,60,20240416,170000,14.85,15.005,14.835,14.945,585679,0
PBR-A.US,60,20240416,180000,14.94,15.035,14.94,15.01,355715,0
PBR-A.US,60,20240416,190000,15.01,15.03,14.97,15.005,243883,0
PBR-A.US,60,20240416,200000,15.005,15.005,14.9,14.97,287116,0
PBR-A.US,60,20240416,210000,14.975,15.1,14.955,15.04,498242,0
PBR-A.US,60,20240416,220000,15.045,15.075,15,15,812357,0
PBR-A.US,60,20240417,160000,15.09,15.13,15.04,15.05,412206,0
PBR-A.US,60,20240417,170000,15.055,15.1436,14.99,15.065,630984,0
PBR-A.US,60,20240417,180000,15.07,15.17,15.07,15.135,292257,0
PBR-A.US,60,20240417,190000,15.13,15.13,14.935,15.005,712452,0
PBR-A.US,60,20240417,200000,15,15.19,15,15.19,411640,0
PBR-A.US,60,20240417,210000,15.19,15.26,15.175,15.2,660645,0
PBR-A.US,60,20240417,220000,15.19,15.21,15.1,15.11,1939857,0
PBR-A.US,60,20240418,160000,15.39,15.47,15.34,15.395,462888,0
PBR-A.US,60,20240418,170000,15.39,15.455,15.285,15.32,737993,0
PBR-A.US,60,20240418,180000,15.315,15.32,15.175,15.18,541208,0
PBR-A.US,60,20240418,190000,15.18,15.21,15.1,15.115,228872,0
PBR-A.US,60,20240418,200000,15.11,15.11,15.03,15.085,278439,0
PBR-A.US,60,20240418,210000,15.085,15.17,15.04,15.085,738195,0
PBR-A.US,60,20240418,220000,15.085,15.135,15.07,15.115,829104,0
PBR-A.US,60,20240419,160000,15.19,15.32,15.18,15.3,246558,0
PBR-A.US,60,20240419,170000,15.3,15.74,15.27,15.54,3551612,0
PBR-A.US,60,20240419,180000,15.535,15.66,15.53,15.59,2182473,0
PBR-A.US,60,20240419,190000,15.585,15.75,15.545,15.74,1887004,0
PBR-A.US,60,20240419,200000,15.74,15.75,15.645,15.66,2035739,0
PBR-A.US,60,20240419,210000,15.655,15.66,15.54,15.6,1041528,0
PBR-A.US,60,20240419,220000,15.595,15.64,15.555,15.6,4962666,0
PBR-A.US,60,20240422,160000,15.61,15.675,15.56,15.645,933828,0
PBR-A.US,60,20240422,170000,15.645,15.84,15.62,15.755,2568625,0
PBR-A.US,60,20240422,180000,15.755,15.79,15.68,15.76,1179314,0
PBR-A.US,60,20240422,190000,15.77,15.95,15.76,15.945,1548494,0
PBR-A.US,60,20240422,200000,15.945,15.975,15.88,15.9,1601734,0
PBR-A.US,60,20240422,210000,15.905,16,15.9,15.995,3832108,0
PBR-A.US,60,20240422,220000,15.9908,16.06,15.965,16.06,3588341,0
PBR-A.US,60,20240423,160000,16,16,15.87,15.97,472761,0
PBR-A.US,60,20240423,170000,15.96,16.01,15.86,15.869,763241,0
PBR-A.US,60,20240423,180000,15.865,15.95,15.855,15.95,449647,0
PBR-A.US,60,20240423,190000,15.955,16.15,15.94,16.11,479895,0
PBR-A.US,60,20240423,200000,16.11,16.185,16.1,16.1541,352005,0
PBR-A.US,60,20240423,210000,16.155,16.175,16.085,16.15,324575,0
PBR-A.US,60,20240423,220000,16.15,16.16,16.105,16.14,1046269,0
PBR-A.US,60,20240424,160000,16.16,16.18,16.08,16.13,335000,0
PBR-A.US,60,20240424,170000,16.12,16.23,16.08,16.125,381837,0
PBR-A.US,60,20240424,180000,16.13,16.13,15.95,15.99,611847,0
PBR-A.US,60,20240424,190000,15.99,16.01,15.96,16.01,375516,0
PBR-A.US,60,20240424,200000,16.01,16.045,15.98,16.01,165017,0
PBR-A.US,60,20240424,210000,16.015,16.03,15.985,16.01,189019,0
PBR-A.US,60,20240424,220000,16.01,16.07,15.99,15.99,696035,0
PBR-A.US,60,20240425,160000,15.98,16.04,15.87,15.925,312025,0
