<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRSU.US,60,20240411,160000,36.59,36.73,36.37,36.37,418,0
PRSU.US,60,20240411,170000,36.465,36.465,36.32,36.33,2270,0
PRSU.US,60,20240411,180000,36.24,36.54,36.23,36.54,1202,0
PRSU.US,60,20240411,190000,36.54,36.61,36.5,36.58,1551,0
PRSU.US,60,20240411,200000,36.505,36.75,36.505,36.75,1697,0
PRSU.US,60,20240411,210000,36.75,36.8146,36.6275,36.655,2027,0
PRSU.US,60,20240411,220000,36.62,36.62,36.48,36.59,24101,0
PRSU.US,60,20240412,160000,36.46,36.515,36.46,36.515,779,0
PRSU.US,60,20240412,170000,36.305,36.305,35.825,35.88,2674,0
PRSU.US,60,20240412,180000,35.9811,36.1799,35.585,35.585,7816,0
PRSU.US,60,20240412,190000,35.58,35.84,35.49,35.57,4212,0
PRSU.US,60,20240412,200000,35.48,35.79,35.48,35.79,3433,0
PRSU.US,60,20240412,210000,35.749,35.825,35.7,35.735,543,0
PRSU.US,60,20240412,220000,35.68,36.45,35.65,36.32,31683,0
PRSU.US,60,20240415,160000,36.37,36.61,36.07,36.61,5969,0
PRSU.US,60,20240415,170000,36.38,36.38,35.99,35.99,1195,0
PRSU.US,60,20240415,180000,36.09,36.2999,36.065,36.1782,2034,0
PRSU.US,60,20240415,190000,36.05,36.06,35.6901,35.83,3528,0
PRSU.US,60,20240415,200000,35.71,35.79,35.45,35.64,2367,0
PRSU.US,60,20240415,210000,35.53,35.53,35.25,35.275,2557,0
PRSU.US,60,20240415,220000,35.29,35.47,35.29,35.43,14802,0
PRSU.US,60,20240416,160000,34.89,34.89,34.5714,34.855,1581,0
PRSU.US,60,20240416,170000,34.97,34.97,34.795,34.795,970,0
PRSU.US,60,20240416,180000,34.86,35.18,34.86,35.18,1061,0
PRSU.US,60,20240416,190000,35.05,35.05,34.93,34.94,928,0
PRSU.US,60,20240416,200000,34.979,34.979,34.67,34.8,2567,0
PRSU.US,60,20240416,210000,34.87,34.99,34.74,34.81,1626,0
PRSU.US,60,20240416,220000,34.7537,34.89,34.64,34.85,13797,0
PRSU.US,60,20240417,160000,35.31,35.3899,34.98,35.13,5052,0
PRSU.US,60,20240417,170000,34.88,35.09,34.61,34.755,2792,0
PRSU.US,60,20240417,180000,34.865,35,34.505,35,5951,0
PRSU.US,60,20240417,190000,34.8,34.83,34.6318,34.6318,3374,0
PRSU.US,60,20240417,200000,34.69,34.76,34.55,34.75,2733,0
PRSU.US,60,20240417,210000,34.75,34.75,34.62,34.635,1988,0
PRSU.US,60,20240417,220000,34.55,34.57,34.27,34.36,27407,0
PRSU.US,60,20240418,160000,34.42,34.6399,34.19,34.19,838,0
PRSU.US,60,20240418,170000,34.42,34.81,34.355,34.73,4902,0
PRSU.US,60,20240418,180000,34.75,34.855,34.73,34.855,925,0
PRSU.US,60,20240418,190000,34.75,34.77,34.56,34.56,900,0
PRSU.US,60,20240418,200000,34.45,34.59,34.405,34.45,5378,0
PRSU.US,60,20240418,210000,34.33,34.33,33.98,34.03,13948,0
PRSU.US,60,20240418,220000,34.13,34.17,33.84,33.9,35945,0
PRSU.US,60,20240419,160000,33.86,34.3376,33.86,34.1701,6303,0
PRSU.US,60,20240419,170000,34.745,34.745,34.19,34.34,6782,0
PRSU.US,60,20240419,180000,34.44,34.51,34.43,34.44,1979,0
PRSU.US,60,20240419,190000,34.32,34.33,34.14,34.2,7912,0
PRSU.US,60,20240419,200000,34.31,34.83,34.31,34.83,1782,0
PRSU.US,60,20240419,210000,34.68,34.73,34.49,34.64,4610,0
PRSU.US,60,20240419,220000,34.67,34.82,34.55,34.68,16289,0
PRSU.US,60,20240422,160000,34.97,35.065,34.675,35.065,3440,0
PRSU.US,60,20240422,170000,35.065,35.34,34.93,34.95,11010,0
PRSU.US,60,20240422,180000,34.92,35.17,34.91,35.17,5175,0
PRSU.US,60,20240422,190000,35.14,35.44,35.07,35.44,11294,0
PRSU.US,60,20240422,200000,35.34,35.47,35.16,35.46,12462,0
PRSU.US,60,20240422,210000,35.52,35.64,35.3,35.37,10218,0
PRSU.US,60,20240422,220000,35.34,35.415,35.14,35.26,37192,0
PRSU.US,60,20240423,160000,35.33,35.77,34.49,35.7343,16431,0
PRSU.US,60,20240423,170000,35.66,36.01,35.66,35.92,4375,0
PRSU.US,60,20240423,180000,35.92,36.11,35.9,36.1,1099,0
PRSU.US,60,20240423,190000,36.015,36.07,35.86,35.98,1921,0
PRSU.US,60,20240423,200000,36.05,36.05,35.84,35.9,1948,0
PRSU.US,60,20240423,210000,35.945,36.06,35.85,35.89,3000,0
PRSU.US,60,20240423,220000,35.86,35.9,35.54,35.67,25737,0
PRSU.US,60,20240424,160000,35.45,35.7698,35.21,35.58,2825,0
PRSU.US,60,20240424,170000,35.455,35.46,35.2,35.2,1850,0
PRSU.US,60,20240424,180000,35.15,35.29,35.09,35.18,6368,0
PRSU.US,60,20240424,190000,35.24,35.24,35.24,35.24,100,0
PRSU.US,60,20240424,200000,35.23,35.455,35.145,35.455,3337,0
PRSU.US,60,20240424,210000,35.38,35.38,35.17,35.17,300,0
PRSU.US,60,20240424,220000,35.15,35.49,35.13,35.46,22979,0
PRSU.US,60,20240425,160000,34.95,34.95,34.95,34.95,165,0
PRSU.US,60,20240425,170000,34.61,34.86,34.42,34.43,1500,0
PRSU.US,60,20240425,180000,34.495,34.495,34.28,34.3801,7405,0
PRSU.US,60,20240425,190000,34.41,34.62,34.28,34.62,10367,0
PRSU.US,60,20240425,200000,34.49,34.575,34.38,34.52,2091,0
PRSU.US,60,20240425,210000,34.43,34.44,34.15,34.39,2718,0
PRSU.US,60,20240425,220000,34.43,34.64,34.415,34.62,30198,0
PRSU.US,60,20240426,160000,34.63,34.91,34.63,34.88,480,0
PRSU.US,60,20240426,170000,35.04,35.08,34.91,34.91,1530,0
PRSU.US,60,20240426,180000,34.89,34.89,34.86,34.86,200,0
PRSU.US,60,20240426,190000,34.955,34.955,34.86,34.91,1200,0
PRSU.US,60,20240426,200000,34.89,34.9,34.84,34.88,1052,0
PRSU.US,60,20240426,210000,35.12,35.16,35.12,35.16,605,0
PRSU.US,60,20240426,220000,35.12,35.24,35,35.13,21661,0
PRSU.US,60,20240429,160000,35.15,35.15,35.15,35.15,382,0
PRSU.US,60,20240429,170000,35.16,35.4833,35.16,35.4833,209,0
PRSU.US,60,20240429,180000,35.12,35.44,35.12,35.44,625,0
PRSU.US,60,20240429,190000,35.45,35.53,35.285,35.285,1943,0
PRSU.US,60,20240429,200000,35.22,35.32,35.22,35.3,1635,0
PRSU.US,60,20240429,210000,35.28,35.495,35.27,35.35,4721,0
PRSU.US,60,20240429,220000,35.29,35.78,35.18,35.69,32490,0
PRSU.US,60,20240430,160000,35.4,35.42,35.15,35.24,1103,0
PRSU.US,60,20240430,170000,35.29,35.47,34.91,35,2830,0
PRSU.US,60,20240430,180000,35.07,35.1003,34.92,35.1003,1447,0
PRSU.US,60,20240430,190000,35.06,35.06,34.895,34.895,504,0
PRSU.US,60,20240430,200000,34.97,35,34.95,34.98,1150,0
PRSU.US,60,20240430,210000,35.01,35.01,34.785,34.785,1732,0
PRSU.US,60,20240430,220000,34.79,34.91,34.38,34.48,34699,0
PRSU.US,60,20240501,160000,34.5,34.8,34.5,34.67,1166,0
PRSU.US,60,20240501,170000,34.93,34.93,34.5467,34.69,1515,0
PRSU.US,60,20240501,180000,34.71,34.755,34.57,34.755,1009,0
PRSU.US,60,20240501,190000,34.65,34.75,34.65,34.69,819,0
PRSU.US,60,20240501,200000,34.44,34.54,34.44,34.54,420,0
PRSU.US,60,20240501,210000,34.44,34.83,34.28,34.8,3864,0
PRSU.US,60,20240501,220000,35.08,35.12,34.178,34.26,22861,0
PRSU.US,60,20240502,160000,34.7,34.7,34.28,34.28,893,0
PRSU.US,60,20240502,170000,34.4,34.425,34.23,34.425,1386,0
PRSU.US,60,20240502,180000,34.3444,34.61,34.3444,34.61,747,0
PRSU.US,60,20240502,190000,34.57,34.83,34.511,34.83,9232,0
PRSU.US,60,20240502,200000,35.06,35.06,34.89,34.955,800,0
PRSU.US,60,20240502,210000,34.955,35.03,34.94,35.03,1384,0
PRSU.US,60,20240502,220000,34.92,35.345,34.89,35.29,35582,0
PRSU.US,60,20240507,160000,33.23,33.98,33.23,33.98,13638,0
PRSU.US,60,20240507,170000,33.97,34.45,33.9505,34.28,6317,0
PRSU.US,60,20240507,180000,34.4,34.43,34.38,34.43,1579,0
PRSU.US,60,20240507,190000,34.5,34.895,34.49,34.67,4447,0
PRSU.US,60,20240507,200000,34.66,34.7,34.56,34.58,3197,0
PRSU.US,60,20240507,210000,34.66,34.69,34.46,34.5915,1847,0
PRSU.US,60,20240507,220000,34.56,34.92,34.46,34.6,46066,0
PRSU.US,60,20240508,160000,34.36,34.58,34.27,34.5,11935,0
PRSU.US,60,20240508,170000,34.35,34.665,34.3,34.55,4672,0
PRSU.US,60,20240508,180000,34.315,34.38,34.2,34.38,1570,0
PRSU.US,60,20240508,190000,34.345,34.345,34.21,34.21,400,0
PRSU.US,60,20240508,200000,34.12,34.12,34.03,34.12,1000,0
PRSU.US,60,20240508,210000,34.105,34.17,34,34.135,1773,0
PRSU.US,60,20240508,220000,34.125,34.62,34.125,34.37,22381,0
PRSU.US,60,20240509,160000,34.25,34.25,34.25,34.25,295,0
PRSU.US,60,20240509,170000,34.55,34.59,34.5361,34.5361,745,0
PRSU.US,60,20240509,180000,34.7,34.9333,34.67,34.9333,6286,0
PRSU.US,60,20240509,190000,34.95,35.105,34.94,34.96,3920,0
PRSU.US,60,20240509,200000,35.06,35.14,34.83,34.83,1967,0
PRSU.US,60,20240509,210000,34.81,34.92,34.81,34.91,719,0
PRSU.US,60,20240509,220000,35.06,35.27,35.02,35.25,29206,0
PRSU.US,60,20240510,160000,35.22,35.22,35.22,35.22,366,0
PRSU.US,60,20240510,170000,34.955,34.955,34.605,34.755,1571,0
PRSU.US,60,20240510,180000,34.71,34.83,34.565,34.7,2062,0
PRSU.US,60,20240510,190000,34.73,34.73,34.51,34.61,1578,0
PRSU.US,60,20240510,200000,34.6,34.71,34.52,34.64,2323,0
PRSU.US,60,20240510,210000,34.55,34.61,34.49,34.52,3109,0
PRSU.US,60,20240510,220000,34.55,34.79,34.55,34.77,27766,0
PRSU.US,60,20240513,170000,34.8757,35.23,34.85,35.1001,7125,0
PRSU.US,60,20240513,180000,35.13,35.625,35.08,35.5,11309,0
PRSU.US,60,20240513,190000,35.6,35.6,35.2155,35.48,2465,0
PRSU.US,60,20240513,200000,35.49,35.65,35.2865,35.635,3583,0
PRSU.US,60,20240513,210000,35.61,35.69,35.52,35.64,3908,0
PRSU.US,60,20240513,220000,35.7,35.86,35.45,35.47,25987,0
PRSU.US,60,20240514,160000,36.02,36.05,36,36.05,1075,0
PRSU.US,60,20240514,170000,36,36,35.75,35.82,2791,0
PRSU.US,60,20240514,180000,35.81,35.81,35.49,35.545,1378,0
PRSU.US,60,20240514,190000,35.56,35.65,35.465,35.59,12311,0
PRSU.US,60,20240514,200000,35.6,35.81,35.6,35.77,5577,0
PRSU.US,60,20240514,210000,35.77,36.08,35.77,36,4849,0
PRSU.US,60,20240514,220000,35.95,35.95,35.73,35.87,26728,0
PRSU.US,60,20240515,160000,36.21,36.435,36.21,36.42,1442,0
PRSU.US,60,20240515,170000,36.38,36.92,36.38,36.845,2797,0
PRSU.US,60,20240515,180000,36.66,36.99,36.64,36.82,2875,0
PRSU.US,60,20240515,190000,36.845,37.01,36.75,37.01,3132,0
PRSU.US,60,20240515,200000,37.02,37.16,36.965,37.16,4276,0
PRSU.US,60,20240515,210000,37.13,37.13,36.91,37.07,2412,0
PRSU.US,60,20240515,220000,37.065,37.09,36.85,36.88,25266,0
PRSU.US,60,20240516,160000,36.8,36.8,36.112,36.112,1766,0
PRSU.US,60,20240516,170000,36.21,36.21,35.89,35.9904,2092,0
PRSU.US,60,20240516,180000,36.005,36.015,35.66,35.72,4495,0
PRSU.US,60,20240516,190000,35.53,35.75,35.252,35.6,14384,0
PRSU.US,60,20240516,200000,35.665,35.665,35.402,35.57,6180,0
PRSU.US,60,20240516,210000,35.564,35.7617,35.465,35.68,6055,0
PRSU.US,60,20240516,220000,35.69,36,35.48,35.49,37298,0
PRSU.US,60,20240517,160000,35.6661,35.9201,35.35,35.765,11727,0
PRSU.US,60,20240517,170000,35.565,35.9,35.33,35.845,11279,0
PRSU.US,60,20240517,180000,35.7401,35.845,35.61,35.66,3978,0
PRSU.US,60,20240517,190000,35.665,35.765,35.6,35.6,2653,0
PRSU.US,60,20240517,200000,35.63,35.76,35.63,35.64,1703,0
PRSU.US,60,20240517,210000,35.71,35.71,35.52,35.52,3586,0
PRSU.US,60,20240517,220000,35.5,35.585,35.23,35.26,25005,0
PRSU.US,60,20240520,160000,35.08,35.08,35.08,35.08,1008,0
PRSU.US,60,20240520,170000,35.35,35.54,35.15,35.42,2479,0
PRSU.US,60,20240520,180000,35.54,35.87,35.52,35.87,3022,0
PRSU.US,60,20240520,190000,35.84,35.85,35.7,35.7,1514,0
PRSU.US,60,20240520,200000,35.66,35.675,35.53,35.53,1100,0
PRSU.US,60,20240520,210000,35.54,35.59,35.36,35.47,1969,0
PRSU.US,60,20240520,220000,35.42,35.47,35.16,35.19,19782,0
PRSU.US,60,20240521,160000,35,35.085,34.94,34.94,504,0
PRSU.US,60,20240521,170000,34.9,35.045,34.9,34.955,2992,0
PRSU.US,60,20240521,180000,34.955,34.98,34.81,34.81,2083,0
PRSU.US,60,20240521,190000,34.81,35.08,34.81,35.07,1763,0
PRSU.US,60,20240521,200000,35.19,35.35,35.19,35.34,1225,0
PRSU.US,60,20240521,210000,35.32,35.32,35.22,35.22,977,0
PRSU.US,60,20240521,220000,35.21,35.45,35.12,35.45,14291,0
PRSU.US,60,20240522,160000,35.36,35.36,35.36,35.36,203,0
PRSU.US,60,20240522,170000,35.305,35.505,35.275,35.3906,783,0
PRSU.US,60,20240522,180000,35.35,35.35,35,35.08,2300,0
PRSU.US,60,20240522,190000,35.17,35.34,35.17,35.34,200,0
PRSU.US,60,20240522,200000,35.24,35.27,34.96,35.06,3937,0
PRSU.US,60,20240522,210000,35.06,35.125,34.94,35.08,2569,0
PRSU.US,60,20240522,220000,35.04,35.4,34.955,35.25,21554,0
PRSU.US,60,20240523,160000,35.42,35.5,34.865,34.95,1150,0
PRSU.US,60,20240523,170000,34.815,35.09,34.815,34.945,1866,0
PRSU.US,60,20240523,180000,35.04,35.06,34.85,34.85,3058,0
PRSU.US,60,20240523,190000,34.86,34.95,34.615,34.615,2873,0
PRSU.US,60,20240523,200000,34.61,34.61,34.4,34.515,1981,0
PRSU.US,60,20240523,210000,34.44,34.44,34.18,34.22,2841,0
PRSU.US,60,20240523,220000,34.26,34.26,33.92,34.24,28205,0
PRSU.US,60,20240524,160000,34.43,34.5,34.43,34.5,914,0
PRSU.US,60,20240524,170000,34.41,34.41,34.27,34.32,1395,0
PRSU.US,60,20240524,180000,34.405,34.405,34.13,34.13,1217,0
