<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RDW.US,60,20240411,160000,3.79,3.929,3.785,3.92,10602,0
RDW.US,60,20240411,170000,3.92,3.92,3.8,3.83,16826,0
RDW.US,60,20240411,180000,3.81,3.815,3.75,3.765,10748,0
RDW.US,60,20240411,190000,3.7799,3.83,3.75,3.79,11870,0
RDW.US,60,20240411,200000,3.79,3.9,3.78,3.88,16548,0
RDW.US,60,20240411,210000,3.87,3.94,3.78,3.834,42099,0
RDW.US,60,20240411,220000,3.84,3.87,3.78,3.86,37566,0
RDW.US,60,20240412,160000,3.87,3.87,3.75,3.75,6071,0
RDW.US,60,20240412,170000,3.7875,3.79,3.71,3.775,17363,0
RDW.US,60,20240412,180000,3.79,3.82,3.78,3.78,1670,0
RDW.US,60,20240412,190000,3.77,3.91,3.77,3.87,14752,0
RDW.US,60,20240412,200000,3.865,3.89,3.82,3.85,20261,0
RDW.US,60,20240412,210000,3.85,3.89,3.82,3.831,14300,0
RDW.US,60,20240412,220000,3.83,3.87,3.81,3.86,24379,0
RDW.US,60,20240415,160000,3.84,3.84,3.7904,3.834,12087,0
RDW.US,60,20240415,170000,3.81,3.81,3.71,3.7301,21482,0
RDW.US,60,20240415,180000,3.73,3.79,3.7206,3.78,5653,0
RDW.US,60,20240415,190000,3.7731,3.7731,3.7,3.7302,19553,0
RDW.US,60,20240415,200000,3.73,3.73,3.655,3.72,24824,0
RDW.US,60,20240415,210000,3.715,3.715,3.624,3.6382,27807,0
RDW.US,60,20240415,220000,3.6204,3.65,3.56,3.56,58207,0
RDW.US,60,20240416,160000,3.52,3.6,3.51,3.58,16007,0
RDW.US,60,20240416,170000,3.58,3.5959,3.55,3.58,9321,0
RDW.US,60,20240416,180000,3.6,3.6,3.57,3.57,11035,0
RDW.US,60,20240416,190000,3.57,3.58,3.52,3.5201,22488,0
RDW.US,60,20240416,200000,3.54,3.59,3.53,3.5598,23891,0
RDW.US,60,20240416,210000,3.56,3.585,3.53,3.55,9593,0
RDW.US,60,20240416,220000,3.5797,3.5797,3.51,3.52,17978,0
RDW.US,60,20240417,160000,3.52,3.5599,3.52,3.538,4996,0
RDW.US,60,20240417,170000,3.51,3.51,3.43,3.43,14597,0
RDW.US,60,20240417,180000,3.43,3.47,3.42,3.44,21615,0
RDW.US,60,20240417,190000,3.43,3.43,3.41,3.41,5836,0
RDW.US,60,20240417,200000,3.41,3.46,3.41,3.46,9680,0
RDW.US,60,20240417,210000,3.45,3.4699,3.44,3.46,35521,0
RDW.US,60,20240417,220000,3.45,3.47,3.4,3.41,30572,0
RDW.US,60,20240418,160000,3.42,3.47,3.3883,3.41,5268,0
RDW.US,60,20240418,170000,3.4399,3.6,3.415,3.6,6362,0
RDW.US,60,20240418,180000,3.6,3.622,3.575,3.6142,13670,0
RDW.US,60,20240418,190000,3.61,3.72,3.61,3.63,16620,0
RDW.US,60,20240418,200000,3.6001,3.63,3.57,3.6,27054,0
RDW.US,60,20240418,210000,3.59,3.62,3.585,3.5881,3100,0
RDW.US,60,20240418,220000,3.6,3.62,3.55,3.57,27125,0
RDW.US,60,20240419,160000,3.55,3.63,3.55,3.63,3940,0
RDW.US,60,20240419,170000,3.601,3.64,3.601,3.6299,4168,0
RDW.US,60,20240419,180000,3.6007,3.6699,3.6007,3.6699,9215,0
RDW.US,60,20240419,190000,3.67,3.67,3.58,3.62,1843,0
RDW.US,60,20240419,200000,3.605,3.66,3.6039,3.63,4268,0
RDW.US,60,20240419,210000,3.62,3.62,3.56,3.56,5799,0
RDW.US,60,20240419,220000,3.5601,3.59,3.51,3.54,10666,0
RDW.US,60,20240422,160000,3.54,3.61,3.54,3.59,11882,0
RDW.US,60,20240422,170000,3.6,3.63,3.5668,3.6,9148,0
RDW.US,60,20240422,180000,3.6,3.61,3.58,3.6,9193,0
RDW.US,60,20240422,190000,3.6001,3.6222,3.5701,3.6,7350,0
RDW.US,60,20240422,200000,3.6,3.63,3.58,3.63,7456,0
RDW.US,60,20240422,210000,3.6,3.61,3.58,3.595,6500,0
RDW.US,60,20240422,220000,3.595,3.75,3.58,3.75,69975,0
RDW.US,60,20240423,160000,3.74,3.88,3.68,3.8601,11425,0
RDW.US,60,20240423,170000,3.86,3.92,3.8351,3.88,19223,0
RDW.US,60,20240423,180000,3.85,3.91,3.83,3.8909,11737,0
RDW.US,60,20240423,190000,3.91,3.91,3.87,3.9,2226,0
RDW.US,60,20240423,200000,3.9,3.96,3.84,3.89,28981,0
RDW.US,60,20240423,210000,3.9,3.9,3.86,3.86,6534,0
RDW.US,60,20240423,220000,3.87,3.87,3.82,3.83,14804,0
RDW.US,60,20240424,160000,3.76,3.83,3.76,3.8096,6408,0
