<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RITM_B.US,60,20240411,160000,24.76,24.8189,24.76,24.78,1220,0
RITM_B.US,60,20240411,170000,24.79,24.79,24.6813,24.73,3855,0
RITM_B.US,60,20240411,180000,24.73,24.74,24.7,24.72,1419,0
RITM_B.US,60,20240411,190000,24.7,24.75,24.7,24.75,2011,0
RITM_B.US,60,20240411,200000,24.8399,24.8399,24.8286,24.8399,632,0
RITM_B.US,60,20240411,210000,24.8,24.8,24.76,24.76,222,0
RITM_B.US,60,20240411,220000,24.7704,24.78,24.72,24.72,1603,0
RITM_B.US,60,20240412,160000,24.48,24.5,24.41,24.49,9174,0
RITM_B.US,60,20240412,170000,24.49,24.5,24.49,24.5,10829,0
RITM_B.US,60,20240412,190000,24.5,24.54,24.5,24.5001,3244,0
RITM_B.US,60,20240412,210000,24.55,24.59,24.5,24.52,8369,0
RITM_B.US,60,20240412,220000,24.51,24.53,24.47,24.53,12733,0
RITM_B.US,60,20240415,160000,24.45,24.53,24.45,24.5255,800,0
RITM_B.US,60,20240415,170000,24.53,24.53,24.4,24.4,6732,0
RITM_B.US,60,20240415,180000,24.46,24.47,24.35,24.3864,4476,0
RITM_B.US,60,20240415,190000,24.41,24.41,24.35,24.35,1709,0
RITM_B.US,60,20240415,200000,24.37,24.39,24.37,24.3899,12667,0
RITM_B.US,60,20240415,210000,24.38,24.39,24.28,24.35,8097,0
RITM_B.US,60,20240415,220000,24.35,24.35,24.2819,24.35,6653,0
RITM_B.US,60,20240416,160000,24.3037,24.31,24.29,24.31,1700,0
RITM_B.US,60,20240416,170000,24.31,24.35,24.24,24.24,5284,0
RITM_B.US,60,20240416,180000,24.24,24.29,24.24,24.29,14610,0
RITM_B.US,60,20240416,190000,24.29,24.34,24.29,24.33,1470,0
RITM_B.US,60,20240416,200000,24.33,24.34,24.29,24.3,12803,0
RITM_B.US,60,20240416,210000,24.3199,24.32,24.26,24.285,2450,0
RITM_B.US,60,20240416,220000,24.3,24.32,24.29,24.32,3652,0
RITM_B.US,60,20240417,160000,24.32,24.485,24.32,24.485,4655,0
RITM_B.US,60,20240417,170000,24.43,24.56,24.4,24.56,8448,0
RITM_B.US,60,20240417,180000,24.54,24.54,24.4114,24.4114,424,0
RITM_B.US,60,20240417,190000,24.45,24.45,24.42,24.42,600,0
RITM_B.US,60,20240417,200000,24.41,24.43,24.41,24.43,900,0
RITM_B.US,60,20240417,210000,24.42,24.46,24.42,24.44,1200,0
RITM_B.US,60,20240417,220000,24.44,24.4999,24.39,24.45,9689,0
RITM_B.US,60,20240418,160000,24.465,24.5,24.465,24.47,2165,0
