<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSPA.US,60,20240719,170000,50,50,50,50,500,0
RSPA.US,60,20240719,190000,49.96,49.99,49.96,49.99,335000,0
RSPA.US,60,20240719,200000,49.8895,49.8895,49.8895,49.8895,400,0
RSPA.US,60,20240719,220000,49.93,49.95,49.92,49.95,400,0
RSPA.US,60,20240722,160000,50.1235,50.32,50.1235,50.32,325,0
RSPA.US,60,20240722,170000,49.9189,49.95,49.9189,49.95,300,0
RSPA.US,60,20240722,180000,50.12,50.18,50.12,50.18,242000,0
RSPA.US,60,20240722,220000,50.28,50.33,50.278,50.33,1600,0
RSPA.US,60,20240723,170000,50.08,50.08,50.08,50.08,243000,0
RSPA.US,60,20240723,200000,50.1316,50.1316,50.1316,50.1316,100,0
RSPA.US,60,20240725,190000,49.85,50.15,49.85,50.15,490100,0
RSPA.US,60,20240725,210000,49.97,49.97,49.8327,49.8327,400,0
RSPA.US,60,20240725,220000,49.86,49.86,49.86,49.86,100,0
RSPA.US,60,20240726,180000,50.28,50.28,50.28,50.28,150,0
RSPA.US,60,20240726,190000,50.39,50.39,50.3,50.3,245100,0
RSPA.US,60,20240726,200000,50.4199,50.4381,50.4199,50.4381,396,0
RSPA.US,60,20240726,210000,50.16,50.16,50.16,50.16,100,0
RSPA.US,60,20240726,220000,50.3184,50.32,50.21,50.21,2288,0
RSPA.US,60,20240729,160000,50.085,50.085,50.085,50.085,120,0
RSPA.US,60,20240729,190000,50.21,50.31,50.21,50.31,243100,0
RSPA.US,60,20240729,200000,50.1743,50.2399,50.1743,50.2,350,0
RSPA.US,60,20240729,220000,50.245,50.2552,50.245,50.2552,2980,0
RSPA.US,60,20240730,180000,50.4099,50.4099,50.4099,50.4099,100,0
RSPA.US,60,20240730,190000,50.41,50.41,50.4,50.4,240100,0
RSPA.US,60,20240730,220000,50.4899,50.6099,50.4899,50.6099,2075,0
RSPA.US,60,20240731,190000,50.8,50.84,50.8,50.8,240100,0
RSPA.US,60,20240731,200000,50.735,50.735,50.735,50.735,492,0
RSPA.US,60,20240801,190000,50.24,50.28,50.24,50.28,240000,0
RSPA.US,60,20240801,210000,50.05,50.05,50.05,50.05,100,0
RSPA.US,60,20240801,220000,50.04,50.08,50.03,50.056,900,0
RSPA.US,60,20240802,170000,49.309,49.44,49.309,49.44,250,0
RSPA.US,60,20240802,190000,49.49,49.51,49.49,49.51,245000,0
RSPA.US,60,20240802,200000,49.4086,49.4086,49.38,49.38,903,0
RSPA.US,60,20240805,190000,48.99,48.99,48.99,48.99,247100,0
RSPA.US,60,20240805,210000,48.85,48.85,48.72,48.85,300,0
RSPA.US,60,20240806,190000,49.31,49.31,49.18,49.18,253100,0
RSPA.US,60,20240806,200000,49.29,49.3,49.29,49.3,200,0
RSPA.US,60,20240806,210000,49.41,49.41,49.41,49.41,100,0
RSPA.US,60,20240806,220000,49.33,49.38,49.16,49.25,800,0
RSPA.US,60,20240807,160000,49.555,49.555,49.555,49.555,102,0
RSPA.US,60,20240807,170000,49.55,49.55,49.55,49.55,141,0
RSPA.US,60,20240807,190000,49.4,49.42,49.4,49.42,222000,0
RSPA.US,60,20240807,210000,48.92,48.92,48.84,48.887,600,0
RSPA.US,60,20240807,220000,48.929,48.93,48.9,48.9,712,0
RSPA.US,60,20240808,180000,49.3851,49.3851,49.3851,49.3851,100,0
RSPA.US,60,20240808,190000,49.37,49.39,49.37,49.39,225000,0
RSPA.US,60,20240808,220000,49.468,49.49,49.468,49.48,1004,0
RSPA.US,60,20240809,180000,49.5499,49.5499,49.5499,49.5499,402,0
RSPA.US,60,20240809,190000,49.47,49.5,49.47,49.5,250000,0
RSPA.US,60,20240812,180000,49.66,49.66,49.5599,49.5599,1000,0
RSPA.US,60,20240812,190000,49.6295,49.6295,49.6295,49.6295,325,0
RSPA.US,60,20240812,200000,49.55,49.5595,49.55,49.55,1400,0
RSPA.US,60,20240812,220000,49.52,49.52,49.45,49.49,500,0
RSPA.US,60,20240813,170000,49.6006,49.6006,49.6006,49.6006,200,0
