<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SCE_G.US,60,20240411,160000,21.13,21.13,21.09,21.09,200,0
SCE_G.US,60,20240411,170000,21.03,21.03,21.03,21.03,114,0
SCE_G.US,60,20240411,180000,21.01,21.0267,21.0001,21.0208,772,0
SCE_G.US,60,20240411,190000,21.03,21.03,21,21,386,0
SCE_G.US,60,20240411,200000,21.065,21.065,21.065,21.065,1000,0
SCE_G.US,60,20240411,210000,21.065,21.12,21.065,21.12,1231,0
SCE_G.US,60,20240411,220000,20.94,21,20.85,20.86,900,0
SCE_G.US,60,20240412,160000,20.83,20.83,20.83,20.83,109,0
SCE_G.US,60,20240412,170000,21.04,21.3299,20.99,21.3299,530,0
SCE_G.US,60,20240412,180000,21.03,21.03,20.97,20.97,400,0
SCE_G.US,60,20240412,200000,20.9,20.9,20.9,20.9,302,0
SCE_G.US,60,20240412,210000,20.9,20.9003,20.9,20.9003,316,0
SCE_G.US,60,20240415,170000,20.7,20.7,20.6,20.6,487,0
SCE_G.US,60,20240415,180000,20.52,20.52,20.39,20.45,916,0
SCE_G.US,60,20240415,190000,20.435,20.435,20.31,20.31,1228,0
SCE_G.US,60,20240415,200000,20.31,20.32,20.26,20.29,2487,0
SCE_G.US,60,20240415,210000,20.3799,20.3799,20.26,20.26,1028,0
SCE_G.US,60,20240415,220000,20.22,20.32,20.21,20.25,4814,0
SCE_G.US,60,20240416,160000,20.25,20.3156,20.16,20.16,2451,0
SCE_G.US,60,20240416,170000,20.14,20.2588,20.14,20.2588,900,0
SCE_G.US,60,20240416,180000,20.33,20.33,20.19,20.27,3117,0
SCE_G.US,60,20240416,190000,20.1837,20.1837,20.1837,20.1837,758,0
SCE_G.US,60,20240416,200000,20.17,20.17,20.09,20.09,1200,0
SCE_G.US,60,20240416,210000,20.1144,20.1144,20.1144,20.1144,180,0
SCE_G.US,60,20240416,220000,20.05,20.05,19.9675,19.9675,1483,0
SCE_G.US,60,20240417,160000,20.11,20.11,20.11,20.11,200,0
SCE_G.US,60,20240417,170000,20.2,20.39,20.12,20.39,2922,0
SCE_G.US,60,20240417,180000,20.017,20.017,20.017,20.017,107,0
SCE_G.US,60,20240417,190000,20.12,20.2,20.1,20.12,2126,0
SCE_G.US,60,20240417,200000,20.1,20.292,20.0301,20.292,1775,0
SCE_G.US,60,20240417,210000,20.193,20.2773,20.14,20.25,3508,0
