<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SM.US,60,20240411,160000,52.49,52.54,52.04,52.135,28382,0
SM.US,60,20240411,170000,52.17,52.17,51.47,51.63,46045,0
SM.US,60,20240411,180000,51.6,51.81,51.53,51.64,54160,0
SM.US,60,20240411,190000,51.655,51.81,51.55,51.81,34169,0
SM.US,60,20240411,200000,51.83,51.96,51.76,51.79,34299,0
SM.US,60,20240411,210000,51.78,51.9,51.65,51.73,89037,0
SM.US,60,20240411,220000,51.72,51.79,51.47,51.7,615659,0
SM.US,60,20240412,160000,52.54,52.83,52.13,52.2375,84874,0
SM.US,60,20240412,170000,52.23,52.24,51.82,52.04,120157,0
SM.US,60,20240412,180000,52.05,52.18,51.575,51.8,99963,0
SM.US,60,20240412,190000,51.79,51.79,51.32,51.38,82873,0
SM.US,60,20240412,200000,51.37,51.44,51.06,51.17,113981,0
SM.US,60,20240412,210000,51.16,51.37,50.72,50.735,286467,0
SM.US,60,20240412,220000,50.73,50.83,50.44,50.73,817435,0
SM.US,60,20240415,160000,50.84,51.16,50.75,50.85,60381,0
SM.US,60,20240415,170000,50.85,50.88,50.08,50.605,136276,0
SM.US,60,20240415,180000,50.605,50.85,50.31,50.835,109269,0
SM.US,60,20240415,190000,50.82,50.92,50.53,50.61,83699,0
SM.US,60,20240415,200000,50.62,50.64,50.18,50.54,88673,0
SM.US,60,20240415,210000,50.54,50.55,50.21,50.32,92569,0
SM.US,60,20240415,220000,50.32,50.62,50.13,50.42,658009,0
SM.US,60,20240416,160000,50.02,50.2,49.66,49.925,72084,0
SM.US,60,20240416,170000,49.92,50.02,49.36,49.93,193729,0
SM.US,60,20240416,180000,49.91,50.33,49.91,50.18,109268,0
SM.US,60,20240416,190000,50.17,50.27,50,50.2125,86545,0
SM.US,60,20240416,200000,50.215,50.33,49.71,49.935,78016,0
SM.US,60,20240416,210000,49.92,50.41,49.89,50.41,63179,0
SM.US,60,20240416,220000,50.42,50.565,50.18,50.29,408287,0
SM.US,60,20240417,160000,50.28,50.505,50.0866,50.43,21310,0
SM.US,60,20240417,170000,50.43,50.43,49.8,49.835,59269,0
SM.US,60,20240417,180000,49.86,49.97,49.35,49.39,64900,0
SM.US,60,20240417,190000,49.36,49.36,48.81,49.11,94683,0
SM.US,60,20240417,200000,49.09,49.68,49.08,49.64,79907,0
SM.US,60,20240417,210000,49.64,49.72,49.265,49.31,82728,0
SM.US,60,20240417,220000,49.3,49.3,49.02,49.29,576875,0
SM.US,60,20240418,160000,49.34,49.5699,48.87,49.17,30958,0
SM.US,60,20240418,170000,49.14,49.28,48.95,49.09,45532,0
SM.US,60,20240418,180000,49.08,49.115,48.82,48.92,63071,0
SM.US,60,20240418,190000,48.93,49.08,48.74,48.79,85666,0
SM.US,60,20240418,200000,48.78,48.82,48.24,48.33,70735,0
SM.US,60,20240418,210000,48.32,48.32,47.78,47.93,93671,0
SM.US,60,20240418,220000,47.94,48.15,47.93,48.02,572866,0
SM.US,60,20240419,160000,47.84,48.865,47.84,48.81,75337,0
SM.US,60,20240419,170000,48.79,48.89,48.45,48.5,73588,0
SM.US,60,20240419,180000,48.5,48.74,48.33,48.43,71714,0
SM.US,60,20240419,190000,48.44,48.49,48.15,48.48,59074,0
SM.US,60,20240419,200000,48.505,48.52,48.25,48.445,79489,0
SM.US,60,20240419,210000,48.44,48.45,47.95,48.09,101172,0
SM.US,60,20240419,220000,48.08,48.2,47.93,48.09,315049,0
SM.US,60,20240422,160000,48.29,48.6,47.6,48.565,44574,0
SM.US,60,20240422,170000,48.51,48.98,48.48,48.915,77351,0
SM.US,60,20240422,180000,48.92,48.93,48.505,48.8,55517,0
SM.US,60,20240422,190000,48.81,48.97,48.78,48.97,41348,0
SM.US,60,20240422,200000,48.99,49.29,48.89,49.22,78764,0
SM.US,60,20240422,210000,49.22,49.48,49.18,49.33,60749,0
SM.US,60,20240422,220000,49.33,49.33,48.835,48.85,391070,0
SM.US,60,20240423,160000,48.56,48.89,48.2,48.85,29665,0
SM.US,60,20240423,170000,48.86,49.64,48.82,49.53,189268,0
SM.US,60,20240423,180000,49.56,49.74,49.36,49.6,103979,0
SM.US,60,20240423,190000,49.62,49.94,49.6059,49.805,106014,0
SM.US,60,20240423,200000,49.8,50.055,49.74,49.98,104966,0
SM.US,60,20240423,210000,49.99,50.16,49.97,50.13,111592,0
SM.US,60,20240423,220000,50.14,50.14,49.77,49.8,569306,0
SM.US,60,20240424,160000,49.615,50.11,49.29,49.87,25516,0
SM.US,60,20240424,170000,49.78,50.005,49.52,49.52,57421,0
SM.US,60,20240424,180000,49.53,49.72,49.31,49.66,83337,0
SM.US,60,20240424,190000,49.68,49.73,49.47,49.53,42854,0
SM.US,60,20240424,200000,49.55,49.745,49.52,49.6,41332,0
SM.US,60,20240424,210000,49.59,49.705,49.46,49.635,71302,0
SM.US,60,20240424,220000,49.65,50.2,49.62,50.01,614920,0
SM.US,60,20240425,160000,50.01,50.3425,49.39,49.77,43791,0
SM.US,60,20240425,170000,49.76,50.13,49.75,49.89,65350,0
SM.US,60,20240425,180000,49.89,50.38,49.79,50.365,62601,0
SM.US,60,20240425,190000,50.365,50.46,50.25,50.3,77787,0
SM.US,60,20240425,200000,50.2875,50.5,50.1418,50.5,61911,0
SM.US,60,20240425,210000,50.51,50.51,50.21,50.49,89158,0
SM.US,60,20240425,220000,50.5,50.56,50.29,50.44,364181,0
SM.US,60,20240426,160000,50.46,50.51,50.02,50.165,69555,0
SM.US,60,20240426,170000,50.03,50.44,50.03,50.19,52525,0
SM.US,60,20240426,180000,50.14,50.31,50.1,50.3,50469,0
SM.US,60,20240426,190000,50.3,50.615,50.28,50.53,98243,0
SM.US,60,20240426,200000,50.52,50.78,50.51,50.71,89389,0
SM.US,60,20240426,210000,50.71,50.9,50.7,50.805,81495,0
SM.US,60,20240426,220000,50.81,50.88,50.7,50.84,350736,0
SM.US,60,20240429,160000,50.74,50.99,50.61,50.87,21853,0
SM.US,60,20240429,170000,50.85,51.07,50.63,50.77,52905,0
SM.US,60,20240429,180000,50.77,51.13,50.755,51.11,42475,0
SM.US,60,20240429,190000,51.13,51.49,51.13,51.22,87840,0
SM.US,60,20240429,200000,51.235,51.28,51.04,51.1,78121,0
SM.US,60,20240429,210000,51.095,51.115,50.935,51.08,83470,0
SM.US,60,20240429,220000,51.07,51.07,50.785,50.84,642620,0
SM.US,60,20240430,160000,50.55,50.89,49.69,49.72,76190,0
SM.US,60,20240430,170000,49.7,49.87,49.2,49.495,193201,0
SM.US,60,20240430,180000,49.495,49.56,49.04,49.16,171746,0
SM.US,60,20240430,190000,49.15,49.34,48.76,48.81,155080,0
SM.US,60,20240430,200000,48.795,49.18,48.75,49.16,110483,0
SM.US,60,20240430,210000,49.16,49.35,48.92,48.93,138350,0
SM.US,60,20240430,220000,48.93,49.02,48.47,48.49,834942,0
SM.US,60,20240501,160000,48.46,48.46,47.615,47.98,61599,0
SM.US,60,20240501,170000,47.95,48.015,47.29,47.37,59679,0
SM.US,60,20240501,180000,47.34,47.34,46.93,47.04,120253,0
SM.US,60,20240501,190000,47.02,47.1,46.75,46.86,61279,0
SM.US,60,20240501,200000,46.86,46.9525,46.66,46.715,51793,0
SM.US,60,20240501,210000,46.73,47.73,46.6,47.63,79699,0
SM.US,60,20240501,220000,47.68,47.86,47.01,47.09,468031,0
