<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNX.US,60,20240411,160000,114.98,115.28,114.1,114.48,13179,0
SNX.US,60,20240411,170000,114.43,114.44,113.31,113.54,57091,0
SNX.US,60,20240411,180000,113.55,113.745,113.24,113.7,43284,0
SNX.US,60,20240411,190000,113.7,114.07,113.69,113.82,45306,0
SNX.US,60,20240411,200000,113.86,114.585,113.805,114.575,51492,0
SNX.US,60,20240411,210000,114.565,114.945,114.5,114.575,44418,0
SNX.US,60,20240411,220000,114.6,114.765,114.42,114.59,377399,0
SNX.US,60,20240412,160000,113.94,115.13,113.94,114.745,21541,0
SNX.US,60,20240412,170000,114.71,114.71,113.86,113.89,33127,0
SNX.US,60,20240412,180000,113.89,114.62,113.89,114.215,33205,0
SNX.US,60,20240412,190000,114.19,114.28,113.7,113.735,33161,0
SNX.US,60,20240412,200000,113.735,113.745,113.18,113.47,24989,0
SNX.US,60,20240412,210000,113.41,113.58,113.01,113.31,59532,0
SNX.US,60,20240412,220000,113.29,113.4,113.04,113.15,298734,0
SNX.US,60,20240415,160000,113.84,113.985,113.42,113.5,11714,0
SNX.US,60,20240415,170000,113.42,113.42,112.67,112.865,28305,0
SNX.US,60,20240415,180000,112.85,113.095,112.25,113.04,67175,0
SNX.US,60,20240415,190000,113.065,113.215,112.52,112.71,15262,0
SNX.US,60,20240415,200000,112.67,112.67,111.62,112.08,30154,0
SNX.US,60,20240415,210000,112.06,112.06,111.38,111.51,33773,0
SNX.US,60,20240415,220000,111.51,111.81,110.96,111.7,241635,0
SNX.US,60,20240416,160000,115.28,116.34,114.7212,115.27,70580,0
SNX.US,60,20240416,170000,115.3,115.33,113.96,114.23,101721,0
SNX.US,60,20240416,180000,114.16,114.72,113.76,114.41,91332,0
SNX.US,60,20240416,190000,114.33,114.64,114.04,114.22,63526,0
SNX.US,60,20240416,200000,114.21,114.5,113.51,113.985,57717,0
SNX.US,60,20240416,210000,113.99,114.25,113.3,113.93,59493,0
SNX.US,60,20240416,220000,113.9,113.915,112.73,113.02,396774,0
SNX.US,60,20240417,160000,113.79,115.47,113.79,114.6,51089,0
SNX.US,60,20240417,170000,114.58,114.81,114.28,114.495,85879,0
SNX.US,60,20240417,180000,114.52,114.61,114.11,114.14,78130,0
SNX.US,60,20240417,190000,114.145,114.26,113.71,114,91267,0
SNX.US,60,20240417,200000,114.05,115,114.015,114.96,79350,0
SNX.US,60,20240417,210000,114.98,115.35,114.79,114.84,84857,0
SNX.US,60,20240417,220000,114.89,115.19,114.7,114.94,475011,0
SNX.US,60,20240418,160000,115.2,115.9,114.75,115.085,17721,0
SNX.US,60,20240418,170000,115.035,115.22,114.74,114.985,38987,0
SNX.US,60,20240418,180000,115,115.0799,114.585,114.76,53762,0
SNX.US,60,20240418,190000,114.79,114.82,114.19,114.32,51596,0
SNX.US,60,20240418,200000,114.305,114.35,113.385,113.49,26542,0
SNX.US,60,20240418,210000,113.44,113.64,113.175,113.22,33519,0
SNX.US,60,20240418,220000,113.2,113.75,113.2,113.75,283144,0
SNX.US,60,20240419,160000,113.07,113.91,113.07,113.76,10297,0
SNX.US,60,20240419,170000,113.75,113.835,113.15,113.17,19428,0
SNX.US,60,20240419,180000,113.13,113.225,112.95,112.99,26280,0
SNX.US,60,20240419,190000,113.01,113.105,112.57,113.05,43409,0
SNX.US,60,20240419,200000,113.06,113.385,112.85,113.205,26673,0
SNX.US,60,20240419,210000,113.15,113.19,112.83,112.83,48450,0
SNX.US,60,20240419,220000,112.79,113.38,112.57,113.28,151096,0
SNX.US,60,20240422,160000,114.1,114.38,112.7,113.09,21459,0
SNX.US,60,20240422,170000,113.16,114.22,113.08,114.075,23966,0
SNX.US,60,20240422,180000,114.02,114.03,113.45,113.74,18831,0
SNX.US,60,20240422,190000,113.76,114.28,113.685,114.28,28342,0
SNX.US,60,20240422,200000,114.28,115.195,114.14,115.025,35056,0
SNX.US,60,20240422,210000,115.05,115.45,115,115.28,28026,0
SNX.US,60,20240422,220000,115.28,115.3,114.64,114.87,211121,0
SNX.US,60,20240423,160000,114.99,115.86,114.99,115.68,11123,0
SNX.US,60,20240423,170000,115.68,115.74,115.2,115.51,22769,0
SNX.US,60,20240423,180000,115.56,115.9,115.335,115.815,18297,0
SNX.US,60,20240423,190000,115.8,116.25,115.79,116.095,19222,0
SNX.US,60,20240423,200000,115.99,116.35,115.97,116.19,13487,0
SNX.US,60,20240423,210000,116.26,116.44,116.12,116.24,19248,0
SNX.US,60,20240423,220000,116.19,116.38,115.86,115.94,207323,0
SNX.US,60,20240424,160000,116.54,117.625,116.2,117.575,20625,0
SNX.US,60,20240424,170000,117.585,117.61,116.49,116.535,29100,0
SNX.US,60,20240424,180000,116.535,117.025,116.53,116.855,36961,0
SNX.US,60,20240424,190000,116.87,117.01,116.655,116.955,36252,0
SNX.US,60,20240424,200000,116.94,117.6,116.855,117.58,30708,0
SNX.US,60,20240424,210000,117.575,117.6,117.05,117.25,25874,0
SNX.US,60,20240424,220000,117.22,117.3,116.88,117.24,251794,0
SNX.US,60,20240425,160000,116.69,116.94,116.152,116.315,8850,0
SNX.US,60,20240425,170000,116.295,117.14,116.295,116.525,16381,0
SNX.US,60,20240425,180000,116.49,116.79,116.35,116.59,29550,0
SNX.US,60,20240425,190000,116.56,116.915,116.44,116.8205,18273,0
SNX.US,60,20240425,200000,116.79,116.9196,116.59,116.89,9355,0
SNX.US,60,20240425,210000,116.88,117.09,116.83,117,16104,0
SNX.US,60,20240425,220000,117.04,117.595,117.02,117.38,191775,0
SNX.US,60,20240426,160000,117.97,118.09,117.555,117.81,16221,0
SNX.US,60,20240426,170000,117.88,117.8836,117.25,117.67,23720,0
SNX.US,60,20240426,180000,117.575,117.68,117.425,117.645,18019,0
SNX.US,60,20240426,190000,117.645,117.74,117.38,117.43,19290,0
SNX.US,60,20240426,200000,117.38,117.6,117.26,117.48,23259,0
SNX.US,60,20240426,210000,117.48,117.899,117.41,117.82,16225,0
SNX.US,60,20240426,220000,117.8,117.8,117.26,117.44,143994,0
SNX.US,60,20240429,160000,117.54,118.61,117.54,118.37,7860,0
SNX.US,60,20240429,170000,118.45,118.67,118.29,118.575,26091,0
SNX.US,60,20240429,180000,118.455,118.95,118.43,118.665,22761,0
SNX.US,60,20240429,190000,118.64,118.945,118.52,118.78,31141,0
SNX.US,60,20240429,200000,118.82,119.235,118.71,119.16,53250,0
SNX.US,60,20240429,210000,119.16,119.28,118.805,118.885,23388,0
SNX.US,60,20240429,220000,118.82,118.97,118.455,118.95,167169,0
SNX.US,60,20240430,160000,118.07,119.01,118.07,118.91,6737,0
SNX.US,60,20240430,170000,118.93,119.32,118.795,118.915,26896,0
SNX.US,60,20240430,180000,118.925,118.945,118.435,118.695,40142,0
SNX.US,60,20240430,190000,118.75,118.93,118.445,118.55,35868,0
SNX.US,60,20240430,200000,118.52,118.63,118.18,118.42,23835,0
SNX.US,60,20240430,210000,118.43,118.45,118.0905,118.21,20597,0
SNX.US,60,20240430,220000,118.24,118.32,117.691,117.84,316059,0
SNX.US,60,20240501,160000,117.3,118.05,116.97,117.21,62995,0
SNX.US,60,20240501,170000,117.145,117.145,116.295,116.6,22969,0
SNX.US,60,20240501,180000,116.55,116.55,115.87,115.91,21990,0
SNX.US,60,20240501,190000,115.965,116.51,115.33,115.33,34484,0
SNX.US,60,20240501,200000,115.28,115.785,115.22,115.7,24198,0
SNX.US,60,20240501,210000,115.66,116.59,115.27,116.45,64044,0
SNX.US,60,20240501,220000,116.47,116.56,114.88,115.15,391260,0
SNX.US,60,20240502,160000,116.06,116.13,114.86,115.14,27087,0
SNX.US,60,20240502,170000,115.05,115.41,114.355,115.085,49766,0
SNX.US,60,20240502,180000,115.04,115.7,114.97,115.585,37551,0
SNX.US,60,20240502,190000,115.57,115.93,115.455,115.92,32675,0
SNX.US,60,20240502,200000,115.925,116.16,115.67,116.085,53674,0
SNX.US,60,20240502,210000,116.06,116.5199,116.06,116.15,54752,0
SNX.US,60,20240502,220000,116.145,116.52,115.82,116.42,436444,0
SNX.US,60,20240507,160000,120.2,120.98,119.85,120.615,30007,0
SNX.US,60,20240507,170000,120.67,121.17,120.2,120.815,59227,0
SNX.US,60,20240507,180000,120.815,121,120.4,120.535,44351,0
SNX.US,60,20240507,190000,120.54,120.82,120.45,120.47,69834,0
SNX.US,60,20240507,200000,120.525,120.93,120.525,120.57,46850,0
SNX.US,60,20240507,210000,120.6175,120.77,120.355,120.43,33532,0
SNX.US,60,20240507,220000,120.47,120.58,120.12,120.17,292855,0
SNX.US,60,20240508,160000,119.78,120.3819,119.55,120.31,10299,0
SNX.US,60,20240508,170000,120.31,120.36,119.925,120.1,10429,0
SNX.US,60,20240508,180000,120.03,120.28,119.85,119.85,11050,0
SNX.US,60,20240508,190000,119.8,120.04,119.67,120.04,14820,0
SNX.US,60,20240508,200000,120.04,120.525,120.04,120.47,16619,0
SNX.US,60,20240508,210000,120.48,120.86,120.42,120.785,41587,0
