<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNL.US,60,20240411,160000,45.78,46.03,45.66,45.93,13557,0
TNL.US,60,20240411,170000,46.025,46.07,45.28,45.415,20693,0
TNL.US,60,20240411,180000,45.39,45.76,45.35,45.715,13322,0
TNL.US,60,20240411,190000,45.76,45.81,45.52,45.64,13292,0
TNL.US,60,20240411,200000,45.665,45.87,45.6,45.87,14006,0
TNL.US,60,20240411,210000,45.87,46.02,45.82,45.905,24225,0
TNL.US,60,20240411,220000,45.92,45.96,45.7,45.72,135452,0
TNL.US,60,20240412,160000,45.13,45.3522,45.06,45.07,9248,0
TNL.US,60,20240412,170000,45.01,45.02,44.58,44.725,32286,0
TNL.US,60,20240412,180000,44.72,44.77,44.54,44.62,25475,0
TNL.US,60,20240412,190000,44.65,44.65,44.3543,44.39,32244,0
TNL.US,60,20240412,200000,44.38,44.38,44.12,44.3169,23666,0
TNL.US,60,20240412,210000,44.29,44.39,44.07,44.34,47141,0
TNL.US,60,20240412,220000,44.32,44.41,44.19,44.3,200766,0
TNL.US,60,20240415,160000,45.03,45.255,44.78,44.985,11474,0
TNL.US,60,20240415,170000,44.96,45.01,44.7,44.71,21858,0
TNL.US,60,20240415,180000,44.71,45,44.64,44.96,20337,0
TNL.US,60,20240415,190000,44.94,44.965,44.675,44.81,21347,0
TNL.US,60,20240415,200000,44.79,44.79,44.41,44.59,21718,0
TNL.US,60,20240415,210000,44.56,44.575,44.28,44.31,25567,0
TNL.US,60,20240415,220000,44.33,44.35,44.17,44.27,188660,0
TNL.US,60,20240416,160000,44.09,44.12,43.57,43.69,8915,0
TNL.US,60,20240416,170000,43.67,43.92,43.535,43.805,19742,0
TNL.US,60,20240416,180000,43.83,44.21,43.83,44.15,17613,0
TNL.US,60,20240416,190000,44.12,44.33,44.115,44.27,12704,0
TNL.US,60,20240416,200000,44.25,44.26,43.9,44.15,18816,0
TNL.US,60,20240416,210000,44.08,44.34,43.835,44.0475,64107,0
TNL.US,60,20240416,220000,44.04,44.045,43.75,43.76,256842,0
TNL.US,60,20240417,160000,44.1,44.245,43.92,43.96,11784,0
TNL.US,60,20240417,170000,43.96,43.98,43.61,43.73,28072,0
TNL.US,60,20240417,180000,43.725,43.76,43.42,43.565,30713,0
TNL.US,60,20240417,190000,43.57,43.57,43.37,43.46,26089,0
TNL.US,60,20240417,200000,43.47,43.63,43.47,43.63,27523,0
TNL.US,60,20240417,210000,43.62,43.78,43.51,43.57,37709,0
TNL.US,60,20240417,220000,43.55,43.62,43.42,43.57,182016,0
TNL.US,60,20240418,160000,43.71,43.71,43.48,43.63,6847,0
TNL.US,60,20240418,170000,43.6,43.84,43.455,43.765,32548,0
TNL.US,60,20240418,180000,43.73,43.905,43.705,43.78,14966,0
TNL.US,60,20240418,190000,43.83,43.92,43.75,43.75,34744,0
TNL.US,60,20240418,200000,43.75,43.785,43.595,43.63,26023,0
TNL.US,60,20240418,210000,43.62,43.62,43.43,43.555,34932,0
TNL.US,60,20240418,220000,43.55,43.76,43.505,43.72,209125,0
TNL.US,60,20240419,160000,43.44,43.86,43.44,43.79,17496,0
TNL.US,60,20240419,170000,43.8,43.89,43.65,43.72,42454,0
TNL.US,60,20240419,180000,43.73,43.95,43.72,43.7575,34939,0
TNL.US,60,20240419,190000,43.77,43.8,43.59,43.73,22636,0
TNL.US,60,20240419,200000,43.76,43.85,43.71,43.72,35938,0
TNL.US,60,20240419,210000,43.7,43.705,43.365,43.45,32159,0
TNL.US,60,20240419,220000,43.44,43.62,43.39,43.6,169704,0
TNL.US,60,20240422,160000,43.94,43.99,43.69,43.92,14387,0
TNL.US,60,20240422,170000,43.98,44.52,43.91,44.05,65654,0
TNL.US,60,20240422,180000,44.05,44.38,44.01,44.175,32196,0
TNL.US,60,20240422,190000,44.19,44.6,44.19,44.545,42848,0
TNL.US,60,20240422,200000,44.56,44.87,44.53,44.82,19336,0
TNL.US,60,20240422,210000,44.81,44.93,44.705,44.775,23723,0
TNL.US,60,20240422,220000,44.75,44.96,44.75,44.86,150905,0
TNL.US,60,20240423,160000,44.87,45.46,44.87,45.33,20430,0
TNL.US,60,20240423,170000,45.33,45.76,45.21,45.735,87992,0
TNL.US,60,20240423,180000,45.74,45.8,45.6,45.79,80053,0
TNL.US,60,20240423,190000,45.79,45.805,45.63,45.8,53315,0
TNL.US,60,20240423,200000,45.785,45.98,45.695,45.92,79046,0
TNL.US,60,20240423,210000,45.94,46.15,45.875,46.1,117349,0
