<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TVE.US,60,20240411,160000,21.55,21.55,21.55,21.55,200,0
TVE.US,60,20240411,170000,21.55,21.55,21.53,21.55,3073,0
TVE.US,60,20240411,180000,21.54,21.55,21.53,21.5402,2563,0
TVE.US,60,20240411,190000,21.54,21.545,21.54,21.5401,1241,0
TVE.US,60,20240411,200000,21.5408,21.5408,21.54,21.5401,2556,0
TVE.US,60,20240411,210000,21.55,21.5571,21.53,21.5481,3862,0
TVE.US,60,20240411,220000,21.55,21.56,21.545,21.56,700,0
TVE.US,60,20240412,180000,21.54,21.5528,21.52,21.5528,3102,0
TVE.US,60,20240412,190000,21.57,21.57,21.57,21.57,300,0
TVE.US,60,20240412,220000,21.56,21.6096,21.56,21.57,750,0
TVE.US,60,20240415,160000,21.53,21.56,21.53,21.53,5610,0
TVE.US,60,20240415,170000,21.57,21.57,21.51,21.51,2950,0
TVE.US,60,20240415,180000,21.51,21.51,21.5,21.5,3809,0
TVE.US,60,20240415,190000,21.5,21.5167,21.5,21.5167,4641,0
TVE.US,60,20240415,200000,21.48,21.5053,21.44,21.4649,8423,0
TVE.US,60,20240415,210000,21.465,21.59,21.41,21.47,5590,0
TVE.US,60,20240415,220000,21.49,21.54,21.46,21.51,3197,0
TVE.US,60,20240416,160000,21.42,21.48,21.42,21.4692,1453,0
TVE.US,60,20240416,170000,21.48,21.65,21.48,21.51,2334,0
TVE.US,60,20240416,180000,21.43,21.52,21.43,21.52,200,0
TVE.US,60,20240416,190000,21.55,21.55,21.55,21.55,100,0
TVE.US,60,20240416,210000,21.49,21.49,21.47,21.47,310,0
TVE.US,60,20240416,220000,21.48,21.55,21.46,21.51,1497,0
TVE.US,60,20240417,190000,21.56,21.56,21.56,21.56,149,0
TVE.US,60,20240417,200000,21.5,21.51,21.46,21.46,2212,0
TVE.US,60,20240417,210000,21.53,21.58,21.53,21.58,1102,0
TVE.US,60,20240417,220000,21.5392,21.56,21.51,21.56,830,0
TVE.US,60,20240418,160000,21.425,21.64,21.425,21.64,3501,0
TVE.US,60,20240418,170000,21.52,21.5799,21.51,21.51,344,0
TVE.US,60,20240418,180000,21.46,21.4958,21.46,21.485,2710,0
TVE.US,60,20240418,190000,21.4939,21.4939,21.45,21.45,480,0
TVE.US,60,20240418,200000,21.4,21.4359,21.4,21.41,765,0
TVE.US,60,20240418,210000,21.4206,21.4206,21.4,21.4,3206,0
TVE.US,60,20240418,220000,21.41,21.41,21.4,21.4,401,0
TVE.US,60,20240419,160000,21.43,21.43,21.43,21.43,100,0
TVE.US,60,20240419,180000,21.42,21.5114,21.4,21.5114,1351,0
TVE.US,60,20240419,190000,21.47,21.47,21.47,21.47,974,0
TVE.US,60,20240419,200000,21.43,21.43,21.42,21.42,350,0
TVE.US,60,20240419,210000,21.42,21.42,21.4,21.4,716,0
TVE.US,60,20240419,220000,21.41,21.41,21.4,21.4,399,0
TVE.US,60,20240422,170000,21.4575,21.4575,21.45,21.4501,2194,0
TVE.US,60,20240422,180000,21.45,21.475,21.45,21.475,800,0
TVE.US,60,20240422,200000,21.475,21.4781,21.46,21.475,1245,0
TVE.US,60,20240422,210000,21.49,21.51,21.46,21.47,4226,0
TVE.US,60,20240422,220000,21.51,21.52,21.48,21.52,1152,0
TVE.US,60,20240423,160000,21.45,21.54,21.45,21.54,356,0
TVE.US,60,20240423,170000,21.54,21.732,21.51,21.732,27013,0
TVE.US,60,20240423,180000,21.61,21.61,21.61,21.61,100,0
TVE.US,60,20240423,190000,21.6101,21.6101,21.6101,21.6101,150,0
TVE.US,60,20240423,200000,21.73,21.73,21.66,21.66,570,0
TVE.US,60,20240423,210000,21.685,21.7,21.66,21.68,2291,0
TVE.US,60,20240423,220000,21.7199,21.7199,21.6513,21.69,7456,0
TVE.US,60,20240424,160000,21.63,21.63,21.63,21.63,1000,0
TVE.US,60,20240424,170000,21.68,21.6998,21.62,21.69,2823,0
TVE.US,60,20240424,190000,21.65,21.65,21.643,21.643,904,0
TVE.US,60,20240424,200000,21.68,21.685,21.6502,21.68,1049,0
TVE.US,60,20240424,210000,21.68,21.7,21.6301,21.6301,6969,0
TVE.US,60,20240424,220000,21.6661,21.7,21.63,21.7,11590,0
TVE.US,60,20240425,160000,21.59,21.63,21.59,21.62,1774,0
TVE.US,60,20240425,180000,21.57,21.5956,21.57,21.5956,1300,0
TVE.US,60,20240425,190000,21.6201,21.6201,21.5803,21.5803,1097,0
TVE.US,60,20240425,210000,21.6,21.6,21.55,21.57,1907,0
TVE.US,60,20240425,220000,21.58,21.62,21.57,21.62,579,0
TVE.US,60,20240426,160000,21.6,21.6,21.6,21.6,100,0
TVE.US,60,20240426,180000,21.6132,21.67,21.6132,21.67,936,0
TVE.US,60,20240426,190000,21.631,21.631,21.631,21.631,200,0
TVE.US,60,20240426,200000,21.63,21.63,21.6,21.625,2019,0
TVE.US,60,20240426,210000,21.625,21.625,21.6,21.6,640,0
TVE.US,60,20240426,220000,21.54,21.54,21.54,21.54,404,0
TVE.US,60,20240429,160000,21.43,21.43,21.43,21.43,450,0
TVE.US,60,20240429,170000,21.5908,21.6,21.5534,21.5534,1650,0
TVE.US,60,20240429,180000,21.466,21.466,21.466,21.466,178,0
TVE.US,60,20240429,190000,21.51,21.51,21.4654,21.4706,1745,0
TVE.US,60,20240429,200000,21.485,21.485,21.427,21.47,2088,0
TVE.US,60,20240429,210000,21.48,21.6,21.48,21.6,2002,0
TVE.US,60,20240429,220000,21.58,21.58,21.5,21.58,2584,0
TVE.US,60,20240430,160000,21.5,21.5,21.5,21.5,599,0
TVE.US,60,20240430,170000,21.55,21.5799,21.55,21.5714,1628,0
TVE.US,60,20240430,180000,21.5166,21.52,21.51,21.51,633,0
TVE.US,60,20240430,200000,21.54,21.54,21.42,21.54,1060,0
TVE.US,60,20240430,210000,21.5277,21.5277,21.5,21.52,918,0
TVE.US,60,20240430,220000,21.5,21.56,21.41,21.56,9625,0
TVE.US,60,20240501,160000,21.5,21.5,21.5,21.5,262,0
TVE.US,60,20240501,180000,21.44,21.5,21.44,21.5,282,0
TVE.US,60,20240501,190000,21.4967,21.5599,21.49,21.5599,3269,0
TVE.US,60,20240501,200000,21.5,21.5,21.5,21.5,434,0
TVE.US,60,20240501,210000,21.5,21.65,21.5,21.6252,3425,0
TVE.US,60,20240501,220000,21.62,21.64,21.59,21.64,2693,0
TVE.US,60,20240502,170000,21.6098,21.65,21.6098,21.6154,1004,0
TVE.US,60,20240502,180000,21.625,21.65,21.6064,21.6064,1127,0
TVE.US,60,20240502,190000,21.675,21.675,21.675,21.675,600,0
TVE.US,60,20240502,200000,21.65,21.6501,21.65,21.65,1477,0
TVE.US,60,20240502,210000,21.64,21.65,21.64,21.65,1000,0
