<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UNF.US,60,20240411,160000,162.45,162.65,161.76,161.76,582,0
UNF.US,60,20240411,170000,161.88,162.65,161.555,162.08,2100,0
UNF.US,60,20240411,180000,161.88,162.92,161.73,162.615,2875,0
UNF.US,60,20240411,190000,162.68,162.76,161.96,162.15,3814,0
UNF.US,60,20240411,200000,162.8,162.8,162.06,162.575,1620,0
UNF.US,60,20240411,210000,162.69,162.69,162.17,162.37,901,0
UNF.US,60,20240411,220000,162.19,162.46,161.82,162.06,16917,0
UNF.US,60,20240412,160000,160.53,160.53,160.53,160.53,550,0
UNF.US,60,20240412,170000,160.94,161.48,160.79,161.48,1087,0
UNF.US,60,20240412,180000,162.01,162.22,161.33,162.07,2273,0
UNF.US,60,20240412,190000,161.71,161.71,161.18,161.22,411,0
UNF.US,60,20240412,200000,161.135,161.92,161.07,161.63,700,0
UNF.US,60,20240412,210000,161.635,162.01,161.61,161.69,4100,0
UNF.US,60,20240412,220000,161.77,162.1,161.38,161.38,20683,0
UNF.US,60,20240415,160000,161.23,162.11,161.23,161.65,459,0
UNF.US,60,20240415,170000,160.36,161.17,159.81,159.81,2069,0
UNF.US,60,20240415,180000,160.42,160.95,159.605,160.95,3543,0
UNF.US,60,20240415,190000,160.9,161.02,160.45,160.46,5478,0
UNF.US,60,20240415,200000,160.25,160.25,159.51,159.74,2159,0
UNF.US,60,20240415,210000,159.66,160.125,159.38,159.59,3175,0
UNF.US,60,20240415,220000,159.4758,160.05,159.35,160,20775,0
UNF.US,60,20240416,160000,159.5,159.5,158.51,159.34,334,0
UNF.US,60,20240416,170000,159.44,159.44,159.22,159.22,355,0
UNF.US,60,20240416,180000,158.73,159.05,158.6,158.6,1956,0
UNF.US,60,20240416,190000,158.56,159.68,158.56,159.68,820,0
UNF.US,60,20240416,200000,159.43,159.5,158.145,158.36,3859,0
UNF.US,60,20240416,210000,158.85,158.92,157.5801,158.43,2108,0
UNF.US,60,20240416,220000,158.16,158.225,157.29,157.29,16388,0
UNF.US,60,20240417,160000,158.78,158.78,157.43,158.63,564,0
UNF.US,60,20240417,170000,157.87,158.375,157.76,157.845,6058,0
UNF.US,60,20240417,180000,158.15,158.15,156.95,157.45,1976,0
UNF.US,60,20240417,190000,157.34,157.58,157,157.02,6868,0
UNF.US,60,20240417,200000,156.94,157.515,156.94,157.515,2243,0
UNF.US,60,20240417,210000,157.87,157.965,156.935,157,6305,0
UNF.US,60,20240417,220000,156.74,156.855,156.05,156.16,25687,0
UNF.US,60,20240418,160000,156.23,156.23,156.23,156.23,134,0
UNF.US,60,20240418,170000,156.31,157.12,156.31,157.045,811,0
UNF.US,60,20240418,180000,156.54,156.9379,156.4,156.63,1255,0
UNF.US,60,20240418,190000,156.7,157.08,155.7,155.7,2807,0
UNF.US,60,20240418,200000,155.605,155.985,155.37,155.37,2852,0
UNF.US,60,20240418,210000,155.56,155.72,154.5,155.72,53660,0
UNF.US,60,20240418,220000,155.74,156.6,155.74,155.91,33251,0
UNF.US,60,20240419,160000,155.68,157.05,155.255,157.05,4445,0
UNF.US,60,20240419,170000,156.73,156.945,156.23,156.84,13002,0
UNF.US,60,20240419,180000,156.8,158.675,156.8,158.05,4409,0
UNF.US,60,20240419,190000,158.315,158.59,157.47,157.665,5013,0
UNF.US,60,20240419,200000,157.91,158.31,157.83,157.84,4429,0
UNF.US,60,20240419,210000,157.87,157.91,157.285,157.805,3350,0
UNF.US,60,20240419,220000,157.725,159.16,157.42,158.51,21399,0
UNF.US,60,20240422,160000,158.97,161.1,158.255,161.1,1985,0
UNF.US,60,20240422,170000,160.625,160.625,159.1,159.57,17219,0
UNF.US,60,20240422,180000,159.57,160.51,159.545,160.22,3616,0
UNF.US,60,20240422,190000,160.67,160.955,160.32,160.32,5480,0
UNF.US,60,20240422,200000,160.86,161.85,160.86,161.85,3830,0
UNF.US,60,20240422,210000,161.7,161.91,161.41,161.6,3476,0
UNF.US,60,20240422,220000,161.655,161.95,160.13,160.28,32073,0
UNF.US,60,20240423,160000,159.96,159.96,159.88,159.88,275,0
UNF.US,60,20240423,170000,161.63,162.1,161.06,161.6,2014,0
UNF.US,60,20240423,180000,162.55,162.55,161.39,161.69,1906,0
UNF.US,60,20240423,190000,161.88,162.9,161.75,162.86,1918,0
UNF.US,60,20240423,200000,162.96,163.32,162.71,163.285,1100,0
UNF.US,60,20240423,210000,163.48,164.185,163.3,163.995,2695,0
UNF.US,60,20240423,220000,164.37,165.44,163.7,165.43,22843,0
UNF.US,60,20240424,160000,164.17,165.95,162.985,165.51,9211,0
UNF.US,60,20240424,170000,165.15,166.505,165.15,166.19,5323,0
UNF.US,60,20240424,180000,165.99,166.63,164.47,164.47,6569,0
UNF.US,60,20240424,190000,164.54,165.49,164.54,165.09,1803,0
UNF.US,60,20240424,200000,165.36,166.38,165.13,166.38,921,0
UNF.US,60,20240424,210000,166.05,166.05,165.05,165.08,2945,0
UNF.US,60,20240424,220000,165.075,165.35,164.5,165.3,19556,0
UNF.US,60,20240425,160000,164.29,164.29,164.005,164.005,506,0
UNF.US,60,20240425,170000,163.07,164.09,162.76,162.76,1801,0
UNF.US,60,20240425,180000,162.12,162.6,161.615,162.6,2415,0
UNF.US,60,20240425,190000,162.64,163.77,162.3149,163.77,1798,0
UNF.US,60,20240425,200000,164.06,164.06,163.44,163.98,1001,0
UNF.US,60,20240425,210000,163.44,163.51,162.23,163.48,3034,0
UNF.US,60,20240425,220000,163.59,164.18,163.365,163.82,21422,0
UNF.US,60,20240426,160000,163.98,165.52,163.98,165.52,349,0
UNF.US,60,20240426,170000,165.25,165.25,163.48,164.055,3201,0
UNF.US,60,20240426,180000,164.055,164.68,163.84,164.63,2945,0
UNF.US,60,20240426,190000,164.9,165.075,164.615,164.8905,1155,0
UNF.US,60,20240426,200000,165.05,165.21,164.12,164.12,1237,0
UNF.US,60,20240426,210000,164.345,164.79,164.28,164.28,2214,0
UNF.US,60,20240426,220000,164.18,164.46,163.97,164.24,14340,0
UNF.US,60,20240429,160000,163.77,163.77,163.77,163.77,140,0
UNF.US,60,20240429,170000,164.27,164.28,163.79,164.23,2153,0
UNF.US,60,20240429,180000,164,164,162.13,162.68,2096,0
UNF.US,60,20240429,190000,163.03,163.91,163.03,163.18,700,0
UNF.US,60,20240429,200000,163.345,163.39,163.19,163.24,800,0
UNF.US,60,20240429,210000,163.3,163.43,162.98,162.98,800,0
UNF.US,60,20240429,220000,162.79,163.3,162.07,162.94,11980,0
UNF.US,60,20240430,160000,162.36,162.36,161.17,161.23,2221,0
UNF.US,60,20240430,170000,161.41,161.43,160.55,160.63,2946,0
UNF.US,60,20240430,180000,160.35,161.33,160.165,161.28,2400,0
UNF.US,60,20240430,190000,161.25,161.41,161.015,161.015,800,0
UNF.US,60,20240430,200000,161.45,161.4724,161.43,161.4724,1089,0
UNF.US,60,20240430,210000,161.53,161.53,161.17,161.295,600,0
UNF.US,60,20240430,220000,161.47,161.555,160,160.13,19612,0
UNF.US,60,20240501,160000,160.65,161.83,160.65,161.09,1075,0
UNF.US,60,20240501,170000,160.95,161.31,160.385,161.1,2338,0
UNF.US,60,20240501,180000,161.25,162.365,161.25,162.365,2094,0
UNF.US,60,20240501,190000,162.39,162.39,162.36,162.36,339,0
UNF.US,60,20240501,200000,162.0016,162.61,161.805,162.22,844,0
UNF.US,60,20240501,210000,162.26,163.42,161.47,163.42,1347,0
UNF.US,60,20240501,220000,163.14,163.225,161.03,161.47,12072,0
UNF.US,60,20240502,160000,162.02,162.23,159.69,159.97,5014,0
UNF.US,60,20240502,170000,159.73,159.73,156.105,157.795,12592,0
UNF.US,60,20240502,180000,157.81,158,156.87,156.87,4300,0
UNF.US,60,20240502,190000,156.86,157.67,156.86,157.435,4134,0
UNF.US,60,20240502,200000,157.38,157.56,156.7337,157.06,7402,0
UNF.US,60,20240502,210000,156.87,157.47,156.7884,157.26,2767,0
UNF.US,60,20240502,220000,157.17,157.19,155.88,157.08,35025,0
UNF.US,60,20240507,160000,161.39,162.03,161.39,162.03,319,0
UNF.US,60,20240507,170000,162.645,164.98,161.9929,164.82,4538,0
