<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZAUG.US,60,20240802,160000,24.01,24.02,24.01,24.02,1020,0
ZAUG.US,60,20240802,170000,23.96,24,23.9492,23.95,14164,0
ZAUG.US,60,20240802,180000,23.96,24.07,23.95,23.9781,10558,0
ZAUG.US,60,20240802,190000,23.98,24.01,23.94,23.98,22043,0
ZAUG.US,60,20240802,200000,23.98,23.99,23.965,23.9893,11573,0
ZAUG.US,60,20240802,210000,23.9531,24,23.9531,23.99,16681,0
ZAUG.US,60,20240802,220000,23.99,24.0994,23.9701,24.01,25045,0
ZAUG.US,60,20240805,160000,24,24.02,24,24.02,1350,0
ZAUG.US,60,20240805,170000,23.91,25.2625,23.85,23.98,3405,0
ZAUG.US,60,20240805,180000,24.2167,24.219,23.89,23.984,24535,0
ZAUG.US,60,20240805,190000,23.965,24,23.935,23.95,20045,0
ZAUG.US,60,20240805,200000,23.93,23.99,23.93,23.935,14720,0
ZAUG.US,60,20240805,210000,23.91,24.03,23.9,23.9,19186,0
ZAUG.US,60,20240805,220000,23.9,23.945,23.83,23.92,149763,0
ZAUG.US,60,20240806,160000,24.01,24.01,23.905,23.95,6880,0
ZAUG.US,60,20240806,170000,23.98,23.99,23.9662,23.97,9839,0
ZAUG.US,60,20240806,180000,23.96,23.96,23.93,23.96,159620,0
ZAUG.US,60,20240806,190000,23.945,23.9799,23.945,23.97,1625,0
ZAUG.US,60,20240806,200000,24,24,23.965,23.99,14941,0
ZAUG.US,60,20240806,210000,23.99,24,23.9631,23.98,80036,0
ZAUG.US,60,20240806,220000,23.98,23.98,23.925,23.925,8795,0
ZAUG.US,60,20240807,160000,24,24.01,23.9301,24,32249,0
ZAUG.US,60,20240807,170000,24,24,23.96,24,9616,0
ZAUG.US,60,20240807,180000,23.9649,24.005,23.96,23.97,41137,0
ZAUG.US,60,20240807,190000,23.97,23.98,23.9589,23.96,5653,0
ZAUG.US,60,20240807,200000,23.95,23.96,23.925,23.93,7178,0
ZAUG.US,60,20240807,210000,23.92,23.93,23.8967,23.92,9388,0
ZAUG.US,60,20240807,220000,23.9192,23.94,23.9,23.9,23127,0
ZAUG.US,60,20240808,160000,23.95,23.95,23.95,23.95,807,0
ZAUG.US,60,20240808,170000,23.935,23.955,23.93,23.93,6870,0
ZAUG.US,60,20240808,180000,23.968,23.97,23.955,23.96,24161,0
ZAUG.US,60,20240808,190000,23.96,23.96,23.9452,23.96,4407,0
ZAUG.US,60,20240808,200000,23.94,24.0092,23.94,24,34793,0
ZAUG.US,60,20240808,210000,24.005,24.005,23.995,23.995,109601,0
ZAUG.US,60,20240808,220000,23.995,24,23.9801,24,18387,0
ZAUG.US,60,20240809,160000,24.02,24.02,23.9741,24,14104,0
ZAUG.US,60,20240809,170000,24.01,24.02,24.01,24.02,1898,0
ZAUG.US,60,20240809,180000,24.01,24.0292,23.9772,24.01,5145,0
ZAUG.US,60,20240809,190000,24,24.0099,23.96,23.96,12396,0
ZAUG.US,60,20240809,200000,24.01,24.04,23.9987,24.01,108497,0
